,駅名（＊放置禁止区域に指定）,放置台数（Ａ）自転車,放置台数（Ａ）原付,放置台数（Ａ）自二,放置台数（Ａ）計,実収容台数（Ｂ）自転車,実収容台数（Ｂ）原付,実収容台数（Ｂ）計,収容能力（Ｃ）自転車,収容能力（Ｃ）原付,収容能力（Ｃ）計,乗入台数（Ａ）＋（Ｂ）計
荒川区,＊町屋駅,107,2,,109,2671,34,2705,2831,34,2865,2814
荒川区,＊日暮里駅,87,7,,94,748,,748,1270,,1270,842
荒川区,＊西日暮里駅,43,,,43,1358,,1358,2514,,2514,1401
荒川区,＊三河島駅,26,4,,30,188,,188,440,,440,218
荒川区,＊熊野前駅,,,,,75,,75,300,,300,75
荒川区,＊赤土小学校前駅,2,2,,4,21,,21,50,,50,25
荒川区,新三河島駅,16,2,,18,,,,,,,18
荒川区,三ノ輪橋駅,115,,,115,156,,156,193,,193,271
荒川区,小台駅,44,3,,47,,,,,,,47
荒川区,荒川車庫駅,45,1,,46,,,,,,,46
荒川区,計,502,21,,523,7949,62,8011,10566,69,10635,8534
板橋区,＊板橋駅,80,,7,87,633,15,648,877,31,908,735
板橋区,＊浮間舟渡駅,50,2,3,55,881,13,894,1651,56,1707,949
板橋区,＊新板橋駅,140,6,7,153,201,6,207,447,81,528,360
板橋区,＊板橋区役所前駅,161,17,5,183,617,34,651,858,147,1005,834
板橋区,＊板橋本町駅,59,2,3,64,792,7,799,870,34,904,863
板橋区,＊本蓮沼駅,93,7,11,111,323,,323,484,5,489,434
板橋区,＊志村坂上駅,59,6,2,67,261,4,265,764,4,768,332
板橋区,＊志村三丁目駅,32,1,1,34,1438,28,1466,1780,189,1969,1500
板橋区,＊蓮根駅,85,9,1,95,841,23,864,957,23,980,959
板橋区,＊西台駅,85,2,5,92,629,13,642,1506,116,1622,734
板橋区,＊高島平駅,94,3,2,99,1733,33,1766,2146,110,2256,1865
板橋区,＊新高島平駅,31,5,5,41,158,7,165,446,18,464,206
板橋区,＊西高島平駅,76,3,4,83,751,30,781,1425,102,1527,864
板橋区,＊小竹向原駅,16,4,2,22,1111,11,1122,1314,61,1375,1144
板橋区,＊下板橋駅,58,1,3,62,233,6,239,445,38,483,301
板橋区,＊大山駅,273,8,7,288,764,,764,1367,40,1407,1052
板橋区,＊中板橋駅,185,8,10,203,443,,443,474,,474,646
板橋区,＊ときわ台駅,208,13,8,229,1212,13,1225,1686,55,1741,1454
板橋区,＊上板橋駅,162,17,2,181,1234,22,1256,2050,49,2099,1437
板橋区,＊東武練馬駅,40,2,,42,1506,62,1568,2500,121,2621,1610
板橋区,＊下赤塚駅・地下鉄赤塚駅,71,4,7,82,1032,15,1047,1522,20,1542,1129
板橋区,＊成増駅・地下鉄成増駅,263,19,14,296,4145,121,4266,4999,200,5199,4562
板橋区,計,2321,139,109,2569,20938,463,21401,30568,1500,32068,23970
練馬区,＊豊島園駅,19,1,1,21,489,,489,737,14,751,510
練馬区,＊練馬駅,89,5,4,98,2525,43,2568,3179,98,3277,2666
練馬区,＊江古田駅,62,3,5,70,404,27,431,1395,65,1460,501
練馬区,＊大泉学園駅,44,3,2,49,5753,94,5847,7646,171,7817,5896
練馬区,＊中村橋駅,71,2,4,77,1180,36,1216,2200,77,2277,1293
練馬区,＊桜台駅,89,6,4,99,316,22,338,784,52,836,437
練馬区,＊平和台駅,16,,3,19,2672,19,2691,3644,74,3718,2710
練馬区,＊石神井公園駅,29,2,2,33,5562,79,5641,7722,278,8000,5674
練馬区,＊東武練馬駅,25,2,1,28,170,6,176,390,19,409,204
練馬区,＊武蔵関駅,37,1,2,40,1430,,1430,2482,14,2496,1470
練馬区,＊光が丘駅,13,,,13,5766,78,5844,6604,122,6726,5857
練馬区,＊練馬高野台駅,24,,1,25,1293,16,1309,1451,41,1492,1334
練馬区,＊上石神井駅,36,5,2,43,1801,24,1825,2987,45,3032,1868
練馬区,＊富士見台駅,27,,2,29,1092,10,1102,1296,44,1340,1131
練馬区,＊地下鉄赤塚駅,22,,2,24,910,15,925,1039,46,1085,949
練馬区,＊練馬春日町駅,9,,,9,721,1,722,1044,10,1054,731
練馬区,＊保谷駅,2,,,2,1885,35,1920,2962,76,3038,1922
練馬区,＊小竹向原駅,14,1,1,16,767,,767,849,,849,783
練馬区,＊新江古田駅,9,2,,11,128,,128,186,,186,139
練馬区,＊氷川台駅,9,,,9,1803,16,1819,2503,47,2550,1828
練馬区,＊上井草駅,7,,,7,,,,,,,7
練馬区,＊新桜台駅,2,1,1,4,45,,45,231,,231,49
練馬区,計,655,34,37,726,36712,521,37233,51331,1293,52624,37959
足立区,＊北千住駅,19,4,3,26,3865,77,3942,5875,83,5958,3968
足立区,＊小菅駅,3,,,3,187,,187,462,15,477,190
足立区,＊五反野駅,3,,,3,1720,16,1736,2988,35,3023,1739
足立区,＊梅島駅,9,,,9,1116,15,1131,2127,35,2162,1140
足立区,＊西新井駅,29,1,2,32,4904,46,4950,7705,267,7972,4982
足立区,＊竹ノ塚駅,15,5,1,21,7543,113,7656,12334,232,12566,7677
足立区,＊大師前駅,5,2,,7,112,,112,260,,260,119
足立区,＊牛田駅・京成関屋駅,1,,,1,137,,137,248,,248,138
足立区,＊千住大橋駅,2,1,,3,636,9,645,945,15,960,648
足立区,＊綾瀬駅,36,6,2,44,7803,82,7885,10795,192,10987,7929
足立区,＊北綾瀬駅,13,1,,14,1341,4,1345,2403,43,2446,1359
足立区,＊青井駅,1,,,1,651,2,653,1911,20,1931,654
足立区,＊六町駅,5,,,5,3439,51,3490,5413,132,5545,3495
足立区,＊見沼代親水公園駅,,,1,1,1124,18,1142,1417,28,1445,1143
足立区,＊舎人駅,3,1,1,5,508,6,514,686,14,700,519
足立区,＊舎人公園駅,7,,,7,363,,363,648,,648,370
足立区,＊谷在家駅,2,1,2,5,782,,782,900,,900,787
足立区,＊西新井大師西駅,8,,,8,634,,634,990,10,1000,642
足立区,＊江北駅,8,,1,9,482,,482,566,29,595,491
足立区,＊高野駅,,,,,289,4,293,376,5,381,293
足立区,＊扇大橋駅,3,,,3,390,,390,740,,740,393
足立区,＊足立小台駅,1,,,1,30,3,33,123,15,138,34
足立区,堀切駅,,,,,,,,,,,
足立区,計,173,22,13,208,38056,446,38502,59912,1170,61082,38710
葛飾区,＊金町駅・京成金町駅,31,,,31,6663,22,6685,9382,212,9594,6716
葛飾区,＊亀有駅,55,,,55,3532,65,3597,6114,145,6259,3652
葛飾区,＊綾瀬駅,12,3,,15,22,,22,72,,72,37
葛飾区,＊新小岩駅,162,40,,202,7393,,7393,11017,40,11057,7595
葛飾区,＊柴又駅,5,1,,6,,,,,,,6
葛飾区,＊京成高砂駅,11,1,,12,1745,12,1757,2723,68,2791,1769
葛飾区,＊青砥駅,15,2,,17,2216,9,2225,2692,24,2716,2242
葛飾区,＊お花茶屋駅,74,7,,81,892,8,900,2927,58,2985,981
葛飾区,＊堀切菖蒲園駅,91,11,,102,593,,593,869,,869,695
葛飾区,＊京成立石駅,131,12,,143,1071,,1071,1585,,1585,1214
葛飾区,＊四ツ木駅,24,,,24,1413,,1413,1672,,1672,1437
葛飾区,＊新柴又駅,7,,,7,57,,57,470,,470,64
葛飾区,計,618,77,,695,25597,116,25713,39523,547,40070,26408
江戸川区,＊平井駅,33,,,33,3039,30,3069,4343,49,4392,3102
江戸川区,＊小岩駅,79,9,,88,5540,77,5617,8655,100,8755,5705
江戸川区,＊東大島駅,1,,,1,297,3,300,1200,4,1204,301
江戸川区,＊瑞江駅,26,,,26,5498,26,5524,7700,47,7747,5550
江戸川区,＊西葛西駅,18,7,,25,4140,63,4203,6150,98,6248,4228
江戸川区,＊篠崎駅,13,,,13,3121,11,3132,3900,25,3925,3145
江戸川区,＊一之江駅,22,,,22,3370,39,3409,4636,46,4682,3431
江戸川区,＊船堀駅,2,,,2,3023,34,3057,4000,47,4047,3059
江戸川区,＊葛西駅,17,2,,19,6459,59,6518,9800,89,9889,6537
江戸川区,＊葛西臨海公園駅,,,,,1940,7,1947,3170,11,3181,1947
江戸川区,＊京成小岩駅,28,1,,29,783,1,784,1723,4,1727,813
江戸川区,京成江戸川駅,8,,,8,,,,,,,8
江戸川区,計,247,19,,266,37210,350,37560,55277,520,55797,37826
