区市町村,条例名称,対象車両／自転車,対象車両／原付,対象車両／自二,放置禁止区域の名称,附置義務,助成
国分寺市,国分寺市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,努力義務,○
国分寺市,国分寺市有料自転車等駐車場条例,○,○,-,放置禁止区域,努力義務,○
国立市,国立市自転車安全利用促進条例,○,-,-,整理区域,義務付,-
福生市,福生市自転車等の放置防止等に関する条例,○,○,-,放置禁止区域,努力義務,-
福生市,福生市自転車等駐車場条例,○,○,-,-,-,-
狛江市,狛江市自転車等の放置防止等に関する条例,○,○,-,自転車等放置禁止区域,努力義務,-
東大和市,東大和市自転車等放置防止等に関する条例,○,○,-,放置禁止区域,努力義務,-
清瀬市,清瀬市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,努力義務,-
清瀬市,清瀬市有料自転車等駐車場条例,○,○,-,-,-,-
東久留米市,東久留米市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付,-
多摩市,多摩市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付,-
多摩市,多摩市営駐輪場条例,○,○,○,-,-,-
稲城市,稲城市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付,○
羽村市,羽村市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付,○
あきる野市,あきる野市自転車等駐車場の設置及び管理に関する条例,○,○,-,-,-,-
西東京市,西東京市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付,-
瑞穂町,瑞穂町自転車等の安全利用に関する条例,○,○,-,-,義務付,-
