区分,教育委員会,平成２０年度／学校数,平成２０年度／実施校数,平成２０年度／実施率(%),平成２１年度／学校数,平成２１年度／実施校数,平成２１年度／実施率(%),平成２２年度／学校数,平成２２年度／実施校数,平成２２年度／実施率(%),平成２３年度／学校数,平成２３年度／実施校数,平成２３年度／実施率(%),平成２４年度／学校数,平成２４年度／実施校数,平成２４年度／実施率(%),平成２５年度／学校数,平成２５年度／実施校数,平成２５年度／実施率(%),平成２６年度／学校数,平成２６年度／実施校数,平成２６年度／実施率(%),平成２７年度／学校数,平成２７年度／実施校数,平成２７年度／実施率(%),平均／学校数,平均／実施校数,平均／実施率(%),,,,
48,あきる野市,12,3,25.0,12,5,41.7,12,2,16.7,11,2,18.2,10,5,50.0,10,5,50.0,10,8,80.0,10,8,80.0,87,38,43.7,48,あきる野市,,
49,西東京市,19,8,42.1,19,13,68.4,19,17,89.5,19,19,100.0,19,17,89.5,19,15,78.9,19,15,78.9,18,17,94.4,151,121,80.1,49,西東京市,,
市部小計,,435,198,12,435,228,15,433,231,15,431,240,16,430,243,16,430,245,16,430,266,61.9,428,266,62.1,"3,452","1,917",55.5,市部小計,,,
50,瑞穂町,4,3,75.0,5,3,60.0,5,2,40.0,5,5,100.0,5,4,80.0,5,4,80.0,5,4,80.0,5,3,60.0,39,28,71.8,50,瑞穂町,,
51,日の出町,3,2,66.7,3,2,66.7,3,1,33.3,3,1,33.3,3,1,33.3,3,2,66.7,3,2,66.7,3,3,100.0,21,11,52.4,51,日の出町,,
52,檜原村,2,1,50.0,2,1,50.0,1,0,0.0,1,0,0.0,1,0,0.0,2,1,50.0,1,1,100.0,1,1,100.0,10,4,40.0,52,檜原村,,
53,奥多摩町,2,1,50.0,1,1,100.0,2,2,100.0,2,1,50.0,2,0,0.0,1,0,0.0,2,2,100.0,2,1,50.0,12,7,58.3,53,奥多摩町,,
町村部小計,,11,7,2,11,7,3,11,5,2,11,7,2,11,5,1,11,7,2,11,9,81.8,11,8,72.7,82,50,61.0,町村部小計,,,
54,大島町,3,2,66.7,3,0,0.0,3,0,0.0,3,2,66.7,3,1,33.3,3,1,33.3,3,1,33.3,3,0,0.0,21,7,33.3,54,大島町,,
55,利島村,1,1,100.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,7,1,14.3,55,利島村,,
56,新島村,2,1,50.0,2,2,100.0,2,1,50.0,2,1,50.0,2,1,50.0,2,0,0.0,2,2,100.0,2,0,0.0,14,8,57.1,56,新島村,,
57,神津島村,1,1,100.0,1,1,100.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,7,2,28.6,57,神津島村,,
58,三宅村,1,1,100.0,1,1,100.0,1,0,0.0,1,0,0.0,1,1,100.0,1,1,100.0,1,0,0.0,1,1,100.0,7,4,57.1,58,三宅村,,
59,御蔵島村,1,1,100.0,1,1,100.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,7,2,28.6,59,御蔵島村,,
60,八丈町,4,2,50.0,4,2,50.0,4,1,25.0,4,1,25.0,3,1,33.3,3,1,33.3,3,2,66.7,3,2,66.7,25,10,40.0,60,八丈町,,
61,青ケ島村,1,1,100.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,7,3,42.9,61,青ケ島村,,
62,小笠原村,2,1,50.0,2,1,50.0,2,2,100.0,2,1,50.0,2,0,0.0,2,0,0.0,2,1,50.0,2,0,0.0,14,6,42.9,62,小笠原村,,
島しょ部小計,,16,11,68.8,16,8,5.0,16,4,25.0,16,5,31.3,15,4,26.7,15,4,26.7,15,7,46.7,15,4,26.7,109,43,39.4,島しょ部小計,,,
合計,,"1,313",647,49.3,"1,313",665,50.6,"1,301",676,52.0,"1,306",708,54.2,"1,298",710,54.7,"1,295",719,55.5,"1,296",757,58.4,"1,292",782,60.5,"10,393","5,655",54.4,合計,,,
