区分,ｎ(団体数),問１８活動している中で抱えている問題や課題について／地域とのつながりがない(%),問１８活動している中で抱えている問題や課題について／活動メンバーの確保(%),問１８活動している中で抱えている問題や課題について／活動メンバーの高齢化(%),問１８活動している中で抱えている問題や課題について／活動機会が少ない(%),問１８活動している中で抱えている問題や課題について／活動のための情報不足(%),問１８活動している中で抱えている問題や課題について／講習会・研修会等の機会不足(%),問１８活動している中で抱えている問題や課題について／行政の協力や支援不足(%),問１８活動している中で抱えている問題や課題について／活動資金の不足(%),問１８活動している中で抱えている問題や課題について／打合せ場所等の活動拠点がない(%),問１８活動している中で抱えている問題や課題について／問題や課題はない(%),問１８活動している中で抱えている問題や課題について／その他(%),問１８活動している中で抱えている問題や課題について／無回答(%)
区市町村／八王子市,46,2.2,54.3,67.4,6.5,6.5,4.3,17.4,17.4,4.3,6.5,4.3,6.5
区市町村／立川市,17,41.2,52.9,58.8,11.8,17.6,11.8,47.1,41.2,17.6,23.5,0,0
区市町村／武蔵野市,12,0,58.3,83.3,8.3,8.3,0,8.3,16.7,8.3,0,0,0
区市町村／三鷹市,5,0,60,40,0,0,0,0,0,0,0,20,20
区市町村／青梅市,17,11.8,47.1,52.9,5.9,11.8,11.8,11.8,17.6,5.9,5.9,5.9,5.9
区市町村／府中市,21,4.8,61.9,71.4,14.3,4.8,9.5,9.5,14.3,0,0,4.8,19
区市町村／昭島市,17,11.8,58.8,94.1,0,5.9,17.6,11.8,23.5,17.6,0,0,0
区市町村／調布市,19,5.3,31.6,57.9,0,0,5.3,5.3,15.8,10.5,15.8,0,10.5
区市町村／町田市,60,11.7,61.7,80,1.7,3.3,5,15,21.7,8.3,6.7,3.3,3.3
区市町村／小金井市,10,0,60,40,10,10,10,10,0,0,10,0,20
区市町村／小平市,4,50,75,75,0,0,0,25,25,0,0,0,0
区市町村／日野市,3,0,33.3,100,0,0,0,0,33.3,0,0,0,0
区市町村／東村山市,24,8.3,58.3,66.7,4.2,0,4.2,29.2,16.7,16.7,20.8,4.2,0
区市町村／国分寺市,5,40,60,80,0,0,0,20,40,40,20,0,0
区市町村／国立市,2,0,50,100,0,0,0,50,50,0,0,0,0
区市町村／福生市,11,9.1,54.5,72.7,9.1,18.2,9.1,0,27.3,0,0,0,9.1
区市町村／狛江市,2,0,50,50,0,0,0,0,0,0,0,0,50
区市町村／東大和市,15,26.7,46.7,46.7,13.3,6.7,6.7,0,26.7,13.3,20,20,0
区市町村／清瀬市,10,10,60,90,10,20,10,20,40,10,10,0,0
区市町村／東久留米市,1,0,100,100,0,0,0,0,0,0,0,0,0
区市町村／武蔵村山市,10,0,70,80,0,20,10,10,30,20,0,10,0
区市町村／多摩市,6,33.3,50,50,16.7,0,0,0,0,0,16.7,0,0
区市町村／稲城市,13,7.7,69.2,69.2,0,15.4,7.7,0,15.4,0,7.7,0,7.7
区市町村／羽村市,3,33.3,33.3,33.3,0,33.3,0,33.3,0,0,0,0,0
区市町村／あきる野市,21,0,42.9,76.2,4.8,9.5,4.8,19,14.3,0,14.3,0,0
区市町村／西東京市,4,0,25,75,0,0,0,25,25,25,0,0,25
区市町村／瑞穂町,5,0,20,40,0,0,0,0,0,0,40,0,20
区市町村／日の出町,16,0,56.3,56.3,6.3,6.3,6.3,0,0,0,18.8,0,12.5
区市町村／檜原村,1,0,0,0,0,0,0,0,100,0,0,0,0
