消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
大森,349,0,0,0,0,0,0,0,0,1,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,1,0,8,0,3,32,6,36,0,0,0,0,0,0,0,2,10,0,0,0
田園調布,283,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,9,1,18,0,0,0,0,0,0,0,1,7,0,0,0
蒲田,353,0,0,0,0,0,0,0,0,1,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,5,0,0,15,1,50,0,0,1,0,0,0,0,1,14,0,0,0
矢口,453,0,0,0,0,0,0,0,0,2,0,316,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,3,0,0,0,4,24,1,56,0,0,2,0,0,0,0,1,4,0,0,0
目黒,572,0,0,0,0,0,0,0,3,1,0,471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1,0,1,0,0,15,11,34,0,0,1,0,0,0,0,11,7,0,0,0
世田谷,342,0,0,0,0,0,0,0,1,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,1,0,2,0,12,17,3,20,0,0,1,0,0,0,0,1,3,0,0,0
玉川,287,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,2,0,0,0,16,2,0,0,0,0,14,6,26,0,0,4,0,0,0,0,0,2,0,0,0
成城,233,0,0,0,0,0,0,0,1,15,0,167,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,8,16,7,0,0,4,0,0,0,0,2,4,0,0,0
渋谷,122,0,0,0,0,0,0,0,1,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,5,28,0,0,0,0,0,0,0,1,0,0,0,0
四谷,66,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,15,0,0,0,0,0,0,0,0,2,0,0,0
牛込,162,0,0,0,0,0,0,0,3,1,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,4,5,30,0,0,0,0,0,0,0,4,3,0,0,0
新宿,294,0,0,0,0,0,0,0,0,0,2,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,1,0,1,8,1,29,0,0,0,0,0,0,0,0,0,0,0,0
中野,326,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,1,0,0,10,0,35,0,0,0,0,0,0,0,0,3,0,0,0
野方,556,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,15,2,237,0,0,2,0,0,0,0,0,4,0,0,0
杉並,831,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,14,1,224,0,0,0,2,0,0,0,4,8,0,0,0
荻窪,539,0,0,0,0,0,0,0,0,0,0,331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,28,0,0,3,0,0,10,1,151,0,0,0,0,0,0,0,3,8,0,0,0
小石川,326,0,1,0,0,0,0,0,1,0,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,49,0,0,0,0,0,0,0,5,9,0,0,0
本郷,257,0,0,0,0,0,0,0,2,0,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,1,24,2,39,0,0,1,0,0,0,0,8,5,0,0,0
豊島,229,0,0,0,0,0,0,0,3,0,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,1,20,5,42,0,0,0,0,0,0,0,0,2,0,0,0
池袋,316,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,51,0,0,0,0,0,0,0,4,1,0,0,0
王子,181,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,12,0,0,0,0,0,0,0,2,17,0,0,0
赤羽,322,0,0,0,0,0,0,0,3,0,0,183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0,0,0,3,13,6,71,0,0,2,0,0,0,0,6,19,0,0,0
滝野川,213,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,13,4,81,0,0,4,0,0,0,0,2,4,0,0,0
板橋,379,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,3,39,0,0,0,0,0,0,0,4,1,0,0,0
志村,545,0,0,0,0,0,0,0,0,5,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,8,0,5,0,11,34,4,85,0,0,0,0,0,0,1,13,27,0,0,0
練馬,255,0,0,0,0,0,0,0,0,1,0,126,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,0,4,2,0,4,0,6,13,12,49,0,0,0,0,0,0,0,3,7,0,0,0
光が丘,252,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,1,78,0,0,0,0,0,0,0,1,7,0,0,0
石神井,573,0,0,0,0,0,0,0,0,5,0,279,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32,2,0,1,0,8,2,1,4,0,3,48,2,180,0,0,0,0,0,0,0,0,4,0,0,0
上野,131,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,1,0,1,0,0,33,5,20,0,0,0,0,0,0,0,5,2,0,0,0
浅草,30,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0
日本堤,204,0,0,0,0,0,0,0,4,3,4,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,14,4,50,0,0,0,0,0,0,0,1,63,0,0,0
荒川,362,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,2,0,2,0,1,28,10,63,0,0,0,0,0,0,0,1,14,0,0,0
尾久,258,0,0,0,0,0,0,0,0,0,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,3,11,0,5,0,1,16,5,61,0,0,0,0,0,0,1,4,8,0,0,0
千住,157,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,6,0,3,0,1,6,4,29,0,0,0,0,0,0,0,2,3,0,0,0
足立,530,0,0,0,0,0,0,0,0,3,0,405,1,1,2,0,0,0,0,0,0,0,0,7,1,0,0,13,0,0,0,0,0,5,0,6,0,2,24,0,45,0,0,0,0,0,0,1,0,14,0,0,0
西新井,460,0,0,0,0,0,0,0,0,1,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,8,0,9,0,12,29,1,118,0,0,0,0,0,0,0,1,15,0,0,0
本所,237,0,0,0,0,0,0,0,0,0,1,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,2,30,15,54,0,0,0,0,0,0,0,3,5,0,0,0
向島,215,0,0,0,0,0,0,0,0,0,1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,5,7,2,44,0,0,0,0,0,0,0,3,16,0,0,0
深川,198,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,2,43,4,30,0,0,0,0,0,0,0,12,29,1,0,0
城東,178,0,0,0,0,0,0,0,1,1,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,24,3,37,0,0,0,0,0,0,0,3,6,0,0,0
本田,305,0,0,0,0,0,0,0,0,1,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,14,1,41,0,0,0,0,0,0,0,4,9,0,0,0
金町,287,0,0,0,0,0,0,0,1,1,0,205,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,3,18,9,41,0,0,0,0,0,0,0,0,2,0,0,0
江戸川,129,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,1,17,0,0,0,0,0,0,1,2,7,0,0,0
葛西,208,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,3,17,0,0,2,0,0,0,0,0,4,0,0,0
小岩,212,0,0,0,0,0,0,0,0,8,0,167,0,0,0,0,1,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,5,21,0,0,0,0,0,0,0,1,0,0,0,0
受託地区,5107,2,1,0,0,0,0,1,25,76,18,2436,0,0,2,12,8,0,0,4,7,3,0,36,1,17,17,103,43,0,1,3,87,62,1,31,0,72,384,63,1281,0,0,50,0,0,0,0,53,206,1,0,0
立川,364,0,0,0,0,0,0,0,3,7,1,195,0,0,0,2,3,0,0,2,4,0,0,5,0,1,4,24,0,0,0,0,10,1,0,4,0,1,32,2,39,0,0,11,0,0,0,0,1,12,0,0,0
武蔵野,155,0,1,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,1,20,0,0,2,0,0,0,0,0,4,0,0,0
三鷹,325,0,0,0,0,0,0,0,1,1,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,1,5,0,0,17,0,115,0,0,2,0,0,0,0,2,11,0,0,0
府中,206,2,0,0,0,0,0,0,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,12,0,0,1,0,2,8,5,90,0,0,0,0,0,0,0,2,10,0,0,0
昭島,128,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,0,38,0,0,2,0,0,0,0,5,16,1,0,0
調布,229,0,0,0,0,0,0,0,1,3,0,130,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,3,7,1,67,0,0,0,0,0,0,0,2,4,0,0,0
小金井,128,0,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,4,0,0,0,3,9,0,33,0,0,0,0,0,0,0,0,1,0,0,0
小平,362,0,0,0,0,0,0,0,3,32,0,176,0,0,1,0,2,0,0,0,0,1,0,7,0,3,3,2,1,0,1,0,0,3,0,2,0,8,8,1,103,0,0,0,0,0,0,0,2,3,0,0,0
東村山,267,0,0,0,0,0,0,0,4,6,1,135,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,18,9,87,0,0,0,0,0,0,0,0,0,0,0,0
国分寺,137,0,0,0,0,0,0,0,0,0,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,16,21,1,31,0,0,0,0,0,0,0,2,5,0,0,0
狛江,161,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,1,70,0,0,0,0,0,0,0,0,2,0,0,0
北多摩西部,94,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,7,0,22,0,0,2,0,0,0,0,2,5,0,0,0
清瀬,250,0,0,0,0,0,0,0,2,3,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,7,2,0,1,0,6,16,7,50,0,0,0,0,0,0,0,10,31,0,0,0
東久留米,137,0,0,0,0,0,0,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,17,4,53,0,0,0,0,0,0,0,0,5,0,0,0
西東京,208,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,6,5,61,0,0,0,0,0,0,0,0,3,0,0,0
八王子,529,0,0,0,0,0,0,1,3,8,0,326,0,0,1,4,0,0,0,0,1,1,0,3,0,3,1,21,0,0,0,0,16,5,0,3,0,3,30,7,72,0,0,4,0,0,0,0,4,12,0,0,0
青梅,243,0,0,0,0,0,0,0,6,7,6,46,0,0,0,2,2,0,0,2,2,0,0,16,1,6,6,5,2,0,0,0,5,24,0,1,0,6,34,6,19,0,0,14,0,0,0,0,5,20,0,0,0
町田,264,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,4,18,1,116,0,0,3,0,0,0,0,1,5,0,0,0
日野,198,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,13,2,97,0,0,0,0,0,0,0,0,3,0,0,0
福生,315,0,0,0,0,0,0,0,0,2,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,6,0,2,0,9,32,7,64,0,0,3,0,0,0,0,2,16,0,0,0
多摩,238,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,1,2,0,2,0,4,22,0,23,0,0,1,0,0,0,0,1,7,0,0,0
秋川,122,0,0,0,0,0,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,5,0,0,1,0,2,34,2,10,0,0,6,0,0,0,0,11,23,0,0,0
奥多摩,46,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,17,1,1,0,0,0,0,0,0,0,1,8,0,0,0
