消防署,警報設備・自動火災報知設備・対象物数,警報設備・自動火災報知設備・設備数,警報設備・ガス漏れ火災警報設備・対象物数,警報設備・ガス漏れ火災警報設備・設備数,警報設備・漏電火災警報器・対象物数,警報設備・漏電火災警報器・設備数,警報設備・消防機関へ通報する火災通報装置・対象物数,警報設備・消防機関へ通報する火災通報装置・設備数,警報設備・非常ベル・自動式サイレン対象物数,警報設備・非常ベル・自動式サイレン設備数,警報設備・放送設備・対象物数,警報設備・放送設備・設備数,避難設備・救助袋・対象物数,避難設備・救助袋・設備数,避難設備・緩降機・対象物数,避難設備・緩降機・設備数,避難設備・避難はしご・対象物数,避難設備・避難はしご・設備数,避難設備・誘導灯・対象物数
赤羽,1967,2281,45,42,100,94,83,67,547,788,259,618,47,71,230,285,1821,2943,1539
滝野川,1503,1359,31,20,154,156,51,42,468,707,164,134,42,58,273,231,1870,2123,1367
板橋,3161,2645,62,22,277,243,125,108,1179,872,296,234,88,76,501,227,3779,1379,2749
志村,5355,6649,79,142,655,626,286,230,1712,2153,566,528,122,225,427,520,4024,4717,3923
練馬,3722,3008,26,26,313,315,169,132,1178,1418,247,197,90,133,368,296,3415,2506,2590
光が丘,1999,1650,24,13,208,200,107,96,632,692,221,128,71,100,160,137,1487,1500,1293
石神井,3490,2788,56,20,533,494,267,195,1339,1228,319,229,97,102,236,171,2928,2239,2417
上野,3175,2816,70,56,80,78,157,103,839,1327,570,422,51,110,714,877,2650,3219,3369
浅草,2129,2004,17,7,21,17,68,61,533,314,247,191,20,13,546,254,1747,875,2320
日本堤,1857,1778,24,24,94,94,151,136,346,557,211,199,22,34,324,254,1552,1318,1832
荒川,2146,1936,50,32,145,158,113,95,643,657,247,166,59,75,321,253,1992,1677,1983
尾久,1046,885,19,8,104,95,67,57,303,207,87,55,36,34,126,43,1151,216,1001
千住,1493,1770,16,11,97,107,64,53,370,558,186,139,33,49,187,191,1454,3440,1256
足立,5641,4394,50,41,312,308,300,219,1868,1851,462,365,156,247,339,321,4489,6209,3487
西新井,3173,2609,57,31,279,245,191,157,806,680,308,230,88,101,136,87,2320,1154,2335
本所,4095,3730,53,119,65,58,164,134,990,1078,485,320,58,114,669,582,3936,3308,3463
向島,1688,1859,27,15,81,84,91,78,390,608,174,129,51,72,134,88,1414,1055,1375
深川,4180,5450,148,191,39,46,182,162,905,1934,568,787,88,133,509,838,2984,8142,3601
城東,3417,3003,52,38,85,81,146,117,645,1060,544,322,72,138,324,290,2058,1962,2748
本田,3727,3360,37,10,411,344,177,160,1207,837,286,181,103,97,302,155,3459,1005,3038
金町,2310,2217,20,17,259,267,143,112,772,1042,204,169,61,86,188,247,1805,2739,1567
江戸川,2967,2642,23,16,174,119,131,110,618,546,240,175,72,107,245,199,2086,1654,1944
葛西,3846,3541,36,29,261,263,160,108,859,1236,347,278,61,114,282,289,2769,3536,2035
小岩,2761,2450,21,11,332,300,146,106,592,565,213,166,77,79,221,167,2332,1606,1796
受託地区,60150,51174,1074,1024,7061,7720,3660,3018,16689,19079,6809,5438,1265,1869,3367,3991,34507,41161,40701
立川,4472,4157,90,87,213,210,274,233,1368,1725,591,546,97,101,441,513,2942,3915,3277
武蔵野,2680,3558,62,63,336,1319,111,94,747,813,338,282,57,80,335,457,2091,2350,2181
三鷹,2775,2440,57,62,759,724,161,133,716,1092,251,220,69,112,109,119,1928,2143,1732
府中,3891,3137,106,95,327,319,222,152,899,1038,383,291,92,142,238,284,2361,3447,2306
昭島,1572,1296,28,37,123,120,111,68,450,582,203,171,18,23,76,89,881,1394,1167
調布,3372,2821,63,60,493,481,155,125,967,950,312,240,66,86,180,170,2256,2144,2206
小金井,1678,1362,30,27,346,325,82,62,454,536,148,131,48,75,97,99,1048,1170,1042
小平,2594,1993,47,38,423,420,168,142,881,1127,341,283,91,164,127,158,1559,2157,1800
東村山,1875,1452,48,51,209,199,146,109,642,811,245,191,16,23,92,140,1131,1763,1373
国分寺,1642,1216,25,13,240,203,99,77,421,279,121,88,47,39,147,78,1138,359,1130
狛江,1017,791,17,18,383,377,56,49,251,338,80,64,21,44,33,34,657,603,597
北多摩西部,2107,1817,28,23,215,216,107,95,682,683,269,257,27,34,49,48,952,737,1580
清瀬,1090,642,29,20,148,142,100,67,303,350,118,80,21,38,48,48,550,610,598
東久留米,1442,1163,26,20,244,219,114,102,371,372,154,135,26,26,54,28,796,265,911
西東京,2499,1896,43,55,397,362,147,117,756,767,226,141,74,79,122,94,1831,894,1648
八王子,8575,7654,146,126,549,556,576,467,2225,3082,1183,854,152,264,494,647,4757,7186,5940
青梅,2268,1815,22,23,317,296,142,131,573,436,221,174,49,94,77,96,848,1233,1656
町田,5302,4327,75,108,433,435,373,341,1554,1303,620,536,126,168,303,465,2431,3884,3673
日野,2578,2328,29,17,448,359,169,145,655,704,241,161,35,46,119,106,1491,1234,1520
福生,2662,2344,27,23,157,154,111,106,793,1104,214,190,50,89,80,109,1193,1906,2012
多摩,2466,1527,61,49,160,145,86,70,728,742,369,254,59,105,127,184,1313,1213,1191
秋川,1299,1171,13,9,113,112,134,119,230,224,168,141,22,35,17,24,342,549,1022
奥多摩,294,267,2,0,28,27,16,14,23,21,13,8,2,2,2,1,11,5,139
