消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
千住,49,36,4,12,18,0,0,2,0,3,0,0,2,0,1,3,7,2,2,0,3,158,54,9,5,1,0,10,0,0,0,0,45,30,4,615,428,23,160,4
足立,118,82,8,10,46,7,0,5,6,3,0,0,3,0,0,0,33,10,1,0,22,387,175,28,19,5,0,44,0,0,0,0,98,0,18,1678,1023,37,610,8
西新井,95,73,0,14,53,2,0,4,0,5,0,0,1,0,4,2,15,6,1,0,8,267,133,4,7,3,0,25,0,0,0,0,86,3,6,1148,843,42,257,6
本所,70,54,10,14,26,2,0,2,0,1,0,0,0,0,1,0,15,3,0,1,11,198,98,0,8,4,0,22,0,0,0,0,60,1,5,898,566,2,330,0
向島,25,12,0,2,9,1,0,0,0,2,0,0,0,0,2,1,10,2,1,2,5,58,23,10,1,0,0,4,0,0,0,0,18,0,2,256,171,3,81,1
深川,87,67,6,12,43,4,0,0,2,2,0,0,0,0,2,0,18,3,4,3,8,223,92,18,4,1,0,35,0,0,2,0,62,2,7,976,658,10,308,0
城東,92,56,4,18,31,1,0,1,1,3,0,0,0,0,3,0,33,8,8,1,16,234,98,28,7,0,0,21,0,0,2,0,65,4,9,996,754,14,225,3
本田,91,58,6,12,32,6,0,1,1,4,0,0,0,0,4,1,28,10,3,2,13,212,102,13,7,1,0,18,0,0,0,0,62,1,8,935,673,30,219,13
金町,63,49,2,12,28,1,0,3,3,1,0,0,0,0,1,1,12,1,2,0,9,172,39,47,7,3,0,13,0,0,0,0,58,1,4,762,551,7,202,2
江戸川,71,54,3,12,27,1,0,2,9,3,0,0,2,0,1,0,14,2,8,0,4,195,67,31,8,0,0,23,0,0,0,0,55,1,10,852,558,5,288,1
葛西,77,66,9,14,34,6,0,1,2,0,0,0,0,0,0,0,11,3,4,0,4,202,75,24,7,0,0,31,0,0,2,0,55,0,8,857,592,9,248,8
小岩,55,44,4,9,27,3,0,1,0,0,0,0,0,0,0,0,11,3,5,0,3,133,57,13,5,0,0,13,0,0,0,0,41,0,4,576,401,23,148,4
受託地区,1873,973,63,180,580,47,0,75,28,26,0,0,7,0,19,407,467,81,165,51,170,4513,1995,384,105,29,0,415,0,0,0,3,1410,31,141,19540,12593,321,6454,172
立川,85,53,2,13,31,5,0,1,1,0,0,0,0,0,0,1,31,4,19,0,8,222,124,2,7,2,0,20,0,0,0,0,60,1,6,966,648,15,300,3
武蔵野,37,22,1,8,8,3,0,2,0,4,0,0,1,0,3,1,10,2,3,2,3,128,63,8,6,5,0,10,0,0,0,0,30,0,6,565,402,6,155,2
三鷹,52,30,2,8,14,1,0,3,2,1,0,0,0,0,1,1,20,4,3,6,7,136,74,0,1,2,0,16,0,0,0,0,38,1,4,573,370,18,178,7
府中,74,47,5,11,20,0,0,10,1,3,0,0,0,0,3,1,23,5,2,6,10,179,80,18,5,1,0,16,0,0,0,0,55,0,4,769,469,12,287,1
昭島,38,22,1,4,13,1,0,3,0,1,0,0,1,0,0,4,11,0,3,1,7,90,45,0,2,1,0,8,0,0,0,0,31,1,2,393,255,8,119,11
調布,64,43,2,10,21,2,0,8,0,2,0,0,2,0,0,1,18,4,2,1,11,187,80,23,6,3,0,21,0,0,0,0,52,0,2,793,399,34,342,18
小金井,29,14,1,6,5,2,0,0,0,0,0,0,0,0,0,0,15,0,7,0,8,88,47,0,1,1,0,7,0,0,0,0,26,2,4,379,288,0,91,0
小平,56,46,1,9,29,1,0,3,3,0,0,0,0,0,0,0,10,1,4,2,3,145,70,0,3,0,0,13,0,0,0,0,51,1,7,633,461,19,140,13
東村山,47,30,2,6,18,0,0,3,1,1,0,0,0,0,1,3,13,5,3,2,3,115,61,0,4,1,0,11,0,0,0,0,35,1,2,507,320,10,176,1
国分寺,39,22,3,5,13,0,0,1,0,3,0,0,0,0,3,1,13,3,4,0,6,95,51,0,1,0,0,9,0,0,0,0,30,1,3,407,294,3,110,0
狛江,21,15,3,3,8,0,0,1,0,0,0,0,0,0,0,0,6,1,0,3,2,49,24,0,0,0,0,7,0,0,0,0,17,0,1,218,133,5,78,2
北多摩西部,78,39,0,6,27,2,0,1,3,0,0,0,0,0,0,24,15,3,3,1,8,200,67,30,4,0,0,20,0,0,0,0,70,2,7,892,576,16,295,5
清瀬,67,32,2,9,17,1,0,2,1,2,0,0,1,0,1,18,15,3,7,2,3,157,82,0,3,2,0,12,0,0,0,0,55,0,3,680,438,8,232,2
東久留米,31,20,2,5,9,1,0,2,1,1,0,0,0,0,1,0,10,3,3,1,3,79,44,0,2,1,0,4,0,0,0,0,25,0,3,357,246,3,106,2
西東京,34,25,3,7,12,1,0,1,1,0,0,0,0,0,0,0,9,2,1,4,2,86,45,0,0,0,0,12,0,0,0,0,26,0,3,376,238,1,136,1
八王子,340,147,11,18,95,9,0,10,4,1,0,0,0,0,1,127,65,14,18,6,27,793,357,52,17,3,0,66,0,0,0,0,267,10,21,3411,2212,22,1159,18
青梅,90,60,1,9,36,3,0,6,5,1,0,0,1,0,0,7,22,1,8,1,12,255,72,49,13,1,0,40,0,0,0,0,71,1,8,1103,759,32,295,17
町田,290,129,11,18,81,9,0,8,2,1,0,0,0,0,1,88,72,14,29,7,22,582,260,81,13,2,0,42,0,0,0,0,161,2,21,2541,1542,20,961,18
日野,96,44,4,8,29,1,0,1,1,1,0,0,0,0,1,36,15,2,7,3,3,216,61,47,2,1,0,18,0,0,0,0,82,1,4,934,554,16,351,13
福生,92,49,1,7,37,1,0,2,1,1,0,0,0,0,1,30,12,3,2,1,6,213,74,33,1,0,0,16,0,0,0,0,86,0,3,957,700,10,243,4
多摩,62,40,3,7,24,2,0,3,1,2,0,0,1,0,1,1,19,2,7,2,8,170,43,41,8,3,0,11,0,0,0,0,52,3,9,743,504,17,221,1
秋川,95,31,2,0,23,2,0,4,0,0,0,0,0,0,0,43,21,4,15,0,2,206,110,0,4,0,0,15,0,0,0,1,68,4,4,901,509,40,324,28
奥多摩,56,13,0,3,10,0,0,0,0,1,0,0,0,0,1,20,22,1,15,0,6,122,61,0,2,0,0,21,0,0,0,2,22,0,14,442,276,6,155,5
