消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積（㎡）",損害額（円）,死者,負傷者
杉並,9,3,0,0,1,2,0,0,0,0,6,0,399243,0,0
荻窪,7,3,0,0,1,2,0,2,0,0,2,13,3909580,0,0
小石川,4,2,0,0,1,1,0,0,0,0,2,5,793000,0,0
本郷,10,0,0,0,0,0,0,0,0,0,10,0,400,0,0
豊島,7,3,0,0,0,3,0,0,0,0,4,0,5800,0,0
池袋,9,5,0,1,0,4,0,0,0,0,4,50,21776820,0,1
王子,3,0,0,0,0,0,0,0,0,0,3,0,5550,0,1
赤羽,3,3,0,0,0,3,0,0,0,0,0,0,16300,0,2
滝野川,3,2,0,0,0,2,0,0,0,0,1,0,58920,0,0
板橋,5,3,1,0,0,2,0,0,0,0,2,2,80600,0,0
志村,14,6,1,0,0,5,0,0,0,0,8,51,4694500,0,0
練馬,13,2,1,0,0,1,0,1,0,0,10,15,500400,0,0
光が丘,7,3,0,0,0,3,0,0,0,0,4,0,11170,0,0
石神井,6,1,0,0,0,1,0,0,0,0,5,0,400,0,0
上野,17,2,0,0,1,1,0,0,0,0,15,1,469640,0,1
浅草,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本堤,4,4,0,0,1,3,0,0,0,0,0,1,900,0,1
荒川,4,2,0,0,2,0,0,0,0,0,2,3,1707300,0,0
尾久,2,1,0,0,1,0,0,0,0,0,1,10,1560000,2,0
千住,2,1,0,0,0,1,0,0,0,0,1,0,10,0,0
足立,13,5,0,1,2,2,0,0,0,0,8,66,8671700,0,1
西新井,15,7,0,0,0,7,0,0,0,0,8,0,169344,0,0
本所,15,6,0,0,1,5,0,0,0,0,9,0,311596,0,0
向島,2,0,0,0,0,0,0,0,0,0,2,0,410100,0,0
深川,6,1,0,0,1,0,0,0,0,0,5,0,1189910,0,0
城東,11,4,0,0,1,3,0,0,0,0,7,5,1108950,0,0
本田,18,5,0,0,2,3,0,0,0,0,13,20,4161390,0,1
金町,10,2,0,0,0,2,0,0,0,0,8,0,3750,0,2
江戸川,10,2,0,0,1,1,0,0,0,0,8,14,1298900,0,0
葛西,22,6,0,0,4,2,0,0,0,0,16,73,15247331,0,5
小岩,8,2,0,0,0,2,0,1,0,0,5,0,129200,0,0
受託地区,215,73,3,3,11,56,2,4,0,0,136,512,82057420,7,10
立川,19,6,0,0,3,3,0,2,0,0,11,100,14480560,0,1
武蔵野,1,1,0,0,0,1,0,0,0,0,0,0,5000,0,1
三鷹,3,3,0,1,0,2,0,0,0,0,0,86,29196085,1,4
府中,8,2,0,0,1,1,0,0,0,0,6,10,3331100,0,0
昭島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
調布,11,5,0,0,0,5,0,0,0,0,6,0,1400,0,0
小金井,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
小平,8,4,0,0,1,3,0,0,0,0,4,7,1512100,0,0
東村山,10,4,2,0,1,1,0,0,0,0,6,183,14535380,4,1
国分寺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
狛江,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0
北多摩西部,16,6,0,0,0,6,0,0,0,0,10,0,249200,0,0
清瀬,3,1,0,0,1,0,0,0,0,0,2,0,80000,0,0
東久留米,9,0,0,0,0,0,0,1,0,0,8,0,3500,0,0
西東京,6,5,0,0,0,5,0,0,0,0,1,0,31780,0,0
八王子,34,12,0,1,1,10,2,0,0,0,20,29,6228650,0,1
青梅,6,2,0,0,1,1,0,0,0,0,4,11,833400,0,0
町田,29,12,1,1,1,9,0,0,0,0,17,84,7442465,1,1
日野,8,2,0,0,1,1,0,1,0,0,5,2,3096000,1,1
福生,12,4,0,0,0,4,0,0,0,0,8,0,1000,0,0
多摩,9,1,0,0,0,1,0,0,0,0,8,0,1000,0,0
秋川,18,1,0,0,0,1,0,0,0,0,17,0,1028800,0,0
奥多摩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
