消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,"火災件数・管外からの延焼火災",り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損床面積(㎡),林野焼損面積(ａ)
東久留米,41,24,0,0,4,20,0,1,0,0,16,0,0,11,0,0,11,19,24,0,0,4,20,8,0
西東京,33,31,0,0,3,28,0,1,0,0,1,0,0,59,2,13,44,114,31,0,0,3,28,93,0
八王子,166,103,4,3,15,81,2,15,0,0,46,0,0,86,4,6,76,190,127,15,3,18,91,673,9
青梅,41,24,3,2,7,12,1,4,0,0,12,0,0,19,2,6,11,48,28,4,2,8,14,584,2
町田,130,93,6,1,8,78,0,11,0,0,26,0,0,68,7,1,60,145,117,23,2,11,81,1737,0
日野,43,31,0,3,2,26,0,3,0,0,9,0,0,27,1,3,23,46,35,0,3,3,29,274,0
福生,44,28,4,0,4,20,0,2,0,0,14,0,0,25,2,2,21,47,37,5,1,7,24,1259,0
多摩,29,14,1,0,3,10,0,2,0,0,13,0,0,17,3,2,12,39,14,1,0,3,10,161,0
秋川,36,12,3,1,0,8,0,0,0,0,24,0,0,16,2,0,14,37,17,4,1,1,11,1123,0
奥多摩,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
