消防署, 損害額（ 円 ）・計, 損害額（ 円 ）・建物, 損害額（ 円 ）・建物内収容物, 損害額（ 円 ）・林野, 損害額（ 円 ）・車両, 損害額（ 円 ）・船舶, 損害額（ 円 ）・航空機, 損害額（ 円 ）・その他,死者,負傷者・計,負傷者・重症,負傷者・中等症,負傷者・軽症
小金井,28876400,15129800,10496000,0,3240000,0,0,10600,0,6,0,2,4
小平,32779675,24852500,5246175,0,2666000,0,0,15000,0,4,0,0,4
東村山,153024080,30652380,121923300,0,125000,0,0,323400,5,3,1,2,0
国分寺,52598100,45514800,6525900,0,451000,0,0,106400,0,6,3,2,1
狛江,29851077,25731100,3200997,0,12200,0,0,906780,1,4,0,1,3
北多摩西部,111542607,96509900,14673907,0,342100,0,0,16700,2,11,2,4,5
清瀬,620200,342900,146700,0,120000,0,0,10600,0,1,0,0,1
東久留米,6405812,2670340,3593152,0,2600,0,0,139720,0,7,0,0,7
西東京,63635890,47259600,16046290,0,300000,0,0,30000,2,8,0,2,6
八王子,90809631,53111750,29759210,314600,4433300,0,0,3190771,1,43,5,11,27
青梅,34097000,19955200,13143700,25000,860000,0,0,113100,1,11,0,0,11
町田,724189338,695028216,27525319,0,1016518,0,0,619285,4,24,3,4,17
日野,506551638,72989450,426742088,0,6802000,0,0,18100,1,10,4,1,5
福生,74174227,42796975,29903902,0,1109900,0,0,363450,1,12,3,0,9
多摩,37596200,35232000,1945500,0,300200,0,0,118500,4,2,0,2,0
秋川,131194300,53606400,75581600,0,624800,0,0,1381500,0,2,0,0,2
奥多摩,0,0,0,0,0,0,0,0,0,0,0,0,0
