消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
品川,154,224,-,37,7,26,65,-,1,-,6,-,7,-,5,3,-,67,105,272,532,55
大井,93,301,-,20,-,9,21,-,215,-,2,2,12,-,-,-,-,20,49,410,161,45
荏原,34,50,-,12,-,3,15,-,-,-,6,-,3,-,2,1,-,8,30,135,216,28
大森,185,261,2,67,2,14,44,-,16,4,24,1,28,-,2,1,-,56,195,774,452,290
田園調布,44,57,-,12,-,6,14,-,6,-,9,-,2,-,2,2,-,4,43,87,426,36
蒲田,164,343,10,68,39,19,49,-,46,7,13,20,9,-,4,4,1,54,266,478,446,55
矢口,36,44,-,14,-,4,8,-,1,-,8,-,1,-,-,-,-,8,25,124,173,29
目黒,87,120,-,23,-,13,32,-,3,-,16,-,7,-,3,1,-,22,72,176,210,25
世田谷,75,96,-,15,-,6,27,-,3,1,16,-,9,-,1,1,-,17,70,196,240,21
玉川,62,78,-,9,-,6,18,1,3,2,20,-,7,-,1,-,-,11,41,191,259,22
成城,66,97,-,17,3,4,14,-,28,-,12,-,6,-,3,-,-,10,49,420,367,59
渋谷,200,292,-,6,-,69,100,-,1,-,12,-,4,-,2,-,-,98,65,438,408,4
四谷,32,47,-,1,-,9,19,-,-,-,1,-,2,-,1,-,-,14,9,65,285,14
牛込,80,106,-,9,-,16,35,-,3,-,7,-,6,-,1,-,-,29,55,221,138,123
新宿,153,221,-,11,-,55,70,-,3,-,10,-,3,-,3,-,-,66,66,342,420,31
中野,36,54,-,5,-,6,17,-,1,-,5,-,4,-,2,-,-,14,24,80,98,20
野方,25,34,-,3,-,4,8,-,-,-,5,-,3,-,2,2,-,7,24,66,251,28
杉並,51,59,-,3,-,4,16,-,1,-,12,-,9,-,2,2,-,10,39,132,367,37
荻窪,38,43,-,4,-,4,11,-,2,-,12,-,4,-,-,-,-,6,25,113,235,38
小石川,55,90,-,10,-,12,32,-,-,-,6,-,1,-,2,-,-,27,32,166,385,79
本郷,55,107,-,24,-,9,31,-,-,-,6,-,2,-,1,1,-,33,44,216,542,8
豊島,57,88,-,5,-,13,30,-,4,-,6,-,3,-,-,1,-,26,30,266,250,21
池袋,28,31,-,2,-,10,8,-,-,-,4,-,2,-,1,1,-,3,12,62,190,20
王子,49,62,1,16,1,2,14,-,1,1,6,-,3,-,1,-,-,16,58,80,119,45
赤羽,64,92,1,23,1,6,22,-,3,-,6,-,10,-,2,2,-,16,69,115,222,58
滝野川,47,84,-,24,2,3,21,-,-,-,4,3,3,-,2,1,-,21,49,326,218,56
板橋,63,80,-,8,-,4,17,-,4,-,12,-,2,-,9,4,-,20,61,101,370,88
志村,146,277,11,72,6,22,41,-,22,20,20,-,14,-,3,3,-,43,259,734,738,253
練馬,47,56,-,7,-,3,11,-,12,-,7,-,5,-,1,-,-,10,32,98,252,47
光が丘,55,78,-,13,-,3,11,-,20,-,12,-,7,-,2,1,-,9,57,125,93,21
石神井,49,64,-,2,-,1,11,-,18,-,13,-,8,-,1,1,-,9,37,149,241,39
上野,51,58,-,6,-,10,16,-,4,-,8,-,1,-,2,3,-,8,21,86,223,37
浅草,30,40,-,6,-,5,9,-,-,-,5,-,1,-,6,3,-,5,38,61,139,33
日本堤,34,42,-,-,-,9,6,-,-,-,3,-,-,-,7,10,-,7,24,106,303,28
荒川,61,97,-,26,-,3,20,-,22,1,5,1,6,-,5,1,-,7,49,252,239,207
尾久,45,76,1,14,5,7,5,-,22,-,6,-,-,-,7,2,-,7,36,1254,122,64
千住,63,97,2,21,-,6,19,-,8,2,7,-,9,-,4,1,-,18,55,511,184,106
足立,126,204,3,32,6,2,42,-,56,1,27,-,11,-,3,1,-,20,116,312,560,160
西新井,147,219,4,22,-,2,25,-,77,4,22,-,26,-,3,1,-,33,141,272,362,406
本所,73,95,-,13,-,10,27,-,-,-,13,-,2,-,7,3,-,20,63,190,322,142
向島,64,178,1,27,,15,13,-,89,-,9,-,5,-,5,3,-,11,69,382,381,238
深川,286,515,1,59,13,37,150,2,20,11,16,1,35,-,6,4,-,160,304,676,879,353
城東,152,292,1,45,33,14,52,-,30,2,15,4,30,-,3,1,-,62,188,331,540,608
本田,133,202,-,44,-,12,35,-,42,1,15,-,12,-,6,2,-,33,112,248,808,165
金町,53,64,1,8,-,3,11,-,9,-,9,-,11,-,-,-,-,12,48,97,209,51
江戸川,105,161,3,31,1,7,18,-,38,1,21,1,12,-,10,3,-,15,121,363,519,81
葛西,128,205,-,27,1,5,24,-,83,2,16,1,15,-,3,-,-,28,118,237,126,110
小岩,76,91,-,12,1,2,16,-,25,-,12,-,8,-,5,-,-,10,68,262,150,82
受託地区,2363,3642,19,637,95,114,943,4,505,40,289,7,227,0,21,15,0,726,2074,7842,9029,1433
立川,146,255,-,27,6,9,82,-,41,1,15,4,16,-,1,-,-,53,112,266,813,56
武蔵野,35,48,-,2,-,4,19,-,-,-,3,-,5,-,1,-,-,14,29,63,363,13
三鷹,64,141,-,21,1,6,47,-,6,2,7,-,7,-,-,2,-,42,75,203,218,47
府中,131,237,-,61,2,18,61,-,8,-,15,-,14,-,-,3,-,55,153,344,555,59
昭島,106,161,-,30,11,6,35,-,15,1,9,-,13,-,1,-,-,40,104,202,465,37
調布,92,132,-,23,1,6,41,-,3,-,15,2,7,-,1,3,-,30,78,423,279,48
小金井,35,42,-,15,-,1,12,-,1,-,4,-,4,-,-,-,-,5,21,74,113,10
小平,78,151,1,18,-,4,43,1,39,2,10,-,6,-,1,-,-,26,55,266,396,102
東村山,78,91,1,26,-,1,27,-,6,1,5,-,8,-,-,-,-,16,53,134,370,62
国分寺,29,36,-,9,-,-,9,-,1,1,9,-,2,-,-,-,-,5,24,73,202,11
狛江,14,17,-,1,-,-,5,-,-,-,4,-,2,-,-,1,-,4,13,36,52,27
北多摩西部,96,129,-,22,-,3,26,-,25,-,16,-,14,-,-,2,-,21,82,249,412,105
清瀬,24,38,-,5,2,2,14,-,1,-,2,1,1,-,-,-,-,10,22,53,146,18
東久留米,45,96,-,11,-,1,13,-,43,-,8,-,10,-,-,-,-,10,31,95,228,41
西東京,41,71,-,6,-,1,20,-,5,1,5,-,4,-,-,1,-,28,37,123,109,20
八王子,449,704,4,132,22,20,158,2,187,3,49,-,34,-,7,-,-,86,409,885,1053,169
青梅,165,240,2,43,4,6,64,-,26,9,19,-,14,-,2,1,-,50,141,374,720,174
町田,161,226,1,40,-,7,59,1,43,3,29,-,10,-,2,-,-,31,129,1622,474,48
日野,116,127,1,29,6,1,31,-,5,-,13,-,7,-,1,-,-,33,98,282,313,51
福生,204,338,6,79,24,6,77,-,20,12,20,-,25,-,3,2,-,64,219,1387,889,166
多摩,69,126,-,12,2,9,43,-,2,-,10,-,5,-,-,-,-,43,56,147,214,25
秋川,155,195,3,25,10,3,46,-,22,3,17,-,17,-,1,-,-,48,108,486,527,132
奥多摩,30,41,-,-,4,-,11,-,6,1,5,-,2,-,-,-,-,12,25,55,118,12
島しょ地区,196,415,-,19,93,17,54,1,54,48,35,23,5,-,-,-,10,56,527,774,-,-
