発火源,火災件数
電気を使用する道具・装置・電気機器・シーリングライト,9
電気を使用する道具・装置・電気機器・ダウンライト,30
電気を使用する道具・装置・電気機器・スポットライト,1
電気を使用する道具・装置・電気機器・器具外付け安定器,4
電気を使用する道具・装置・電気機器・看板灯,3
電気を使用する道具・装置・電気機器・ネオン灯配線,3
電気を使用する道具・装置・電気機器・ペンダントライト,1
電気を使用する道具・装置・電気機器・ハロゲンランプ,5
電気を使用する道具・装置・電気機器・クリップライト,3
電気を使用する道具・装置・電気機器・ＬＥＤ,24
電気を使用する道具・装置・電気機器・増幅器,2
電気を使用する道具・装置・電気機器・スピーカー,1
電気を使用する道具・装置・電気機器・映写機,1
電気を使用する道具・装置・電気機器・放送用設備機器,5
電気を使用する道具・装置・電気機器・テレビ（液晶モニタ式）,2
電気を使用する道具・装置・電気機器・その他の記録媒体を内蔵（又は挿入）するプレーヤー,1
電気を使用する道具・装置・電気機器・洗濯機,3
電気を使用する道具・装置・電気機器・脱水機,2
電気を使用する道具・装置・電気機器・掃除機,17
電気を使用する道具・装置・電気機器・充電式カミソリ,2
電気を使用する道具・装置・電気機器・電気あんま器,1
電気を使用する道具・装置・電気機器・鑑賞魚用ポンプモーター,2
電気を使用する道具・装置・電気機器・洗濯乾燥機,1
電気を使用する道具・装置・電気機器・電気美容器具,9
電気を使用する道具・装置・電気機器・レーザーメス,1
電気を使用する道具・装置・電気機器・ファクシミリ,1
電気を使用する道具・装置・電気機器・直流電源装置（ＡＣアダプタ含,30
電気を使用する道具・装置・電気機器・コンピュータ（本体）,21
電気を使用する道具・装置・電気機器・コンピュータ（モニター）,6
電気を使用する道具・装置・電気機器・コンピュータ（プリンター）,1
電気を使用する道具・装置・電気機器・加算機,4
電気を使用する道具・装置・電気機器・タイムレコーダー,1
電気を使用する道具・装置・電気機器・携帯電話機,15
電気を使用する道具・装置・電気機器・コンピュータ（その他外付機器）,1
電気を使用する道具・装置・電気機器・自動販売機,1
電気を使用する道具・装置・電気機器・自動現金支払機,1
電気を使用する道具・装置・電気機器・電気ドリル,3
電気を使用する道具・装置・電気機器・合成樹脂成型機,2
電気を使用する道具・装置・電気機器・印刷機,1
電気を使用する道具・装置・電気機器・送（排）風機,3
電気を使用する道具・装置・電気機器・洗浄機,2
電気を使用する道具・装置・電気機器・研磨機（グラインダ含む）,6
電気を使用する道具・装置・電気機器・電動遊技（戯）機器,2
電気を使用する道具・装置・電気機器・電気のこぎり,1
電気を使用する道具・装置・電気機器・旋盤,3
電気を使用する道具・装置・電気機器・裁断機,2
電気を使用する道具・装置・電気機器・床みがき機,1
電気を使用する道具・装置・電気機器・自動写真撮影機,1
電気を使用する道具・装置・電気機器・レーザー加工機,5
電気を使用する道具・装置・電気機器・空気圧縮機,2
電気を使用する道具・装置・電気機器・粉砕機,1
電気を使用する道具・装置・電気機器・包装機（結束機を含む）,1
電気を使用する道具・装置・電気機器・集じん機,1
電気を使用する道具・装置・電気機器・充電式電池,136
電気を使用する道具・装置・電気機器・蓄電池,8
電気を使用する道具・装置・電気機器・リチウム電池,4
電気を使用する道具・装置・電気機器・無停電電源装置,2
電気を使用する道具・装置・電気機器・太陽光発電装置,3
電気を使用する道具・装置・電気機器・燃料ポンプ,3
電気を使用する道具・装置・電気装置,99
電気を使用する道具・装置・電気装置・配電用変圧器,3
電気を使用する道具・装置・電気装置・整流器,5
電気を使用する道具・装置・電気装置・充電器,3
電気を使用する道具・装置・電気装置・トランス,6
電気を使用する道具・装置・電気装置・三相モーター,6
電気を使用する道具・装置・電気装置・セルモーター,6
電気を使用する道具・装置・電気装置・発電機,1
電気を使用する道具・装置・電気装置・オルタネーター,2
電気を使用する道具・装置・電気装置・直流モーター,1
電気を使用する道具・装置・電気装置・コンデンサー（低圧）,13
電気を使用する道具・装置・電気装置・制御盤,34
電気を使用する道具・装置・電気装置・分電盤,19
電気を使用する道具・装置・電灯・電話等の配線,213
電気を使用する道具・装置・電灯・電話等の配線・配電線（高圧）,34
電気を使用する道具・装置・電灯・電話等の配線・配電線（低圧）,5
電気を使用する道具・装置・電灯・電話等の配線・き電線（高圧）,1
電気を使用する道具・装置・電灯・電話等の配線・き電線（低圧）,2
電気を使用する道具・装置・電灯・電話等の配線・引込線（高圧）,1
電気を使用する道具・装置・電灯・電話等の配線・引込線（低圧）,3
電気を使用する道具・装置・電灯・電話等の配線・屋外線,12
電気を使用する道具・装置・電灯・電話等の配線・屋内線,48
電気を使用する道具・装置・電灯・電話等の配線・変電設備内配線,2
電気を使用する道具・装置・電灯・電話等の配線・コード,68
電気を使用する道具・装置・電灯・電話等の配線・接地線（第Ａ種）,1
電気を使用する道具・装置・電灯・電話等の配線・交通機関内配線,30
電気を使用する道具・装置・電灯・電話等の配線・スパークプラグ,2
電気を使用する道具・装置・電灯・電話等の配線・ディストリビューター,2
電気を使用する道具・装置・電灯・電話等の配線・ＡＢＳ（本体）,1
電気を使用する道具・装置・電灯・電話等の配線・ＡＢＳ（コントロールユニット）,1
電気を使用する道具・装置・配線器具関連,325
電気を使用する道具・装置・配線器具関連・タイムスイッチ,3
電気を使用する道具・装置・配線器具関連・タンブラースイッチ,4
電気を使用する道具・装置・配線器具関連・押しボタンスイッチ,1
電気を使用する道具・装置・配線器具関連・街頭スイッチ,4
電気を使用する道具・装置・配線器具関連・調光器,1
電気を使用する道具・装置・配線器具関連・柱上低圧開閉器,4
電気を使用する道具・装置・配線器具関連・ナイフスイッチ,1
電気を使用する道具・装置・配線器具関連・箱開閉器,1
電気を使用する道具・装置・配線器具関連・電磁開閉器,4
電気を使用する道具・装置・配線器具関連・配線用遮断器,16
電気を使用する道具・装置・配線器具関連・電流制限器,3
電気を使用する道具・装置・配線器具関連・漏電遮断器,10
電気を使用する道具・装置・配線器具関連・継電器,7
電気を使用する道具・装置・配線器具関連・高圧カットアウト,1
電気を使用する道具・装置・配線器具関連・空気遮断器,1
電気を使用する道具・装置・配線器具関連・真空遮断器,1
電気を使用する道具・装置・配線器具関連・電磁接触器,5
電気を使用する道具・装置・配線器具関連・ガス開閉器,1
電気を使用する道具・装置・配線器具関連・差し込みプラグ,81
電気を使用する道具・装置・配線器具関連・コンセント,89
電気を使用する道具・装置・配線器具関連・電灯付家具、コンセント付家具,7
電気を使用する道具・装置・配線器具関連・テーブルタップ,30
電気を使用する道具・装置・配線器具関連・マルチタップ,15
電気を使用する道具・装置・配線器具関連・コードコネクター,17
電気を使用する道具・装置・配線器具関連・キーソケット,1
電気を使用する道具・装置・配線器具関連・引掛ローゼット,2
電気を使用する道具・装置・配線器具関連・アダプター,4
電気を使用する道具・装置・配線器具関連・ジョイントボックス,5
電気を使用する道具・装置・配線器具関連・ボルトコネクター,1
電気を使用する道具・装置・配線器具関連・積算電力計,5
電気を使用する道具・装置・漏電により発熱した部分,4
電気を使用する道具・装置・漏電により発熱した部分・金属と接地線の接触部,2
電気を使用する道具・装置・漏電により発熱した部分・金属と金属の接触部,2
電気を使用する道具・装置・静電スパーク,2
電気を使用する道具・装置・静電スパーク・管中の流動液体によるスパーク,1
電気を使用する道具・装置・静電スパーク・その他の静電スパーク,1
ガス・油等を燃料とする道具装置,648
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置,482
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスこんろ,39
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガステーブル,246
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・大型ガスこんろ,89
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスレンジ,15
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・大型レンジ,28
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスオーブン,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・かまど,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガス炊飯器,4
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・瞬間湯沸器,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・給湯器,7
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・コーヒー焙煎機,3
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスおでんこんろ,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスロースター（無煙を除く）,4
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・焼鳥炉,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスハースグリラー,2
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・フライヤー,8
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・無煙ガスロースター,14
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスストーブ,3
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスファンヒーター,6
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガス衣類乾燥機,2
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・風呂がま,3
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガス切断器,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスバーナー,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・ガスハンドトーチ,1
ガス・油等を燃料とする道具装置・都市ガスを用いる道具装置・工業用炉,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置,63
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガスこんろ,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガステーブル,10
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・大型ガスこんろ,7
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・簡易型ガスこんろ,29
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガスレンジ,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガス炊飯器,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・連続魚焼機,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガスファンヒーター,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・簡易型ガスストーブ,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガス乾燥機,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガス溶接器,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガス切断器,4
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガスバーナー,3
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・ガスハンドトーチ,1
ガス・油等を燃料とする道具装置・プロパンガスを用いる道具装置・工業用炉,1
ガス・油等を燃料とする道具装置・油を燃料とする道具装置,35
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・石油こんろ,1
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・アルコールランプ,2
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・アルコールこんろ,2
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・石油ストーブ,15
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・石油ファンヒーター,5
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・ジェットヒーター,1
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・内燃機関,6
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・アスファルト溶解炉,1
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・ボイラー,1
ガス・油等を燃料とする道具装置・油を燃料とする道具装置・発電機,1
ガス・油等を燃料とする道具装置・その他,68
ガス・油等を燃料とする道具装置・その他・アセチレンガス溶接器,1
ガス・油等を燃料とする道具装置・その他・アセチレンガス切断器,11
ガス・油等を燃料とする道具装置・その他・アセチレンガス圧接器,1
ガス・油等を燃料とする道具装置・その他・ブタンガストーチバーナー,55
固体燃料を用いる道具装置,32
固体燃料を用いる道具装置・炭・たどん（練炭）燃料,20
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・木炭七厘こんろ,8
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・練炭七厘こんろ,2
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・魚焼き炉,1
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・焼肉炉,4
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・無煙ロースター,1
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・木炭火鉢,1
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・練炭火鉢,1
固体燃料を用いる道具装置・炭・たどん（練炭）燃料・炭おこし,2
固体燃料を用いる道具装置・薪（鉋屑等）燃料,11
固体燃料を用いる道具装置・薪（鉋屑等）燃料・こんろ,2
固体燃料を用いる道具装置・薪（鉋屑等）燃料・かまど,1
固体燃料を用いる道具装置・薪（鉋屑等）燃料・薫製炉・器,1
固体燃料を用いる道具装置・薪（鉋屑等）燃料・ピザ釜,2
固体燃料を用いる道具装置・薪（鉋屑等）燃料・ストーブ,1
固体燃料を用いる道具装置・薪（鉋屑等）燃料・マントルピース,1
固体燃料を用いる道具装置・薪（鉋屑等）燃料・風呂がま,2
固体燃料を用いる道具装置・薪（鉋屑等）燃料・ごみ焼却炉,1
固体燃料を用いる道具装置・火を消すための器,1
固体燃料を用いる道具装置・火を消すための器・火消しつぼ,1
火種,898
火種・裸火,133
火種・裸火・炭火,11
火種・裸火・線香（仏具用）,10
火種・裸火・蚊取線香,14
火種・裸火・線香（芳香・アロマテラピー）,3
火種・裸火・たき火,7
火種・裸火・焼却火,19
火種・裸火・虫焼火,1
火種・裸火・燃えさし,1
火種・裸火・たきつけ,9
火種・裸火・火のついた棒,1
火種・裸火・火のついたひも，なわ,1
火種・裸火・ローソク,19
火種・裸火・灯明,17
火種・裸火・灸用もぐさ類,1
火種・裸火・火のついた紙,11
火種・裸火・火のついた布,1
火種・裸火・火のついたゴミ,1
火種・裸火・火のついた油等,6
火種・たばことマッチ,723
火種・たばことマッチ・たばこ,570
火種・たばことマッチ・マッチ,35
火種・たばことマッチ・ライター,118
火種・火花,24
火種・火花・ブレーキの火花,4
火種・火花・車両等の衝撃火花,2
火種・火花・金属と金属の衝撃火花,16
火種・火花・金属と非金属の衝撃火花,2
火種・再燃により出火しやすいもの,18
火種・再燃により出火しやすいもの・取灰,2
火種・再燃により出火しやすいもの・寝具類,6
火種・再燃により出火しやすいもの・消したはずの木材・廃材,2
火種・再燃により出火しやすいもの・消したはずの紙・製品,3
火種・再燃により出火しやすいもの・消したはずの繊維・製品,5
高温の固体,55
高温の固体・高温の気体で熱せられたもの,33
高温の固体・高温の気体で熱せられたもの・排気ダクト,1
高温の固体・高温の気体で熱せられたもの・排気管,26
高温の固体・高温の気体で熱せられたもの・触媒装置,5
高温の固体・高温の気体で熱せられたもの・過給機（ターボチャージャー）,1
高温の固体・摩擦により熱せられたもの,17
高温の固体・摩擦により熱せられたもの・軸受（ベアリング含む）,3
高温の固体・摩擦により熱せられたもの・ミキシングロール圧延機,2
高温の固体・摩擦により熱せられたもの・プーリー,3
高温の固体・摩擦により熱せられたもの・ブレーキライニング,5
高温の固体・摩擦により熱せられたもの・車輪,3
高温の固体・摩擦により熱せられたもの・ブレーキドラム,1
高温の固体・高温の固体,5
高温の固体・高温の固体・溶融金属,1
高温の固体・高温の固体・熱せられた金属製品,2
高温の固体・高温の固体・赤熱した切粉,1
高温の固体・高温の固体・切削くず,1
自然発火を起こしやすいもの,20
自然発火を起こしやすいもの・可燃性固体,4
自然発火を起こしやすいもの・可燃性固体・マグネシウム,1
自然発火を起こしやすいもの・可燃性固体・金属粉,3
自然発火を起こしやすいもの・自然発火性物質及び禁水性物質,5
自然発火を起こしやすいもの・自然発火性物質及び禁水性物質・金属ナトリウム,2
自然発火を起こしやすいもの・自然発火性物質及び禁水性物質・その他の金属の水素化物,1
自然発火を起こしやすいもの・自然発火性物質及び禁水性物質・石灰,2
自然発火を起こしやすいもの・その他の自然発火しやすいもの,11
自然発火を起こしやすいもの・その他の自然発火しやすいもの・油布,5
自然発火を起こしやすいもの・その他の自然発火しやすいもの・油ぼろ,1
自然発火を起こしやすいもの・その他の自然発火しやすいもの・揚げ玉,1
自然発火を起こしやすいもの・その他の自然発火しやすいもの・揚げかす,3
自然発火を起こしやすいもの・その他の自然発火しやすいもの・合成樹脂,1
危険物品,5
危険物品・火薬類,5
危険物品・火薬類・花火（玩具用）,4
危険物品・火薬類・発煙筒,1
天災,9
天災・雷,3
天災・雷・直接雷,1
天災・雷・間接雷,2
天災・レンズ類,6
天災・レンズ類・凸レンズ,2
天災・レンズ類・凹面鏡,4
不明,718
不明・不明,718
不明・不明・不明,718
