消防署,クラブ数,クラブ員数,指導者数,消防少年団員数・指導者数計,消防少年団員数・学年別・小学生・小計,消防少年団員数・学年別・小学生・1年,消防少年団員数・学年別・小学生・2年,消防少年団員数・学年別・小学生・3年,消防少年団員数・学年別・小学生・4年,消防少年団員数・学年別・小学生・5年,消防少年団員数・学年別・小学生・6年,消防少年団員数・学年別・中学生・小計,消防少年団員数・学年別・中学生・1年,消防少年団員数・学年別・中学生・2年,消防少年団員数・学年別・中学生・3年,消防少年団員数・学年別・高校生・小計,消防少年団員数・学年別・高校生・1年,消防少年団員数・学年別・高校生・2年,消防少年団員数・学年別・高校生・3年,消防少年団員数・性別・男・小計,消防少年団員数・性別・男・小学生,消防少年団員数・性別・男・中学生,消防少年団員数・性別・男・高校生,消防少年団員数・性別・女・小計,消防少年団員数・性別・女・小学生,消防少年団員数・性別・女・中学生,消防少年団員数・性別・女・高校生,指導者数・指導者,指導者数・準指導者・一般,指導者数・準指導者・高校生,組織数,人員
荻窪,11,1623,0,46,30,13,3,6,4,3,1,13,5,8,0,3,2,0,1,23,13,7,3,23,17,6,0,8,0,0,1,141
小石川,12,1418,0,36,16,0,0,0,8,6,2,7,2,4,1,13,3,6,4,16,4,6,6,20,12,1,7,8,7,0,1,135
本郷,10,787,0,48,38,0,0,10,14,8,6,7,3,4,0,3,1,0,2,18,15,2,1,30,23,5,2,5,1,0,1,334
豊島,11,1340,0,58,41,0,0,12,6,16,7,8,4,2,2,9,6,1,2,31,23,2,6,27,18,6,3,15,9,0,1,158
池袋,37,3137,0,61,35,0,0,10,12,7,6,18,4,11,3,8,2,4,2,26,15,8,3,35,20,10,5,9,6,0,1,113
王子,8,1193,0,62,35,0,0,11,11,11,2,13,6,3,4,14,4,5,5,27,14,7,6,35,21,6,8,10,17,0,1,300
赤羽,46,5786,0,39,22,0,0,0,2,16,4,8,3,1,4,9,6,2,1,21,13,3,5,18,9,5,4,9,0,0,1,205
滝野川,42,4130,0,65,42,0,0,9,15,7,11,12,3,6,3,11,2,7,2,28,20,3,5,37,22,9,6,27,0,0,1,119
板橋,6,564,0,42,18,0,0,1,9,3,5,20,11,5,4,4,3,1,0,20,9,9,2,22,9,11,2,20,0,0,1,287
志村,19,3689,0,79,45,0,0,1,24,16,4,19,8,6,5,15,5,4,6,36,23,7,6,43,22,12,9,0,6,0,1,179
練馬,14,1738,0,70,46,0,0,13,9,8,16,17,6,4,7,7,3,2,2,37,26,7,4,33,20,10,3,12,13,0,1,255
光が丘,35,6436,0,87,54,0,0,16,18,13,7,19,9,6,4,14,6,5,3,34,21,8,5,53,33,11,9,25,2,0,1,150
石神井,0,0,0,43,24,0,1,3,6,6,8,14,1,7,6,5,2,1,2,24,13,8,3,19,11,6,2,12,1,0,1,66
上野,15,1711,0,62,38,0,0,13,10,13,2,18,5,8,5,6,2,3,1,17,9,4,4,45,29,14,2,27,0,0,1,234
浅草,7,650,0,66,44,6,3,15,13,4,3,14,8,5,1,8,7,1,0,39,29,8,2,27,15,6,6,15,1,0,1,153
日本堤,17,1575,0,35,17,0,0,6,3,3,5,9,5,1,3,9,2,4,3,18,8,3,7,17,9,6,2,10,4,0,1,425
荒川,45,4875,0,65,51,2,17,9,4,11,8,8,2,3,3,6,4,2,0,28,22,4,2,37,29,4,4,17,3,0,1,165
尾久,4,686,0,47,26,1,1,8,1,7,8,9,4,2,3,12,4,2,6,27,11,7,9,20,15,2,3,20,2,0,1,59
千住,49,3574,0,29,21,1,9,3,1,4,3,8,3,4,1,0,0,0,0,20,15,5,0,9,6,3,0,11,8,0,1,208
足立,15,1454,0,38,20,0,0,1,6,6,7,11,5,3,3,7,2,2,3,13,9,3,1,25,11,8,6,15,10,0,1,212
西新井,11,1836,0,47,17,2,3,4,1,3,4,17,4,3,10,13,1,7,5,31,10,13,8,16,7,4,5,13,0,0,1,330
本所,45,3736,0,40,24,4,2,6,1,7,4,10,6,1,3,6,3,2,1,17,6,8,3,23,18,2,3,14,0,0,1,105
向島,6,639,0,36,17,3,1,0,6,1,6,10,6,2,2,9,2,2,5,23,9,9,5,13,8,1,4,11,1,0,1,211
深川,5,527,0,93,58,6,10,6,15,9,12,25,8,12,5,10,1,4,5,42,27,8,7,51,31,17,3,19,5,0,1,670
城東,68,2092,0,63,41,4,4,9,11,8,5,8,4,1,3,14,4,3,7,38,27,2,9,25,14,6,5,10,2,0,1,284
本田,38,5467,0,41,21,3,2,7,1,4,4,12,2,8,2,8,1,4,3,23,12,5,6,18,9,7,2,15,11,0,1,211
金町,3,331,0,57,29,0,5,3,6,8,7,19,8,8,3,9,6,2,1,28,16,10,2,29,13,9,7,23,5,0,1,203
江戸川,14,1699,0,58,28,0,0,7,9,8,4,16,7,5,4,14,4,5,5,29,9,9,11,29,19,7,3,16,10,0,1,93
葛西,12,1972,0,45,27,4,2,1,7,8,5,11,3,7,1,7,3,1,3,28,19,4,5,17,8,7,2,18,44,0,1,114
小岩,0,0,0,43,17,0,0,3,11,3,0,17,4,10,3,9,6,1,2,19,7,7,5,24,10,10,4,12,0,0,1,136
受託地区,523,67129,0,1011,577,16,30,118,152,146,115,273,90,92,91,161,58,57,46,507,282,144,81,504,295,129,80,357,150,0,24,2688
立川,12,1816,0,72,31,3,3,3,4,9,9,25,10,10,5,16,4,7,5,44,21,14,9,28,10,11,7,9,11,0,2,192
武蔵野,4,922,0,41,20,0,0,3,7,5,5,13,5,7,1,8,3,2,3,19,13,4,2,22,7,9,6,10,0,0,1,27
三鷹,50,6351,0,48,29,0,0,6,10,4,9,14,4,1,9,5,3,2,0,25,17,5,3,23,12,9,2,8,0,0,1,63
府中,36,5706,0,41,18,0,2,7,5,1,3,15,2,5,8,8,2,4,2,25,13,6,6,16,5,9,2,11,0,0,1,257
昭島,24,3410,0,42,25,3,4,2,7,4,5,12,3,1,8,5,2,2,1,30,17,9,4,12,8,3,1,27,0,0,1,74
調布,0,0,0,53,28,0,0,2,9,13,4,18,4,6,8,7,4,2,1,25,12,11,2,28,16,7,5,10,6,0,1,131
小金井,10,1448,0,17,8,0,0,3,1,2,2,7,1,5,1,2,0,1,1,3,0,3,0,14,8,4,2,7,9,0,1,70
小平,7,1364,0,46,27,0,0,12,5,7,3,11,3,2,6,8,4,2,2,19,10,5,4,27,17,6,4,17,3,0,1,61
東村山,25,4517,0,36,15,0,0,1,4,7,3,13,5,1,7,8,3,2,3,17,7,7,3,19,8,6,5,22,22,0,1,63
国分寺,15,2099,0,50,35,0,5,9,10,4,7,12,4,4,4,3,1,0,2,19,14,4,1,31,21,8,2,7,5,0,1,48
狛江,27,3084,0,63,36,0,0,4,13,16,3,11,3,6,2,16,8,3,5,19,7,5,7,44,29,6,9,13,7,0,1,79
北多摩西部,12,1760,0,33,18,0,0,8,5,2,3,13,8,1,4,2,0,0,2,23,12,10,1,10,6,3,1,20,0,0,1,29
清瀬,23,2613,0,50,32,0,0,6,9,7,10,12,7,3,2,6,2,4,0,19,8,6,5,31,24,6,1,13,3,0,1,79
東久留米,9,1465,0,58,44,4,2,5,12,15,6,10,3,6,1,4,2,2,0,29,20,6,3,29,24,4,1,13,16,0,1,26
西東京,15,3601,0,60,32,0,0,8,7,12,5,19,7,6,6,9,1,4,4,42,21,14,7,18,11,5,2,30,0,0,1,48
八王子,42,5055,0,60,36,0,1,5,13,12,5,12,2,8,2,12,6,3,3,24,14,6,4,36,22,6,8,23,35,0,1,435
青梅,18,1767,0,24,14,1,4,2,4,1,2,8,2,4,2,2,1,1,0,15,9,5,1,9,5,3,1,13,8,0,1,299
町田,23,2429,0,42,25,4,6,6,2,4,3,7,2,2,3,10,3,3,4,26,13,6,7,16,12,1,3,17,11,0,1,240
日野,52,5464,0,36,24,0,1,11,5,4,3,9,4,2,3,3,0,2,1,16,13,2,1,20,11,7,2,7,6,0,1,160
福生,51,4288,0,39,25,0,1,3,8,7,6,7,2,2,3,7,0,4,3,16,12,2,2,23,13,5,5,28,0,0,1,84
多摩,31,5295,0,55,29,0,0,7,7,6,9,13,5,6,2,13,8,2,3,28,15,7,6,27,14,6,7,15,8,0,1,69
秋川,37,2675,0,30,15,0,0,4,3,3,5,9,3,3,3,6,1,4,1,17,8,6,3,13,7,3,3,33,0,0,1,123
奥多摩,0,0,0,15,11,1,1,1,2,1,5,3,1,1,1,1,0,1,0,7,6,1,0,8,5,2,1,4,0,0,1,31
