業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
運輸業・道路貨物運送業,14,3,0,0,0,3,0,10,0,0,1,0,25900,9717900,0,0
運輸業・水運業,1,0,0,0,0,0,0,0,1,0,0,0,0,11600,0,1
運輸業・倉庫業,5,5,0,1,0,4,0,0,0,0,0,47,4885420,25000,0,1
運輸業・運輸に附帯するサービス業,6,4,1,0,0,3,0,1,0,0,1,20,7326883,6366970,0,0
卸売・小売業,167,141,1,2,13,125,0,9,0,0,17,373,604275231,1278618,1,12
卸売・小売業・各種商品卸売業,3,3,0,0,0,3,0,0,0,0,0,0,7800,0,0,0
卸売・小売業・繊維・衣服等卸売業,3,3,0,0,0,3,0,0,0,0,0,0,1340367,80000,0,1
卸売・小売業・飲食料品卸売業,7,6,0,0,2,4,0,1,0,0,0,11,1904496,11300,0,0
卸売・小売業・建築材料・鉱物・金属材料等卸売業,2,1,0,0,0,1,0,0,0,0,1,0,1052300,300,0,0
卸売・小売業・機械器具卸売業,6,5,0,0,1,4,0,1,0,0,0,5,120590,54250,0,0
卸売・小売業・その他の卸売業,2,1,0,0,0,1,0,1,0,0,0,0,1200,110000,0,0
卸売・小売業・各種商品小売業,44,37,0,0,0,37,0,0,0,0,7,0,107524,87300,0,2
卸売・小売業・織物・衣服・身の回り品小売業,9,8,0,0,1,7,0,0,0,0,1,1,353030,400,0,1
卸売・小売業・飲食料品小売業,49,44,0,1,4,39,0,1,0,0,4,105,61029994,240968,0,6
卸売・小売業・自動車・自転車小売業,6,1,0,0,0,1,0,3,0,0,2,0,8972000,639400,0,0
卸売・小売業・家具・じゅう器・機械器具小売業,5,4,0,0,1,3,0,1,0,0,0,22,10038450,41000,0,0
卸売・小売業・その他の小売業,31,28,1,1,4,22,0,1,0,0,2,229,519347480,13700,1,2
金融・保険業,11,11,0,0,1,10,0,0,0,0,0,0,216200,0,0,1
金融・保険業・銀行業,6,6,0,0,0,6,0,0,0,0,0,0,18100,0,0,1
金融・保険業・協同組織金融業,1,1,0,0,0,1,0,0,0,0,0,0,10000,0,0,0
金融・保険業・貸金業・投資業等非預金信用機関,1,1,0,0,1,0,0,0,0,0,0,0,185300,0,0,0
金融・保険業・証券業・商品先物取引業,2,2,0,0,0,2,0,0,0,0,0,0,1900,0,0,0
金融・保険業・保険業,1,1,0,0,0,1,0,0,0,0,0,0,900,0,0,0
不動産業,41,26,0,1,0,25,0,1,0,0,14,14,1035744,171740,0,1
不動産業・不動産取引業,6,5,0,0,0,5,0,0,0,0,1,0,70520,400,0,0
不動産業・不動産賃貸業・管理業,35,21,0,1,0,20,0,1,0,0,13,14,965224,171340,0,1
飲食店・宿泊業,372,356,2,1,51,302,0,3,0,0,13,587,348653196,4303400,2,89
飲食店・宿泊業・一般飲食店,231,221,1,1,30,189,0,2,0,0,8,335,120210027,4099300,2,44
飲食店・宿泊業・遊興飲食店,84,79,0,0,17,62,0,1,0,0,4,215,210557769,204100,0,31
飲食店・宿泊業・宿泊業,57,56,1,0,4,51,0,0,0,0,1,37,17885400,0,0,14
医療・福祉,60,57,0,0,4,53,0,0,0,0,3,62,115105390,18700,0,10
医療・福祉・医療業,30,30,0,0,1,29,0,0,0,0,0,60,111860342,0,0,4
医療・福祉・社会保険・社会福祉・介護事業,30,27,0,0,3,24,0,0,0,0,3,2,3245048,18700,0,6
教育・学習支援業,63,58,0,1,4,53,0,0,0,0,5,1005,57877066,68560,0,6
教育・学習支援業・学校教育,35,30,0,1,4,25,0,0,0,0,5,1005,56104680,68560,0,5
教育・学習支援業・その他の教育・学習支援業,28,28,0,0,0,28,0,0,0,0,0,0,1772386,0,0,1
サービス業（他に分類されないもの）,256,140,5,0,9,126,0,57,0,0,59,1991,869828575,11201559,1,22
サービス業（他に分類されないもの）・専門サービス業（他に分類されないもの）,11,11,0,0,1,10,0,0,0,0,0,2,10108000,0,0,4
サービス業（他に分類されないもの）・学術・開発研究機関,5,5,0,0,0,5,0,0,0,0,0,0,14041900,0,0,0
サービス業（他に分類されないもの）・洗濯・理容・美容・浴場業,30,26,1,0,3,22,0,0,0,0,4,30,18619178,9710,0,3
サービス業（他に分類されないもの）・その他の生活関連サービス業,10,4,0,0,1,3,0,0,0,0,6,0,129000,23100,0,1
サービス業（他に分類されないもの）・娯楽業,70,28,0,0,1,27,0,0,0,0,42,2,2812368,550640,1,7
サービス業（他に分類されないもの）・廃棄物処理業,85,32,2,0,0,30,0,52,0,0,1,865,197249656,7896209,0,3
サービス業（他に分類されないもの）・自動車整備業,6,4,0,0,2,2,0,2,0,0,0,20,10333191,1673900,0,2
サービス業（他に分類されないもの）・機械等修理業（別掲を除く）,5,5,1,0,1,3,0,0,0,0,0,60,645100,690000,0,0
サービス業（他に分類されないもの）・物品賃貸業,2,1,0,0,0,1,0,1,0,0,0,0,9000,328000,0,0
サービス業（他に分類されないもの）・その他の事業サービス業,5,4,0,0,0,4,0,1,0,0,0,0,83500,10000,0,0
サービス業（他に分類されないもの）・政治・経済・文化団体,16,15,0,0,0,15,0,1,0,0,0,0,244110,18500,0,2
サービス業（他に分類されないもの）・宗教,10,4,1,0,0,3,0,0,0,0,6,1012,615520572,1500,0,0
サービス業（他に分類されないもの）・その他のサービス業,1,1,0,0,0,1,0,0,0,0,0,0,33000,0,0,0
公務（他に分類されないもの）,23,20,0,0,1,19,0,1,0,0,2,0,9526010,123000,0,1
公務（他に分類されないもの）・国家公務,2,2,0,0,0,2,0,0,0,0,0,0,2400,0,0,0
公務（他に分類されないもの）・地方公務,21,18,0,0,1,17,0,1,0,0,2,0,9523610,123000,0,1
分類不能の産業,1,1,0,0,0,1,0,0,0,0,0,0,28200,0,0,0
業態分類が適用されないもの,2593,1820,57,65,281,1417,3,85,0,0,685,12436,2393843116,67243449,83,559
