地域,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災事故,救急出場件数・運動競技事故,救急出場件数・自然災害事故,救急出場件数・水難事故,救急出場件数・労働災害事故,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材等輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・総数,救護人員・交通事故,救護人員・火災事故,救護人員・運動競技事故,救護人員・自然災害事故,救護人員・水難事故,救護人員・労働災害事故,救護人員・一般負傷,救護人員・自損行為,救護人員・加害,救護人員・急病,救護人員・転院搬送
国立市,4236,232,14,34,0,0,18,743,33,11,2959,114,0,0,78,3540,206,5,34,0,0,18,641,21,7,2494,114
福生市,3572,194,15,14,0,0,23,631,29,45,2307,261,3,0,50,3031,176,3,12,0,0,23,557,22,36,1943,259
狛江市,4299,160,16,11,0,2,15,786,47,9,3039,152,0,0,62,3348,135,2,11,0,1,15,641,29,8,2354,152
東大和市,5139,282,21,39,0,5,17,918,33,22,3606,116,2,0,78,4303,259,7,39,0,0,16,804,26,17,3021,114
清瀬市,4751,194,10,40,0,2,15,878,28,15,3151,346,0,0,72,3976,175,0,41,0,2,14,758,16,10,2617,343
東久留米市,7252,349,31,25,0,3,40,1196,53,29,5084,359,15,0,68,6133,323,6,26,0,2,40,1064,40,26,4255,351
武蔵村山市,4333,278,16,20,0,6,19,685,40,18,2996,212,0,0,43,3703,254,1,20,0,5,19,611,30,15,2537,211
多摩市,8722,389,25,56,0,2,42,1671,86,32,5950,382,0,0,87,6988,345,4,55,0,3,42,1426,53,24,4660,376
羽村市,2931,187,18,9,0,2,28,495,28,14,2062,61,0,0,27,2538,181,0,9,0,2,28,460,24,11,1762,61
あきる野市,4072,256,16,32,0,9,31,662,39,17,2850,120,0,0,40,3561,243,2,32,0,2,32,611,23,12,2485,119
西東京市,11496,536,31,95,0,4,25,2083,71,53,7886,611,0,0,101,9357,486,6,94,0,4,24,1779,43,36,6289,596
瑞穂町,1906,162,10,10,0,0,31,299,17,9,1329,27,0,0,12,1736,161,3,10,0,0,30,282,12,9,1202,27
日の出町,989,65,1,5,0,0,18,174,6,1,677,35,0,0,7,881,67,0,6,0,0,18,157,4,1,593,35
檜原村,224,54,0,0,0,0,6,65,3,0,85,7,0,0,4,189,49,0,0,0,0,5,57,2,0,69,7
奥多摩町,556,87,0,0,0,7,13,164,18,1,228,17,0,2,19,403,72,0,0,0,1,10,113,9,0,181,17
管轄外計,249,38,2,0,0,1,1,3,1,0,4,181,0,18,0,73,32,0,0,0,0,1,2,1,0,2,35
