"年月[西暦]","回収方法","種類","回収量[kg]","対前年同月比[%]"
201707,"拠点回収","古着",4080,+28
201707,"拠点回収","蛍光灯",12,+200
201707,"拠点回収","ペットボトルキャップ",58,-21
201707,"拠点回収","廃食用油",0,"-"
201707,"ピックアップ回収","金属製品等(不燃ごみからの回収)",43600,+4
201707,"ピックアップ回収","コード類(不燃ごみからの回収)",2720,-1
201707,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1919,+1
201707,"ピックアップ回収","金属製品等(粗大ごみからの回収)",26170,-10
201707,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201707,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201707,"ピックアップ回収","木材(粗大ごみからの回収)",27690,+8
201708,"集積所回収","資源プラスチック",207320,-4
201708,"集積所回収","古紙",563450,-3
201708,"集積所回収","びん・缶",353780,-3
201708,"集積所回収","ペットボトル",110150,+3
201708,"拠点回収","紙パック",110,-27
201708,"拠点回収","使用済み乾電池",0,"-"
201708,"拠点回収","使用済み小型家電製品",97,+25
201708,"拠点回収","古着",3310,-3
201708,"拠点回収","蛍光灯",9,-10
201708,"拠点回収","ペットボトルキャップ",57,-29
201708,"拠点回収","廃食用油",0,"-"
201708,"ピックアップ回収","金属製品等(不燃ごみからの回収)",43140,+7
201708,"ピックアップ回収","コード類(不燃ごみからの回収)",2620,-21
201708,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1535,-15
201708,"ピックアップ回収","金属製品等(粗大ごみからの回収)",31710,+24
201708,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201708,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201708,"ピックアップ回収","木材(粗大ごみからの回収)",24410,-9
201709,"集積所回収","資源プラスチック",202830,-3
201709,"集積所回収","古紙",574730,-3
201709,"集積所回収","びん・缶",342726,-4
201709,"集積所回収","ペットボトル",104600,+4
201709,"拠点回収","紙パック",140,"-"
201709,"拠点回収","使用済み乾電池",2019,"-"
201709,"拠点回収","使用済み小型家電製品",162,+84
201709,"拠点回収","古着",4832,-132
201709,"拠点回収","蛍光灯",10,-29
201709,"拠点回収","ペットボトルキャップ",43,-39
201709,"拠点回収","廃食用油",240,+50
201709,"ピックアップ回収","金属製品等(不燃ごみからの回収)",44880,+4
201709,"ピックアップ回収","コード類(不燃ごみからの回収)",1160,-58
201709,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1787,-9
201709,"ピックアップ回収","金属製品等(粗大ごみからの回収)",31030,+16
201709,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201709,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201709,"ピックアップ回収","木材(粗大ごみからの回収)",30570,+13
201710,"集積所回収","資源プラスチック",209120,+1
201710,"集積所回収","古紙",596750,+3
201710,"集積所回収","びん・缶",346008,-1
201710,"集積所回収","ペットボトル",94690,+2
201710,"拠点回収","紙パック",110,-39
201710,"拠点回収","使用済み乾電池",0,"-"
201710,"拠点回収","使用済み小型家電製品",197,+50
201710,"拠点回収","古着",4580,-10
201710,"拠点回収","蛍光灯",8,-58
201710,"拠点回収","ペットボトルキャップ",47,-27
201710,"拠点回収","廃食用油",0,"-"
201710,"ピックアップ回収","金属製品等(不燃ごみからの回収)",48110,+10
201710,"ピックアップ回収","コード類(不燃ごみからの回収)",3320,+110
201710,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1903,"-"
201710,"ピックアップ回収","金属製品等(粗大ごみからの回収)",27460,-4
201710,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201710,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201710,"ピックアップ回収","木材(粗大ごみからの回収)",29070,+20
201711,"集積所回収","資源プラスチック",206920,-2
201711,"集積所回収","古紙",588260,+1
201711,"集積所回収","びん・缶",347879,-2
201711,"集積所回収","ペットボトル",90140,+8
201711,"拠点回収","紙パック",120,-15
201711,"拠点回収","使用済み乾電池",1877,-8
201711,"拠点回収","使用済み小型家電製品",188,+129
201711,"拠点回収","古着",4590,+20
201711,"拠点回収","蛍光灯",27,+350
201711,"拠点回収","ペットボトルキャップ",51,+88
201711,"拠点回収","廃食用油",0,"-"
201711,"ピックアップ回収","金属製品等(不燃ごみからの回収)",43720,+2
201711,"ピックアップ回収","コード類(不燃ごみからの回収)",2900,+2
201711,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",2826,-11
201711,"ピックアップ回収","金属製品等(粗大ごみからの回収)",31680,+17
201711,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201711,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201711,"ピックアップ回収","木材(粗大ごみからの回収)",32230,+8
201712,"ピックアップ回収","金属製品等（不燃ごみからの回収）",50120,"-"
201712,"ピックアップ回収","コード類（不燃ごみからの回収）",4950,+85
201712,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",1119,+5
201712,"ピックアップ回収","金属製品等（粗大ごみからの回収）",29600,+8
201712,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201712,"ピックアップ回収","ふとん（粗大ごみからの回収）",0,"-"
201712,"ピックアップ回収","木材（粗大ごみからの回収）",27710,+5
201801,"集積所回収","資源プラスチック",215910,-3
201801,"集積所回収","古紙",588220,-4
201801,"集積所回収","びん・缶",399868,-2
201801,"集積所回収","ペットボトル",88120,+11
201801,"拠点回収","紙パック",0,"-"
201801,"拠点回収","使用済み乾電池",0,"-"
201801,"拠点回収","使用済み小型家電製品",210,+59
201801,"拠点回収","古着",4516,+56
201801,"拠点回収","蛍光灯",20,+100
201801,"拠点回収","ペットボトルキャップ",40,-37
201801,"拠点回収","廃食用油",0,"-"
201801,"ピックアップ回収","金属製品等（不燃ごみからの回収）",31440,-34
201801,"ピックアップ回収","コード類（不燃ごみからの回収）",3100,-32
201801,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",3150,-14
201801,"ピックアップ回収","金属製品等（粗大ごみからの回収）",32070,+37
201801,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201801,"ピックアップ回収","ふとん（粗大ごみからの回収）",35,"-"
201801,"ピックアップ回収","木材（粗大ごみからの回収）",21370,+18
201802,"集積所回収","資源プラスチック",187150,-2
201802,"集積所回収","古紙",502740,-1
201802,"集積所回収","びん・缶",320991,-3
201802,"集積所回収","ペットボトル",81800,+7
201802,"拠点回収","紙パック",0,"-"
201802,"拠点回収","使用済み乾電池",0,"-"
201802,"拠点回収","使用済み小型家電製品",142,+10
201802,"拠点回収","古着",1970,-29
201802,"拠点回収","蛍光灯",7,+133
201802,"拠点回収","ペットボトルキャップ",22,-64
201802,"拠点回収","廃食用油",0,"-"
201802,"ピックアップ回収","金属製品等（不燃ごみからの回収）",39090,-10
201802,"ピックアップ回収","コード類（不燃ごみからの回収）",2590,-10
201802,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",2566,+4
201802,"ピックアップ回収","金属製品等（粗大ごみからの回収）",28690,+1
201802,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201802,"ピックアップ回収","ふとん（粗大ごみからの回収）",0,"-"
201802,"ピックアップ回収","木材（粗大ごみからの回収）",25760,-10
201803,"集積所回収","資源プラスチック",227780,+2
201803,"集積所回収","古紙",639910,"-"
201803,"集積所回収","びん・缶",372081,-1
201803,"集積所回収","ペットボトル",95030,+7
201803,"拠点回収","紙パック",0,"-"
201803,"拠点回収","使用済み乾電池",1585,+16
201803,"拠点回収","使用済み小型家電製品",193,+32
201803,"拠点回収","古着",4125,+96
201803,"拠点回収","蛍光灯",12,+50
201803,"拠点回収","ペットボトルキャップ",48,+11
201803,"拠点回収","廃食用油",0,"-"
201803,"ピックアップ回収","金属製品等（不燃ごみからの回収）",41130,-5
201803,"ピックアップ回収","コード類（不燃ごみからの回収）",2730,-8
201803,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",4035,+55
201803,"ピックアップ回収","金属製品等（粗大ごみからの回収）",30780,"-"
201803,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201803,"ピックアップ回収","ふとん（粗大ごみからの回収）",0,"-"
201803,"ピックアップ回収","木材（粗大ごみからの回収）",33790,+1

"平成29年度　資源回収量【速報値】","Ver201803",,,
