年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,コンクリート Concrete／延長 Length,コンクリート Concrete／面積 Area,コンクリート平板 Concrete slabs／延長 Length,コンクリート平板 Concrete slabs／面積 Area,ブロック Blocks／延長 Length,ブロック Blocks／面積 Area,高級アスファルト Top-grade asphalt／延長 Length,高級アスファルト Top-grade asphalt／面積 Area,簡易 Base-grade asphalt／延長 Length,簡易 Base-grade asphalt／面積 Area,砂利 Gravel roads／延長 Length,砂利 Gravel roads／面積 Area,その他 Others／延長 Length,その他 Others／面積 Area
平成24,2012,2,13105,5,文京区,Bunkyo-ku,"207,423","1,948,067","5,326","75,033",683,"24,460","5,788","45,309","195,626","1,634,006",-,"125,567",-,-,-,"43,692"
平成24,2012,2,13106,6,台東区,Taito-ku,"258,646","2,626,690",165,"200,896",-,"58,658","3,994","214,266","213,793","1,871,323","40,694","248,973",-,-,-,"32,574"
平成24,2012,2,13107,7,墨田区,Sumida-ku,"295,592","2,947,228","3,532","61,046",-,"59,049","1,034","89,691","289,082","2,445,891","1,838","232,679",106,218,-,"58,654"
平成24,2012,2,13108,8,江東区,Koto-ku,"390,809","5,587,271","2,909","146,043",-,"62,682","4,676","520,074","377,036","4,247,041","6,105","422,847",-,-,83,"188,584"
平成24,2012,2,13109,9,品川区,Shinagawa-ku,"383,930","3,703,856","2,517","91,085",380,"50,759","2,325","59,046","294,386","2,781,551","80,885","627,830","3,437","9,120",-,"84,465"
平成24,2012,2,13110,10,目黒区,Meguro-ku,"355,270","2,179,752","1,241","43,682",-,"31,580","4,830","58,638","110,161","902,881","238,819","1,111,995",-,-,219,"30,976"
平成24,2012,2,13111,11,大田区,Ota-ku,"850,955","7,505,862","10,879","198,581",147,"31,627","30,323","318,212","784,386","6,389,942","24,595","374,046",14,90,611,"193,364"
平成24,2012,2,13112,12,世田谷区,Setagaya-ku,"1,183,576","8,167,435","5,362","621,897",403,"94,998","7,079","73,610","253,627","2,572,004","910,641","4,727,460","6,341","14,777",122,"62,688"
平成24,2012,2,13113,13,渋谷区,Shibuya-ku,"273,126","2,728,342","8,260","111,134",-,"25,424","1,249","64,446","222,601","2,168,151","41,016","303,175",-,8,-,"56,004"
平成24,2012,2,13114,14,中野区,Nakano-ku,"366,870","2,137,972","2,977","37,177",-,"22,117","2,133","38,889","347,673","1,619,782","14,087","402,461",-,-,-,"17,546"
平成24,2012,2,13115,15,杉並区,Suginami-ku,"687,613","4,597,493",860,"72,890",-,"18,444","14,333","648,949","357,951","2,419,534","312,081","1,322,906","2,388","7,546",-,"107,224"
平成24,2012,2,13116,16,豊島区,Toshima-ku,"309,231","2,345,406",909,"28,347",-,"248,910","6,027","149,642","261,953","1,611,145","39,989","260,293",-,-,353,"47,069"
平成24,2012,2,13117,17,北区,Kita-ku,"372,067","2,944,572","7,304","108,282",-,"79,367","2,203","74,463","285,478","2,022,395","76,691","576,496",391,"8,341",-,"75,228"
平成24,2012,2,13118,18,荒川区,Arakawa-ku,"215,192","1,661,427","1,136","35,329",-,"55,852",580,"56,164","191,565","1,290,051","21,861","180,467",50,787,-,"42,777"
平成24,2012,2,13119,19,板橋区,Itabashi-ku,"740,190","5,824,745","4,816","94,616",-,"6,261","9,172","61,951","296,322","2,931,263","429,880","2,617,154",-,-,-,"113,500"
平成24,2012,2,13120,20,練馬区,Nerima-ku,"1,125,280","7,303,449","1,320","111,036","2,504","55,186","9,266","62,339","650,507","4,707,778","460,688","2,230,973",995,"3,966",-,"132,171"
平成24,2012,2,13121,21,足立区,Adachi-ku,"1,040,853","9,579,818",857,"189,561","14,750","299,438","3,612","878,985","1,005,417","6,823,829","15,848","1,046,384",369,"1,594",-,"340,027"
平成24,2012,2,13122,22,葛飾区,Katsushika-ku,"700,842","5,163,068",539,"61,925","5,287","168,366","4,815","43,127","690,078","4,678,163",-,"140,388",123,243,-,"70,856"
平成24,2012,2,13123,23,江戸川区,Edogawa-ku,"1,074,632","9,201,652",-,"118,644","3,476","122,409","6,347","114,862","996,227","7,082,795","68,582","1,616,069",-,-,-,"146,873"
平成24,2012,1,13200,,市部,All shi,"10,257,919","69,894,327","129,622","3,271,361","20,386","753,012","43,400","1,637,650","5,194,061","36,804,495","3,261,310","20,085,805","1,587,169","3,339,046","21,971","4,002,958"
平成24,2012,2,13201,1,八王子市,Hachioji-shi,"1,511,971","13,557,059","22,022","401,162","5,787","64,869","25,901","324,682","862,226","7,218,681","582,501","3,708,106","13,534","49,467",-,"1,790,092"
平成24,2012,2,13202,2,立川市,Tachikawa-shi,"291,712","2,528,282",387,"160,319",972,"92,609",-,"81,333","116,716","982,666","168,350","1,081,926","5,287","17,513",-,"111,916"
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,"146,081","1,119,722","2,712","125,011","1,070","21,508","1,654","45,734","36,142","322,317","104,022","571,607",481,"1,554",-,"31,991"
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,"289,000","1,902,883","2,018","71,385",-,"7,019","1,088","228,565","65,777","540,108","218,745","998,708","1,369","4,893",3,"52,205"
平成24,2012,2,13205,5,青梅市,Ome-shi,"958,072","4,745,996","37,649","251,207",931,"15,292",-,"16,610","404,003","2,952,587","151,766","657,062","363,723","614,777",-,"238,461"
平成24,2012,2,13206,6,府中市,Fuchu-shi,"473,412","3,703,718","3,456","381,906",503,"32,344","1,169","59,247","168,811","1,440,655","284,016","1,633,946","15,457","35,865",-,"119,755"
平成24,2012,2,13207,7,昭島市,Akishima-shi,"251,775","1,718,318","1,994","42,650",-,536,-,"102,975","218,710","1,194,777",-,"267,255","31,071","76,404",-,"33,721"
平成24,2012,2,13208,8,調布市,Chofu-shi,"439,047","2,668,767","2,258","251,360",614,"16,332",-,"27,880","59,097","647,642","323,707","1,590,010","37,120","66,845","16,251","68,698"
平成24,2012,2,13209,9,町田市,Machida-shi,"1,334,419","8,411,840","10,874","190,340",-,"111,260","1,127","29,689","908,358","6,216,924","19,901","575,331","394,159","1,048,054",-,"240,242"
平成24,2012,2,13210,10,小金井市,Koganei-shi,"176,453","1,057,153","1,241","73,262",-,"15,746",423,"18,420","167,821","811,651","1,886","92,735","4,920","15,922",162,"29,417"
平成24,2012,2,13211,11,小平市,Kodaira-shi,"257,381","1,906,040",264,"76,427",-,"5,141",-,"91,716","252,663","1,415,410","3,348","281,009","1,106","3,946",-,"32,391"
平成24,2012,2,13212,12,日野市,Hino-shi,"492,940","3,260,461","7,266","68,234",628,"21,397",398,"11,845","126,996","1,190,462","300,310","1,684,722","57,300","101,715",42,"182,086"
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,"301,698","1,762,799","1,074","71,537",-,"29,210",493,"134,327","119,285","694,734","151,423","724,979","29,423","72,213",-,"35,799"
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,"240,752","1,293,084",103,"17,767",-,"1,385","1,021","20,934","217,082","1,088,289",614,"102,704","21,932","48,531",-,"13,474"
平成24,2012,2,13215,15,国立市,Kunitachi-shi,"152,254","1,258,691",545,"31,879","2,230","52,182",593,"67,559","137,329","1,027,096",344,"40,943","5,785","12,096","5,428","26,936"
平成24,2012,2,13218,16,福生市,Fussa-shi,"149,627","1,112,897",629,"102,519",11,"3,021",462,"27,903","52,215","463,582","92,616","486,061","3,694","8,080",-,"21,731"
平成24,2012,2,13219,17,狛江市,Komae-shi,"127,612","803,159",112,"67,871",415,"11,153",21,"18,564","122,430","591,565",360,"80,458","4,274","10,148",-,"23,400"
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,"235,299","1,527,992","1,068","27,832",329,"18,530",367,"39,030","75,445","581,216","129,453","752,321","28,637","64,884",-,"44,179"
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,"183,026","1,039,407",567,"94,630",150,"2,758",347,"1,956","145,070","745,064",-,"119,859","36,892","62,200",-,"12,940"
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,"247,799","1,518,673","3,501","54,645",167,"5,094",-,896,"26,710","232,550","205,581","1,164,180","11,840","28,239",-,"33,069"
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,"270,349","1,538,774","1,178","88,336",721,"5,931",142,"1,222","43,417","378,040","153,861","852,905","71,030","147,094",-,"65,246"
平成24,2012,2,13224,22,多摩市,Tama-shi,"292,190","3,150,516","3,488","146,092","4,320","80,904","5,004","102,998","218,645","1,763,754","55,910","683,167","4,823","16,395",-,"357,206"
平成24,2012,2,13225,23,稲城市,Inagi-shi,"254,221","1,930,158","2,606","144,946","1,435","68,502","1,150","57,493","184,316","1,099,767","3,349","271,457","61,280","113,955",85,"174,038"
平成24,2012,2,13227,24,羽村市,Hamura-shi,"164,213","1,326,454","1,375","36,430",-,"4,141",272,"44,888","52,249","564,548","106,796","622,316","3,521","8,610",-,"45,521"
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,"750,888","3,328,681","20,835","245,176",65,"61,640",590,"59,035","152,086","1,111,542","200,752","957,142","376,560","701,741",-,"192,405"
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,"265,728","1,722,803",400,"48,438",38,"4,508","1,178","22,149","260,462","1,528,868","1,699","84,896","1,951","7,905",-,"26,039"
平成24,2012,1,13300,,郡部,All gun,"807,856","4,926,636","40,619","378,416",74,"6,337",203,"45,512","179,901","1,456,911","262,386","1,420,113","324,673","612,027",-,"1,007,320"
平成24,2012,2,13303,1,瑞穂町,Mizuho-machi,"244,433","1,471,629",743,"99,062",-,138,-,991,"34,839","412,007","130,547","739,067","78,304","201,152",-,"19,212"
平成24,2012,2,13305,2,日の出町,Hinode-machi,"141,641","888,182","4,469","41,151",-,"4,296",203,"41,177","47,248","363,768","61,582","306,042","28,139","62,101",-,"69,647"
平成24,2012,2,13307,3,檜原村,Hinohara-mura,"120,033","1,020,994","11,718","87,941",-,"1,264",-,816,"42,432","294,449","18,858","114,469","47,025","75,701",-,"446,354"
平成24,2012,2,13308,4,奥多摩町,Okutama-machi,"301,749","1,545,831","23,689","150,262",74,639,-,"2,528","55,382","386,687","51,399","260,535","171,205","273,073",-,"472,107"
平成24,2012,1,13350,,島部,All islands,"1,476,898","7,090,266","291,962","1,568,274",-,"42,311",700,"66,161","322,530","2,022,695","174,291","918,288","687,414","1,459,823",1,"1,012,714"
平成24,2012,2,13361,1,大島町,Oshima-machi,"498,767","2,017,247","45,659","223,419",-,"13,372",-,"3,468","100,845","658,250","89,887","485,202","262,375","563,311",1,"70,225"
平成24,2012,2,13362,2,利島村,Toshima-mura,"27,706","127,434","19,575","89,758",-,-,-,-,-,-,-,-,"8,131","14,478",-,"23,198"
平成24,2012,2,13363,3,新島村,Niijima-mura,"142,688","663,082","46,129","316,123",-,"11,342",-,"1,510","2,935","28,225","23,037","105,507","70,587","134,104",-,"66,271"
平成24,2012,2,13364,4,神津島村,Kozushima-mura,"78,802","276,054","36,045","192,803",-,"1,290",462,"3,204",-,-,568,"2,729","41,727","51,376",-,"24,652"
平成24,2012,2,13381,5,三宅村,Miyake-mura,"134,482","871,341","25,247","137,509",-,"1,402",-,"13,993","34,678","244,341","46,769","248,208","27,788","61,326",-,"164,562"
平成24,2012,2,13382,6,御蔵島村,Mikurajima-mura,"21,273","228,290","20,832","106,838",-,-,-,-,-,-,-,-,441,745,-,"120,707"
平成24,2012,2,13401,7,八丈町,Hachijo-machi,"485,941","2,076,254","53,871","273,518",-,"14,905",238,"22,168","160,422","950,732","9,633","51,863","261,777","604,083",-,"158,985"
平成24,2012,2,13402,8,青ヶ島村,Aogashima-mura,"37,120","157,652","22,663","100,190",-,-,-,-,-,-,-,-,"14,457","29,685",-,"27,777"
平成24,2012,2,13421,9,小笠原村,Ogasawara-mura,"50,119","672,912","21,941","128,116",-,-,-,"21,818","23,650","141,147","4,397","24,779",131,715,-,"356,337"
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,
4-2  地域別道路の舗装状況(平成20～24年) 4-2  PAVEMENT TYPES BY DISTRICT ( 2008-2012 ),,,,,,,,,,,,,,,,,,,,,,
各年4月1日現在,,,,,,,,,,,,,,,,,,,,,,
Figures are as of Apr. 1,,,,,,,,,,,,,,,,,,,,,,
注 1) 道路の 「延長」 は， 道路の中心線で測り， その部分における舗装の種別により記入した。,,,,,,,,,,,,,,,,,,,,,,
2) 「その他」 とは， 中央分離帯等である。    ,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Length is measured at the center line of the road and is noted by the types of pavement for that section.,,,,,,,,,,,,,,,,,,,,,,
2) “Others” refer to medians strips， etc.,,,,,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部路政課 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） (Length in meters， Area in square meters),,,,,,,,,,,,,,,,,,,,,,
