地域階層,地域コード,地域,District,昼間人口Daytime population,夜間人口Nighttime population,(A) 流入超過人口 Net inflow of population／計Total (=B-C),(A) 流入超過人口 Net inflow of population／通勤者Commuters (=B-C),(A) 流入超過人口 Net inflow of population／通学者Pupils and students (=B-C),(B) 流入人口 Population inflow／計Total,(B) 流入人口 Population inflow／通勤者Commuters,(B) 流入人口 Population inflow／通学者Pupils and students,(C) 流出人口 Population outflow／計Total,(C) 流出人口 Population outflow／通勤者Commuters,(C) 流出人口 Population outflow／通学者Pupils and students,面積 Area　(km2) 2),昼間人口密度（1km2につき）  Daytime population density ( per sq. km ),昼夜間人口比率 Ratio of daytime population to nighttime population 3)
2,13113,渋谷区,Shibuya-ku,542803,199280,343523,300019,43504,401537,350088,51449,58014,50069,7945,15.11,35923,272.4
2,13114,中野区,Nakano-ku,285636,310392,-24756,-24271,-485,79270,65494,13776,104026,89765,14261,15.59,18322,92
2,13115,杉並区,Suginami-ku,439379,522582,-83203,-84234,1031,103572,77071,26501,186775,161305,25470,34.02,"12,915",84.1
2,13116,豊島区,Toshima-ku,378475,233141,145334,109724,35610,224517,177109,47408,79183,67385,11798,13.01,29091,162.3
2,13117,北区,Kita-ku,307317,330345,-23028,-23821,793,90984,76299,14685,114012,100120,13892,20.59,14926,93
2,13118,荒川区,Arakawa-ku,184021,191163,-7142,-4348,-2794,53617,47835,5782,60759,52183,8576,10.2,18041,96.3
2,13119,板橋区,Itabashi-ku,456425,507799,-51374,-47624,-3750,112404,94337,18067,163778,141961,21817,32.17,14188,89.9
2,13120,練馬区,Nerima-ku,530628,643687,-113059,-95903,-17156,83285,71629,11656,196344,167532,28812,48.16,11018,82.4
2,13121,足立区,Adachi-ku,539309,622500,-83191,-66016,-17175,91666,87847,3819,174857,153863,20994,53.2,10137,86.6
2,13122,葛飾区,Katsushika-ku,343039,424823,-81784,-68794,-12990,58488,54412,4076,140272,123206,17066,34.79,9860,80.7
2,13123,江戸川区,Edogawa-ku,534942,653805,-118863,-105054,-13809,79639,70700,8939,198502,175754,22748,49.76,10750,81.8
1,13200,市部,All shi ,3604881,3976006,-371125,-394805,23680,403371,286690,116681,774496,681495,93001,783.93,4598,90.7
2,13201,八王子市,Hachioji-shi,549417,556808,-7391,-40064,32673,128352,76146,52206,135743,116210,19533,186.31,2949,98.7
2,13202,立川市,Tachikawa-shi,193465,172563,20902,20952,-50,76263,67332,8931,55361,46380,8981,24.38,7935,112.1
2,13203,武蔵野市,Musashino-shi,154448,137513,16935,6884,10051,67804,49933,17871,50869,43049,7820,10.73,14394,112.3
2,13204,三鷹市,Mitaka-shi,148458,166767,-18309,-14054,-4255,40354,35145,5209,58663,49199,9464,16.5,8997,89
2,13205,青梅市,Ome-shi,127176,142028,-14852,-10642,-4210,24244,22445,1799,39096,33087,6009,103.26,1232,89.5
2,13206,府中市,Fuchu-shi,236133,245292,-9159,-5446,-3713,66784,59555,7229,75943,65001,10942,29.34,8048,96.3
2,13207,昭島市,Akishima-shi,100508,110054,-9546,-6579,-2967,27769,25645,2124,37315,32224,5091,17.33,5800,91.3
2,13208,調布市,Chofu-shi,186275,215809,-29534,-28350,-1184,46858,37266,9592,76392,65616,10776,21.53,8652,86.3
2,13209,町田市,Machida-shi,364091,404449,-40358,-53625,13267,85774,56854,28920,126132,110479,15653,71.63,5083,90
2,13210,小金井市,Koganei-shi,95195,111033,-15838,-22189,6351,28101,15085,13016,43939,37274,6665,11.33,8402,85.7
2,13211,小平市,Kodaira-shi,160499,183775,-23276,-24043,767,39594,28485,11109,62870,52528,10342,20.46,7845,87.3
2,13212,日野市,Hino-shi,154114,176527,-22413,-20317,-2096,40377,32366,8011,62790,52683,10107,27.53,5598,87.3
2,13213,東村山市,Higashimurayama-shi,115046,144402,-29356,-25288,-4068,21527,18471,3056,50883,43759,7124,17.17,6700,79.7
2,13214,国分寺市,Kokubunji-shi,95649,115238,-19589,-18499,-1090,26343,19607,6736,45932,38106,7826,11.48,8332,83
2,13215,国立市,Kunitachi-shi,71295,72574,-1279,-7885,6606,25463,15211,10252,26742,23096,3646,8.15,8748,98.2
2,13218,福生市,Fussa-shi,52442,61045,-8603,-7209,-1394,12999,12028,971,21602,19237,2365,10.24,5121,85.9
2,13219,狛江市,Komae-shi,57386,78314,-20928,-17666,-3262,9181,8260,921,30109,25926,4183,6.39,8981,73.3
2,13220,東大和市,Higashiyamato-shi,64274,79228,-14954,-12957,-1997,13224,11494,1730,28178,24451,3727,13.54,4747,81.1
2,13221,清瀬市,Kiyose-shi,60733,73506,-12773,-12850,77,13226,9915,3311,25999,22765,3234,10.19,5960,82.6
2,13222,東久留米市,Higashikurume-shi,90315,115023,-24708,-20875,-3833,15199,13680,1519,39907,34555,5352,12.92,6990,78.5
2,13223,武蔵村山市,Musashimurayama-shi,59591,66368,-6777,-6199,-578,14720,12652,2068,21497,18851,2646,15.37,3877,89.8
2,13224,多摩市,Tama-shi,137622,145877,-8255,-7713,-542,43175,35672,7503,51430,43385,8045,21.08,6529,94.3
2,13225,稲城市,Inagi-shi,58913,76394,-17481,-15482,-1999,13110,11046,2064,30591,26528,4063,17.97,3278,77.1
2,13227,羽村市,Hamura-shi,55966,56452,-486,1099,-1585,19254,18392,862,19740,17293,2447,9.91,5647,99.1
2,13228,あきる野市,Akiruno-shi,67814,79581,-11767,-10469,-1298,13285,11127,2158,25052,21596,3456,73.34,925,85.2
2,13229,西東京市,Nishitokyo-shi,148056,189386,-41330,-35339,-5991,29243,24210,5033,70573,59549,11024,15.85,9341,78.2
1,13300,郡部,All gun,58824,59088,-264,2036,-2300,18449,18027,422,18713,15991,2722,375.96,156,99.6
2,13303,瑞穂町,Mizuho-machi,36088,33476,2612,3729,-1117,13765,13365,400,11153,9636,1517,16.83,2144,107.8
2,13305,日の出町,Hinode-machi,13965,15941,-1976,-1177,-799,3754,3740,14,5730,4917,813,28.08,497,87.6
2,13307,檜原村,Hinohara-mura,2566,2930,-364,-252,-112,340,339,1,704,591,113,105.42,24,87.6
2,13308,奥多摩町,Okutama-machi,6205,6741,-536,-264,-272,1028,1020,8,1564,1284,280,225.63,28,92
1,13350,島部,All islands,29176,28737,439,425,14,479,451,28,40,26,14,405.72,72,101.5
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,
2-12 地域別昼間人口及び流入・流出人口（平成17年10月1日） 2-12 CHANGES IN DAYTIME POPULATION AND POPULATION INFLUX AND OUTFLOW BY DISTRICT ( Oct. 1， 2005 ) ,,,,,,,,,,,,,,,,,
注 1) 「国勢調査」 による。 昼間人口とは， 夜間人口 （常住人口） に他地域からの通勤・通学者を加え，他地域への通勤・通学者を差し引いたものである。年齢不詳者は含まない。,,,,,,,,,,,,,,,,,
2) 面積は国土交通省国土地理院調べにかかる平成17年10月1日現在の 「全国都道府県市区町村別面積調」による。なお，区部には地域の境界のまたがる境界未定の面積を含む。,,,,,,,,,,,,,,,,,
3) 昼夜間人口比率 ＝ （昼間人口÷夜間人口）×100,,,,,,,,,,,,,,,,,
Note: 1) Data are based on the Population Census. Daytime population refers to nighttime population (resident populaion) plus the influx of commuters and students from other areas minus the outflow of commuters and students to other areas. Persons of unknown age are excluded.,,,,,,,,,,,,,,,,,
2) Figures based on the Land Survey as of Oct. 1， 2005， prepared by the Geospatial Information Authority. Ku area includes some areas straddling district boundaries yet to be fixed. ,,,,,,,,,,,,,,,,,
3) Ratio of daytime population to nighttime population = (Daytime population÷Nighttime population)×100,,,,,,,,,,,,,,,,,
資料：総務省統計局「国勢調査報告」，都総務局統計部人口統計課 「東京都の昼間人口」Source: Ministry of Internal Affairs and Communications; Bureau of General Affairs， TMG　,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,
