品目階層,品目,Item,平成21年 2009／数量 Quantity,平成21年 2009／金額 Value,平成22年2010／数量 Quantity,平成22年2010／金額 Value,平成23年2011／数量 Quantity,平成23年2011／金額 Value
2,土物類,Sweet potatoes／onions， etc.,193688,30176725,181222,33096880,186602,30102302
3,かんしょ,Sweet potato,32586,5584899,29601,5866465,28166,5532850
3,たまねぎ,Onion,123840,12640656,118636,14779401,123947,12402856
3,その他,Others,37262,11951169,32984,12451014,34489,12166596
2,香辛つま物類,Spices／garnishes,15809,16110992,15621,16274814,14475,16043217
3,根しょうが,Ginger,6531,3259185,7021,3210767,6020,3065933
3,その他,Others,9278,12851806,8601,13064047,8455,12977284
2,きのこ山菜類,Mushrooms／Wild plants,45236,26045571,45591,25129590,44922,23026411
3,なましいたけ,"""Shiitake"" mushroom， fresh",8525,8005714,8436,7380168,7807,6836667
3,えのきだけ,"""Enokidake"" mushroom",13319,3309033,14128,3297480,13108,2988794
3,しめじ,"""Shimeji"" mushroom",10341,5150371,10397,4889144,11279,4546346
3,その他,Others,13051,9580454,12630,9562799,12728,8654604
2,その他野菜類,Others,7585,3548535,6564,3448323,9535,3861180
3,うめ,"""Ume"" apricot",3072,1189818,2773,1154214,2778,1089898
3,その他,Others,4512,2358717,3791,2294109,6757,2771282
2,野菜加工品,Processed vegetables,32812,7053516,33274,7126901,30688,6249963
1,果実,Fruits,533926,155498754,484552,158352682,467259,155290484
2,みかん類,Mandarins,113220,23584430,101642,25276484,101190,26610344
2,かんきつ類,Citrus varieties,66912,14949862,69387,14871364,55132,14391432
3,いよかん,"""Iyo""tangor",10740,1925767,11111,1584251,7323,1772222
3,グレープ,Grapefruit,9924,1386250,9732,1400684,8838,1233518
3,その他,Others,46249,11637845,48544,11886430,38972,11385692
2,りんご類,Apples,76622,17138790,66272,17781211,67487,18045624
2,日本なし類,Japanese pears,30495,7305029,25485,8481435,27465,7256892
2,西洋なし類,European pears,4513,1073763,3176,1035098,3083,998468
2,かき類,Japanese persimmons,25628,5523051,16384,5563903,19428,5566569
2,びわ類,Loquats,767,828730,629,784388,586,726358
2,もも類,Peaches,16383,6912278,14855,7164557,17097,6929753
2,すもも類,Plums,2703,1272296,2632,1364553,2927,1357369
2,おうとう類,Cherries,1986,3458093,2416,3419299,2446,3455056
2,あんず類,Apricots,129,57388,95,47214,117,54777
2,ぶどう類,Grapes,14055,9594024,12564,9906429,11843,9254914
2,くり類,Chestnuts,1572,745467,2246,864964,1444,696728
2,いちぢく類,Figs,1643,1057622,1478,1089390,1301,942966
2,いちご類,Strawberries,26009,26596418,24804,25840392,25896,26080571
2,メロン類,Melons,26090,10814088,24078,10630821,23407,10234361
2,すいか類,Watermelons,47254,7914122,44197,8863287,41824,8041505
2,その他果実,Other fruits,71725,12815086,66517,11698982,58647,10862657
2,果実加工品,Processed fruits,6220,3858215,5695,3668912,5940,3784140
1,つけ物,Pickles,15953,7392017,15414,7462646,14544,7125763
1,その他食料品,Other foods,21574,4816220,20576,4414601,19596,4006822
1,鳥卵,Poultry eggs,15489,3288279,14760,3318771,13665,3198499
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成21～23年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2009-2011 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
