海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いせえび,Spinylobster,4391
小笠原海区,Ogasawara sea area,貝類,Shellfish,総数,Total,-
小笠原海区,Ogasawara sea area,藻類,Seaweed,総数,Total,-
,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,
"9-7  海区別生産量（平成22年）9-7 CATCHES ( QUANTITY ) BY SEA REGION ( 2010 )						",,,,,,
"大手水産会社による遠洋・沖合漁業を除く。						",,,,,,
"Excluding deep sea and offshore activities by large fishery companies.						",,,,,,
"注) 数値は，主要生産量のみを掲げてあるので，内訳の合計は総数に一致しない。						",,,,,,
"Note: The total is not the sum of the details as detailed figures are given for key quantities only.						",,,,,,
"資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs， TMG						",,,,,,
"（単位　キログラム） (Quantity in kg)						",,,,,,
