年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成23,2011,2,13201,1,八王子市,Hachioji-shi,255,121,30,-,3,101,6,8,78,1402,255,4,37,150338
平成23,2011,2,13202,2,立川市,Tachikawa-shi,52,28,-,-,-,24,-,2,16,102,-,-,8,23985
平成23,2011,2,13203,3,武蔵野市,Musashino-shi,47,35,2,-,-,10,-,-,15,4,-,-,5,2703
平成23,2011,2,13204,4,三鷹市,Mitaka-shi,59,39,5,-,-,15,4,4,40,384,-,1,9,57197
平成23,2011,2,13205,5,青梅市,Ome-shi,69,28,7,-,-,34,4,3,16,726,-,3,10,86862
平成23,2011,2,13206,6,府中市,Fuchu-shi,107,39,6,-,-,62,6,3,40,284,-,1,22,33095
平成23,2011,2,13207,7,昭島市,Akishima-shi,29,15,-,-,-,14,-,1,12,43,-,-,4,4129
平成23,2011,2,13208,8,調布市,Chofu-shi,78,41,2,-,-,35,8,2,42,348,-,1,15,34849
平成23,2011,2,13209,9,町田市,Machida-shi,125,70,9,-,-,46,8,7,52,687,-,2,18,136587
平成23,2011,2,13210,10,小金井市,Koganei-shi,50,26,4,-,-,20,3,2,28,333,2,1,5,54300
平成23,2011,2,13211,11,小平市,Kodaira-shi,68,35,9,-,-,24,2,2,24,127,-,3,10,34441
平成23,2011,2,13212,12,日野市,Hino-shi ,60,34,2,-,-,24,7,7,38,763,-,1,19,111085
平成23,2011,2,13213,13,東村山市,Higashimurayama-shi,70,32,10,-,-,28,3,1,30,209,-,2,6,30141
平成23,2011,2,13214,14,国分寺市,Kokubunji-shi,34,18,6,-,-,10,-,-,14,30,-,-,3,19553
平成23,2011,2,13215,15,国立市,Kunitachi-shi,21,9,2,-,-,10,1,1,23,2192,-,1,5,614996
平成23,2011,2,13218,16,福生市,Fussa-shi,28,14,3,-,-,11,1,1,8,101,-,1,2,10254
平成23,2011,2,13219,17,狛江市,Komae-shi,25,13,1,-,-,11,1,1,12,316,-,-,4,129391
平成23,2011,2,13220,18,東大和市,Higashiyamato-shi,39,17,7,-,-,15,-,2,9,50,-,-,2,15108
平成23,2011,2,13221,19,清瀬市,Kiyose-shi,36,17,2,-,-,17,-,2,9,58,-,-,8,4129
平成23,2011,2,13222,20,東久留米市,Higashikurume-shi,43,17,5,-,-,21,-,-,9,60,-,-,5,9209
平成23,2011,2,13223,21,武蔵村山市,Musashimurayama-shi,31,13,2,-,-,16,-,1,7,61,-,-,4,21559
平成23,2011,2,13224,22,多摩市,Tama-shi,39,22,-,-,-,17,-,2,19,199,-,-,4,45165
平成23,2011,2,13225,23,稲城市,Inagi-shi,30,23,4,-,-,3,2,-,19,317,-,-,7,75467
平成23,2011,2,13227,24,羽村市,Hamura-shi,25,19,-,-,-,6,1,2,17,198,-,1,8,31450
平成23,2011,2,13228,25,あきる野市,Akiruno-shi,43,13,7,-,1,22,2,2,7,204,300,1,7,27324
平成23,2011,2,13229,26,西東京市,Nishitokyo-shi,51,31,-,-,-,20,5,3,26,257,-,-,13,23648
平成23,2011,1,13300,,郡部,All gun,45,15,7,-,2,21,1,2,7,387,400,-,11,136358
平成23,2011,2,13303,1,瑞穂町,Mizuho-machi,26,10,5,-,-,11,1,1,5,277,-,-,9,128068
平成23,2011,2,13305,2,日の出町,Hinode-machi ,16,3,2,-,2,9,-,1,1,35,400,-,2,5014
平成23,2011,2,13307,3,檜原村,Hinohara-mura,1,-,-,-,-,1,-,-,-,-,-,-,-,-
平成23,2011,2,13308,4,奥多摩町,Okutama-machi,2,2,-,-,-,-,-,-,1,75,-,-,-,3276
平成23,2011,1,13350,,島部,All islands,17,9,-,-,4,4,4,1,-,497,-,2,2,30565
平成23,2011,2,13361,1,大島町,Oshima-machi,4,4,-,-,-,-,3,-,-,271,-,1,2,-
平成23,2011,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23,2011,2,13363,3,新島村,Niijima-mura ,1,1,-,-,-,-,-,-,-,9,-,-,-,-
平成23,2011,2,13364,4,神津島村,Kozushima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23,2011,2,13381,5,三宅村,Miyake-mura ,7,1,-,-,4,2,-,-,-,-,-,-,-,-
平成23,2011,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23,2011,2,13401,7,八丈町,Hachijo-machi,5,3,-,-,-,2,1,1,-,217,-,1,-,30565
平成23,2011,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23,2011,2,13421,9,小笠原村,Ogasawara-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （平成22，23年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2010 and 2011 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
