年次,Year ,地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
平成22,2010,2,13113,13,渋谷区,Shibuya-ku,71,1200,583677,995265,2315329,1257432,5,1,1,-,1,1,24,2,-,2,-,1,-,-,-,4,1,3,5,1,10,1,-,8,79,9,13,-,5,11,636,16,-,11,-,28,-,-,-,36,6,14,99,4,118,24,-,91,65442,x,x,-,x,x,1353446,x,-,x,-,x,-,-,-,33999,x,8665,251559,x,152833,x,-,146917
平成22,2010,2,13114,14,中野区,Nakano-ku,105,1271,469362,792953,1705453,871819,12,2,15,-,1,6,27,4,-,2,-,1,1,-,-,7,-,6,4,5,5,1,1,5,186,17,186,-,4,64,279,126,-,11,-,5,5,-,-,70,-,82,86,55,41,5,5,44,250963,x,141735,-,x,88594,350778,211515,-,x,-,x,x,-,-,72064,-,120799,161920,99872,86398,x,x,80069
平成22,2010,2,13115,15,杉並区,Suginami-ku,111,1421,597587,1062349,2312633,1191905,12,-,6,-,1,4,32,1,-,-,1,1,1,1,1,3,1,4,9,2,14,1,4,12,129,-,80,-,8,38,333,142,-,-,8,4,6,5,10,17,9,51,78,9,288,23,70,113,175089,-,118885,-,x,33908,449276,x,-,-,x,x,x,x,x,9585,x,112692,71236,x,479782,x,213524,157177
平成22,2010,2,13116,16,豊島区,Toshima-ku,219,3244,1499623,2668534,5353251,2567832,15,-,19,1,4,13,90,5,-,5,3,2,2,-,-,9,5,2,11,4,10,4,2,13,183,-,156,15,59,142,1404,75,-,50,23,18,19,-,-,82,92,10,114,69,535,61,15,122,376868,-,138149,x,66031,186223,2108780,88271,-,46398,25754,x,x,-,-,68725,125228,x,86089,96702,1438003,110268,x,269616
平成22,2010,2,13117,17,北区,Kita-ku,385,7871,3603613,10903338,20023603,8715180,18,1,24,-,8,22,120,9,-,15,5,10,1,-,6,40,9,19,21,2,16,3,7,29,247,11,229,-,53,356,3413,552,-,132,267,124,11,-,64,408,128,209,831,22,234,52,92,436,271016,x,214927,-,89378,590060,12322471,1481758,-,121119,400482,127672,x,-,80000,591638,236731,527426,1568061,x,437049,81601,214059,506498
平成22,2010,2,13118,18,荒川区,Arakawa-ku,648,6881,2522828,4759092,9232378,4268417,24,2,20,4,21,49,159,8,-,37,14,35,6,1,4,101,13,31,31,2,19,2,4,61,543,46,142,27,155,449,1782,181,-,343,128,314,57,6,38,855,226,226,307,65,290,29,41,631,1196900,x,106497,21334,167959,591007,2484133,247355,-,381701,102405,568738,53559,x,35750,911199,280302,213805,406958,x,345996,x,55774,892942
平成22,2010,2,13119,19,板橋区,Itabashi-ku,857,19103,9284967,34858626,55320906,19560406,43,-,17,-,16,53,289,31,1,43,4,6,11,8,13,71,14,57,72,13,26,6,15,48,1039,-,259,-,121,705,7999,824,11,482,33,54,456,996,122,678,185,899,2230,127,254,533,449,647,1675545,-,126262,-,210924,1144216,27494936,2671553,x,578524,x,35907,1347427,5804308,284997,640879,375933,1694792,6579896,333734,601125,1749447,753205,1139005
平成22,2010,2,13120,20,練馬区,Nerima-ku,242,3683,1433956,3707110,6989440,3149701,31,1,25,3,12,18,32,4,-,20,1,2,6,-,4,8,4,14,15,4,15,4,5,14,864,11,152,20,68,257,530,78,-,239,4,10,74,-,193,105,54,143,223,63,188,226,52,129,1545314,x,82284,17019,71428,426651,647566,1121133,-,338202,x,x,470982,-,634259,126270,91853,202891,195736,105350,302294,356886,53498,148238
平成22,2010,2,13121,21,足立区,Adachi-ku,1048,14228,5248796,13702072,24480501,10321380,68,-,61,7,56,70,94,25,2,84,24,75,11,7,17,188,28,77,27,4,31,6,20,66,1456,-,546,50,498,916,1020,1055,29,909,294,1034,255,227,187,1851,331,842,927,54,532,68,375,772,1670932,-,482278,44227,739369,1409124,1360717,2582020,x,1113352,370467,2075507,563113,1719137,192214,2338535,455462,1196186,3315991,x,976970,89321,553458,1017775
平成22,2010,2,13122,22,葛飾区,Katsushika-ku,950,11288,4090894,10006988,17999644,7648800,33,1,35,3,16,42,67,8,-,78,78,47,12,6,9,228,20,99,23,13,29,6,16,81,613,6,356,23,132,724,754,255,-,898,942,649,144,77,86,2402,283,900,318,132,525,153,175,741,2687466,x,392876,18554,120146,1889178,914578,572397,-,1286556,991184,763738,x,130955,246255,2767394,581664,1092086,484757,139081,753890,400554,290444,1081257
平成22,2010,2,13123,23,江戸川区,Edogawa-ku,941,11461,4518587,11839617,21323471,9054540,43,-,66,6,36,47,79,12,-,63,16,19,29,26,9,202,47,108,27,7,35,3,21,40,1078,-,575,38,241,787,1119,200,-,628,187,207,661,226,112,1998,435,1457,290,89,320,32,215,566,3924011,-,539098,40132,274771,2896708,1086004,431559,-,780806,196860,282420,1585958,754619,464685,2924961,506950,2512237,391343,162863,579661,26025,273894,687906
平成22,2010,1,13200,,市部,All shi,2818,122190,60496354,264897829,433134598,160633657,241,22,81,13,62,46,227,58,6,157,9,5,58,16,38,279,104,318,219,232,292,106,107,122,17432,809,992,104,1480,1012,5619,2484,86,2477,1250,211,1226,447,1134,4290,5897,5855,6085,9645,16248,12338,20614,4455,37765171,16242861,1123449,158988,4005831,1700083,11834567,13467630,639086,3753087,5490112,349284,4400406,3130237,3935295,5933286,20774604,12062229,11897103,31134854,49972577,68044633,106813184,18506041
平成22,2010,2,13201,1,八王子市,Hachioji-shi,637,17556,7934265,23187709,45285075,21326017,42,4,37,3,14,8,42,15,2,45,-,-,12,2,6,59,29,73,56,60,67,18,21,22,2337,70,409,25,159,104,1487,860,31,715,-,-,158,11,166,680,511,1663,1962,2501,2107,674,565,361,4876387,212697,471841,95740,189650,128563,3267994,6972725,x,1184464,-,-,537234,x,554849,700573,580240,5136313,4221073,9979901,3314771,917216,1049880,586112
平成22,2010,2,13202,2,立川市,Tachikawa-shi,107,3456,1434196,3635025,6161275,2486600,11,-,2,-,5,2,18,2,-,5,1,-,2,-,-,6,2,10,6,8,9,4,8,6,586,-,8,-,753,49,411,92,-,163,6,-,18,-,-,111,12,127,52,201,368,254,178,67,740300,-,x,-,2515609,x,480696,x,-,290748,x,-,x,-,-,130214,x,222235,49659,185456,635307,238441,335940,90685
平成22,2010,2,13203,3,武蔵野市,Musashino-shi,37,4540,3332957,714097,1406463,668022,5,-,-,-,-,-,10,-,-,1,-,1,1,-,-,1,1,2,6,1,6,-,1,1,64,-,-,-,-,-,143,-,-,5,-,11,18,-,-,4,11,19,82,25,82,-,4069,7,75494,-,-,-,-,-,170532,-,-,x,-,x,x,-,-,x,x,x,137560,x,185423,-,x,x
平成22,2010,2,13204,4,三鷹市,Mitaka-shi,108,4813,2684767,8607452,11194439,2479827,11,-,1,-,-,-,13,2,-,4,1,-,2,-,1,14,2,13,12,7,13,6,4,2,464,-,4,-,-,-,197,59,-,44,8,-,20,-,7,169,25,156,218,87,200,2686,459,10,536113,-,x,-,-,-,373530,x,-,53304,x,-,x,-,x,208288,x,177500,457362,81942,272037,8092664,671465,x
平成22,2010,2,13205,5,青梅市,Ome-shi,265,9595,4586017,14683116,26191396,11186894,21,3,8,-,4,3,11,4,2,30,2,-,5,4,3,32,13,41,13,21,23,9,8,5,1211,85,193,-,29,67,223,83,22,530,21,-,80,104,96,508,202,592,753,2294,1200,642,622,38,1274773,112132,194066,-,23793,57135,400837,131177,x,664493,x,-,274281,1251556,944520,891352,270444,1042567,1951047,7018255,6086881,710506,2737546,35950
平成22,2010,2,13206,6,府中市,Fuchu-shi,138,11949,7253037,55975154,78552698,19185735,14,1,4,-,2,2,11,1,1,6,1,-,5,-,5,15,5,10,5,9,24,8,3,6,1085,152,42,-,11,19,440,5,20,67,18,-,82,-,455,136,275,252,201,305,4240,3946,74,124,2200759,x,27338,-,x,x,1499612,x,x,127768,x,-,376879,-,1718005,226041,527101,509294,298428,304594,17204746,44047807,201364,257929
平成22,2010,2,13207,7,昭島市,Akishima-shi,133,8899,4697311,24922224,33174850,8472305,10,1,1,3,5,3,2,1,-,3,-,-,2,3,4,17,5,18,10,6,19,2,11,7,2035,12,4,17,106,39,26,9,-,30,-,-,405,22,38,379,42,435,138,1509,2886,178,486,103,4003147,x,x,x,281153,92353,x,x,-,34672,-,-,x,26169,24231,447525,49606,824320,158837,8469961,11063115,x,808271,80546
平成22,2010,2,13208,8,調布市,Chofu-shi,125,3266,1373254,4042367,7233265,3060454,17,1,3,1,2,4,18,2,-,10,-,1,3,1,1,4,6,6,7,11,14,3,2,8,813,51,21,9,19,48,274,11,-,156,-,168,29,13,21,76,87,69,76,166,1023,28,27,81,2590986,x,14010,x,x,77560,292063,x,-,304276,-,x,298463,x,x,67331,133379,55494,101475,136628,2195426,20048,x,85191
平成22,2010,2,13209,9,町田市,Machida-shi,181,5488,2210691,4537952,9185406,4473462,15,-,4,1,1,6,8,4,1,8,1,-,1,1,2,29,6,13,10,23,17,9,8,13,1047,-,55,10,6,288,86,145,13,175,13,-,8,11,25,424,87,241,245,400,507,752,614,336,1099158,-,49637,x,x,357636,91608,345542,x,251545,x,-,x,x,x,630917,122696,472771,332275,745500,917047,1721545,990889,895922
平成22,2010,2,13210,10,小金井市,Koganei-shi,22,561,252910,578022,1014178,419570,1,-,1,-,1,1,1,1,-,1,-,-,2,-,-,1,1,4,2,-,2,-,1,2,6,-,5,-,4,15,4,21,-,16,-,-,19,-,-,8,223,33,44,-,10,-,24,129,x,-,x,-,x,x,x,x,-,x,-,-,x,-,-,x,x,45298,x,-,x,-,x,x
平成22,2010,2,13211,11,小平市,Kodaira-shi,97,5232,2486418,5446309,12161309,6472598,8,-,5,-,6,3,12,1,-,4,2,-,2,-,-,11,4,10,3,9,10,4,-,3,1307,-,51,-,49,50,265,8,-,32,1161,-,42,-,-,113,191,143,50,153,136,1454,-,27,1212060,-,31510,-,33226,54082,449659,x,-,30690,x,-,x,-,-,139826,631343,155988,43326,166601,192244,3442867,-,14135
平成22,2010,2,13212,12,日野市,Hino-shi,83,13987,7905311,31958696,69989609,36877277,4,-,1,-,-,2,10,2,-,3,-,-,3,1,2,5,2,7,9,11,10,4,4,3,356,-,4,-,-,21,217,368,-,20,-,-,64,6,61,100,2657,52,256,591,1674,118,7403,19,1220642,-,x,-,-,x,410616,x,-,24165,-,-,193366,x,x,91555,x,55672,391131,1898016,3894263,179299,45664015,14736
平成22,2010,2,13213,13,東村山市,Higashimurayama-shi,107,3615,1408514,4692777,8434593,3610157,12,1,2,1,2,2,13,6,-,7,1,-,2,-,2,12,3,7,4,11,9,4,1,5,1109,26,20,7,24,54,359,314,-,119,23,-,40,-,13,172,523,120,66,403,132,25,11,55,2877134,x,x,x,x,x,411877,859005,-,243812,x,-,x,-,x,230525,2034792,166436,71778,798210,148662,71147,x,152836
