年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成24,2012,5,13105,5,文京区,Bunkyo-ku,207.423,1948.067,111.379,1550.089,6.18,240.539,19.321,480.785,40.895,535.421,44.983,293.344,96.044,397.978,-,-,16.44,88.341,79.604,309.637,
平成24,2012,5,13106,6,台東区,Taito-ku,258.646,2626.69,217.634,2477.391,9.812,372.478,23.766,590.545,85.058,912.868,98.998,601.5,41.012,149.299,-,-,-,-,41.012,149.299,
平成24,2012,5,13107,7,墨田区,Sumida-ku,295.592,2947.228,295.486,2947.01,3.482,125.453,35.257,875.97,108.935,1237.26,147.812,708.327,0.106,0.218,-,-,-,-,0.106,0.218,
平成24,2012,5,13108,8,江東区,Koto-ku,390.809,5587.271,389.732,5582.677,37.892,1525.672,67.245,1737.155,174.555,1633.613,110.04,686.237,1.077,4.594,-,-,0.809,3.684,0.268,0.91,
平成24,2012,5,13109,9,品川区,Shinagawa-ku,383.93,3703.856,215.733,3019.388,17.982,769.063,37.485,903.581,137.332,1178.37,22.934,168.374,168.197,684.468,0.08,1.529,128.884,567.375,39.233,115.564,
平成24,2012,5,13110,10,目黒区,Meguro-ku,355.27,2179.752,290.468,1992.219,2.836,105.142,12.197,342.855,135.648,997.277,139.787,546.945,64.802,187.533,0.105,1.119,2.455,12.166,62.242,174.248,
平成24,2012,5,13111,11,大田区,Ota-ku,850.955,7505.862,787.228,7310.245,32.448,1112.197,47.355,1235.549,262.058,2424.899,445.367,2537.6,63.727,195.617,0.839,6.837,2.106,12.189,60.782,176.591,
平成24,2012,5,13112,12,世田谷区,Setagaya-ku,1183.57555,8167.4345,944.00255,7348.7885,16.25636,610.01349,27.69875,653.60996,219.73404,2311.40777,680.3134,3773.75728,239.573,818.646,0.07,0.578,2.876,14.542,236.627,803.526,
平成24,2012,5,13113,13,渋谷区,Shibuya-ku,273.126,2728.342,245.793,2655.233,7.729,347.385,31.244,810.719,110.955,1061.938,95.865,435.191,27.333,73.109,-,-,-,-,27.333,73.109,
平成24,2012,5,13114,14,中野区,Nakano-ku,366.87,2137.972,206.692,1580.718,0.925,30.438,8.63,240.295,52.241,635.761,144.896,674.224,160.178,557.254,-,-,-,-,160.178,557.254,
平成24,2012,5,13115,15,杉並区,Suginami-ku,687.613,4597.493,502.275,3931.251,8.481,328.957,20.43,532.821,91.284,995.891,382.08,2073.582,185.338,666.242,0.026,0.29,1.021,4.226,184.291,661.726,
平成24,2012,5,13116,16,豊島区,Toshima-ku,309.231,2345.406,217.074,2034.556,4.719,175.952,19.217,519.861,46.998,550.339,146.14,788.404,92.157,310.85,-,-,0.174,0.698,91.983,310.152,
平成24,2012,5,13117,17,北区,Kita-ku,372.067,2944.572,269.955,2575.632,1.988,72.77,20.268,487.645,169.205,1601.678,78.494,413.539,102.112,368.94,13.868,115.073,26.826,98.449,61.418,155.418,
平成24,2012,5,13118,18,荒川区,Arakawa-ku,215.192,1661.427,215.192,1661.427,2.593,92.171,5.716,179.221,86.554,871.924,120.329,518.111,-,-,-,-,-,-,-,-,
平成24,2012,5,13119,19,板橋区,Itabashi-ku,740.19,5824.745,669.346,5506.314,17.173,765.82,37.654,897.687,148.83,1328.518,465.689,2514.289,70.844,318.431,1.655,82.359,3.447,13.981,65.742,222.091,
平成24,2012,5,13120,20,練馬区,Nerima-ku,1125.28,7303.449,959.421,6640.395,5.57,213.122,27.3,750.015,410.426,3266.431,516.125,2410.827,165.859,663.054,8.139,86.223,18.429,95.499,139.291,481.332,
平成24,2012,5,13121,21,足立区,Adachi-ku,1040.853,9579.818,949.726,9307.203,9.68,387.128,57.074,1558.729,536.788,5097.13,346.184,2264.216,91.127,272.615,-,-,18.086,71.271,73.041,201.344,
平成24,2012,5,13122,22,葛飾区,Katsushika-ku,700.842,5163.068,612.791,4817.167,3.566,140.685,24.318,630,218.824,2637.794,366.083,1408.688,88.051,345.901,-,-,1.504,7.877,86.547,338.024,
平成24,2012,5,13123,23,江戸川区,Edogawa-ku,1074.632,9201.652,1074.632,9201.652,29.959,1104.347,75.077,1612.003,501.347,4409.219,468.249,2076.083,-,-,-,-,-,-,-,-,
平成24,2012,2,13200,,市部,All shi,10257.919,69894.327,6906.51,60789.879,23.981,993.447,247.691,7796.16,1930.402,24622.871,4704.436,27377.401,3351.409,9104.448,28.938,250.347,185.655,997.882,3136.816,7856.219,
平成24,2012,5,13201,1,八王子市,Hachioji-shi,1511.971,13557.059,1286.18,12912.263,3.936,197.866,76.526,2805.277,330.822,4559.441,875,5349.679,225.791,644.796,0.724,5.802,4.018,20.656,221.049,618.338,
平成24,2012,5,13202,2,立川市,Tachikawa-shi,291.712,2528.282,227.757,2291.394,0.675,29.826,15.448,520.866,92.527,1071.711,119,668.991,63.955,236.888,-,-,0.094,0.364,63.861,236.524,
平成24,2012,5,13203,3,武蔵野市,Musashino-shi,146.081,1119.722,120.898,1021.114,0.141,4.316,2.219,66.344,41.816,540.113,77,410.341,25.183,98.608,0.855,6.467,2.885,15.769,21.443,76.372,
平成24,2012,5,13204,4,三鷹市,Mitaka-shi,289,1902.883,241.591,1725.237,1.709,53.506,4.761,162.627,48.983,559.739,186,949.365,47.409,177.646,0.17,1.63,1.452,6.589,45.787,169.427,
平成24,2012,5,13205,5,青梅市,Ome-shi,958.072,4745.996,436.066,3711.941,0.316,14.713,10.957,257.82,144.05,1861.58,281,1577.828,522.006,1034.055,0.04,0.289,0.72,3.76,521.246,1030.006,
平成24,2012,5,13206,6,府中市,Fuchu-shi,473.412,3703.718,378.934,3433.656,3.09,105.305,22.776,681.66,97.689,1240.139,255,1406.552,94.478,270.062,-,-,4.591,17.259,89.887,252.803,
平成24,2012,5,13207,7,昭島市,Akishima-shi,251.775,1718.318,122.939,1238.656,0.706,24.475,3.771,87.368,61.161,801.537,57,325.276,128.836,479.662,4.254,36.938,22.979,134.957,101.603,307.767,
平成24,2012,5,13208,8,調布市,Chofu-shi,439.047,2668.767,291.21,2283.501,0.586,23.79,17.37,453.574,59.352,679.305,214,1126.832,147.837,385.266,0.189,1.322,2.104,9.906,145.544,374.038,
平成24,2012,5,13209,9,町田市,Machida-shi,1334.419,8411.84,879.399,7346.004,2.083,107.914,14.529,410.223,170.065,2455.154,693,4372.713,455.02,1065.836,0.075,2.882,3.126,11.758,451.819,1051.196,
平成24,2012,5,13210,10,小金井市,Koganei-shi,176.453,1057.153,86.06,724.328,0.022,0.817,1.913,60.258,29.37,355.817,55,307.436,90.393,332.825,2.482,23.644,12.639,56.635,75.272,252.546,
平成24,2012,5,13211,11,小平市,Kodaira-shi,257.381,1906.04,196.204,1611.868,0.265,13.908,0.94,28.905,69.071,838.094,126,730.961,61.177,294.172,3.631,30.564,22.954,135.244,34.592,128.364,
平成24,2012,5,13212,12,日野市,Hino-shi,492.94,3260.461,341.928,2877.425,1.236,46.072,11.677,370.992,71.316,929.678,258,1530.683,151.012,383.036,0.217,1.782,3.86,20.934,146.935,360.32,
平成24,2012,5,13213,13,東村山市,Higashimurayama-shi,301.698,1762.799,222.463,1545.445,0.099,7.754,1.289,32.584,54.989,593.943,166,911.164,79.235,217.354,0.082,0.613,1.874,7.531,77.279,209.21,
平成24,2012,5,13214,14,国分寺市,Kokubunji-shi,240.752,1293.084,101.484,743.456,0.062,2.109,0.47,10.704,30.33,335.037,71,395.606,139.268,549.628,8.354,74.627,35.252,192.173,95.662,282.828,
平成24,2012,5,13215,15,国立市,Kunitachi-shi,152.254,1258.691,123.564,1187.076,0.386,13.686,8.019,319.826,36.928,415.999,78,437.565,28.69,71.615,0.066,0.718,0.75,3.846,27.874,67.051,
平成24,2012,5,13218,16,福生市,Fussa-shi,149.627,1112.897,126.927,1047.472,0.039,0.842,5.34,96.446,37.036,482.975,85,467.209,22.7,65.425,-,-,0.169,0.847,22.531,64.578,
平成24,2012,5,13219,17,狛江市,Komae-shi,127.612,803.159,108.233,751.715,0.148,8.995,0.93,29.931,20.512,268.173,87,444.616,19.379,51.444,-,-,0.007,0.035,19.372,51.409,
平成24,2012,5,13220,18,東大和市,Higashiyamato-shi,235.299,1527.992,186.533,1395.059,0.292,15.161,0.495,22.816,103.279,972.199,82,384.883,48.766,132.933,1.949,11.933,11.483,47.481,35.334,73.519,
平成24,2012,5,13221,19,清瀬市,Kiyose-shi,183.026,1039.407,99.228,800.011,1.145,48.564,0.474,10.948,36.32,388.056,61,352.443,83.798,239.396,0.983,7.239,12.1,61.923,70.715,170.234,
平成24,2012,5,13222,20,東久留米市,Higashikurume-shi,247.799,1518.673,184.299,1328.626,0.125,5.281,0.262,5.069,39.722,504.763,144.19,813.513813.513,63.5,190.047,0.4270.427,8.425,1.229,6.371,61.844,175.251,
平成24,2012,5,13223,21,武蔵村山市,Musashimurayama-shi,270.349,1538.774,144.461,1168.379,-,-,0.606,16.2,52.238,667.342,91.617,484.837484.837,125.888,370.395,-,-,0.452,2.352,125.436,368.043,
平成24,2012,5,13224,22,多摩市,Tama-shi,292.19,3150.516,255.579,2970.932,4.628,176,22.115,639.774,66.824,950.746,162.012,1204.8441204.844,36.611,179.584,0.750.75,7.658,4.989,52.245,30.872,119.681,
平成24,2012,5,13225,23,稲城市,Inagi-shi,254.221,1930.158,158.454,1733.879,0.354,22,8.332,238.716,56.441,878.905,93.327,594.383594.383,95.767,196.279,0.1280.128,0.927,0.608,3.268,95.031,192.084,
平成24,2012,5,13227,24,羽村市,Hamura-shi,164.213,1326.454,126.772,1191.611,0.846,26,4.775,115.754,53.771,654.912,67.38,394.909394.909,37.441,134.843,0.8740.874,6.392,4.255,20.589,32.312,107.862,
平成24,2012,5,13228,25,あきる野市,Akiruno-shi,750.888,3328.681,272.423,2367.446,0.127,8,9.203,287.135,82.533,1108.075,180.56,963.427963.427,478.465,961.235,0.7730.773,6.183,6.512,33.109,471.18,921.943,
平成24,2012,5,13229,26,西東京市,Nishitokyo-shi,265.728,1722.803,186.924,1381.385,0.965,36,2.494,64.343,43.257,509.438,140.208,771.345771.345,78.804,341.418,1.9151.915,14.312,24.553,132.281,52.336,194.825,
平成24,2012,3,13300,,郡部,All gun,807.856,4926.636,403.527,4091.188,0.318,11.038,7.038,204.633,165.732,2555.664,230.439,1319.8531319.853,404.329,835.448,0.3780.378,2.69,3.535,17.291,400.416,815.467,
平成24,2012,5,13303,1,瑞穂町,Mizuho-machi,244.433,1471.629,145.433,1204.462,0.212,8.83,5.368,161.428,48.703,555.308,91.15,478.896478.896,99,267.167,0,0.126,1.695,8.298,97.283,258.743,
平成24,2012,5,13305,2,日の出町,Hinode-machi,141.641,888.182,84.605,726.625,0.099,2.046,1.568,41.651,30.356,381.909,52.582,301.019301.019,57.036,161.557,0,2.267,1.494,7.358,55.22,151.932,
平成24,2012,5,13307,3,檜原村,Hinohara-mura,120.033,1020.994,62.215,919.655,0.007,0.162,0.006,0.092,34.808,724.853,27.394,194.548194.548,57.818,101.339,0.1380.138,0.108,0.25,1.164,57.557,100.067,
平成24,2012,5,13308,4,奥多摩町,Okutama-machi,301.749,1545.831,111.274,1240.446,-,-,0.096,1.462,51.865,893.594,59.313,345.39345.39,190.475,305.385,0.060.06,0.189,0.096,0.471,190.356,304.725,
平成24,2012,3,13350,,島部,All islands,1476.898,7090.266,646.771,5128.306,0.605,21.863,1.977,38.06,264.43,2761.451,379.759,2306.9322306.932,830.127,1961.96,3.9253.925,30.725,43.761,187.484,782.441,1743.751,
平成24,2012,5,13361,1,大島町,Oshima-machi,498.767,2017.247,174.236,1252.012,0.379,9.695,1.277,20.295,102.354,880.346,70.226,341.676341.676,324.531,765.235,2.2322.232,15.597,34.502,137.299,287.797,612.339,
平成24,2012,5,13362,2,利島村,Toshima-mura,27.706,127.434,14.156,89.261,-,-,0.156,2.186,0.779,8.034,13.221,79.04179.041,13.55,38.173,0.1380.138,3.639,0.54,3.156,12.872,31.378,
平成24,2012,5,13363,3,新島村,Niｉｊima-mura,142.688,663.082,66.055,501.201,0.224,12.11,0.009,0.138,24.872,262.414,40.95,226.539226.539,76.633,161.881,0.060.06,0.437,0.485,2.327,76.088,159.117,
平成24,2012,5,13364,4,神津島村,Kouzushima-mura,78.802,276.054,30.687,208.222,-,-,0.029,0.471,8.16,86.589,22.498,121.162121.162,48.115,67.832,0.0090.009,0.056,0.102,0.514,48.004,67.262,
平成24,2012,5,13381,5,三宅村,Miyake-mura,134.482,871.341,81.738,722.257,-,-,0.038,1.061,38.368,515.216,43.332,205.98205.98,52.744,149.084,0.1270.127,1.02,0.567,3.129,52.05,144.935,
平成24,2012,5,13382,6,御蔵島村,Mikurajima-mura,21.273,228.29,19.982,225.632,-,-,-,-,1,16.961,18.982,208.671208.671,1.291,2.658,-,-,-,-,1.291,2.658,
平成24,2012,5,13401,7,八丈町,Hachijo-machi,485.941,2076.254,187.898,1357.826,0.002,0.058,0.395,11.588,75.236,751.84,112.265,594.34594.34,298.043,718.428,1.3591.359,9.976,6.887,37.656,289.797,670.796,
平成24,2012,5,13402,8,青ヶ島村,Aogashima-mura,37.12,157.652,22.63,123.798,-,-,-,-,0.281,5.707,22.349,118.091118.091,14.49,33.854,-,-,0.66,3.32,13.83,30.534,
平成24,2012,5,13421,9,小笠原村,Ogasawara-mura,50.119,672.912,49.389,648.097,-,-,0.073,2.321,13.38,234.344,35.936,411.432411.432,0.73,24.815,-,-,0.018,0.083,0.712,24.732,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3  地域， 幅員別道路の延長及び面積（平成20～24年） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
各年4月1日現在。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　延長　キロメートル， 面積　千平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部路政課 「東京都道路現況調書」 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3  LENGTH AND AREA OF ROADS BY DISTRICT AND WIDTH (2008～2012) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are as of Apr. 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Length in kilometers，Area in thousands square meters),,,,,,,,,,,,,,,,,,,,,,,,,,, 
　　    Source : Bureau of Construction，TMG,,,,,,,,,,,,,,,,,,,,,,,,,,, 
