年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成23,2011,2,13111,11,大田区,Ota-ku,7928,55,183,5562,1,218,262,99,405,404,739,67,1104,1578,707,757,1556,631,984,743
平成23,2011,2,13112,12,世田谷区,Setagaya-ku,7840,6,47,5960,2,228,244,109,357,361,526,84,586,1288,676,653,1313,1174,2082,631
平成23,2011,2,13113,13,渋谷区,Shibuya-ku,8986,97,568,7107,-,162,196,49,219,171,417,131,1217,979,400,395,920,343,1123,296
平成23,2011,2,13114,14,中野区,Nakano-ku,4042,4,96,3138,2,144,138,28,126,139,227,33,357,530,292,285,521,329,685,285
平成23,2011,2,13115,15,杉並区,Suginami-ku,5347,10,76,4074,-,140,175,54,238,283,297,59,363,763,444,400,781,714,756,389
平成23,2011,2,13116,16,豊島区,Toshima-ku,6707,99,366,5076,2,169,209,54,263,238,231,94,633,830,415,386,864,295,755,314
平成23,2011,2,13117,17,北区,Kita-ku,4188,14,86,3148,-,122,133,43,208,242,192,16,394,664,328,298,632,557,637,395
平成23,2011,2,13118,18,荒川区,Arakawa-ku,2476,14,11,1763,5,84,107,29,140,241,82,14,196,380,211,193,346,378,417,221
平成23,2011,2,13119,19,板橋区,Itabashi-ku,5010,4,36,3676,2,125,191,82,265,267,362,36,699,964,483,466,913,759,875,172
平成23,2011,2,13120,20,練馬区,Nerima-ku,4714,4,89,3389,-,185,190,80,252,210,315,65,482,895,545,519,833,596,808,460
平成23,2011,2,13121,21,足立区,Adachi-ku,6458,39,10,4569,-,183,261,79,350,640,327,28,578,1144,653,663,1267,885,1240,214
平成23,2011,2,13122,22,葛飾区,Katsushika-ku,4809,12,126,3243,-,128,202,58,269,519,252,34,310,747,425,399,752,994,757,502
平成23,2011,2,13123,23,江戸川区,Edogawa-ku,6180,34,292,4268,-,180,174,45,312,260,615,33,449,980,589,580,1005,780,984,481
平成23,2011,1,13200,,市部,All shi,32993,277,887,22698,-,947,1090,413,1622,1565,3494,423,5396,7557,3207,3152,6495,6842,7280,5316
平成23,2011,2,13201,1,八王子市,Hachioji-shi,4871,51,197,3208,-,146,126,49,193,173,728,51,849,1135,459,469,938,850,1011,677
平成23,2011,2,13202,2,立川市,Tachikawa-shi,2491,33,139,1672,-,47,65,13,107,114,301,32,392,446,188,182,393,368,567,346
平成23,2011,2,13203,3,武蔵野市,Musashino-shi,2316,10,115,1736,-,61,57,20,69,107,141,40,300,347,132,133,318,475,500,225
平成23,2011,2,13204,4,三鷹市,Mitaka-shi,1041,4,21,699,-,46,48,18,54,51,100,19,230,316,129,121,266,317,334,151
平成23,2011,2,13205,5,青梅市,Ome-shi,1464,47,13,759,-,39,45,18,43,69,431,15,236,320,113,120,339,140,203,60
平成23,2011,2,13206,6,府中市,Fuchu-shi,2160,17,44,1407,-,56,77,31,81,95,352,27,571,641,196,217,491,451,412,381
平成23,2011,2,13207,7,昭島市,Akishima-shi,953,10,19,699,-,30,25,21,48,44,57,15,244,229,84,96,198,183,267,175
平成23,2011,2,13208,8,調布市,Chofu-shi,1741,7,22,1279,-,57,75,19,98,72,112,24,243,348,190,185,339,474,236,311
平成23,2011,2,13209,9,町田市,Machida-shi,2861,23,97,1985,-,72,87,29,162,126,280,35,330,741,307,299,586,705,946,782
平成23,2011,2,13210,10,小金井市,Koganei-shi,739,2,7,546,-,25,27,10,30,37,55,11,80,154,85,77,139,214,206,191
平成23,2011,2,13211,11,小平市,Kodaira-shi,1248,4,1,778,-,36,52,12,72,63,230,10,222,346,135,137,274,310,181,450
平成23,2011,2,13212,12,日野市,Hino-shi,929,1,3,628,-,22,44,18,62,42,109,6,254,259,101,104,206,176,193,92
平成23,2011,2,13213,13,東村山市,Higashimurayama-shi,1038,10,19,734,-,39,46,13,70,58,49,11,120,219,108,104,206,136,178,113
平成23,2011,2,13214,14,国分寺市,Kokubunji-shi,1005,6,39,752,-,25,33,11,48,38,53,14,74,182,84,75,143,189,101,162
平成23,2011,2,13215,15,国立市,Kunitachi-shi,616,5,3,463,-,10,23,10,30,41,31,13,88,130,65,60,105,107,156,107
平成23,2011,2,13218,16,福生市,Fussa-shi,836,2,40,689,-,19,18,3,26,23,16,5,66,105,58,49,99,84,152,42
平成23,2011,2,13219,17,狛江市,Komae-shi,429,1,1,299,-,15,18,16,24,29,26,8,46,89,55,45,86,250,108,131
平成23,2011,2,13220,18,東大和市,Higashiyamato-shi,639,6,7,434,-,20,31,8,46,55,32,6,77,151,77,68,124,80,105,46
平成23,2011,2,13221,19,清瀬市,Kiyose-shi,455,-,5,323,-,13,18,9,28,29,30,3,54,146,59,56,113,73,90,54
平成23,2011,2,13222,20,東久留米市,Higashikurume-shi,595,1,3,393,-,32,27,12,54,42,31,5,122,166,99,98,181,117,148,98
平成23,2011,2,13223,21,武蔵村山市,Musashimurayama-shi,472,4,1,327,-,16,25,12,33,37,17,7,100,136,67,63,125,73,103,71
平成23,2011,2,13224,22,多摩市,Tama-shi,1078,10,19,706,-,29,20,15,64,64,151,22,226,268,99,99,230,169,187,88
平成23,2011,2,13225,23,稲城市,Inagi-shi,384,-,1,268,-,6,19,7,32,24,27,12,56,120,52,53,95,61,69,32
平成23,2011,2,13227,24,羽村市,Hamura-shi,729,3,42,547,-,24,17,8,27,28,33,6,191,155,68,65,110,75,139,40
平成23,2011,2,13228,25,あきる野市,Akiruno-shi,552,17,-,384,-,17,22,12,36,38,26,10,81,136,67,58,139,111,142,28
平成23,2011,2,13229,26,西東京市,Nishitokyo-shi,1351,3,29,983,-,45,45,19,85,66,76,16,144,272,130,119,252,654,546,463
平成23,2011,1,13300,,郡部,All gun,606,50,1,406,-,13,24,8,22,37,45,7,128,170,75,69,211,221,367,71
平成23,2011,1,13500,,島部,All islands,1191,466,10,515,-,20,14,3,51,58,54,15,1,160,100,117,205,171,213,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成19～平成23年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2007-2011 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
