年次,Year,産業（大分類） Industry (Division),男女及び産業 (大分類),Gender and industry (Division),項番 Item number,産業（中分類） ,Industry (Major groups),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees 1),5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees 1),10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees 1),20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees 1),30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees 1),50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees 1),100～299人 100-299 Persons／事業所数 Number of establishments,100～299人 100-299 Persons／従業者数 Number of employees 1),300～499人 300-499 Persons／事業所数 Number of establishments,300～499人 300-499 Persons／従業者数 Number of employees 1) ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees 1) ,派遣従業者のみの事業所数 Number of establishments where all workers are dispatched from other places
平成21,2009,Ｅ,製造業,Manufacturing,11,ゴム製品製造業　　　,Rubber products,917,13626,529,1257,194,1244,119,1638,46,1097,9,319,10,702,6,1093,1,325,3,5951,-
平成21,2009,Ｅ,製造業,Manufacturing,12,なめし革・同製品・毛皮製造業,Leather tanning， leather product and fur skins,2440,12994,1758,3814,404,2624,173,2257,55,1296,30,1175,15,1010,3,406,1,412,-,-,1
平成21,2009,Ｅ,製造業,Manufacturing,13,窯業・土石製品製造業,Ceramic， stone and clay products,940,15259,441,1037,175,1126,161,2188,68,1623,47,1776,22,1498,14,2298,6,2123,2,1590,4
平成21,2009,Ｅ,製造業,Manufacturing,14,鉄鋼業　　　　　　　　　　　　,Iron and steel,487,14003,220,557,110,711,62,839,31,749,20,764,20,1374,17,2492,2,824,4,5693,1
平成21,2009,Ｅ,製造業,Manufacturing,15,非鉄金属製造業　,Non-ferrous metals and products,560,12138,282,683,119,743,62,847,34,782,24,870,14,934,19,3327,3,934,3,3018,-
平成21,2009,Ｅ,製造業,Manufacturing,16,金属製品製造業   　　　　　,Fabricated metal products,7705,58033,4796,11160,1631,10459,783,10434,242,5733,144,5337,71,4726,28,4276,4,1411,4,4497,2
平成21,2009,Ｅ,製造業,Manufacturing,17,はん用機械器具製造業,General-purpose machinery,2762,31602,1702,3914,581,3779,229,3034,99,2433,72,2799,41,2699,25,4531,8,3305,4,5108,1
平成21,2009,Ｅ,製造業,Manufacturing,18,生産用機械器具製造業,Production machinery,4226,46166,2432,5887,953,6162,460,6232,167,3946,95,3610,62,4012,35,5480,11,4439,8,6398,3
平成21,2009,Ｅ,製造業,Manufacturing,19,業務用機械器具製造業,Business oriented machinery,2485,62991,1250,3043,525,3439,318,4206,127,3018,114,4288,69,4649,48,8079,15,5694,18,26575,1
平成21,2009,Ｅ,製造業,Manufacturing,20,電子部品・デバイス・電子回路製造業,Electronic parts， devices and electronic circuits,1479,43251,658,1563,318,2103,211,2895,82,1947,86,3144,61,4332,38,6724,6,2113,17,18430,2
平成21,2009,Ｅ,製造業,Manufacturing,21,電気機械器具製造業,Electrical machinery， equipment and supplies,2536,61178,1205,2965,579,3809,324,4344,144,3425,128,4789,82,5846,49,8226,8,3191,14,24583,3
平成21,2009,Ｅ,製造業,Manufacturing,22,情報通信機械器具製造業,Information and communication electronics equipment,889,65796,333,820,182,1181,136,1822,56,1356,60,2382,40,2873,45,7686,15,6162,22,41514,-
平成21,2009,Ｅ,製造業,Manufacturing,23,輸送用機械器具製造業,Transportation equipment,1138,40491,561,1328,233,1520,142,1915,62,1491,49,1889,42,3013,27,4574,8,3142,12,21619,2
平成21,2009,Ｅ,製造業,Manufacturing,24,その他の製造業　,Miscellaneous manufacturing industries,4902,40934,3063,7023,1019,6591,469,6208,139,3250,102,3802,64,4465,36,5834,1,372,4,3389,5
平成21,2009,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,,,,555,36265,104,243,93,657,141,1913,40,950,47,1855,36,2700,64,11108,11,3994,11,12845,8
平成21,2009,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,1,電気業,Production， transmission and distribution of electricity,115,16707,21,32,6,34,17,226,7,179,12,460,9,717,28,5405,9,3215,5,6439,1
平成21,2009,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,2,ガス業,Production and distribution of gas,47,8420,2,5,2,13,9,116,7,172,8,338,4,267,9,1592,2,779,4,5138,-
平成21,2009,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,3,熱供給業,Heat supply,94,911,28,68,26,189,27,348,1,26,3,125,2,155,-,-,-,-,-,-,7
平成21,2009,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,4,水道業,Collection， purification and distribution of water， and sewage collection， processing and disposal,299,10227,53,138,59,421,88,1223,25,573,24,932,21,1561,27,4111,-,-,2,1268,-
平成21,2009,Ｇ,情報通信業,Information and communications,,,,25691,852563,9807,22573,5376,35845,4049,55264,1722,41190,1720,65591,1440,99843,1050,172262,200,75627,218,284368,109
平成21,2009,Ｇ,情報通信業,Information and communications,1,通信業,Communications,998,70443,260,693,283,1834,142,1937,86,2083,75,2838,62,4274,47,7659,18,6530,20,42595,5
平成21,2009,Ｇ,情報通信業,Information and communications,2,放送業,Broadcasting,356,22071,72,175,75,533,90,1187,21,480,30,1147,36,2595,18,3098,-,-,7,12856,7
平成21,2009,Ｇ,情報通信業,Information and communications,3,情報サービス業,Information services,12465,551132,4063,9270,2259,15205,2088,28987,1006,24245,1042,39800,917,63532,741,123219,144,54861,157,192013,48
平成21,2009,Ｇ,情報通信業,Information and communications,4,インターネット附随サービス業,Internet based services,2031,42405,931,2012,441,2939,257,3469,122,2874,113,4328,79,5305,60,8871,6,2436,10,10171,12
平成21,2009,Ｇ,情報通信業,Information and communications,5,映像・音声・文字情報制作業,Video picture， sound information， character information production and distribution,9841,166512,4481,10423,2318,15334,1472,19684,487,11508,460,17478,346,24137,184,29415,32,11800,24,26733,37
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,,,,19529,509303,9917,15593,2423,16651,2660,36562,1223,29384,1164,44691,976,67650,850,145808,153,56635,84,96329,79
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,1,鉄道業,Railway transport,704,62905,48,141,113,806,142,2007,74,1818,92,3513,97,6773,102,18110,21,7786,14,21951,1
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,2,道路旅客運送業,Road passenger transport,8067,119497,7209,9153,91,620,100,1334,52,1258,66,2653,129,9517,353,63848,47,17027,19,14087,1
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,3,道路貨物運送業,Road freight transport,6935,178722,1487,3375,1419,9907,1712,23530,788,18797,702,26721,526,35738,211,32222,25,9398,19,19034,46
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,4,水運業,Water transport,441,12794,139,365,95,625,81,1049,31,749,36,1379,33,2256,20,3092,-,-,3,3279,3
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,5,航空運輸業,Air transport,145,31061,23,65,20,144,16,229,17,416,16,636,18,1230,14,2509,6,2656,13,23176,2
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,6,倉庫業,Warehousing,1119,22189,380,901,224,1485,227,3111,100,2454,75,2888,62,4319,34,5460,3,985,1,586,13
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,7,運輸に附帯するサービス業,Services incidental to transport,2013,47027,631,1593,455,3026,376,5221,159,3845,177,6901,110,7726,78,11853,10,3733,4,3129,13
平成21,2009,Ｈ,運輸業，郵便業,Transport and postal activities,8,郵便業(信書便事業を含む),Postal activities， including mail delivery,105,35108,-,-,6,38,6,81,2,47,-,-,1,91,38,8714,41,15050,11,11087,-
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,,,,168237,1918806,91920,218618,36166,234788,21609,293764,7832,184795,4944,185724,3189,217899,1606,252677,226,86734,191,243807,554
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,1,各種商品卸売業,Wholesale trade， general merchandise,132,30326,48,111,27,164,20,278,9,212,6,222,2,139,8,1537,1,300,11,27363,-
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,2,繊維・衣服等卸売業,Wholesale trade ( textile and apparel ),6621,99636,3287,8151,1608,10554,855,11370,352,8301,234,8740,163,10851,82,13154,17,6359,11,22156,12
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,3,飲食料品卸売業,Wholesale trade ( food and beverages ),9759,137880,4170,10639,2507,16541,1561,20977,601,14163,426,16011,291,19537,149,23397,14,5157,11,11458,29
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,4,建築材料，鉱物・金属材料等卸売業,Wholesale trade ( building materials， minerals and metals， etc. ),10976,134095,5119,13167,2827,18485,1641,21950,539,12902,412,15714,230,15260,132,21657,16,5937,12,9023,48
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,5,機械器具卸売業,Wholesale trade ( machinery and equipment ),16564,306073,6734,17006,4277,28285,2660,35988,938,22338,870,32900,602,41574,317,49782,66,25506,40,52694,60
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,6,その他の卸売業,Miscellaneous wholesale trade,15524,219808,7465,18579,3696,24040,2231,29982,723,17210,621,23388,455,31073,228,37215,32,12727,27,25594,46
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,7,各種商品小売業,Retail trade， general merchandise,429,73428,36,105,29,211,37,495,26,631,47,1949,94,6739,93,15548,29,11599,36,36151,2
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,8,織物・衣服・身の回り品小売業,Retail trade ( dry goods， apparel and apparel accessories ),18996,141327,12530,29650,4305,27049,1254,16078,266,6326,256,9698,179,12484,76,11879,13,4760,12,23403,105
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,9,飲食料品小売業,Retail trade ( food and beverage ),34718,364994,19079,44576,5290,34643,5647,79887,2492,58070,1055,39408,680,47236,310,44627,8,3183,7,13364,150
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,10,機械器具小売業,Machinery and equipment,11000,88317,7081,16677,2104,13226,971,13509,415,9830,231,8568,108,7318,50,7662,11,4232,10,7295,19
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,11,その他の小売業,Miscellaneous retail trade,42030,303358,25446,58036,9280,60203,4606,61553,1403,33171,722,26665,333,22135,145,23702,13,4612,11,13281,71
平成21,2009,Ｉ,卸売業，小売業,Wholesale and retail trade,12,無店舗小売業,Nonstore retailers,1488,19564,925,1921,216,1387,126,1697,68,1641,64,2461,52,3553,16,2517,6,2362,3,2025,12
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,,,,11295,408431,3927,9118,1762,11610,2007,28416,1218,29245,995,37288,672,45398,394,63956,58,21946,110,161454,152
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,1,銀行業,Banking,1635,107227,134,341,157,1073,448,6434,284,6761,280,10543,208,14169,92,13077,9,3412,23,51417,-
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,2,協同組織金融業,Financial institutions for cooperative organizations,1113,28434,73,228,98,714,547,7852,242,5742,97,3436,22,1418,19,3132,6,2289,4,3623,5
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,3,貸金業，クレジットカード業等非預金信用機関,Non-deposit money corporations， including lending and credit card business,1548,48831,786,1903,322,2053,130,1674,66,1573,67,2523,63,4258,70,12671,9,3426,19,18750,16
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,4,金融商品取引業，商品先物取引業,Financial products transaction dealers and futures commodity transaction dealers,1661,62348,635,1236,225,1521,222,3182,127,3067,118,4552,129,9069,80,13487,10,3738,19,22496,96
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,5,補助的金融業等,Financial auxiliaries,363,12282,116,282,79,503,43,600,30,729,27,1026,28,2071,28,4369,2,639,2,2063,8
平成21,2009,Ｊ,金融業，保険業,Finance and insurance,6,保険業(保険媒介代理業，保険サービス業を含む)  ,Insurance institutions， including insurance agents， brokers and services,4975,149309,2183,5128,881,5746,617,8674,469,11373,406,15208,222,14413,105,17220,22,8442,43,63105,27
平成21,2009,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,,,,61712,349477,48011,99083,8692,54312,2756,36218,780,18461,531,19939,360,24421,254,42434,54,20664,40,33945,234
平成21,2009,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,1,不動産取引業,Real estate,12579,92600,8116,20170,2952,18574,952,12265,224,5227,146,5405,86,5685,61,10825,13,5115,12,9334,17
平成21,2009,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,2,不動産賃貸業・管理業,Real estate lessors and managers,45910,199054,38736,76138,4906,30126,1221,15909,277,6505,210,7971,178,12140,140,23239,24,9010,18,18016,200
平成21,2009,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,3,物品賃貸業,Goods rental and leasing,3223,57823,1159,2775,834,5612,583,8044,279,6729,175,6563,96,6596,53,8370,17,6539,10,6595,17
平成21,2009,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,,,,46427,446180,29134,65387,9737,62466,4010,53210,1208,28638,979,36927,715,49379,422,68036,72,27115,58,55022,92
平成21,2009,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,1,学術・開発研究機関,Scientific and development research institutes,1207,41982,457,973,211,1384,179,2429,85,2077,84,3221,81,5607,68,11488,12,4050,14,10753,16
平成21,2009,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,2,専門サービス業(他に分類されないもの),Professional services， n.e.c.,27688,203809,18546,41646,5718,36251,2018,26694,531,12466,393,14705,248,17069,140,22913,22,8022,23,24043,49
平成21,2009,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,3,広告業,Advertising,3565,60102,1549,3744,948,6299,518,6973,185,4436,168,6329,108,7484,57,8766,16,6351,7,9720,9
平成21,2009,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,4,技術サービス業(他に分類されないもの),Technical services， n.e.c.,13967,140287,8582,19024,2860,18532,1295,17114,407,9659,334,12672,278,19219,157,24869,22,8692,14,10506,18
平成21,2009,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,,,,97664,897866,50754,116612,21573,142123,14330,195290,5621,133526,3602,133046,1291,84605,257,37773,27,10463,42,44428,167
平成21,2009,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,1,宿泊業,Accommodations,3417,67984,1473,3251,684,4586,639,8780,236,5528,120,4506,83,5751,69,11272,12,4667,20,19643,81
平成21,2009,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,2,飲食店,Eating and drinking places,89243,762326,47907,109914,19388,127196,12393,168868,4934,117271,3242,119701,1110,72255,156,21891,10,3930,18,21300,85
平成21,2009,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,3,持ち帰り・配達飲食サービス業,Food take out and delivery services,5004,67556,1374,3447,1501,10341,1298,17642,451,10727,240,8839,98,6599,32,4610,5,1866,4,3485,1
平成21,2009,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,,,,49781,368411,33898,72143,8394,53915,3962,53124,1375,32611,1095,41222,633,42059,261,39652,19,7586,25,26099,119
平成21,2009,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,1,洗濯・理容・美容・浴場業,Laundry， beauty and bath services,34359,150433,26677,55569,4973,31602,1767,23164,425,10073,292,10931,130,8710,56,8349,1,460,2,1575,36
平成21,2009,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,2,その他の生活関連サービス業,Miscellaneous living-related and personal services,7296,73826,4061,9458,1720,11067,786,10392,252,5986,201,7457,148,9928,77,11339,8,3167,7,5032,36
平成21,2009,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,3,娯楽業,Services for amusement and hobbies,8126,144152,3160,7116,1701,11246,1409,19568,698,16552,602,22834,355,23421,128,19964,10,3959,16,19492,47
平成21,2009,Ｏ,教育，学習支援業,Education， learning support,,,,20192,451720,8907,17034,3336,22190,2707,37043,1668,40615,2020,76101,978,66096,414,60096,45,17415,89,115130,28
平成21,2009,Ｏ,教育，学習支援業,Education， learning support,1,学校教育,School education,4780,297966,162,425,354,2513,752,10808,911,22641,1510,56924,670,45406,309,44485,28,11061,81,103703,3
平成21,2009,Ｏ,教育，学習支援業,Education， learning support,2,その他の教育，学習支援業,Miscellaneous education， learning support,15412,153754,8745,16609,2982,19677,1955,26235,757,17974,510,19177,308,20690,105,15611,17,6354,8,11427,25
平成21,2009,Ｐ,医療，福祉,Medical， health care and welfare,,,,41357,657165,16311,40271,12203,80482,6244,81882,2115,51011,2340,87826,1242,86098,673,104495,89,34193,95,90907,45
平成21,2009,Ｐ,医療，福祉,Medical， health care and welfare,1,医療業,Medical and other health services,29774,366508,14363,34794,9741,63745,3809,48400,656,15405,399,14711,320,22603,313,54324,78,30028,86,82498,9
平成21,2009,Ｐ,医療，福祉,Medical， health care and welfare,2,保健衛生,Public health and hygiene,496,17795,118,249,81,535,85,1165,46,1099,55,2115,61,4366,45,6179,3,1216,1,871,1
平成21,2009,Ｐ,医療，福祉,Medical， health care and welfare,3,社会保険・社会福祉・介護事業,Social insurance， social welfare and care services,11087,272862,1830,5228,2381,16202,2350,32317,1413,34507,1886,71000,861,59129,315,43992,8,2949,8,7538,35
平成21,2009,Ｑ,複合サービス事業,Compound services,,,,1994,22650,269,663,1157,8093,393,4750,42,1002,78,3115,46,2893,5,732,1,429,1,973,2
平成21,2009,Ｑ,複合サービス事業,Compound services,1,郵便局,Postal services,1538,16715,88,299,1098,7688,258,2999,8,188,53,2175,30,1833,1,131,1,429,1,973,-
平成21,2009,Ｑ,複合サービス事業,Compound services,2,協同組合(他に分類されないもの),Cooperative associations， n.e.c.,456,5935,181,364,59,405,135,1751,34,814,25,940,16,1060,4,601,-,-,-,-,2
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,,,,40016,924454,19712,43847,7715,50694,5017,67543,2039,48670,1922,73456,1611,112164,1223,200331,225,86413,218,241336,334
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,1,廃棄物処理業,Waste disposal business,1356,30695,365,886,275,1828,270,3625,149,3559,126,4794,124,8453,42,6323,1,308,1,919,3
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,2,自動車整備業,Automobile maintenance services,2785,16450,1808,4256,626,4080,213,2768,71,1649,43,1599,17,1088,7,1010,-,-,-,-,-
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,3,機械等修理業(別掲を除く),Machine， etc. repair services， except otherwise classified,3397,52190,1767,3703,601,4021,514,6968,168,4045,136,5153,124,8881,64,9584,11,4480,6,5355,6
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,4,職業紹介・労働者派遣業,Employment and worker dispatching services,3157,227231,889,2204,546,3666,437,5996,226,5403,287,11034,298,21170,315,52629,76,28746,79,96383,4
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,5,その他の事業サービス業,Miscellaneous business services,16383,504285,6665,14626,3145,20980,2397,32566,1096,26261,1078,41281,925,64084,723,119139,132,51067,127,134281,95
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,6,政治・経済・文化団体　,Political， business and cultural organizations,7123,60793,4161,8855,1327,8570,810,10765,266,6286,189,7169,99,6859,55,8972,5,1812,2,1505,209
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,7,宗教,Religion,5222,27066,3843,8769,996,6261,237,3081,51,1176,46,1795,20,1326,12,1765,-,-,3,2893,14
平成21,2009,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,8,その他のサービス業　,Miscellaneous services,593,5744,214,548,199,1288,139,1774,12,291,17,631,4,303,5,909,-,-,-,-,3
平成21,2009,Ｓ,公務(他に分類されるものを除く),Government， except elsewhere classified,,,,2100,248921,499,898,295,2055,310,4190,168,4299,223,8325,140,10001,265,43091,94,35006,105,141056,1
平成21,2009,Ｓ,公務(他に分類されるものを除く),Government， except elsewhere classified,1,国家公務,National government,380,112224,24,55,37,255,38,531,30,742,38,1444,49,3452,85,14326,18,6931,60,84488,1
平成21,2009,Ｓ,公務(他に分類されるものを除く),Government， except elsewhere classified,2,地方公務,Local government,1720,136697,475,843,258,1800,272,3659,138,3557,185,6881,91,6549,180,28765,76,28075,45,56568,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-2  産業 (中分類)， 従業者規模別事業所数及び男女別従業者数 (平成21年) 8-2  ESTABLISHMENTS AND EMPLOYEES BY ESTABLISHMENT EMPLOYMENT SIZE BY GENDER AND INDUSTRY ( MAJOR GROUP ) ( 2009 ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 「従業者数」の「総数」には，男女別が不詳の者が含まれるため，男性と女性の合計が総数に一致しない場合がある。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The combined number of men and women may not equal the total figure because the total figure includes workers whose gender is unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「平成２１年経済センサス-基礎調査報告」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
