年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成21,2009,13350,,島部,All islands,35379,409,6873,5342,6629,375,2679,2591,3439,1046,2718,128,3046,103
平成22,2010,13350,,島部,All islands,35392,399,8167,5478,5340,443,1889,2174,3334,1093,3559,365,3047,104
平成23,2011,13350,,島部,All islands,35484,514,9106,4963,4991,512,1885,1828,3641,1395,3367,207,2979,94
平成23,2011,13361,1,大島町,Oshima-machi,7165,99,1354,1377,887,133,328,426,733,231,747,17,834,-
平成23,2011,13362,2,利島村,Toshima-mura,1055,21,300,125,182,28,133,101,51,11,55,-,49,-
平成23,2011,13363,3,新島村,Niijima-mura,4022,61,1147,507,271,70,249,310,544,90,490,-,281,-
平成23,2011,13364,4,神津島村,Kozushima-mura,2916,56,455,436,253,123,213,213,290,247,512,23,95,-
平成23,2011,13381,5,三宅村,Miyake-mura,4614,65,1356,480,440,43,196,338,362,448,369,166,310,41
平成23,2011,13382,6,御蔵島村,Mikurajima-mura,1179,20,521,114,127,-,65,74,106,11,93,-,48,-
平成23,2011,13401,7,八丈町,Hachijo-machi,9515,106,2387,1274,1887,116,436,187,1328,297,702,1,743,53
平成23,2011,13402,8,青ヶ島村,Aogashima-mura,836,17,308,51,98,-,195,15,10,11,63,-,69,-
平成23,2011,13421,9,小笠原村,Ogasawara-mura,4181,69,1279,599,847,-,69,163,217,50,336,-,551,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成21～平成23年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2009-2011 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
