産業（大分類）,Industry (Division),項番 Item number,産業（中分類）,Industry (Major groups),事業所数 Number of establishments,従業者数 Number of employees,従業者数 Number of employees／うち常用雇用者 Regular employees,収入と経費 Earning and expenditure／収入額 Total income,収入と経費 Earning and expenditure／経費総額 Total expenses,収入と経費 Earning and expenditure／経費総額 Total expenses／うち給与支給額 Wages and salaries,収入と経費 Earning and expenditure／設備投資額 Value of equipment investment,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／収入額 Total income,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／経費総額 Total expenses,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／経費総額 Total expenses／うち給与支給額 Wages and salaries,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／設備投資額 Value of equipment investment
サービス業（他に分類されないもの）,Services， n.e.c.,3,洗濯・理容・美容・浴場業,Laundry， beauty and bath services,35806,143802,100019,…,745790,332594,18797,…,2082,929,410
サービス業（他に分類されないもの）,Services， n.e.c.,4,その他の生活関連サービス業,Miscellaneous living-related and personal services,6651,68604,57457,…,1320974,337105,18468,…,19853,5059,2094
サービス業（他に分類されないもの）,Services， n.e.c.,5,娯楽業,Services for amusement and hobbies,7876,114802,91391,…,4157867,373853,130165,…,52668,4747,8886
サービス業（他に分類されないもの）,Services， n.e.c.,6,廃棄物処理業,Waste disposal business,796,15236,12831,…,223216,82655,12041,…,28183,10431,3947
サービス業（他に分類されないもの）,Services， n.e.c.,7,自動車整備業,Automobile maintenance services,3854,21391,15443,…,234299,84846,4792,…,6079,2202,808
サービス業（他に分類されないもの）,Services， n.e.c.,8,機械等修理業（別掲を除く）,Machine，etc，repair services， except otherwise classified,3142,47792,41686,…,806623,268633,6333,…,25695,8546,1824
サービス業（他に分類されないもの）,Services， n.e.c.,9,物品賃貸業,Goods rental and leasing,3029,49626,44427,…,4994494,226823,2272910,…,160527,7288,294948
サービス業（他に分類されないもの）,Services， n.e.c.,10,広告業,Advertising,3901,63654,54123,…,5110001,467213,8887,…,130797,11935,1192
サービス業（他に分類されないもの）,Services， n.e.c.,11,その他の事業サービス業,Miscellaneous business services,15018,525008,415869,…,4384591,1779022,37244,…,29157,11824,1587
サービス業（他に分類されないもの）,Services， n.e.c.,12,政治・経済・文化団体,Political， business and cultural organizations,6071,57377,48887,…,2268416,324154,34699,…,37381,5342,8671
サービス業（他に分類されないもの）,Services， n.e.c.,13,宗教,Religion,4835,24381,17850,…,220521,82471,50375,…,4561,1706,8981
サービス業（他に分類されないもの）,Services， n.e.c.,14,その他のサービス業,Miscellaneous services,153,2045,1525,…,18802,6919,200,…,12289,4522,2500
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-3  サービス業の産業 （中分類） 別事業所数及び従業者数並びに収入と経費（平成16年6月1日）　12-3  SERVICES ONLY， ESTABLISHMENTS， EMPLOYEES， EARNING， AND EXPENDITURE BY INDUSTRY (MEDIUM GROUP)　 (June 1， 2004),,,,,,,,,,,,,,,
平成16年6月1日実施のサービス業基本調査による結果である。民営の事業所の数値であり，また病院・診療所， 学校，外国公務等は除外されている。,,,,,,,,,,,,,,,
Data are based on Service Industry survey taken as of June 1， 2004. Figures of the table refer to private establishments，  excluding schools， hospitals， clinics， foreign governments， and international agencies in Japan.,,,,,,,,,,,,,,,
注) 結果数値は表章単位未満を四捨五入してあるため， 又は総数に不詳を含むため， 総数と内訳の合計とは必ずしも一致しない。,,,,,,,,,,,,,,,
Note: The sum of its components does not necessarily add up to the total， since the figures are rounded to the unit，or the total may include ‘not reported’.,,,,,,,,,,,,,,,
資料：総務省統計局 「平成16年サービス業基本調査報告」  Source: Ministry of  Internal Affairs and Communications,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
