地域階層,地域コード,地域,District,昼間人口Daytime population／昭和50年1975,昼間人口Daytime population／昭和55年1980,昼間人口Daytime population／昭和60年1985,昼間人口Daytime population／平成2年1990,昼間人口Daytime population／平成7年1995,昼間人口Daytime population／平成12年2000,昼間人口Daytime population／平成17年2005,昼間人口Daytime population／平成17年2005／男Male,昼間人口Daytime population／平成17年2005／女Female,夜間人口Nighttime population／昭和50年1975,夜間人口Nighttime population／昭和55年1980,夜間人口Nighttime population／昭和60年1985,夜間人口Nighttime population／平成2年1990,夜間人口Nighttime population／平成7年1995,夜間人口Nighttime population／平成12年2000,夜間人口Nighttime population／平成17年2005,夜間人口Nighttime population／平成17年2005／男Male,夜間人口Nighttime population／平成17年2005／女Female
2,13223,武蔵村山市,Musashimurayama-shi,48047,55575,58093,58084,59270,59053,59591,28922,30669,50842,57102,60834,65201,66966,66015,66368,33346,33022
2,13224,多摩市,Tama-shi,50938,72591,88725,109413,121918,126570,137622,61156,76466,65466,95205,122101,143223,147673,145857,145877,73140,72737
2,13225,稲城市,Inagi-shi,36103,40553,42030,46499,49117,55521,58913,26390,32523,43924,48135,50764,58380,62371,69209,76394,38970,37424
2,13227,羽村市,Hamura-shi,31119,40547,47003,50283,52603,54044,55966,30225,25741,33129,41983,47201,51828,55084,55868,56452,29107,27345
2,13228,あきる野市,Akiruno-shi,44227,49515,53093,55840,59218,65697,67814,32189,35625,56970,62805,66508,71685,75339,78240,79581,39879,39702
2,13229,西東京市,Nishitokyo-shi,126107,125552,128634,129463,135855,141030,148056,64784,83272,158979,157920,162770,168630,174912,180857,189386,93853,95533
1,13300,郡部,All gun,40668,44047,49619,53254,56289,58099,58824,30120,28704,47447,50686,56100,59885,61215,60252,59088,29543,29545
2,13303,瑞穂町,Mizuho-machi,18772,21424,26623,31210,33658,34871,36088,19307,16781,20739,22795,27028,30896,32714,32790,33476,16898,16578
2,13305,日の出町,Hinode-machi,9069,10850,12053,11634,12487,13579,13965,6570,7395,11463,13853,15787,16432,16684,16631,15941,7899,8042
2,13307,檜原村,Hinohara-mura,3852,3418,3113,2975,2926,2842,2566,1204,1362,4686,4230,4012,3807,3560,3256,2930,1453,1477
2,13308,奥多摩町,Okutama-machi,8975,8355,7830,7435,7218,6807,6205,3039,3166,10559,9808,9273,8750,8257,7575,6741,3293,3448
1,13350,島部,All islands,34165,33792,33799,32554,32366,27967,29176,15095,14081,33987,33674,33587,32325,32077,27640,28737,14748,13989
2,13361,大島町,Oshima-machi,11138,10758,10413,10056,9770,9292,8789,4339,4450,11097,10734,10377,10004,9693,9224,8701,4272,4429
2,13362,利島村,Toshima-mura,287,291,302,326,332,325,327,183,144,274,278,297,315,317,302,308,170,138
2,13363,新島村,Niijima-mura,3699,3696,3663,3516,3180,3176,3199,1582,1617,3685,3684,3653,3505,3163,3147,3161,1541,1620
2,13364,神津島村,Kouzushima-mura,2116,2220,2286,2326,2283,2159,2076,1060,1016,2093,2210,2281,2314,2276,2144,2068,1053,1015
2,13381,三宅村,Miyake-mura,4660,4230,4199,3922,3853,-,2519,1408,1111,4631,4228,4167,3911,3831,-,2439,1331,1108
2,13382,御蔵島村,Mikurajima-mura,186,238,270,306,282,330,312,175,137,177,225,260,293,275,308,292,162,130
2,13401,八丈町,Hachijo-machi,10329,10261,10089,9472,9550,9569,8927,4461,4466,10318,10244,10024,9420,9476,9488,8833,4395,4438
2,13402,青ヶ島村,Aogashima-mura,223,199,230,217,245,228,245,157,88,205,192,225,203,237,203,214,136,78
2,13421,小笠原村,Ogasawara-mura,1527,1899,2347,2413,2871,2888,2782,1730,1052,1507,1879,2303,2360,2809,2824,2721,1688,1033
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,
2-11 地域別昼・夜間人口の推移（昭和50～平成17年） 2-11 CHANGES IN DAYTIME AND NIGHTTIME POPULATION BY DISTRICT ( 1975-2005 ) ,,,,,,,,,,,,,,,,,,,,,
注 1) 各年10月1日現在の「国勢調査」による。,,,,,,,,,,,,,,,,,,,,,
2) 平成17年以前の昼・夜間人口には年齢不詳を含まない。,,,,,,,,,,,,,,,,,,,,,
Note: 1) Data are based on the Population Census taken as of October 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,
2) Data for 2005 and earlier years exclude those of unknown age. ,,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「国勢調査報告」Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,
