年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees 1),総数 Total／従業者数 Number of  employees 1) ／男 Male,総数 Total／従業者数 Number of  employees 1) ／女 Female,農業，林業 Agriculture and forestry／事業所数 Number of establishments,農業，林業 Agriculture and forestry／従業者数 Number of employees 1),農業，林業 Agriculture and forestry／従業者数 Number of employees 1)／男 Male,農業，林業 Agriculture and forestry／従業者数 Number of employees 1)／女 Female,漁業 Fisheries／事業所数 Number of establishments,漁業 Fisheries／従業者数 Number of employees 1),漁業 Fisheries／従業者数 Number of employees 1)／男 Male,漁業 Fisheries／従業者数 Number of employees 1)／女 Female,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／事業所数 Number of establishments,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1),鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／男 Male,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／女 Female,建設業 Construction／事業所数 Number of establishments,建設業 Construction／従業者数 Number of employees 1),建設業 Construction／従業者数 Number of employees 1)／男 Male,建設業 Construction／従業者数 Number of employees 1)／女 Female,製造業 Manufacturing／事業所数 Number of establishments,製造業 Manufacturing／従業者数 Number of employees 1),製造業 Manufacturing／従業者数 Number of employees 1)／男 Male,製造業 Manufacturing／従業者数 Number of employees 1)／女 Female,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1),電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／男 Male,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／女 Female,情報通信業 Information and communications／事業所数 Number of establishments,情報通信業 Information and communications／従業者数 Number of employees 1) ,情報通信業 Information and communications／従業者数 Number of employees 1)／男 Male,情報通信業 Information and communications／従業者数 Number of employees 1)／女 Female,運輸業，郵便業 Transport and postal activities／事業所数 Number of establishments,運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1),運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1)／男 Male,運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1)／女 Female,卸売業，小売業 Wholesale and retail trade／事業所数 Number of establishments,卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1),卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／男 Male,卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／女 Female,金融業，保険業 Finance and insurance／事業所数 Number of establishments,金融業，保険業 Finance and insurance／従業者数 Number of employees 1),金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／男 Male,金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／女 Female,不動産業，物品賃貸業 Real estate and goods rental and leasing／事業所数 Number of establishments,不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1),不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／男 Male,不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／女 Female,学術研究，専門・技術サービス業 Scientific research，professional and technical services／事業所数 Number of establishments,学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1),学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／男 Male,学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／女 Female,宿泊業，飲食サービス業 Accommodations， eating and drinking services／事業所数 Number of establishments,宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1),宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／男 Male,宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／女 Female,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／事業所数 Number of establishments,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1),生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／男 Male,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／女 Female,教育，学習支援業 Education，learning support／事業所数 Number of establishments,教育，学習支援業 Education，learning support／従業者数 Number of employees 1),教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／男 Male,教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／女 Female,医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1),医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／男 Male,医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／女 Female,複合サービス事業 Compound services／事業所数 Number of establishments,複合サービス事業 Compound services／従業者数 Number of employees 1),複合サービス事業 Compound services／従業者数 Number of employees 1)／男 Male,複合サービス事業 Compound services／従業者数 Number of employees 1)／女 Female,サービス業 (他に分類されないもの) Services， n.e.c.／事業所数 Number of establishments,サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1),サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／男 Male,サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／女 Female,公務（他に分類されるものを除く） Government， except elsewhere classified ／事業所数 Number of establishments,公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1),公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／男 Male,公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／女 Female
平成21,2009,3,13111,11,大田区,Ota-ku,33931,368682,233019,135522,17,111,96,…,-,-,-,…,-,-,-,…,2598,19751,16315,…,5695,65022,48707,…,19,1094,927,…,460,10318,8262,…,1658,60795,43345,…,7833,73491,43909,…,390,5503,2670,…,3234,12196,7162,…,1121,8064,5844,…,4281,29556,13318,…,2314,14159,7298,…,677,10695,5311,…,1928,26504,7687,…,99,901,508,…,1529,24130,16568,…,78,6392,5092,…
平成21,2009,3,13112,12,世田谷区,Setagaya-ku,24766,263678,145299,118039,25,191,139,…,-,-,-,…,1,27,17,…,1764,14433,11720,…,809,8399,5659,…,16,973,760,…,393,7569,5314,…,633,13544,12007,…,6912,63245,33975,…,270,6243,2430,…,1996,10782,6832,…,916,6908,4321,…,3742,30624,15608,…,2588,13400,6522,…,1145,28988,14669,…,2367,33768,9841,…,101,989,493,…,1001,16913,10478,…,87,6682,4514,…
平成21,2009,3,13113,13,渋谷区,Shibuya-ku,26520,459519,271490,187426,6,99,35,…,-,-,-,…,2,21,10,…,797,17303,14795,…,937,20469,13958,…,12,594,495,…,2130,69267,49281,…,202,10434,8763,…,6846,103615,53954,…,410,14289,8192,…,2325,20877,13411,…,3096,29769,18995,…,3997,47393,26742,…,2108,24219,11597,…,825,19335,9687,…,1206,15784,5044,…,44,457,270,…,1539,61688,33258,…,38,3906,3003,…
平成21,2009,3,13114,14,中野区,Nakano-ku,14367,125683,72518,52384,7,315,188,…,-,-,-,…,1,2,1,…,1031,9373,7517,…,587,5235,3351,…,9,240,181,…,499,9636,6982,…,281,6329,5567,…,3207,25662,14078,…,166,4790,2350,…,2059,5860,3317,…,904,5837,3632,…,2038,12843,6670,…,1327,6367,3381,…,488,8550,4281,…,1062,13124,3621,…,33,358,167,…,630,8318,5132,…,38,2844,2102,…
平成21,2009,3,13115,15,杉並区,Suginami-ku,21762,180285,100384,79783,18,92,67,…,-,-,-,…,-,-,-,…,1435,11191,9034,…,651,6197,4250,…,8,754,584,…,613,7648,5234,…,462,12236,10206,…,5117,39837,22186,…,242,4521,2194,…,3034,9512,5274,…,1229,5579,3575,…,3281,20361,10074,…,1887,9534,4567,…,863,12083,5555,…,1889,23294,6357,…,62,634,327,…,924,12373,7766,…,47,4439,3134,…
平成21,2009,3,13116,16,豊島区,Toshima-ku,18934,279690,162324,117116,6,35,29,…,-,-,-,…,-,-,-,…,1025,12500,10315,…,1018,14353,10428,…,10,581,445,…,880,25744,19312,…,241,6641,5792,…,4609,48743,26387,…,385,17857,7444,…,1860,12503,7614,…,1556,15400,11322,…,3018,34469,18027,…,1470,12706,6375,…,610,16879,9310,…,1114,13700,4043,…,55,507,281,…,1046,43359,22507,…,31,3713,2693,…
平成21,2009,3,13117,17,北区,Kita-ku,15060,143112,87729,55259,3,27,22,…,1,1,1,…,1,3,1,…,1215,10072,8508,…,1400,16744,12211,…,9,520,455,…,204,3489,2647,…,518,13785,12577,…,3755,29588,16479,…,177,3638,1516,…,1431,4127,2288,…,646,6119,4604,…,2218,14522,6478,…,1266,6203,3115,…,422,7251,3267,…,1060,13519,3788,…,45,411,188,…,623,6914,4718,…,66,6179,4866,…
平成21,2009,3,13118,18,荒川区,Arakawa-ku,10951,90820,55557,35209,-,-,-,…,-,-,-,…,1,33,25,…,825,6456,5380,…,2463,16190,11292,…,13,2333,1947,…,121,2079,1629,…,281,7029,6467,…,2750,17880,9562,…,104,1442,765,…,717,2328,1383,…,318,2316,1728,…,1316,7568,3424,…,762,4181,2217,…,225,3563,1694,…,615,8886,2464,…,22,196,101,…,387,5951,3710,…,31,2389,1769,…
平成21,2009,3,13119,19,板橋区,Itabashi-ku,21062,212996,124904,87957,16,102,67,…,-,-,-,…,2,30,27,…,1877,13721,11320,…,2528,32906,24381,…,18,645,492,…,258,3221,2008,…,1050,19454,17091,…,4890,43860,24354,…,227,3057,1257,…,1665,5968,3413,…,753,4197,2697,…,2861,17356,7260,…,1793,9835,4989,…,644,11681,5724,…,1526,31675,9679,…,56,571,272,…,865,11185,7190,…,33,3532,2683,…
平成21,2009,3,13120,20,練馬区,Nerima-ku,22183,194976,109197,85693,18,124,88,…,-,-,-,…,-,-,-,…,2677,19912,16462,…,1160,10186,6386,…,16,654,532,…,412,3833,2548,…,1123,13416,11467,…,5229,40648,21192,…,250,4207,1398,…,2072,7514,4381,…,966,4234,2700,…,2459,18972,8756,…,1997,10173,4725,…,903,13804,6371,…,1865,26245,6751,…,81,955,463,…,898,9273,6055,…,57,10826,8922,…
平成21,2009,3,13121,21,足立区,Adachi-ku,28943,241446,142143,99002,11,109,85,…,-,-,-,…,-,-,-,…,3062,22794,19046,…,4290,30797,19311,…,12,610,494,…,173,1072,672,…,2054,28959,24944,…,6981,51391,27569,…,332,4351,1824,…,2109,7728,4562,…,755,4081,2543,…,3408,22368,8994,…,2159,9932,4542,…,658,8768,3785,…,1541,26386,7519,…,80,777,370,…,1260,16159,12021,…,58,5164,3862,…
平成21,2009,3,13122,22,葛飾区,Katsushika-ku,20112,151208,84032,67068,6,39,32,…,-,-,-,…,1,3,-,…,1619,10750,8962,…,3793,23368,14826,…,8,606,535,…,140,667,422,…,753,12779,11316,…,4681,31843,16133,…,217,2841,1223,…,1738,5476,2715,…,543,2917,1932,…,2442,14903,6341,…,1644,8068,3837,…,489,7265,3226,…,1202,18893,4888,…,55,577,263,…,720,6247,4222,…,61,3966,3159,…
平成21,2009,3,13123,23,江戸川区,Edogawa-ku,23599,204212,115854,88228,14,169,126,…,-,-,-,…,-,-,-,…,2351,18844,15446,…,3400,23958,15669,…,10,480,381,…,155,2356,1554,…,1727,19605,16125,…,5413,43569,23071,…,255,3546,1552,…,1702,7062,4124,…,577,3985,2535,…,2832,21787,9109,…,1950,9567,4522,…,610,10678,4613,…,1445,20864,5383,…,69,654,342,…,1049,13060,8343,…,40,4028,2959,…
平成21,2009,3,13199,24,境界未定地域,Unattached area,543,21225,13046,8123,-,-,-,…,-,-,-,…,-,-,-,…,9,141,113,…,14,1072,811,…,2,203,196,…,14,5531,2877,…,10,208,205,…,167,1800,1007,…,11,2812,1911,…,24,573,480,…,24,3529,2651,…,192,3154,1671,…,24,536,297,…,4,28,13,…,5,30,11,…,3,22,10,…,39,1579,792,…,1,7,1,…
平成21,2009,1,13200,,市部,All shi,135110,1570745,858085,711018,226,1620,1218,…,2,29,26,…,14,123,111,…,13448,88612,71635,…,7901,179771,135046,…,133,4936,4335,…,2622,48060,33823,…,2383,79139,66042,…,32237,301902,146617,…,1876,36439,14567,…,12102,47387,28192,…,6359,48727,33322,…,18350,170580,74088,…,11951,77678,34406,…,6436,127693,64634,…,11031,207093,54054,…,543,6952,3758,…,6895,103795,62103,…,601,40209,30108,…
平成21,2009,3,13201,1,八王子市,Hachioji-shi,19828,233990,131378,102316,26,243,175,…,1,25,25,…,1,4,3,…,2050,14090,11602,…,1679,29780,21778,…,13,1095,981,…,305,3985,2369,…,417,11689,9892,…,4670,47459,24387,…,262,3971,1616,…,1538,5504,3280,…,941,6320,4325,…,2564,23375,10436,…,1635,10873,4974,…,876,20676,12006,…,1538,31638,8545,…,77,823,436,…,1163,17787,11001,…,72,4653,3547,…
平成21,2009,3,13202,2,立川市,Tachikawa-shi,8204,118617,65687,52835,6,36,33,…,-,-,-,…,3,8,5,…,692,5955,4876,…,325,5282,3773,…,13,1093,963,…,224,5098,4028,…,149,5132,4302,…,2095,22812,11684,…,224,5624,2719,…,662,3833,2379,…,424,3911,2525,…,1260,14169,5934,…,654,6148,2496,…,320,5494,2528,…,559,12571,3828,…,29,290,160,…,516,15621,8920,…,49,5540,4534,…
平成21,2009,3,13203,3,武蔵野市,Musashino-shi,8124,90310,48546,41661,3,22,19,…,-,-,-,…,-,-,-,…,343,2355,1744,…,169,6982,5620,…,5,347,290,…,281,3777,2642,…,92,2529,2231,…,2019,17426,7554,…,134,2258,859,…,1131,4870,2841,…,406,3344,2308,…,1438,17318,9182,…,709,5017,2359,…,401,7343,3789,…,637,8836,2229,…,19,199,97,…,312,6065,3672,…,25,1622,1110,…
平成21,2009,3,13204,4,三鷹市,Mitaka-shi,5833,67124,39453,27668,9,43,33,…,-,-,-,…,1,9,8,…,547,3660,3008,…,326,8809,7197,…,4,58,55,…,160,2456,1755,…,197,5338,4782,…,1134,11156,6398,…,53,1459,672,…,1004,2624,1469,…,299,2125,1496,…,639,4742,2142,…,448,2137,1040,…,228,7670,3554,…,454,9347,2256,…,26,261,134,…,281,3547,2272,…,23,1683,1182,…
平成21,2009,3,13205,5,青梅市,Ome-shi,5092,57236,31848,25317,14,143,113,…,-,-,-,…,3,85,83,…,649,3128,2516,…,630,13622,9909,…,9,292,261,…,32,648,518,…,91,2166,1799,…,1208,9653,4720,…,58,1011,465,…,280,834,482,…,179,1538,1132,…,646,4727,1756,…,424,2888,1337,…,196,2308,1146,…,309,9761,2628,…,25,466,263,…,298,2655,1718,…,41,1311,1002,…
平成21,2009,3,13206,6,府中市,Fuchu-shi,8249,124322,73802,50333,16,109,64,…,1,4,1,…,-,-,-,…,914,6900,5689,…,408,17700,13900,…,8,212,205,…,190,9699,7743,…,132,5526,4641,…,1902,22438,11522,…,101,2205,869,…,856,2913,1703,…,341,3239,2436,…,1130,11644,4429,…,690,5306,2147,…,366,9036,5045,…,645,13482,3504,…,35,425,237,…,485,9438,6366,…,29,4046,3301,…
平成21,2009,3,13207,7,昭島市,Akishima-shi,3981,49851,28622,21188,5,61,51,…,-,-,-,…,1,1,1,…,390,2555,2073,…,331,10406,7692,…,6,153,137,…,43,537,430,…,88,4484,3434,…,985,10191,4815,…,45,585,264,…,279,1690,1156,…,140,1328,971,…,591,4361,1722,…,387,2625,1036,…,181,1999,894,…,287,4821,1227,…,17,223,139,…,182,2913,1841,…,23,918,739,…
平成21,2009,3,13208,8,調布市,Chofu-shi,7181,81703,44100,37539,14,55,44,…,-,-,-,…,3,13,9,…,665,4937,4098,…,348,4993,3517,…,4,188,133,…,176,2800,1945,…,132,3795,3187,…,1745,15102,7527,…,74,4733,2014,…,647,2697,1613,…,344,2895,2062,…,1028,10337,4741,…,643,4144,1997,…,356,7621,3999,…,607,9516,2800,…,28,293,142,…,348,5180,2576,…,19,2404,1696,…
平成21,2009,3,13209,9,町田市,Machida-shi,12855,142839,70410,72203,37,250,194,…,-,-,-,…,1,2,1,…,1315,8093,6433,…,601,9543,6023,…,6,332,305,…,252,2968,1736,…,172,4616,3670,…,3203,32351,14974,…,226,3592,1307,…,1032,5154,3139,…,715,3633,2332,…,1568,18147,7676,…,1181,8049,3439,…,700,14607,7243,…,1072,19508,5079,…,46,652,344,…,670,8634,4514,…,58,2708,2001,…
