年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成23,2011,2,13203,武蔵野市,Musashino-shi,15,7,8,1387,652,735,1413,675,738
平成23,2011,2,13204,三鷹市,Mitaka-shi,28,19,9,2221,1554,667,2146,1464,682
平成23,2011,2,13205,青梅市,Ome-shi,32,-,32,3141,-,3141,3217,2,3215
平成23,2011,2,13206,府中市,Fuchu-shi,38,16,22,4025,1745,2280,4013,1750,2263
平成23,2011,2,13207,昭島市,Akishima-shi,20,2,18,2484,200,2284,2490,187,2303
平成23,2011,2,13208,調布市,Chofu-shi,31,12,19,2960,1175,1785,3075,1207,1868
平成23,2011,2,13209,町田市,Machida-shi,56,9,47,5050,805,4245,5312,815,4497
平成23,2011,2,13210,小金井市,Koganei-shi,13,5,8,1343,525,818,1370,546,824
平成23,2011,2,13211,小平市,Kodaira-shi,18,10,8,1877,1157,720,1977,1205,772
平成23,2011,2,13212,日野市,Hino-shi,30,12,18,2728,1255,1473,2845,1240,1605
平成23,2011,2,13213,東村山市,Higashimurayama-shi,17,8,9,1701,810,891,1879,883,996
平成23,2011,2,13214,国分寺市,Kokubunji-shi,17,7,10,1638,738,900,1511,703,808
平成23,2011,2,13215,国立市,Kunitachi-shi,11,4,7,1110,416,694,1116,402,714
平成23,2011,2,13218,福生市,Fussa-shi,12,1,11,1200,80,1120,1182,83,1099
平成23,2011,2,13219,狛江市,Komae-shi,9,6,3,872,625,247,834,624,210
平成23,2011,2,13220,東大和市,Higashiyamato-shi,15,1,14,1747,105,1642,1776,114,1662
平成23,2011,2,13221,清瀬市,Kiyose-shi,13,8,5,1178,578,600,1118,522,596
平成23,2011,2,13222,東久留米市,Higashikurume-shi,16,10,6,1573,1019,554,1628,1036,592
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,1983,120,1863,1968,119,1849
平成23,2011,2,13224,多摩市,Tama-shi,20,2,18,2357,218,2139,2411,207,2204
平成23,2011,2,13225,稲城市,Inagi-shi,13,5,8,1531,504,1027,1552,505,1047
平成23,2011,2,13227,羽村市,Hamura-shi,12,4,8,1221,342,879,1176,259,917
平成23,2011,2,13228,あきる野市,Akiruno-shi,15,3,12,1698,200,1498,1733,174,1559
平成23,2011,2,13229,西東京市,Nishitokyo-shi,24,17,7,2392,1732,660,2419,1769,650
平成23,2011,1,13300,郡部,All gun,14,2,12,1300,230,1070,1246,226,1020
平成23,2011,1,13350,島部,All islands,16,14,2,1097,997,100,715,595,120
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成19～23年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2007-2011 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
