年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成23,2011,2,13229,西東京市,Nishitokyo-shi,-,-,-,351910,25823,326087,1618,4925,201,71
平成23,2011,2,13303,瑞穂町,Mizuho-machi,-,1,-,195160,14667,180493,751,2157,104,47
平成23,2011,2,13305,日の出町,Hinode-machi,-,1,-,108518,4581,103937,247,1346,184,134
平成23,2011,2,13308,奥多摩町,Okutama-machi,-,-,-,109435,-,109435,361,887,196,-
平成23,2011,2,,多摩ニュータウン,Tama New Town,-,-,-,380572,51641,328931,1879,5168,558,209
平成23,2011,2,,その他,Others,2,1,-,15886,15632,254,2,19,33,25
平成23,2011,1,99999,都外,Outside Tokyo-to,3,-,-,10724,10704,20,-,17,29,20
,,,,,,,,,,,,,,,
6-5  地域別上水道施設及び付属設備 （平成19～23年度末） ,,,,,,,,,,,,,,,
WATERWORKS FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,,,
(End of Fiscal Years 2007～2011) ,,,,,,,,,,,,,,,
この表は， 都水道局の事業実績である。 区部及び多摩地区26市町に給水するほか， 武蔵野， 昭島， 羽村の 3市に分水している。 ,,,,,,,,,,,,,,,
The table shows business activities of the Bureau of Waterworks,,,,,,,,,,,,,,,
26 cities and towns in the Tama area. Water is also shared with Musashino,,,,,,,,,,,,,,,
　資料：都水道局総務部調査課　　　Source : Bureau of  Waterworks,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市郡部・都外　2:区市町村・多摩ニュータウン・その他）,,,,,,,,,,,,,,,
