年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成23,2011,2,13112,世田谷区,Setagaya-ku,19,世田谷署,Setagaya F. Sta.,587,473,511,97,178,202,20,14,6,1779,618,199,115,8,609,191,39,1202,7147,4658
平成23,2011,2,13112,世田谷区,Setagaya-ku,20,玉川署,Tamagawa F. Sta.,288,229,265,46,87,111,12,9,-,843,316,79,6,3,327,96,16,571,3302,2143
平成23,2011,2,13112,世田谷区,Setagaya-ku,21,成城署,Seijo F. Sta.,342,283,304,59,105,112,14,14,-,1026,433,90,1,7,370,95,30,729,4015,2742
平成23,2011,2,13113,渋谷区,Shibuya-ku,22,渋谷署,Shibuya F. Sta.,488,362,372,56,112,190,6,8,1,1559,599,222,4,25,527,154,28,871,6334,3380
平成23,2011,2,13104,新宿区,Shinjuku-ku,23,四谷署,Yotsuya F. Sta.,178,146,150,24,56,66,-,4,-,469,189,40,-,5,185,48,2,328,1824,1229
平成23,2011,2,13104,新宿区,Shinjuku-ku,24,牛込署,Ushigome F. Sta.,182,141,136,19,56,43,9,9,-,512,195,61,-,-,186,70,-,310,2146,1245
平成23,2011,2,13104,新宿区,Shinjuku-ku,25,新宿署,Shinjuku F. Sta.,467,344,348,70,134,117,11,16,90,1597,620,186,1,26,511,226,27,993,6813,4135
平成23,2011,2,13114,中野区,Nakano-ku,26,中野署,Nakano F. Sta.,289,231,245,48,87,96,11,3,-,864,344,95,-,14,306,93,12,591,3484,2287
平成23,2011,2,13114,中野区,Nakano-ku,27,野方署,Nogata F. Sta.,253,205,201,45,79,54,11,12,1,824,269,104,51,4,265,123,8,531,3283,2046
平成23,2011,2,13115,杉並区,Suginami-ku,28,杉並署,Suginami F. Sta.,552,462,508,88,162,225,22,11,1,1565,615,168,2,3,596,172,9,1078,6078,4024
平成23,2011,2,13115,杉並区,Suginami-ku,29,荻窪署,Ogikubo F. Sta.,395,324,374,54,124,176,16,4,1,1321,346,115,168,48,448,173,23,943,5300,3706
平成23,2011,2,13105,文京区,Bunkyo-ku,30,小石川署,Koishikawa F. Sta.,213,167,187,31,64,75,10,7,-,612,242,61,-,4,232,71,2,388,2468,1524
平成23,2011,2,13105,文京区,Bunkyo-ku,31,本郷署,Hongo F. Sta.,173,147,145,37,52,49,4,3,-,460,183,41,-,1,175,58,2,333,1900,1354
平成23,2011,2,13116,豊島区,Toshima-ku,32,豊島署,Toshima F. Sta.,275,213,214,45,72,76,12,9,-,856,326,100,-,15,293,108,14,549,3597,2267
平成23,2011,2,13116,豊島区,Toshima-ku,33,池袋署,Ikebukuro F. Sta.,296,235,266,46,90,103,15,12,-,861,336,90,-,9,318,102,6,576,3530,2274
平成23,2011,2,13117,北区,Kita-ku,34,王子署,Oji F. Sta.,303,264,270,52,94,89,13,22,1,901,338,93,19,7,317,104,23,632,3572,2434
平成23,2011,2,13117,北区,Kita-ku,35,赤羽署,Akabane F. Sta.,232,180,167,32,60,58,11,6,-,793,275,98,26,7,235,116,36,477,3264,1882
平成23,2011,2,13117,北区,Kita-ku,36,滝野川署,Takinogawa F. Sta.,143,112,127,31,32,51,6,7,-,432,171,54,2,2,149,53,1,274,1732,1049
平成23,2011,2,13119,板橋区,Itabashi-ku,37,板橋署,Itabashi F. Sta.,449,382,430,81,134,198,12,5,1,1269,399,112,123,6,487,132,10,934,4935,3531
平成23,2011,2,13119,板橋区,Itabashi-ku,38,志村署,Shimura F. Sta.,516,387,430,85,132,178,16,19,3,1563,414,183,179,4,552,205,26,958,6214,3639
平成23,2011,2,13120,練馬区,Nerima-ku,39,練馬署,Nerima F. Sta.,322,258,270,69,92,87,14,8,1,978,262,108,120,5,339,126,18,657,3865,2533
平成23,2011,2,13120,練馬区,Nerima-ku,40,光が丘署,Hikarigaoka F. Sta.,202,167,188,33,54,81,11,9,-,580,214,51,-,1,219,92,3,403,2404,1648
平成23,2011,2,13120,練馬区,Nerima-ku,41,石神井署,Shakujii F. Sta.,395,316,328,76,114,113,12,13,1,1099,431,113,8,6,396,141,4,751,4531,3022
平成23,2011,2,13106,台東区,Taito-ku,42,上野署,Ueno F. Sta.,239,203,216,53,66,74,18,5,-,631,254,56,1,-,248,71,1,450,2690,1870
平成23,2011,2,13106,台東区,Taito-ku,43,浅草署,Asakusa F. Sta.,115,90,84,20,42,15,2,5,1,362,145,38,-,4,118,41,16,226,1574,944
平成23,2011,2,13106,台東区,Taito-ku,44,日本堤署,Nihonzutsumi F. Sta.,124,103,118,25,47,34,8,4,2,376,143,26,-,1,140,38,28,262,1582,1056
平成23,2011,2,13118,荒川区,Arakawa-ku,45,荒川署,Arakawa F. Sta.,206,180,193,47,56,63,16,11,-,678,259,68,12,4,228,85,22,499,2722,1977
平成23,2011,2,13118,荒川区,Arakawa-ku,46,尾久署,Ogu F. Sta.,135,108,104,20,44,29,5,6,-,376,136,39,7,-,134,45,15,249,1485,946
平成23,2011,2,13121,足立区,Adachi-ku,47,千住署,Senju F. Sta.,217,184,203,38,53,90,9,13,-,755,264,83,23,1,233,86,65,505,3049,1993
平成23,2011,2,13121,足立区,Adachi-ku,48,足立署,Adachi F. Sta.,563,450,439,86,136,173,22,22,2,1699,542,200,102,7,607,220,21,1058,6784,4034
平成23,2011,2,13121,足立区,Adachi-ku,49,西新井署,Nishiarai F. Sta.,389,314,339,53,114,149,12,11,4,1214,465,131,17,5,427,137,32,790,4819,3028
平成23,2011,2,13107,墨田区,Sumida-ku,50,本所署,Honjo F. Sta.,277,240,258,47,96,95,13,7,-,786,311,66,3,3,294,81,28,580,3279,2367
平成23,2011,2,13107,墨田区,Sumida-ku,51,向島署,Mukojima F. Sta.,201,152,146,33,54,47,4,8,1,621,170,74,70,6,211,77,13,377,2520,1465
平成23,2011,2,13108,江東区,Koto-ku,52,深川署,Fukagawa F. Sta.,410,327,401,68,121,158,36,18,3,1350,434,167,89,16,457,146,41,912,5455,3622
平成23,2011,2,13108,江東区,Koto-ku,53,城東署,Joto F. Sta.,405,304,342,63,116,131,11,21,-,1322,349,155,140,36,444,165,33,825,5328,3230
平成23,2011,2,13122,葛飾区,Katsushika-ku,54,本田署,Honden F. Sta.,540,461,498,65,179,202,25,27,-,1672,518,162,144,29,585,183,51,1190,6588,4593
平成23,2011,2,13122,葛飾区,Katsushika-ku,55,金町署,Kanamachi F. Sta.,269,208,239,39,66,93,23,18,-,800,139,94,160,-,290,105,12,490,3195,1868
平成23,2011,2,13123,江戸川区,Edogawa-ku,56,江戸川署,Edogawa F. Sta.,361,298,338,76,105,127,11,19,-,1191,280,115,161,52,398,134,51,802,4722,3105
平成23,2011,2,13123,江戸川区,Edogawa-ku,57,葛西署,Kasai F. Sta.,407,350,397,69,141,158,18,11,-,1167,389,102,83,4,446,114,29,820,4572,3080
平成23,2011,2,13123,江戸川区,Edogawa-ku,58,小岩署,Koiwa F. Sta.,259,214,204,47,82,55,9,11,2,888,303,90,53,8,276,99,59,610,3681,2469
平成23,2011,3,,消防事務受託地区,Entrusted districts,,,,7043,5870,6363,1070,1998,2798,302,195,41,19924,7188,972,1199,56,7502,2255,752,14274,78463,55071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-16  消防署別救助活動状況（平成21～23年） 20-16  RESCUE OPERATIONS BY FIRE STATION ( 2009-2011 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) その他には次のものが含まれる。照明車，指揮統制車，水難救助車，救出救助車，ヘリコプター，消防艇。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)  ""Others"" include floodlight trucks， command and operations vehicles， water rescue vehicles， heavy vehicles for rescue， fire helicopters， and fireboats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区),,,,,,,,,,,,,,,,,,,,,,,,,,,,
