階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
5,13402,従業地・通学地／青ヶ島村,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-
5,13421,従業地・通学地／小笠原村,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,-,-
1,,従業地・通学地／他道府県,…,48132,32564,212,468,655,687,807,500,813,1721,1409,1027,3272,4001,555,667,1385,792,987,734,1674,2515,2390,2067,3226,15367,2011,445,323,438,386,708,309,574,3728,284,597,565,560,463,227,124,366,228,364,408,140,464,464,195,225,771,188,138,33,4,13,13,4,-,5,1,1,-,1,-,1,…,…,…,…,…,…,…,…,…
2,,従業地・通学地／関東地方,…,45864,31648,196,436,623,657,772,487,796,1674,1364,989,3206,3876,535,641,1314,770,963,713,1627,2429,2357,2038,3185,14035,1503,377,301,410,360,648,258,542,3616,258,568,432,541,426,208,106,360,215,354,398,134,431,445,179,212,753,171,127,27,4,13,10,2,-,5,1,1,-,-,-,1,…,…,…,…,…,…,…,…,…
3,08000,従業地・通学地／茨城県,…,784,651,10,7,11,8,22,21,30,36,15,10,20,53,13,17,18,12,22,39,21,31,113,70,52,132,13,5,10,5,3,7,2,9,6,9,6,5,5,8,4,-,4,3,4,5,1,2,4,1,3,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
3,09000,従業地・通学地／栃木県,…,156,109,3,-,2,7,4,3,4,9,5,1,11,7,3,3,3,5,3,-,9,9,5,6,7,47,9,1,3,4,1,3,-,4,3,2,4,1,2,-,1,1,-,1,-,-,2,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
3,10000,従業地・通学地／群馬県,…,182,138,-,3,1,4,6,5,9,9,4,4,2,13,1,2,6,4,10,3,6,10,20,9,7,42,8,1,-,-,3,-,3,-,4,1,3,2,2,1,-,1,-,-,2,2,1,2,1,1,3,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
3,11000,従業地・通学地／埼玉県,…,12448,7847,38,91,75,181,237,144,165,296,176,103,287,398,80,235,340,318,506,227,901,1355,975,370,349,4476,294,194,86,121,256,201,140,77,94,108,347,132,407,177,76,65,31,142,276,298,96,40,47,116,141,514,120,95,14,3,8,5,1,-,2,-,1,-,-,-,1,…,…,…,…,…,…,…,…,…
3,12000,従業地・通学地／千葉県,…,9971,9085,54,157,91,143,198,165,422,860,210,87,360,324,70,88,197,141,198,276,265,324,899,1306,2250,877,98,26,57,71,10,64,20,53,81,31,40,32,31,46,11,7,14,16,25,28,8,19,11,16,6,56,7,5,1,-,1,2,-,-,1,1,-,-,-,-,-,…,…,…,…,…,…,…,…,…
3,14000,従業地・通学地／神奈川県,…,22323,13818,91,178,443,314,305,149,166,464,954,784,2526,3081,368,296,750,290,224,168,425,700,345,277,520,8461,1081,150,145,209,87,373,93,399,3428,107,168,260,94,194,116,32,311,53,47,65,26,365,382,45,59,172,41,25,11,1,4,3,1,-,2,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
3,,従業地・通学地／関東地方以外の道府県,…,2268,916,16,32,32,30,35,13,17,47,45,38,66,125,20,26,71,22,24,21,47,86,33,29,41,1332,508,68,22,28,26,60,51,32,112,26,29,133,19,37,19,18,6,13,10,10,6,33,19,16,13,18,17,11,6,-,-,3,2,-,-,-,-,-,1,-,-,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和２年国勢調査による東京都の昼間人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第７表の４ 地域相互間の昼夜間移動状況 -通学者（15歳以上）-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階層（0：全国　1:東京都以外の道府県　2:関東地方　3:都道府県　4:区部_市部_郡部_島部　5:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　1)　従業地・通学地の全国総数については［従業・通学市区町村「不詳・外国」］及び［従業地・通学地「不詳」］を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
