分類コード／部門名,Ｋ01／農林水産業,Ｋ06／鉱業,Ｋ11／飲食料品,Ｋ15／繊維製品,Ｋ16／パルプ・紙・木製品,Ｋ20／化学製品,Ｋ21／石油・石炭製品,Ｋ22／プラスチック・ゴム,Ｋ25／窯業・土石製品,Ｋ26／鉄鋼,Ｋ27／非鉄金属,Ｋ28／金属製品,Ｋ29／はん用機械,Ｋ30／生産用機械,Ｋ31／業務用機械,Ｋ32／電子部品,Ｋ33／電気機械,Ｋ34／情報・通信機器,Ｋ35／輸送機械,Ｋ39／その他の製造工業製品,Ｋ41／建設,Ｋ46／電力・ガス・熱供給,Ｋ47／水道,Ｋ48／廃棄物処理,Ｋ51／商業,Ｋ53／金融・保険,Ｋ55／不動産,Ｋ57／運輸・郵便,Ｋ59／情報通信,Ｋ61／公務,Ｋ63／教育・研究,Ｋ64／医療・福祉,Ｋ65／その他の非営利団体サービス,Ｋ66／対事業所サービス,Ｋ67／対個人サービス,Ｋ68／事務用品,Ｋ69／分類不明,Ｌ10／本社,行和,感応度係数
Ａ66／対事業所サービス,0.062478,0.097627,0.088405,0.115042,0.097654,0.124791,0.053799,0.077363,0.146657,0.079219,0.087831,0.069068,0.125961,0.111323,0.113054,0.155609,0.141674,0.145375,0.130426,0.101424,0.150776,0.15945,0.255119,0.122142,0.09691,0.131519,0.059069,0.174839,0.231873,0.146825,0.102299,0.137687,0.123979,1.201488,0.087701,0.103666,0.114884,0.113203,5.638207,2.514856
Ａ67／対個人サービス,0.001165,0.001163,0.010268,0.001633,0.001319,0.001736,0.000524,0.001055,0.00157,0.001205,0.001133,0.000897,0.001584,0.00161,0.001515,0.002073,0.001993,0.002099,0.001577,0.001469,0.001586,0.00166,0.00296,0.001228,0.002096,0.001947,0.001289,0.002398,0.017881,0.002487,0.002494,0.026947,0.004813,0.006105,1.020764,0.001604,0.004689,0.001276,1.141811,0.509291
Ａ68／事務用品,0.001935,0.001462,0.001696,0.002338,0.00142,0.002051,0.000517,0.001133,0.002024,0.001176,0.001365,0.000962,0.001919,0.001833,0.00185,0.002154,0.002198,0.002286,0.00179,0.001988,0.001368,0.001417,0.001733,0.002969,0.002106,0.002635,0.000834,0.001846,0.002187,0.002129,0.003554,0.003337,0.002723,0.001952,0.00193,1.001731,0.00121,0.004935,1.074691,0.479353
Ａ69／分類不明,0.026938,0.01652,0.015124,0.025964,0.021192,0.009274,0.010906,0.012861,0.046476,0.015385,0.013157,0.011329,0.024253,0.017735,0.013212,0.013693,0.013067,0.013939,0.017636,0.01029,0.022581,0.015782,0.017554,0.00692,0.00956,0.006874,0.007395,0.015137,0.012435,0.006869,0.012604,0.011336,0.008808,0.013372,0.009273,0.016914,1.006053,0.003183,1.551601,0.692073
Ｂ10／本社,0.05512,0.099434,0.097799,0.208875,0.11019,0.200661,0.039028,0.097817,0.121055,0.08589,0.101976,0.088204,0.137616,0.11207,0.151126,0.155623,0.138473,0.153016,0.11178,0.168813,0.146305,0.132665,0.089207,0.113173,0.163956,0.185621,0.086868,0.126836,0.247202,0.071991,0.050207,0.077248,0.104612,0.189782,0.080078,0.137108,0.060693,1.046941,5.545058,2.473308
列和,1.767824,1.965151,2.388101,2.55849,2.336518,2.489172,1.593815,2.034669,2.346295,3.436483,2.772499,2.223606,2.766592,2.527308,2.531014,2.916154,2.839708,2.957988,3.275933,2.145588,2.155461,2.530716,2.203173,1.790984,1.600336,1.688759,1.448107,2.024119,2.076394,1.88049,1.531048,2.001662,1.696822,1.959616,1.94949,3.132282,2.115154,1.536961,,
影響力係数,0.788517,0.876533,1.065184,1.141185,1.042177,1.110266,0.710903,0.90754,1.046537,1.532803,1.236641,0.991813,1.234006,1.127276,1.128929,1.300716,1.266619,1.319376,1.461192,0.957014,0.961418,1.128796,0.982699,0.798847,0.713811,0.753251,0.645911,0.902835,0.926151,0.838771,0.682906,0.892818,0.756847,0.874064,0.869547,1.397118,0.94344,0.685543,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１-３（参考表）　平成23年（2011年）逆行列係数表 　（地域内表、統合大分類）　（I-A)^-1型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
