年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち常雇（再掲）（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男／就業者数／雇用者数／うち常雇（再掲）（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員（千人）,女／就業者数／雇用者数／うち常雇（再掲）（千人）
実数／平成24年４～６月平均,2012,04～06,7135,537,113,6442,…,…,5585,4233,397,29,3783,…,…,3468,2903,140,84,2659,…,…,2118
実数／平成24年７～９月平均,2012,07～09,7044,563,104,6339,…,…,5496,4091,394,19,3656,…,…,3332,2953,169,84,2683,…,…,2164
実数／平成24年10～12月平均,2012,10～12,7029,556,96,6319,…,…,5484,4111,402,13,3667,…,…,3339,2918,154,84,2652,…,…,2145
実数／平成25年１～３月平均,2013,01～03,7091,578,127,6342,3750,2092,5796,4105,433,22,3631,2460,776,3395,2986,146,105,2711,1290,1316,2401
実数／平成25年４～６月平均,2013,04～06,7252,612,120,6469,3770,2181,5990,4212,428,25,3735,2572,762,3538,3039,183,95,2734,1199,1419,2452
実数／平成25年７～９月平均,2013,07～09,7102,570,97,6408,3742,2115,5906,4091,403,19,3656,2502,745,3437,3011,167,78,2752,1239,1370,2469
実数／平成25年10～12月平均,2013,10～12,7208,550,100,6507,3705,2268,6000,4112,390,20,3676,2475,775,3480,3096,160,80,2832,1230,1493,2520
実数／平成26年１～３月平均,2014,01～03,7244,553,103,6551,3732,2268,6041,4167,378,18,3751,2522,797,3541,3077,175,85,2801,1210,1472,2500
対前年・対前年同期増減数／平成19年平均,2007,,275,0,-14,286,…,…,260,214,-2,-6,223,…,…,211,62,2,-7,63,…,…,48
対前年・対前年同期増減数／平成20年平均,2008,,53,-10,-17,89,…,…,108,25,-13,-6,45,…,…,52,27,3,-12,43,…,…,57
対前年・対前年同期増減数／平成21年平均,2009,,-104,20,-7,-120,…,…,-129,-107,3,-2,-106,…,…,-93,3,17,-5,-13,…,…,-36
対前年・対前年同期増減数／平成22年平均,2010,,-53,-16,0,-41,…,…,-40,-70,-18,2,-57,…,…,-69,17,2,-2,16,…,…,29
対前年・対前年同期増減数／平成23年平均,2011,,334,1,1,335,…,…,329,181,13,-2,174,…,…,175,153,-12,3,161,…,…,154
対前年・対前年同期増減数／平成24年平均,2012,,8,-9,-13,28,…,…,10,8,-3,1,7,…,…,-7,0,-6,-14,22,…,…,18
対前年・対前年同期増減数／平成25年平均,2013,,93,15,4,74,…,…,424,0,5,2,-5,…,…,102,93,10,3,77,…,…,321
対前年・対前年同期増減数／平成20年７～９月平均,2008,07～09,-46,-12,-17,-20,…,…,-8,27,-12,-3,38,…,…,39,-73,0,-13,-58,…,…,-46
対前年・対前年同期増減数／平成20年10～12月平均,2008,10～12,140,-3,-6,154,…,…,81,44,-13,-7,68,…,…,31,96,10,1,85,…,…,51
対前年・対前年同期増減数／平成21年１～３月平均,2009,01～03,-80,-2,-22,-56,…,…,-62,-66,-6,-3,-52,…,…,-64,-15,4,-19,-5,…,…,2
対前年・対前年同期増減数／平成21年４～６月平均,2009,04～06,-46,55,1,-109,…,…,-112,-93,3,7,-101,…,…,-93,46,53,-5,-8,…,…,-19
対前年・対前年同期増減数／平成21年７～９月平均,2009,07～09,-131,-7,-12,-121,…,…,-152,-115,-6,-9,-104,…,…,-82,-16,0,-2,-17,…,…,-69
対前年・対前年同期増減数／平成21年10～12月平均,2009,10～12,-158,34,6,-192,…,…,-190,-155,21,-1,-169,…,…,-134,-3,13,8,-22,…,…,-58
対前年・対前年同期増減数／平成22年１～３月平均,2010,01～03,-26,7,-18,-21,…,…,23,-72,-4,-10,-69,…,…,-54,47,11,-8,49,…,…,77
対前年・対前年同期増減数／平成22年４～６月平均,2010,04～06,-111,-6,3,-107,…,…,-101,-132,-26,-3,-102,…,…,-106,22,21,6,-5,…,…,4
対前年・対前年同期増減数／平成22年７～９月平均,2010,07～09,-118,-33,2,-87,…,…,-125,-73,-18,9,-60,…,…,-103,-45,-15,-8,-27,…,…,-23
対前年・対前年同期増減数／平成22年10～12月平均,2010,10～12,42,-33,11,50,…,…,43,-2,-23,12,4,…,…,-15,45,-10,-2,46,…,…,58
対前年・対前年同期増減数／平成23年１～３月平均,2011,01～03,357,20,17,320,…,…,266,144,24,6,119,…,…,96,213,-4,11,201,…,…,170
対前年・対前年同期増減数／平成23年４～６月平均,2011,04～06,432,-4,15,426,…,…,457,299,28,0,273,…,…,298,133,-33,15,152,…,…,159
対前年・対前年同期増減数／平成23年７～９月平均,2011,07～09,290,21,-3,269,…,…,295,132,16,-8,121,…,…,141,158,4,5,148,…,…,153
対前年・対前年同期増減数／平成23年10～12月平均,2011,10～12,256,-33,-25,325,…,…,301,148,-18,-9,182,…,…,168,107,-15,-16,143,…,…,133
対前年・対前年同期増減数／平成24年１～３月平均,2012,01～03,-31,12,-3,-24,…,…,-96,-28,17,3,-40,…,…,-54,-2,-5,-6,16,…,…,-42
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,-18,-51,-22,59,…,…,35,38,-32,7,62,…,…,39,-55,-19,-29,-2,…,…,-3
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,98,2,-12,113,…,…,117,20,-5,2,21,…,…,12,78,7,-15,92,…,…,106
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,-18,4,-14,-36,…,…,-18,2,9,-6,-16,…,…,-27,-20,-5,-7,-20,…,…,10
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,20,-19,12,10,…,…,365,20,-10,2,23,…,…,95,-1,-8,10,-13,…,…,270
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,117,75,7,27,…,…,405,-21,31,-4,-48,…,…,70,136,43,11,75,…,…,334
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,58,7,-7,69,…,…,410,0,9,0,0,…,…,105,58,-2,-6,69,…,…,305
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,179,-6,4,188,…,…,516,1,-12,7,9,…,…,141,178,6,-4,180,…,…,375
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,153,-25,-24,209,-18,176,245,62,-55,-4,120,62,21,146,91,29,-20,90,-80,156,99
,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成26年１～３月期平均）,,,,,,,,,,,,,,,,,,,,,,,
第３表　従業上の地位別就業者数,,,,,,,,,,,,,,,,,,,,,,,
