 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
29,鋼材,"130,460","1,534,335","22,656","239,747","22,653","239,691","16,466","157,457","11,443","121,888","2,323","51,925","89,015","1,085,206"
30,非鉄金属,"23,253","304,632","9,577","97,517","9,562","97,423","11,011","160,676","11,000","157,565",110,"9,659","2,555","36,780"
31,金属製品,"141,986","1,829,933","31,117","308,131","31,115","308,121","106,514","1,446,054","106,384","1,436,009","2,967","41,692","1,388","34,056"
32,鉄道車両,83,"4,530",38,725,38,725,45,"3,805",45,"3,805",-,-,-,-
33,完成自動車,"1,075,577","13,885,383","7,601","114,446","7,444","113,828","1,915","24,623","1,899","22,969","588,784","7,780,084","477,277","5,966,230"
34,その他輸送用車両,"9,766","114,695",133,"2,691",133,"2,691","9,419","100,677","8,432","89,948",212,"9,162",2,"2,165"
35,二輪自動車,"9,996","78,961","4,572","24,409","4,570","24,405","5,401","54,193","5,401","54,191",9,160,14,199
36,自動車部品,"210,021","2,452,222","148,544","1,582,558","148,544","1,582,558","57,726","809,889","57,710","809,720","1,640","23,252","2,111","36,523"
37,その他輸送機械,"51,472","643,771","6,834","67,981","6,834","67,981","28,356","339,104","28,356","339,104","7,260","87,482","9,022","149,204"
38,産業機械,"299,629","3,496,954","166,564","1,812,885","165,894","1,804,176","119,695","1,500,676","119,639","1,499,433","11,195","139,783","2,175","43,610"
39,電気機械,"352,637","4,025,509","66,064","701,676","66,064","701,538","279,613","3,263,558","279,530","3,262,223","4,526","46,256","2,434","14,019"
40,測量・光学・医療用機械,"55,782","633,035","23,609","234,534","23,251","229,026","28,087","354,564","28,086","340,866","2,102","30,370","1,984","13,567"
41,事務用機器,"24,633","240,597","2,904","29,151","2,904","29,151","12,687","166,276","12,687","166,276","8,937","44,093",105,"1,077"
42,その他機械,"5,216","64,182",769,"11,647",769,"11,647","2,143","24,572","2,143","24,569","1,138","15,777","1,166","12,186"
化学工業品,,"1,178,872","13,790,665","231,854","2,381,396","231,854","2,381,317","257,975","3,495,496","256,319","3,479,401","37,325","490,438","651,718","7,423,335"
43,陶磁器,"11,767","152,628",914,"10,392",914,"10,389","10,838","142,122","10,838","142,122",15,94,-,20
44,セメント,"194,404","2,481,383",33,710,33,710,"1,035","16,593","1,035","16,593","3,581","33,339","189,755","2,430,741"
45,ガラス類,"19,718","280,233","6,408","85,642","6,408","85,640","12,285","181,736","12,285","181,736","1,005","12,443",20,412
46,窯業品,"32,629","409,350","12,159","120,768","12,159","120,701","13,396","202,118","13,396","202,090","1,881","35,342","5,193","51,122"
47,重油,"37,135","479,337",-,-,-,-,-,-,-,-,"17,475","229,859","19,660","249,478"
48,揮発油,72,"3,130",-,-,-,-,30,354,30,354,42,901,-,"1,875"
49,その他の石油,"408,797","4,505,768","3,693","30,357","3,693","30,357","1,175","18,647","1,175","18,647","1,727","20,301","402,202","4,436,463"
50,LNG/液化天然ガス,30,125,-,-,-,-,30,120,30,120,-,-,-,5
51,LPG/液化石油ガス,816,"8,310",-,-,-,-,90,"1,680",90,"1,680",726,"6,605",-,25
52,その他石油製品,"22,694","110,535",350,"6,423",350,"6,423","1,354","14,435","1,354","14,435",775,"6,550","20,215","83,127"
53,コークス,"10,150","71,383",-,-,-,-,"2,655","21,913","1,005","8,849",-,"15,513","7,495","33,957"
54,石炭製品,379,"7,206",334,"6,129",334,"6,129",45,"1,057",45,"1,057",-,-,-,20
55,化学薬品,"79,176","989,783","27,861","293,581","27,861","293,581","43,307","594,663","43,307","591,757","3,636","43,072","4,372","58,467"
56,化学肥料,"4,435","61,806",243,"3,033",243,"3,033","3,822","51,933","3,822","51,933",165,"3,355",205,"3,485"
57,その他化学工業品,"356,670","4,229,688","179,859","1,824,361","179,859","1,824,354","167,913","2,248,125","167,907","2,248,028","6,297","83,064","2,601","74,138"
軽工業品,,"598,875","7,865,928","64,133","624,288","64,120","624,075","367,391","4,766,870","367,391","4,765,545","54,675","781,732","112,676","1,693,038"
58,紙・パルプ,"155,517","2,396,713","21,771","219,308","21,771","219,248","50,185","761,523","50,185","760,680","4,445","193,902","79,116","1,221,980"
59,糸及び紡績半製品,"4,597","55,602",651,"6,175",651,"6,175","3,931","49,173","3,931","49,173",15,194,-,60
60,その他繊維工業品,"29,987","354,766","5,035","55,864","5,022","55,711","24,675","296,593","24,675","296,593",187,"2,000",90,309
61,砂糖,"10,354","127,917",53,855,53,855,"3,224","44,870","3,224","44,870","1,292","13,121","5,785","69,071"
62,製造食品,"263,683","3,120,471","29,827","277,757","29,827","277,757","211,493","2,543,712","211,493","2,543,355","16,223","188,730","6,140","110,272"
63,飲料,"80,691","1,092,730","5,610","55,248","5,610","55,248","46,529","646,207","46,529","646,082","22,597","268,918","5,955","122,357"
64,水,"19,903","272,113","1,139","8,135","1,139","8,135","11,908","193,286","11,908","193,286","5,646","51,307","1,210","19,385"
65,たばこ,"7,055","112,103",41,233,41,233,"6,264","96,720","6,264","96,720",720,"8,415",30,"6,735"
66,その他食料工業品,"27,088","333,513",6,713,6,713,"9,182","134,786","9,182","134,786","3,550","55,145","14,350","142,869"
雑工業品,,"1,036,762","12,128,489","118,518","1,229,883","118,495","1,229,857","881,285","10,424,869","881,228","10,424,461","29,929","374,134","7,030","99,603"
67,がん具,"49,268","647,265","3,328","30,998","3,328","30,998","45,915","615,966","45,915","615,965",25,150,-,151
68,衣服・身廻品・はきもの,"420,649","4,930,003","16,844","167,970","16,844","167,970","403,411","4,747,069","403,411","4,747,060",394,"12,304",-,"2,660"
69,文房具・運動娯楽用品・楽器,"71,918","801,586","12,934","126,491","12,934","126,491","58,829","669,443","58,793","669,241",15,"4,408",140,"1,244"
70,家具装備品,"189,727","2,162,872","8,603","93,195","8,603","93,195","179,594","2,040,278","179,575","2,040,249","1,265","21,497",265,"7,902"
71,その他日用品,"64,657","803,037","8,040","120,788","8,040","120,788","33,884","420,908","33,884","420,905","20,364","231,432","2,369","29,909"
72,ゴム製品,"75,576","842,929","44,167","387,726","44,167","387,726","29,958","428,354","29,958","428,354","1,165","13,571",286,"13,278"
73,木製品,"110,882","1,255,990",809,"11,869",809,"11,866","108,472","1,218,001","108,472","1,217,904","1,421","24,976",180,"1,144"
74,その他製造工業品,"54,085","684,807","23,793","290,846","23,770","290,823","21,222","284,850","21,220","284,783","5,280","65,796","3,790","43,315"
特殊品,,"1,115,569","12,363,210","287,714","2,926,100","230,713","2,381,001","180,870","2,172,193","175,424","2,104,132","442,704","4,740,628","204,281","2,524,289"
75,金属くず,"71,266","732,836","63,488","638,591","6,726","99,479","4,742","60,351","4,742","60,351","2,018","18,368","1,018","15,526"
76,再利用資材,"221,457","2,192,815","186,996","1,883,266","186,996","1,883,266","4,574","41,903","4,574","41,903","28,095","243,405","1,792","24,241"
77,動植物性製造飼肥料,"92,542","1,074,782","1,718","18,864","1,718","18,814","83,962","985,400","83,962","985,400","6,502","64,923",360,"5,595"
78,廃棄物,754,"12,544",-,-,-,-,-,-,-,-,195,"3,575",559,"8,969"
79,廃土砂,"169,650","1,284,912",-,-,-,-,-,-,-,-,"169,650","1,273,065",-,"11,847"
80,輸送用容器,"122,346","1,491,776","22,074","212,183","21,835","206,253","77,316","980,458","71,870","912,639","6,029","80,740","16,927","218,395"
81,取合せ品,"437,554","5,573,545","13,438","173,196","13,438","173,189","10,276","104,081","10,276","103,839","230,215","3,056,552","183,625","2,239,716"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
