 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,176","1,056","17,819","7,712",202,"1,056","2,844","7,575",974,-,"14,975",137
,75.9%,105.7%,35.3%,48.3%,56.4%,105.7%,30.9%,47.4%,81.7%,-,36.3%,3425.0%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"124,028","24,429","1,430,352","289,112","40,622","24,053","399,925","286,585","83,406",376,"1,030,427","2,527"
,101.1%,93.8%,102.3%,114.2%,115.4%,92.9%,101.7%,114.6%,95.3%,235.0%,102.5%,81.1%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,400","5,768","129,916","56,642","2,838","5,741","34,758","55,896","6,562",27,"95,158",746
,73.6%,81.7%,91.3%,96.9%,80.9%,82.3%,85.6%,97.9%,70.8%,34.2%,93.5%,53.6%
中国(香港含む),"72,777","55,886","885,720","602,096","13,059","55,724","153,563","600,739","59,718",162,"732,157","1,357"
,99.9%,110.5%,96.3%,104.1%,91.3%,110.4%,88.5%,104.3%,102.0%,150.0%,98.1%,65.5%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"24,001","20,210","276,073","217,342","11,022","18,509","130,439","195,829","12,979","1,701","145,634","21,513"
,105.8%,113.2%,98.9%,84.3%,103.1%,112.9%,88.7%,83.0%,108.1%,117.6%,110.4%,98.2%
内航定期計,"19,606","3,318","224,573","51,498","8,477","1,907","104,038","30,859","11,129","1,411","120,535","20,639"
,104.7%,83.6%,105.4%,97.1%,92.2%,73.8%,96.3%,94.2%,116.7%,101.8%,114.8%,101.8%
北海道,"7,677",362,"80,541","4,622","3,631",342,"41,142","4,322","4,046",20,"39,399",300
,141.5%,218.1%,115.5%,176.7%,128.4%,-,112.3%,404.3%,155.8%,12.0%,118.9%,19.4%
東北,"3,907","1,182","39,387","11,319","1,371","1,068","17,942","10,617","2,536",114,"21,445",702
,81.0%,174.1%,86.3%,88.3%,57.8%,167.1%,80.9%,95.5%,103.6%,285.0%,91.4%,41.4%
関東,8,30,91,170,8,30,8,170,-,-,83,-
,2.2%,107.1%,4.5%,23.4%,3.6%,107.1%,0.5%,38.3%,-,-,20.2%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,585",244,"25,240","11,156",169,244,"3,922","11,004","1,416",-,"21,318",152
,106.3%,16.9%,127.4%,75.1%,32.8%,16.9%,73.2%,79.1%,145.1%,-,147.5%,16.4%
近畿,807,201,"11,606","4,692",94,200,"1,060","4,564",713,1,"10,546",128
,59.0%,41.9%,118.2%,76.6%,125.3%,43.0%,147.4%,79.2%,55.1%,6.7%,115.9%,35.3%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,827",129,"32,498",814,"1,055",23,"12,790",143,"1,772",106,"19,708",671
,107.0%,174.3%,105.9%,60.1%,90.0%,287.5%,91.7%,32.5%,120.6%,160.6%,117.8%,73.3%
沖縄,"2,795","1,170","34,903","18,725","2,149",-,"26,952",39,646,"1,170","7,951","18,686"
,106.5%,106.9%,99.0%,128.7%,107.0%,-,97.8%,-,105.0%,106.9%,103.4%,128.4%
内航不定期,"4,395","16,892","51,500","165,844","2,545","16,602","26,401","164,970","1,850",290,"25,099",874
,111.0%,121.7%,77.9%,81.0%,170.8%,120.2%,67.5%,81.2%,74.9%,475.4%,93.0%,53.6%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
