施行区分,No.,路線名,区間（自）,区間（至）,所在区市町,延長(m),主な選定理由
東京都施行,都‐42,補助86号線,前野町三丁目（前野公園入口交差点）,補助245付近,板橋,1480,交通
東京都施行,都‐43,補助92号線,中里三丁目,田端五丁目（山手線立体）,北,160,安全
東京都施行,都‐44,補助92号線,補助93,環状4,北・荒川,590,安全
東京都施行,都‐45,補助94号線,補助179付近,環状4,文京,940,交通
東京都施行,都‐46,補助109号線,補助258付近,補助261,足立,1210,安全
東京都施行,都‐47,補助125号線,放射4,放射4支線3,世田谷,230,交通
東京都施行,都‐48,補助125号線,補助51,喜多見八丁目,世田谷,230,交通
東京都施行,都‐49,補助125号線,喜多見九丁目,狛江市境,世田谷,330,交通
東京都施行,都‐50,補助133号線,補助52,放射5,世田谷・杉並,1990,安全
東京都施行,都‐51,補助133号線,白鷺一丁目,補助76,中野,430,交通
東京都施行,都‐52,補助133号線,放射6,補助130,杉並,890,安全
東京都施行,都‐53,補助133号線,補助76,補助229,中野・練馬,1100,交通
東京都施行,都‐54,補助133号線,放射7,補助172,練馬,1240,安全
東京都施行,都‐55,補助135号線,関町南三丁目,放射6,練馬,120,交通
東京都施行,都‐56,補助138号線,環状7,補261,足立・葛飾,910,防災
東京都施行,都‐57,補助140号線,補助136,特450,足立・葛飾,560,骨格
東京都施行,都‐58,補助142号線,補助143,放射14,江戸川,830,防災
東京都施行,都‐59,補助143号線,補助279,補助283付近,葛飾,580,交通
東京都施行,都‐60,補助143号線,北総鉄道,放射14,葛飾・江戸川,1690,交通
東京都施行,都‐61,補助143号線,東篠崎二丁目,都県境(旧江戸川橋梁部),江戸川,70,防災
東京都施行,都‐62,補助144号線,放射16,国道357,江東,2060,防災
東京都施行,都‐63,補助156号線,放射7,外環の2,練馬,1310,防災
東京都施行,都‐64,補助156号線,補助135,西東京市境,練馬,1410,安全
東京都施行,都‐65,補助172号線,放射35,早三東通り,練馬,190,交通
東京都施行,都‐66,補助203号線,放射8,赤塚二丁目（六道の辻交差点）,板橋,410,交通
東京都施行,都‐67,補助214号線,補助125付近,狛江市境,世田谷,590,交通
東京都施行,都‐68,補助217号線,補助54付近,補助218,世田谷,1010,交通
東京都施行,都‐69,補助219号線,補助217付近,三鷹市境,世田谷,560,交通
東京都施行,都‐70,補助229号線,西武新宿線交差部付近,-,練馬,350,交通
東京都施行,都‐71,補助230号線,補助76,富士街道,練馬,430,交通
東京都施行,都‐72,補助232号線,富士街道,外環の2,練馬,830,安全
東京都施行,都‐73,補助261号線,伊興四丁目,竹の塚六丁目,足立,910,交通
東京都施行,都‐74,補助277号線,主地307,補助269,葛飾,1470,防災
東京都施行,都‐75,補助286号線,上篠崎二丁目,都県境(江戸川橋梁部),江戸川,180,防災
東京都施行,都‐76,八王子3・3・74号線,都道166,西寺方町,八王子,6490,骨格
東京都施行,都‐77,八王子3・4・14号線外,日)平山六丁目,八)長沼町,八王子・日野,520,防災
東京都施行,都‐78,立川3・1・34号線,主地7,立川3・3・3,立川,520,防災
東京都施行,都‐79,立川3・1・34号線,富士見町七丁目,立川3・2・11,立川,1580,防災
東京都施行,都‐80,立川3・2・4号線外,東村山3・4・33東側,立川3・4・22西側,東大和・東村山,1040,骨格
東京都施行,都‐81,立川3・2・38号線,立川3・2・16,立川3・3・3,立川,900,交通
東京都施行,都‐82,立川3・3・3号線,西砂町六丁目,福生市境,立川,1660,骨格
東京都施行,都‐83,立川3・3・3号線,立川3・3・30,都道162(松中団地東交差点),立川,3350,骨格
東京都施行,都‐84,立川3・3・30号線,国立市境,立川3・2・31,立川,3110,骨格
東京都施行,都‐85,立川3・3・30号線,主地5,都市計画区間,東大和,690,防災
東京都施行,都‐86,立川3・4・5号線外,国立3・4・16,立川3・4・5支線1,立川・国立,960,骨格
東京都施行,都‐87,立川3・4・39号線,立川3・3・3,武)大南一丁目,立川・武蔵村山,840,交通
東京都施行,都‐88,武蔵野3・4・11号線,杉並区境,吉祥寺東町二丁目,武蔵野,780,安全
東京都施行,都‐89,武蔵野3・4・24号線,武蔵野3・4・7,武蔵野3・5・9,武蔵野,270,交通
東京都施行,都‐90,三鷹3・4・3号線,世田谷区境,北野一丁目,三鷹,270,交通
東京都施行,都‐91,三鷹3・4・7号線,三鷹3・4・12,三鷹3・4・14付近,三鷹,1020,交通
東京都施行,都‐92,三鷹3・4・7号線,三鷹3・4・17付近,三鷹3・4・18付近,三鷹,1000,交通
東京都施行,都‐93,三鷹3・4・12号線,三鷹3・2・2,三鷹3・4・7,三鷹,800,交通
東京都施行,都‐94,三鷹3・4・12号線,三鷹3・4・14,三鷹3・4・13,三鷹,860,交通
東京都施行,都‐95,青梅3・4・1号線,畑中三丁目,都道238東側付近,青梅,820,防災
東京都施行,都‐96,青梅3・4・13号線,福生3・4・4,青梅3・4・8,青梅・瑞穂,1040,交通
東京都施行,都‐97,府中3・4・3号線,府中3・4・22,府中3・3・24,府中,4080,骨格
東京都施行,都‐98,府中3・4・12号線,多磨町一丁目,府中3・5・14,府中,1680,安全
東京都施行,都‐99,調布3・4・2号線,世田谷区境,調布3・4・3,狛江,1610,安全
東京都施行,都‐100,調布3・4・4号線外,世田谷区境,調布3・4・16,狛江,470,交通
東京都施行,都‐101,調布3・4・4号線外,調布3・2・6,府)押立町四丁目,調布・府中,1530,交通
東京都施行,都‐102,調布3・4・10号線,世田谷区境,調布3・4・17,調布,340,安全
東京都施行,都‐103,調布3・4・17号線,調布3・4・9付近,調布3・4・10付近,調布,690,防災
東京都施行,都‐104,調布3・4・18号線,調布3・4・11,調布3・4・14付近,調布,740,安全
東京都施行,都‐105,町田3・3・7号線,都県境（相模原市境）,主地51,町田,170,防災
東京都施行,都‐106,町田3・3・36号線,相原町,町田3・3・10,町田,690,交通
東京都施行,都‐107,町田3・3・36号線,小山町（馬場交差点付近）,常盤町（常盤駐在所北交差点）,町田,1460,骨格
東京都施行,都‐108,町田3・3・36号線,旭町三丁目,町田3・4・29,町田,5370,骨格
東京都施行,都‐109,町田3・4・18号線,町田3・4・33,野津田町,町田,2010,骨格
東京都施行,都‐110,町田3・4・18号線,都県境（川崎市境）,町田3・4・23付近,町田,810,骨格
東京都施行,都‐111,町田3・4・23号線,主地19,都県境（川崎市境）,町田,30,防災
東京都施行,都‐112,小金井3・4・1号線,小金井3・4・11付近,小金井3・4・7,小金井,2050,安全
東京都施行,都‐113,小金井3・4・11号線外,府中3・2・2の1,小金井3・4・1,小金井・府中,830,交通
東京都施行,都‐114,小平3・3・3号線,西東京市境,花小金井南町二丁目,小平,870,骨格
東京都施行,都‐115,小平3・3・3号線,小平3・4・17,小平3・4・7,小平,1180,骨格
東京都施行,都‐116,日野3・4・1号線,日野(日野橋南詰交差点付近),日野3・4・8,日野,370,交通
東京都施行,都‐117,日野3・4・3号線,日野3・4・14付近,日野3・4・18付近,日野,1010,防災
東京都施行,都‐118,日野3・4・17号線,立)富士見町七丁目,日野3・4・8付近,日野・立川,660,交通
東京都施行,都‐119,東村山3・4・15の1号線,東村山3・4・18,東村山3・4・21,東久留米,1380,骨格
東京都施行,都‐120,東村山3・4・15の2号線,都県境（新座市境）,東村山3・4・7,清瀬,570,骨格
東京都施行,都‐121,東村山3・4・18号線,南沢四丁目,東村山3・4・13,東久留米,1150,安全
東京都施行,都‐122,東村山3・4・35号線,東村山3・4・11,都県境（所沢市境）,東村山,690,防災
東京都施行,都‐123,国分寺3・4・3号線,南町三丁目,国分寺3・4・18,国分寺,440,防災
東京都施行,都‐124,国分寺3・4・6号線,国分寺3・4・12,東恋ヶ窪三丁目,国分寺,470,安全
東京都施行,都‐125,国分寺3・4・11号線外,府中3・2・2の2付近,国分寺3・4・4付近,府中・国分寺,1180,防災
東京都施行,都‐126,国立3・3・15号線,国立3・4・1,国立3・4・5付近,国立,540,骨格
東京都施行,都‐127,国立3・4・5号線,国立3・3・15付近,国立3・4・16付近,国立,270,骨格
東京都施行,都‐128,福生3・4・3の1号線,立川市境,福生3・4・10,福生,1090,骨格
東京都施行,都‐129,多摩3・1・6号線,唐木田二丁目,多摩3・4・27付近,多摩,810,骨格
東京都施行,都‐130,多摩3・1・6号線,多摩3・4・15付近,多摩3・4・26付近,多摩・稲城,9520,骨格
東京都施行,都‐131,多摩3・4・15号線,百村,坂浜,稲城,660,防災
東京都施行,都‐132,秋多3・3・4号線,草花,秋多3・3・9,あきる野,430,交通
東京都施行,都‐133,秋多3・4・5号線,秋多3・3・9,平沢西一丁目,あきる野,410,交通
東京都施行,都‐134,秋多3・4・5号線,秋多3・4・16付近,秋多3・4・10付近,あきる野,540,交通
東京都施行,都‐135,秋多3・4・14号線,日の出町平井,秋多3・5・7,日の出,500,防災
東京都施行,都‐136,西東京3・3・3号線,西東京3・4・8,小平市境,西東京,2570,骨格
東京都施行,都‐137,西東京3・3・14号線,西東京3・2・6,都県境（新座市境）,西東京,440,骨格
東京都施行,都‐138,西東京3・4・13号線,主地36,都県境（新座市境）,西東京,190,安全
東京都施行,都‐139,西東京3・4・26号線,西東京3・4・7,西東京3・5・4,西東京,620,交通
