施行区分,NO.,路線名,区間（自）,区間（至）,所在市町,延長(m),主な選定理由
市町施行,市町‐28,調布3・4・31号線,西調布駅,調布3・4・10(交通広場約2000平方メートル),調布,190,拠点･まち
市町施行,市町‐29,町田3・4・9号線,町田3・4・34,西成瀬三丁目,町田,340,交通･防災
市町施行,市町‐30,町田3・4・34号線,町田3・4・33付近,町田3・3・7,町田,1560,交通･防災
市町施行,市町‐31,町田3・4・34号線,町田3・3・7,高ヶ坂六丁目,町田,280,交通･防災
市町施行,市町‐32,町田3・4・37号線,町田3・3・7,町田3・4・3,町田,930,交通･拠点
市町施行,市町‐33,町田3・4・41号線,町田3・3・36,相模原市境,町田,50,防災･拠点
市町施行,市町‐34,小平3・4・10号線,小平3･4･21,市道第A-61,小平,530,防災･安全
市町施行,市町‐35,小平3・4・19号線,小平3･4･14,東久留米市境,小平,460,拠点･まち
市町施行,市町‐36,日野3・4・25号線,日野3・3・2,市道H38,日野,890,交通･まち
市町施行,市町‐37,東村山3・4・9号線,野口町一丁目,東村山3・4・31,東村山,260,交通･拠点
市町施行,市町‐38,東村山3・4・10号線,東村山3・3・8,東村山3・4・29,東村山,560,交通･拠点
市町施行,市町‐39,東村山3・4・13号線,清瀬市境,JR武蔵野線,東村山,330,交通･拠点
市町施行,市町‐40,東村山3・4・27号線,主地40,秋津駅(交通広場約3400平方メートル),東村山,700,交通･拠点
市町施行,市町‐41,国分寺3・4・1号線,都道133,国分寺3･4･11,国分寺,80,防災･まち
市町施行,市町‐42,国分寺3・4・2号線,国分寺3･4･3,国分寺3･4･11,国分寺,370,交通･安全
市町施行,市町‐43,国分寺3・4・4号線,南町一丁目,小金井市境,国分寺,240,防災･安全
市町施行,市町‐44,国分寺3・4・7号線,国分寺3･4･16,国立市境,国分寺,430,安全･拠点
市町施行,市町‐45,国分寺3・4・12号線,国分寺駅北口再開発事業区域境,国分寺3･4･6,国分寺,310,防災･まち
市町施行,市町‐46,国分寺3・4・16号線,国分寺3・4・9,国分寺3･4･10,国分寺,690,防災･拠点
市町施行,市町‐47,国立3・4・3号線,国立3・3・2,国立3・4・14,国立,750,交通･まち
市町施行,市町‐48,国立3・4・8号線,立川3・3・30,主地43,国立,200,安全･拠点
市町施行,市町‐49,国立3・4・10号線,北一丁目,国分寺3・4・7,国立,130,拠点･まち
市町施行,市町‐50,国立3・4・14号線,国立3・4・3,JR南武線,国立,520,交通･安全
市町施行,市町‐51,国立3・3・15号線,富士見台四丁目,国立3・4・4,国立,390,交通
市町施行,市町‐52,福生3・4・7号線,福生3・3・30,福生3・4・10,福生,420,防災･まち
市町施行,市町‐53,調布3・4・16号線,小田急線高架下,調布3・4・2,狛江,1220,交通･まち
市町施行,市町‐54,立川3・4・17号線,南街五丁目,南街六丁目,東大和,570,防災･まち
市町施行,市町‐55,立川3・4・26号線,立川3・2・4,立川3・5・20,東大和,410,防災･拠点
市町施行,市町‐56,東村山3・4・13号線,主地40,東村山市境,清瀬,860,安全･まち
市町施行,市町‐57,東村山3・4・17号線,東村山3・4・7,東村山3・4・24,清瀬,420,交通･安全
市町施行,市町‐58,東村山3・4・26号線,新座市境,関越自動車道,清瀬,770,交通･安全
市町施行,市町‐59,東村山3・4・13号線,東村山3・4・18,本町四丁目,東久留米,460,安全･拠点
市町施行,市町‐60,東村山3・4・13号線,都道234,埼玉県境,東久留米,1040,安全･拠点
市町施行,市町‐61,東村山3・4・21号線,小平市境,東村山3・4・4,東久留米,280,交通･防災
市町施行,市町‐62,東村山3・4・21号線,東村山3・4・12,東村山3・4・13,東久留米,730,防災･まち
市町施行,市町‐63,立川3・5・20号線,立川3・4・40,立川3・5・41,武蔵村山,670,交通･拠点
市町施行,市町‐64,多摩3・4・36号線,多摩3・4・15,稲城小田良土地区画整理事業区域境,稲城,390,安全･まち
市町施行,市町‐65,多摩7・5・3号線,多摩3・3・10,稲城榎戸土地区画整理事業区域境,稲城,110,安全･まち
市町施行,市町‐66,秋多3・4・13号線,秋多3・3・3,秋多3・4・5,あきる野,820,まち
市町施行,市町‐67,西東京3・4・18号線,西武柳沢駅,西東京3・5・4(交通広場約2700平方メートル),西東京,330,拠点･まち
市町施行,市町‐68,西東京3・4・24号線,田無駅,西東京3・5・2(交通広場約3400平方メートル),西東京,880,交通･拠点
市町施行,市町‐69,西東京3・5・10号線,ひばりが丘団地付近(団地交番前交差点付近),西東京3・4・20,西東京,550,防災･まち
市町施行,市町‐70,福生3・4・26号線,富士山栗原新田字大日塚,二本木字西樽口,瑞穂,400,交通･拠点
市町施行,市町‐71,福生3・4・26号線,福生3・3・27,福生3・4・10,瑞穂,810,交通･拠点
市町施行,市町‐72,福生3・5・23号線,主地5,福生3・4・4,瑞穂,320,交通･拠点
