区分,排水量／5街区(m3),排水量／6街区(m3),排水量／7街区(m3),排水量／合計(m3),備考,（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／5街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／6街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／7街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／合計(m3),
2016-11-26／土,,,,,,,,,,
2016-11-27／日,,,,,,,,,,
2016-11-28／月,,,,,,,,,,
小計,87.9,152.1,205.7,445.7,,,,,,
2016-11-29／火,24.9,63.3,57.8,146,,,,,,
2016-11-30／水,37.6,38,63.3,138.9,,,,,,
2016-12-01／木,25,25.3,58.8,109.1,,,,,,
2016-12-02／金,42.1,38,64.3,144.4,,,,,,
2016-12-03／土,,,,,,,,,,
2016-12-04／日,,,,,,,,,,
2016-12-05／月,,,,,,,,,,
小計,100.1,76,187.5,363.6,,,,,,
2016-12-06／火,13.3,50.7,56.7,120.7,,,,,,
2016-12-07／水,50.1,37.9,51.4,139.4,,,,,,
2016-12-08／木,25.1,124.1,76.5,225.7,,,,,,
2016-12-09／金,37.7,28,64.3,130,,,,,,
2016-12-10／土,,,,,,,,,,
2016-12-11／日,,,,,,,,,,
2016-12-12／月,,,,,,,,,,
小計,285.6,139.3,167.1,592,,,,,,
2016-12-13／火,74.7,114,51.4,240.1,,,,,,
2016-12-14／水,86.9,114,64.3,265.2,,,,,,
2016-12-15／木,74.2,101.4,51.4,227,,,,,,
2016-12-16／金,86.8,104.9,64,255.7,,,,,,
2016-12-17／土,,,,,,,,,,
2016-12-18／日,,,,,,,,,,
2016-12-19／月,,,,,,,,,,
小計,185.8,275.1,154.2,615.1,,,,,,
2016-12-20／火,62.6,76,56.7,195.3,,,,,,
2016-12-21／水,49.6,128.4,4.4,182.4,,,,,,
2016-12-22／木,53.1,84.9,87,225,,,,,,
2016-12-23／金,,,,,,,,,,
2016-12-24／土,,,,,,,,,,
2016-12-25／日,,,,,,,,,,
2016-12-26／月,,,,,,,,,,
小計,195.3,170.7,205.3,571.3,,,,,,
2016-12-27／火,47.5,84.4,45.5,177.4,,,,,,
2016-12-28／水,50,63.3,51.8,165.1,,,,,,
2016-12-29／木,,,,,,,,,,
2016-12-30／金,,,,,,,,,,
2016-12-31／土,,,,,,,,,,
2017-01-01／日,,,,,,,,,,
2017-01-02／月,,,,,,,,,,
2017-01-03／火,,,,,,,,,,
2017-01-04／水,,,,,,,,,,
小計,274.1,76,268.3,618.4,,,,,,
2017-01-05／木,37.6,75.9,38.4,151.9,,,,,,
2017-01-06／金,37.5,50.6,25.6,113.7,,,,,,
2017-01-07／土,,,,,,,,,,
2017-01-08／日,,,,,,,,,,
2017-01-09／月,,,,,,,,,,
2017-01-10／火,,,,,,,,,,
小計,120.9,170.9,153.6,445.4,,,,,,
2017-01-11／水,28.4,44.3,38.4,111.1,,,,,,
2017-01-12／木,37.1,50.6,38.4,126.1,,,,,,
2017-01-13／金,24.9,37.9,38.4,101.2,,,,,,
2017-01-14／土,,,,,,,,,,
2017-01-15／日,,,,,,,,,,
2017-01-16／月,,,,,,,,,,
小計,99.6,73.5,102.4,275.5,,,,,,
2017-01-17／火,37.4,53.1,38.4,128.9,,,,,,
2017-01-18／水,25.1,38,38.4,101.5,,,,,,
2017-01-19／木,25.2,38,38.4,101.6,,,,,,
2017-01-20／金,34.9,38,38.3,111.2,,,,,,
2017-01-21／土,,,,,,,,,,
2017-01-22／日,,,,,,,,,,
2017-01-23／月,,,,,,,,,,
小計,76.5,109.5,102.3,288.3,,,,,,
2017-01-24／火,24.9,4.4,33.9,63.2,,,,,,
2017-01-25／水,25,25.3,30,80.3,,,,,,
2017-01-26／木,25,38,38.4,101.4,,,,,,
2017-01-27／金,25,25.3,25.6,75.9,,,,,,
2017-01-28／土,,,,,,,,,,
2017-01-29／日,,,,,,,,,,
2017-01-30／月,,,,,,,,,,
小計,62.8,101.9,89.5,254.2,,,,,,
2017-01-31／火,25.4,25.3,38.4,89.1,,,,,,
2017-02-01／水,24.9,34.8,25.6,85.3,,,,,,
2017-02-02／木,12.3,25.3,25.6,63.2,,,,,,
2017-02-03／金,25,25.3,25.6,75.9,,,,,,
2017-02-04／土,,,,,,,,,,
2017-02-05／日,,,,,,,,,,
2017-02-06／月,,,,,,,,,,
小計,47.8,75.9,89.5,213.2,,,,,,
2017-02-07／火,27,25.3,25.6,77.9,,,,,,
2017-02-08／水,12.7,25.3,38.4,76.4,,,,,,
2017-02-09／木,25.4,25.3,23.9,74.6,,,,,,
2017-02-10／金,12.5,38,27.2,77.7,,,,,,
2017-02-11／土,,,,,,,,,,
2017-02-12／日,,,,,,,,,,
2017-02-13／月,,,,,,,,,,
小計,50.4,75.9,76.7,203,,,,,,
2017-02-14／火,12.9,25.3,23,61.2,,,,,,
2017-02-15／水,25.3,25.3,15.3,65.9,,,,,,
2017-02-16／木,12.5,25.3,25.6,63.4,,,,,,
2017-02-17／金,12.7,12.6,25.6,50.9,,,,,,
2017-02-18／土,,,,,,,,,,
2017-02-19／日,,,,,,,,,,
2017-02-20／月,,,,,,,,,,
小計,37.7,75.8,76.7,190.2,,,,,,
2017-02-21／火,12.9,25.3,25.6,63.8,,,,,,
2017-02-22／水,12.5,20.2,12.8,45.5,,,,,,
2017-02-23／木,12.7,17.7,29.9,60.3,,,,,,
2017-02-24／金,12.7,25.3,25.6,63.6,,,,,,
2017-02-25／土,,,,,,,,,,
2017-02-26／日,,,,,,,,,,
2017-02-27／月,,,,,,,,,,
小計,31.4,63.2,64,158.6,,,,,,
2017-02-28／火,19,12.7,0,31.7,,,,,,
2017-03-01／水,12.7,25.3,38.4,76.4,,,,,,
2017-03-02／木,0,0,12.8,12.8,,,,,,
2017-03-03／金,12.5,25.3,25.6,63.4,,,,,,
2017-03-04／土,,,,,,,,,,
2017-03-05／日,,,,,,,,,,
2017-03-06／月,,,,,,,,,,
小計,38,88.5,63.9,190.4,,,,,,
2017-03-07／火,0,12.7,25.6,38.3,,,,,,
2017-03-08／水,12.5,25.3,25.6,63.4,,,,,,
2017-03-09／木,12.7,25.3,12.8,50.8,,,,,,
2017-03-10／金,12.5,25.3,25.6,63.4,,,,,,
2017-03-11／土,,,,,,,,,,
2017-03-12／日,,,,,,,,,,
2017-03-13／月,,,,,,,,,,
小計,24.8,50.6,7.3,82.7,,,,,,
2017-03-14／火,12.6,0,44.1,56.7,,,,,,
2017-03-15／水,0,37.9,15,52.9,,,,,,
2017-03-16／木,12.3,12.7,23.4,48.4,,,,,,
2017-03-17／金,12.7,25.3,25.6,63.6,,,,,,
2017-03-18／土,,,,,,,,,,
2017-03-19／日,,,,,,,,,,
2017-03-20／月,,,,,,,,,,
2017-03-21／火,,,,,,,,,,
小計,37.7,87.7,76.7,202.1,,,,,,
2017-03-22／水,12.5,38.8,25.6,76.9,,,,,,
2017-03-23／木,12.5,12.6,12.8,37.9,,,,,,
2017-03-24／金,8.7,25.3,25.6,59.6,,,,,,
2017-03-25／土,,,,,,,,,,
2017-03-26／日,,,,,,,,,,
2017-03-27／月,,,,,,,,,,
小計,31,50.5,64.6,146.1,,,,,,
2017-03-28／火,12.3,12.7,25.5,50.5,,,,,,
2017-03-29／水,6.1,7.9,12.8,26.8,,,,,,
2017-03-30／木,16.4,14.2,23.5,54.1,,,,,,
2017-03-31／金,12.7,25.3,25.5,63.5,,,,,,
2017-04-01／土,,,,,,,,,,
2017-04-02／日,,,,,,,,,,
2017-04-03／月,,,,,,,,,,
小計,12.2,50.7,63.9,126.8,,,,,,
2017-04-04／火,6,38,25.6,69.6,,,,,,
2017-04-05／水,23.9,38,18.1,80,,,,,,
2017-04-06／木,12.8,12.6,20.2,45.6,,,,,,
2017-04-07／金,12.3,25.3,25.5,63.1,,,,,,
2017-04-08／土,,,,,,,,,,
2017-04-09／日,,,,,,,,,,
2017-04-10／月,,,,,,,,,,
小計,48.9,50.7,73,172.6,,,,,,
2017-04-11／火,12.3,25.3,29.2,66.8,,,,,,
2017-04-12／水,12.2,25.4,25.6,63.2,,,,,,
2017-04-13／木,31,25.3,38.4,94.7,,,,,,
2017-04-14／金,18.3,25.3,25.6,69.2,,,,,,
2017-04-15／土,,,,,,,,,,
2017-04-16／日,,,,,,,,,,
2017-04-17／月,,,,,,,,,,
小計,67.6,63.4,102.3,233.3,,,,,,
2017-04-18／火,18.6,12.6,25.6,56.8,,,,,,
2017-04-19／水,24.6,25.3,38.3,88.2,,,,,,
2017-04-20／木,25,25.3,38.4,88.7,,,,,,
2017-04-21／金,18.6,25.3,38.3,82.2,,,,,,
2017-04-22／土,,,,,,,,,,
2017-04-23／日,,,,,,,,,,
2017-04-24／月,,,,,,,,,,
小計,61.4,79.5,102.3,243.2,,,,,,
2017-04-25／火,18.6,25.3,38.4,82.3,,,,,,
2017-04-26／水,24.6,0,38.3,62.9,,,,,,
2017-04-27／木,24.9,12.7,25.6,63.2,,,,,,
2017-04-28／金,24.8,12.6,38.4,75.8,,,,,,
2017-04-29／土,,,,,,,,,,
2017-04-30／日,,,,,,,,,,
2017-05-01／月,,,,,,,,,,
小計,62,56.1,90,208.1,,,,,,
2017-05-02／火,16.7,22.4,37.9,77,,,,,,
2017-05-03／水,,,,,,,,,,
2017-05-04／木,,,,,,,,,,
2017-05-05／金,,,,,,,,,,
2017-05-06／土,,,,,,,,,,
2017-05-07／日,,,,,,,,,,
2017-05-08／月,,,,,,,,,,
小計,20.9,145.9,166.3,333.1,,,,,,
2017-05-09／火,10.5,22.5,25.6,58.6,,,,,,
2017-05-10／水,32.2,12,25.6,69.8,,,,,,
2017-05-11／木,32.5,31.3,25.6,89.4,,,,,,
2017-05-12／金,10.8,13.5,25.6,49.9,,,,,,
2017-05-13／土,,,,,,,,,,
2017-05-14／日,,,,,,,,,,
2017-05-15／月,,,,,,,,,,
小計,54.3,44.8,76.7,175.8,,,,,,
2017-05-16／火,10.8,11.2,25.6,47.6,,,,,,
2017-05-17／水,10.7,22.4,25.6,58.7,,,,,,
2017-05-18／木,22.5,11.3,25.6,59.4,,,,,,
2017-05-19／金,12.3,11.2,25.6,49.1,,,,,,
2017-05-20／土,,,,,,,,,,
2017-05-21／日,,,,,,,,,,
2017-05-22／月,,,,,,,,,,
小計,50,33.7,64,147.7,,,,,,
2017-05-23／火,12.5,11.2,25.6,49.3,,,,,,
2017-05-24／水,12.4,11.3,25.6,49.3,,,,,,
2017-05-25／木,12.7,11.2,12.8,36.7,,,,,,
2017-05-26／金,12.3,11.3,25.6,49.2,,,,,,
2017-05-27／土,,,,,,,,,,
2017-05-28／日,,,,,,,,,,
2017-05-29／月,,,,,,,,,,
小計,49.9,33.7,64,147.6,,,,,,
2017-05-30／火,12.6,11.3,25.6,49.5,,,,,,
2017-05-31／水,25.1,6.3,12.8,44.2,,,,,,
2017-06-01／木,12.4,15.2,25.6,53.2,,,,,,
2017-06-02／金,12.6,12.7,25.6,50.9,,,,,,
2017-06-03／土,,,,,,,,,,
2017-06-04／日,,,,,,,,,,
2017-06-05／月,,,,,,,,,,
小計,37.5,31.7,64,133.2,,,,,,
2017-06-06／火,0,6.3,12.8,19.1,,,,,,
2017-06-07／水,12.5,6.4,25.6,44.5,,,,,,
2017-06-08／木,12.8,12.7,12.8,38.4,,,,,,
2017-06-09／金,25.1,6.3,16.6,48,,,,,,
2017-06-10／土,,,,,,,,,,
2017-06-11／日,,,,,,,,,,
2017-06-12／月,,,,,,,,,,
小計,25,31.7,73,129.8,,,,,,
2017-06-13／火,12.8,19,25.6,57.4,,,,,,
2017-06-14／水,12.3,0,12.8,25.1,,,,,,
2017-06-15／木,12.6,6.4,25.6,44.6,,,,,,
2017-06-16／金,12.4,19,25.6,57,,,,,,
2017-06-17／土,,,,,,,,,,
2017-06-18／日,,,,,,,,,,
2017-06-19／月,,,,,,,,,,
小計,0.0,44.4,64,108.4,,,,,,
2017-06-20／火,25.1,6.3,25.6,57.1,,,,,,
2017-06-21／水,12.6,12.7,12.8,38.1,,,,,,
2017-06-22／木,12.5,12.7,25.6,50.8,,,,,,
2017-06-23／金,12.7,12.7,25.6,51.1,,,,,,
2017-06-24／土,,,,,,,,,,
2017-06-25／日,,,,,,,,,,
2017-06-26／月,,,,,,,,,,
小計,35.5,44.4,64,144,,,,,,
2017-06-27／火,7.9,12.7,25.6,46.2,,,,,,
2017-06-28／水,15.7,19,25.6,60.3,,,,,,
2017-06-29／木,5.7,11.2,12.8,29.8,,,,,,
2017-06-30／金,6.7,6.3,28.4,41.5,,,,,,
2017-07-01／土,,,,,,,,,,
2017-07-02／日,,,,,,,,,,
2017-07-03／月,,,,,,,,,,
小計,29.3,12.7,62,104,,,,,,
2017-07-04／火,12.6,0,24.9,37.5,,,,,,
2017-07-05／水,11.8,6.3,25.6,43.7,,,,,,
2017-07-06／木,6.1,0,12.8,18.9,,,,,,
2017-07-07／金,17.6,6.3,15.7,39.7,,,,,,
2017-07-08／土,,,,,,,,,,
2017-07-09／日,,,,,,,,,,
2017-07-10／月,,,,,,,,,,
小計,0,12.7,10,22.6,,,,,,
2017-07-11／火,0,0,0.3,0.3,,,,,,
2017-07-12／水,34.3,6.3,45.7,86.4,,,,,,
2017-07-13／木,8.7,0,25.6,34.3,,,,,,
2017-07-14／金,14.7,0,12.8,27.5,,,,,,
2017-07-15／土,,,,,,,,,,
2017-07-16／日,,,,,,,,,,
2017-07-17／月,,,,,,,,,,
2017-07-18／火,,,,,,,,,,
小計,30.1,17.3,64.1,111.5,,,,,,
2017-07-19／水,0,6.4,25.6,32,,,,,,
2017-07-20／木,0,0,12.8,12.8,,,,,,
2017-07-21／金,28.4,6.3,17.6,52.3,,,,,,
2017-07-22／土,,,,,,,,,,
2017-07-23／日,,,,,,,,,,
2017-07-24／月,,,,,,,,,,
小計,8.1,6.3,38.4,52.9,,,,,,
2017-07-25／火,28.7,6.3,12.8,47.8,,,,,,
2017-07-26／水,19.9,19,12.8,51.8,,,,,,
2017-07-27／木,0,12.7,38.5,51.2,,,,,,
2017-07-28／金,13.7,12.7,12.8,39.2,,,,,,
2017-07-29／土,,,,,,,,,,
2017-07-30／日,,,,,,,,,,
2017-07-31／月,,,,,,,,,,
小計,15.5,38.5,77,130.5,,,,,,
2017-08-01／火,13.3,12.7,12.8,38.9,,,,,,
2017-08-02／水,1.8,12.7,25.7,40.2,,,,,,
2017-08-03／木,9.2,11,25.7,45.8,,,,,,
2017-08-04／金,21,12.7,12.8,46.5,,,,,,
2017-08-05／土,,,,,,,,,,
2017-08-06／日,,,,,,,,,,
2017-08-07／月,,,,,,,,,,
小計,24.6,38.1,64.1,126.8,,,,,,
2017-08-08／火,9.3,12.7,25.6,47.7,,,,,,
2017-08-09／水,13.6,12.7,12.8,39.1,,,,,,
2017-08-10／木,23.4,12.7,32.5,68.6,,,,,,
2017-08-11／金,,,,,,,,,,
2017-08-12／土,,,,,,,,,,
2017-08-13／日,,,,,,,,,,
小計,,,,,,,,,,
,50.3,44.4,78.8,173.5,,,,,,
2017-08-15／火,2.2,12.7,22.6,37.6,,,,,,
2017-08-16／水,0.5,12.7,22.7,35.9,,,,,,
2017-08-17／木,7.2,6.4,22.7,36.3,,,,,,
2017-08-18／金,24.6,12.7,22.8,60.1,,,,,,
2017-08-19／土,,,,,,,,,,
2017-08-20／日,,,,,,,,,,
2017-08-21／月,,,,,21日より、地下ピットに設置した釜場(A.P.1.5m)からの排水を順次開始,※3,56.4,101,157.4,
小計,52.2,93.9,138.5,284.6,,,,,,
2017-08-22／火,30.9,51.2,52,134.1,,※3,43.5,36,79.5,
2017-08-23／水,47.6,62.4,97.3,207.2,,※3,60.4,38,98.4,
2017-08-24／木,50.7,94.7,48.5,194,,36,71.2,49,156.2,
2017-08-25／金,51.2,86.5,48.6,186.3,,29,76.9,14,119.9,
2017-08-26／土,,,,,,,,,,
2017-08-27／日,,,,,,,,,,
2017-08-28／月,,,,,,17,84,51,152,
小計,33.6,116.6,84.1,234.3,,,,,,
2017-08-29／火,47.8,35.2,67.1,150.1,,18,0,49,67,
2017-08-30／水,15.4,59,34.8,109.1,,0,58.8,28,86.8,
2017-08-31／木,14.4,72.2,82.1,168.7,31日より、ポンプ交換した揚水井戸からの排水を再開,0,58.4,37,95.4,
2017-09-01／金,2.8,152.2,61.9,216.9,,0,65.3,42,107.3,
2017-09-02／土,,,,,,,,,,
2017-09-03／日,,,,,,,,,,
2017-09-04／月,,,,,,0,39.2,56,95.2,
小計,37.5,153.1,61.3,251.9,,,,,,
2017-09-05／火,10.5,106.5,61.5,178.4,,0,76.3,37,113.3,
2017-09-06／水,2.8,119.2,48.5,170.5,,0,72.5,33,105.5,
2017-09-07／木,46.8,47.5,68.7,163,,36,52.2,51,139.2,
2017-09-08／金,27.8,142.9,80.2,250.9,,21,66.4,51,138.4,
2017-09-09／土,,,,,,,,,,
2017-09-10／日,,,,,,,,,,
2017-09-11／月,,,,,11日より、従来の観測井戸からバキューム車による揚水作業を開始,0,65.3,62,127.3,
小計,50,111.7,110.1,271.9,,,,,,
2017-09-12／火,11.9,32.6,74.9,119.4,,0,0,80,80,
2017-09-13／水,26.6,94.1,38.3,158.9,,0,85.5,37,122.5,
2017-09-14／木,22.5,119.8,73.9,216.2,,0,61.9,14,75.9,
2017-09-15／金,7,144.9,50.9,202.8,,0,55.8,27,82.8,
2017-09-16／土,,,,,,,,,,
2017-09-17／日,,,,,,,,,,
2017-09-18／月,,,,,,,,,,
2017-09-19／火,,,,,,0,86.7,54,140.7,
小計,42.1,269.5,70.6,382.2,,,,,,
2017-09-20／水,28.1,118.7,96.4,243.2,,0,87.4,73,160.4,
2017-09-21／木,28.4,172.5,87.6,288.5,,0,72.6,55,127.6,
2017-09-22／金,28,131.9,64.8,224.8,,0,58.3,34,92.3,
2017-09-23／土,,,,,,15,,,15,
2017-09-24／日,,,,,,,,,,
2017-09-25／月,,,,,,45,78.4,75,198.4,
小計,113,220.8,66.9,400.7,,,,,,
2017-09-26／火,56.9,137,142.5,336.4,,30,68.5,50,148.5,
2017-09-27／水,56.8,138.4,74.2,269.4,,25,64.3,37,126.3,
2017-09-28／木,56.8,83.5,127.8,268.1,,18,9.9,101,128.9,
2017-09-29／金,31.4,178.9,122.2,332.5,,0,91.2,23,114.2,
2017-09-30／土,,,,,,,,,,
2017-10-01／日,,,,,,,,,,
2017-10-02／月,,,,,,0,72.8,58,130.8,
小計,78.5,340.3,245.7,664.5,,,,,,
2017-10-03／火,62.7,173.6,136.6,372.9,,42,93,52,187,
2017-10-04／水,62.7,169.9,112.9,345.5,,24,67.1,43,134.1,
2017-10-05／木,47.4,125.6,96.6,269.5,,12,55.5,29,96.5,
2017-10-06／金,31.4,126.7,77,235.1,,0,59.7,63,122.7,
2017-10-07／土,,,,,,,49.6,,49.6,
2017-10-08／日,,,,,,,,,,
2017-10-09／月,,,,,,,,,,
2017-10-10／火,,,,,,35,101,62,198,
小計,125.3,460.1,166.6,752,,,,,,
2017-10-11／水,109.9,121.4,158.5,389.8,,37,25.7,114,176.7,
2017-10-12／木,47.4,196.9,116,360.3,,2,92.6,18,112.6,
2017-10-13／金,77.5,184.5,119.2,381.2,,33,66.8,87,186.8,
2017-10-14／土,,,,,,,62.2,,62.2,
2017-10-15／日,,,,,,,,,,
2017-10-16／月,,,,,,23,81.3,21,125.3,
小計,109.7,491.7,53.1,654.4,,,,,,
2017-10-17／火,77.4,204.5,158.7,440.7,,41,75.7,35,151.7,
2017-10-18／水,62.5,198.8,137.7,399,,0,71,73,144,
2017-10-19／木,92.9,180.5,49.2,322.6,,50,73.3,33,156.3,
2017-10-20／金,99.3,195.2,176.5,471,,41,83.1,0,124.1,
2017-10-21／土,,,,,,,,90,90,
2017-10-22／日,,,,,,35,122,100,257,
2017-10-23／月,,,,,,34,54.9,60,148.9,
小計,344.6,499.6,521.4,1365.7,,,,,,
2017-10-24／火,134.6,265.3,130.9,530.8,,0,92.9,68,160.9,
2017-10-25／水,113.2,120.8,160.6,394.6,,45,24.7,39,108.7,
2017-10-26／木,199,195.1,81,475.1,,54,86.5,23,163.5,
2017-10-27／金,146,167.6,122.2,435.7,,37,87.7,75,199.7,
2017-10-28／土,,,,,,,,,,
2017-10-29／日,,,,,,24,109.1,75,208.1,
2017-10-30／月,,,,,,39,112,66,217,
小計,291.3,549.5,283.9,1124.7,,,,,,
2017-10-31／火,200.5,268.1,163,631.7,,61,105,71,237,
2017-11-01／水,187.3,220,195.2,602.5,,0,96.8,76,172.8,
2017-11-02／木,180.2,197.2,131.7,509.1,,32,80.7,68,180.7,
2017-11-03／金,,,,,,71,,,71,
2017-11-04／土,,,,,,,,,,
2017-11-05／日,,,,,,,,,,
2017-11-06／月,,,,,,69,80.8,29,178.8,
小計,526.2,668.6,228.4,1423.2,,,,,,
2017-11-07／火,127.5,202.5,74.2,404.2,,12,94,65,171,
2017-11-08／水,108.8,137.8,164.2,410.7,,62,32.9,86,180.9,
2017-11-09／木,35.7,154.7,125.6,316.1,,0,100.1,103,203.1,
2017-11-10／金,124.5,199.8,134.7,459,,60,88.5,86,234.5,
2017-11-11／土,95.5,127,138.1,360.6,,,,,,
2017-11-12／日,,,,,,,,,,
2017-11-13／月,,,,,,86,87.1,106,279.1,
小計,188,254.8,230.6,673.5,,,,,,
