日付,排水量／５街区／青果棟（m3）,排水量／６街区／水産仲卸売場棟／西（m3）,排水量／６街区／水産仲卸売場棟／東（m3）,排水量／６街区／水産仲卸売場棟／合計（m3）,排水量／６街区／加工パッケージ棟（m3）,排水量／６街区／６街区合計（m3）,排水量／７街区／水産卸売場棟（m3）,排水量／全街区合計（m3）
2017-04-18／（火）,7,,100,100,52,152,162,321
2017-04-19／（水）,,,80,80,25,105,106,211
2017-04-20／（木）,,16,39,55,19,74,67,141
2017-04-21／（金）,,7,19,26,15,41,23,64
2017-04-22／（土）,,,,,,,,
2017-04-23／（日）,,,,,,,,
2017-04-24／（月）,13,40,56,96,43,139,86,238
2017-04-25／（火）,,10,18,28,14,42,47,89
2017-04-26／（水）,,17,30,47,44,91,63,154
2017-04-27／（木）,,21,36,57,14,71,53,124
2017-04-28／（金）,,18,32,50,27,77,17,94
2017-04-29／（土）,,,,,,,,
2017-04-30／（日）,,,,,,,,
2017-05-01／（月）,,,,,,,,
2017-05-02／（火）,,,,,,,,
2017-05-03／（水）,,,,,,,,
2017-05-04／（木）,,,,,,,,
2017-05-05／（金）,,,,,,,,
2017-05-06／（土）,,,,,,,,
2017-05-07／（日）,,,,,,,,
2017-05-08／（月）,11,82,103,185,65,250,133,394
2017-05-09／（火）,7,24,50,74,20,94,49,150
2017-05-10／（水）,3,21,48,69,47,116,16,135
2017-05-11／（木）,6,19,43,62,40,102,46,154
2017-05-12／（金）,9,19,34,53,41,94,19,122
2017-05-13／（土）,,,,,,,,
2017-05-14／（日）,,,,,,,,
2017-05-15／（月）,,57,97,154,117,271,79,350
2017-05-16／（火）,10,17,27,44,32,76,45,131
2017-05-17／（水）,,14,25,39,29,68,11,79
2017-05-18／（木）,,15,22,37,27,64,36,100
2017-05-19／（金）,,5,8,13,9,22,14,36
2017-05-20／（土）,,,,,,,,
2017-05-21／（日）,,,,,,,,
2017-05-22／（月）,,9,18,27,44,71,58,129
2017-05-23／（火）,7,13,17,30,35,65,32,104
2017-05-24／（水）,,14,18,32,32,64,15,79
2017-05-25／（木）,,23,35,58,31,89,41,130
2017-05-26／（金）,,9,19,28,33,61,17,78
2017-05-27／（土）,,,,,,,,
2017-05-28／（日）,,,,,,,,
2017-05-29／（月）,,17,18,35,93,128,55,183
2017-05-30／（火）,13,13,19,32,28,60,36,109
2017-05-31／（水）,,12,20,32,29,61,12,73
2017-06-01／（木）,,18,22,40,34,74,57,131
2017-06-02／（金）,,19,22,41,14,55,17,72
2017-06-03／（土）,,,,,,,,
2017-06-04／（日）,,,,,,,,
2017-06-05／（月）,,22,20,42,40,82,40,122
2017-06-06／（火）,10,9,17,26,11,37,21,68
2017-06-07／（水）,,23,36,59,38,97,6,103
2017-06-08／（木）,,11,14,25,34,59,45,104
2017-06-09／（金）,,11,18,29,13,42,12,54
2017-06-10／（土）,,,,,,,,
2017-06-11／（日）,,,,,,,,
2017-06-12／（月）,,20,15,35,19,54,42,96
2017-06-13／（火）,3,11,21,32,13,45,30,78
2017-06-14／（水）,,14,16,30,38,68,11,79
2017-06-15／（木）,,12,13,25,15,40,35,75
2017-06-16／（金）,,15,20,35,20,55,13,68
2017-06-17／（土）,,,,,,,,
2017-06-18／（日）,,,,,,,,
2017-06-19／（月）,,19,22,41,26,67,49,116
2017-06-20／（火）,,13,18,31,20,51,12,63
2017-06-21／（水）,,29,45,74,74,148,56,204
2017-06-22／（木）,,11,16,27,20,47,38,85
2017-06-23／（金）,,10,19,29,30,59,15,74
2017-06-24／（土）,,,,,,,,
2017-06-25／（日）,,,,,,,,
2017-06-26／（月）,,27,29,56,44,100,66,166
2017-06-27／（火）,,14,21,35,47,82,34,116
2017-06-28／（水）,,12,21,33,38,71,29,100
2017-06-29／（木）,,12,19,31,37,68,24,92
2017-06-30／（金）,,15,22,37,102,139,11,150
2017-07-01／（土）,,,,,,,,
2017-07-02／（日）,,,,,,,,
2017-07-03／（月）,,23,29,52,33,85,61,146
2017-07-04／（火）,10,30,51,81,36,117,39,166
2017-07-05／（水）,,11,16,27,34,61,33,94
2017-07-06／（木）,,14,19,33,30,63,25,88
2017-07-07／（金）,,14,20,34,87,121,8,129
2017-07-08／（土）,,,,,,,,
2017-07-09／（日）,,,,,,,,
2017-07-10／（月）,,23,20,43,28,71,45,116
2017-07-11／（火）,,15,20,35,28,63,24,87
2017-07-12／（水）,,15,18,33,28,61,10,71
2017-07-13／（木）,,13,20,33,27,60,26,86
2017-07-14／（金）,,18,21,39,15,54,14,68
2017-07-15／（土）,,,,,,,,
2017-07-16／（日）,,,,,,,,
2017-07-17／（月）,,,,,,,,
2017-07-18／（火）,7,37,52,89,45,134,38,179
2017-07-19／（水）,,10,11,21,8,29,16,45
2017-07-20／（木）,,12,18,30,15,45,29,74
2017-07-21／（金）,,14,29,43,21,64,12,76
2017-07-22／（土）,,,,,,,,
2017-07-23／（日）,,,,,,,,
2017-07-24／（月）,,24,33,57,51,108,22,130
2017-07-25／（火）,,15,26,41,34,75,5,80
2017-07-26／（水）,,16,26,42,68,110,24,134
2017-07-27／（木）,,12,23,35,20,55,10,65
2017-07-28／（金）,,10,16,26,13,39,12,51
2017-07-29／（土）,,,,,,,,
2017-07-30／（日）,,,,,,,,
2017-07-31／（月）,,19,17,36,44,80,47,127
2017-08-01／（火）,23,23,27,50,38,88,29,140
2017-08-02／（水）,,8,10,18,33,51,35,86
2017-08-03／（木）,,8,10,18,14,32,26,58
2017-08-04／（金）,,12,18,30,19,49,6,55
2017-08-05／（土）,,,,,,,,
2017-08-06／（日）,,,,,,,,
2017-08-07／（月）,,34,37,71,53,124,47,171
2017-08-08／（火）,,10,18,28,18,46,41,87
2017-08-09／（水）,,11,15,26,17,43,18,61
2017-08-10／（木）,,15,16,31,47,78,11,89
2017-08-11／（金）,,,,,,,,
2017-08-12／（土）,,,,,,,,
2017-08-13／（日）,,,,,,,,
2017-08-14／（月）,,,,,,,,
2017-08-15／（火）,,,,,94,94,,94
2017-08-16／（水）,,,,,56,56,,56
2017-08-17／（木）,,,,,48,48,,48
2017-08-18／（金）,,,,,30,30,3,33
2017-08-19／（土）,,,,,,,,
2017-08-20／（日）,,,,,,,,
2017-08-21／（月）,,53,28,81,74,155,60,215
2017-08-22／（火）,,25,62,87,23,110,0,110
2017-08-23／（水）,,17,33,50,19,69,36,105
2017-08-24／（木）,,6,15,21,3,24,27,51
2017-08-25／（金）,,10,12,22,2,24,6,30
2017-08-26／（土）,,,,,,,,
2017-08-27／（日）,,,,,,,,
2017-08-28／（月）,,15,18,33,10,43,3,46
2017-08-29／（火）,,13,13,26,15,41,3,44
2017-08-30／（水）,,10,15,25,8,33,3,36
2017-08-31／（木）,,12,11,23,6,29,2,31
2017-09-01／（金）,,11,11,22,6,28,3,31
2017-09-02／（土）,,,,,,,,
2017-09-03／（日）,,,,,,,,
2017-09-04／（月）,,9,10,19,11,30,,30
2017-09-05／（火）,,10,8,18,5,23,6,29
2017-09-06／（水）,,12,10,22,5,27,,27
2017-09-07／（木）,,12,8,20,6,26,,26
2017-09-08／（金）,,12,7,19,6,25,,25
2017-09-09／（土）,,,,,,,,
2017-09-10／（日）,,,,,,,,
2017-09-11／（月）,,15,7,22,4,26,,26
2017-09-12／（火）,,15,3,18,10,28,17,45
2017-09-13／（水）,,12,3,15,3,18,,18
2017-09-14／（木）,,10,2,12,3,15,,15
2017-09-15／（金）,,3,3,6,5,11,,11
2017-09-16／（土）,,,,,,,,
2017-09-17／（日）,,,,,,,,
2017-09-18／（月）,,,,,,,,
2017-09-19／（火）,,18,9,27,7,34,1,35
2017-09-20／（水）,,15,5,20,4,24,,24
2017-09-21／（木）,,11,4,15,2,17,,17
2017-09-22／（金）,,5,4,9,2,11,,11
2017-09-23／（土）,,,,,,,,
2017-09-24／（日）,,,,,,,,
2017-09-25／（月）,,13,4,17,3,20,,20
2017-09-26／（火）,,11,4,15,2,17,14,31
2017-09-27／（水）,,8,3,11,8,19,,19
2017-09-28／（木）,,17,4,21,14,35,11,46
2017-09-29／（金）,,99,6,105,3,108,,108
2017-09-30／（土）,,,,,,,,
2017-10-01／（日）,,,,,,,,
2017-10-02／（月）,,,17,17,5,22,,22
2017-10-03／（火）,,,16,16,2,18,,18
2017-10-04／（水）,,,10,10,1,11,,11
2017-10-05／（木）,,,8,8,1,9,,9
2017-10-06／（金）,,,19,19,30,49,,49
2017-10-07／（土）,,,8,8,3,11,,11
2017-10-08／（日）,,,,,,,,
2017-10-09／（月）,,,,,,,,
2017-10-10／（火）,,,15,15,3,18,,18
2017-10-11／（水）,,,15,15,5,20,,20
2017-10-12／（木）,,,15,15,1,16,,16
2017-10-13／（金）,,,12,12,3,15,,15
2017-10-14／（土）,,,18,18,8,26,,26
2017-10-15／（日）,,,13,13,2,15,,15
2017-10-16／（月）,,,17,17,24,41,,41
2017-10-17／（火）,,,10,10,5,15,,15
2017-10-18／（水）,,,16,16,3,19,,19
2017-10-19／（木）,,,34,34,39,73,,73
2017-10-20／（金）,,,39,39,27,66,,66
2017-10-21／（土）,,,28,28,57,85,,85
2017-10-22／（日）,,,93,93,130,223,,223
2017-10-23／（月）,,,118,118,82,200,,200
2017-10-24／（火）,,,38,38,26,64,,64
2017-10-25／（水）,,,137,137,80,217,,217
2017-10-26／（木）,19,,127,127,36,163,,182
2017-10-27／（金）,,,120,120,43,163,,163
2017-10-28／（土）,,,90,90,41,131,,131
2017-10-29／（日）,,,172,172,98,270,,270
2017-10-30／（月）,39,,59,59,50,109,,148
2017-10-31／（火）,41,42,56,98,35,133,,174
2017-11-01／（水）,,81,39,120,32,152,,152
2017-11-02／（木）,102,101,43,144,30,174,,276
2017-11-03／（金）,,90,42,132,37,169,17,186
2017-11-04／（土）,,52,28,80,32,112,18,130
2017-11-05／（日）,,,21,21,20,41,14,55
2017-11-06／（月）,89,56,11,67,5,72,84,245
2017-11-07／（火）,27,76,29,105,12,117,66,210
2017-11-08／（水）,20,66,21,87,12,99,60,179
2017-11-09／（木）,,42,13,55,8,63,55,118
2017-11-10／（金）,36,47,17,64,8,72,81,189
2017-11-11／（土）,,37,11,48,10,58,64,122
2017-11-12／（日）,,27,6,33,8,41,51,92
2017-11-13／（月）,56,21,8,29,12,41,28,125
2017-11-14／（火）,33,33,7,40,4,44,27,104
2017-11-15／（水）,18,28,6,34,1,35,52,105
2017-11-16／（木）,27,20,4,24,,24,14,65
2017-11-17／（金）,13,21,4,25,,25,13,51
2017-11-18／（土）,,25,6,31,,31,15,46
2017-11-19／（日）,,4,2,6,,6,9,15
2017-11-20／（月）,21,19,4,23,1,24,11,56
2017-11-21／（火）,8,8,2,10,,10,6,24
2017-11-22／（水）,6,22,5,27,,27,21,54
2017-11-23／（木）,,28,5,33,4,37,24,61
2017-11-24／（金）,,17,1,18,,18,15,33
2017-11-25／（土）,,4,1,5,,5,5,10
2017-11-26／（日）,,4,2,6,2,8,6,14
2017-11-27／（月）,22,3,2,5,,5,15,42
2017-11-28／（火）,9,17,3,20,,20,9,38
2017-11-29／（水）,8,19,2,21,,21,10,39
2017-11-30／（木）,16,16,2,18,,18,5,39
2017-12-01／（金）,17,13,1,14,,14,5,36
2017-12-02／（土）,,13,1,14,,14,5,19
2017-12-03／（日）,,14,2,16,,16,5,21
2017-12-04／（月）,,12,4,16,,16,3,19
2017-12-05／（火）,,16,2,18,7,25,5,30
2017-12-06／（水）,,9,,9,,9,2,11
2017-12-07／（木）,,12,,12,,12,2,14
2017-12-08／（金）,,12,,12,,12,5,17
2017-12-09／（土）,,8,,8,,8,4,12
2017-12-10／（日）,,12,,12,,12,4,16
2017-12-11／（月）,,,,,,,7,7
2017-12-12／（火）,,,,,,,1,1
2017-12-13／（水）,,,,,,,,
2017-12-14／（木）,,,,,,,,
2017-12-15／（金）,,2,,2,,2,1,3
2017-12-16／（土）,,,,,,,,
2017-12-17／（日）,,,,,,,,
2017-12-18／（月）,,,,,,,1,1
2017-12-19／（火）,,,,,,,19,19
2017-12-20／（水）,,1,,1,,1,,1
2017-12-21／（木）,,1,,1,,1,,1
2017-12-22／（金）,,,,,,,,
2017-12-23／（土）,,,,,,,,
2017-12-24／（日）,,,,,,,,
2017-12-25／（月）,,1,,1,,1,,1
2017-12-26／（火）,,,,,,,,
2017-12-27／（水）,,,,,,,,
2017-12-28／（木）,,8,,8,,8,,8
2017-12-29／（金）,,,,,,,,
2017-12-30／（土）,,,,,,,,
2017-12-31／（日）,,,,,,,,
2018-01-01／（月）,,,,,,,,
2018-01-02／（火）,,,,,,,,
2018-01-03／（水）,,,,,,,,
2018-01-04／（木）,,1,,1,,1,,1
2018-01-05／（金）,,34,,34,,34,,34
2018-01-06／（土）,,,,,,,,
2018-01-07／（日）,,,,,,,,
2018-01-08／（月）,,,,,,,,
2018-01-09／（火）,,7,,7,,7,,7
2018-01-10／（水）,,8,,8,,8,,8
2018-01-11／（木）,,5,,5,,5,,5
2018-01-12／（金）,,12,,12,,12,,12
合計,3775,9360,11693,21053,6313,27366,13599,44740
