地区,番号,名称,位置,規模,用途,完了時期,事業主体,みどりに関すること,まちづくりの手法
有明北／豊洲,20/中期（おおむねH27年度までに完成するもの）,（仮称）認定こども園、児童・高齢者総合施設,江東区東雲一,約3000m2,認定こども園、児童・高齢者総合施設,H23,江東区等,壁面の位置の制限,東雲一丁目地区地区計画
有明北／豊洲,22/短期（おおむねH22年度までに完成するもの）,公園１号,江東区豊洲六,約4000m2,公園（2号施設）,H20年度,東京都都市整備局,,土地区画整理事業豊洲地区地区計画再開発等促進区
有明北／豊洲,23/長期（現時点で完了時期が未定のもの）,区域３３－２/Ａ１、Ａ２、Ｂ１、Ｂ２、Ｂ３街区,江東区豊洲六,約132000m2,,,,歩道状空地、緑道、水際緑地、壁面の位置の制限,豊洲地区地区計画再開発等促進区
有明北／豊洲,24/短期（おおむねH22年度までに完成するもの）,公園３号,江東区豊洲六,約16200m2,公園（2号施設）,H20,東京都都市整備局,,土地区画整理事業豊洲地区地区計画再開発等促進区
有明北／豊洲,25/中期（おおむねH27年度までに完成するもの）,５、６、７街区,江東区豊洲六,約407000m2,市場その他,H24年度,東京都中央卸売市場,歩道状空地、緑地、屋上緑化広場、水際緑地、壁面の位置の制限など,豊洲地区地区計画再開発等促進区
有明北／豊洲,26/中期（おおむねH27年度までに完成するもの）,区域２、３、４、８,江東区豊洲六,,,H27年度,,水際緑地,豊洲地区地区計画再開発等促進区
有明北／豊洲,28/短期（おおむねH22年度までに完成するもの）,公園８号,江東区豊洲六,約14600m2,公園（2号施設）,H22年度,東京都都市整備局,,土地区画整理事業豊洲地区地区計画再開発等促進区
有明北／豊洲,29/短期（おおむねH22年度までに完成するもの）,３－１街区,江東区豊洲三,約13700m2,オフィスビル,,,"地区広場（約1,800m2）、歩道状空地、壁面の位置の制限",豊洲二・三丁目地区地区計画再開発等促進区
有明北／豊洲,30/長期（現時点で完了時期が未定のもの）,３－２街区,江東区豊洲三,約16200m2,,,,"地区広場（約1,050m2）、歩道状空地、壁面の位置の制限",豊洲二・三丁目地区地区計画再開発等促進区
有明北／豊洲,31/短期（おおむねH22年度までに完成するもの）,３－３街区,江東区豊洲三,約18200m2,オフィスビル,,,"地区広場（約1,050m2）、歩道状空地、壁面の位置の制限",豊洲二・三丁目地区地区計画再開発等促進区
有明北／豊洲,32/短期（おおむねH22年度までに完成するもの）,８－４街区,江東区豊洲三,約16600m2,住宅,,,壁面の位置の制限,豊洲二・三丁目地区地区計画再開発等促進区
有明北／豊洲,33/短期（おおむねH22年度までに完成するもの）,８－３街区,江東区豊洲三,約16400m2,住宅,,,壁面の位置の制限,豊洲二・三丁目地区地区計画再開発等促進区
有明北／豊洲,34/短期（おおむねH22年度までに完成するもの）,９－２街区,江東区豊洲三,約13800m2,共同住宅,,,"地区広場（約1,000m2）、緑地、壁面の位置の制限",豊洲二・三丁目地区地区計画再開発等促進区
晴海／勝どき,35/中期（おおむねH27年度までに完成するもの）,第２－１街区,中央区晴海二,約17000m2,住宅等,,,歩道状空地、地区広場（約450m2）壁面の位置の制限,晴海地区地区計画再開発等促進区
晴海／勝どき,36/中期（おおむねH27年度までに完成するもの）,公園,中央区晴海二,約8700m2,公園（2号施設）,H23年度,,,晴海地区地区計画再開発等促進区
晴海／勝どき,39/中期（おおむねH27年度までに完成するもの）,晴海三丁目西地区Ａ街区,中央区晴海三,約21800m2,住宅、駐車場,H23年度,都市再生機構等,"地区広場（約1,800m2）、壁面の位置の制限",市街地再開発事業、晴地区地区計画再開発等促進区
晴海／勝どき,40/中期（おおむねH27年度までに完成するもの）,晴海三丁目西地区Ｂ街区、Ｄ街区,中央区晴海三,約8000m2,住宅、事務所、駐車場,H25年度,都市再生機構,"地区広場（約1,200m2）、壁面の位置の制限",市街地再開発事業、晴海地区地区計画再開発等促進区
晴海／勝どき,41/短期（おおむねH22年度までに完成するもの）,晴海三丁目西地区Ｃ街区,中央区晴海三,約2200m2,宿泊施設、事務所、駐車場,H21年度,都市再生機構等,壁面の位置の制限,市街地再開発事業、晴海地区地区計画再開発等促進区
晴海／勝どき,42/短期（おおむねH22年度までに完成するもの）,第５－２街区,中央区晴海五,約7900m2,住宅、駐車場,,,壁面の位置の制限,晴海地区地区計画再開発等促進区
