"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201508,"集積所回収","古紙",554030,-2
201508,"集積所回収","びん・缶",350737,3
201508,"集積所回収","ペットボトル",104770,15
201508,"拠点回収","紙パック",180,-10
201508,"拠点回収","使用済み乾電池",0,"-"
201508,"拠点回収","使用済み小型家電製品",71,-44
201508,"拠点回収","古着",3838,86
201508,"拠点回収","蛍光灯",6,20
201508,"拠点回収","ペットボトルキャップ",78,290
201508,"拠点回収","廃食用油",0,"-"
201508,"ピックアップ回収","金属製品等(不燃ごみからの回収)",37360,42
201508,"ピックアップ回収","コード類(不燃ごみからの回収)",3180,111
201508,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1173,"-"
201508,"ピックアップ回収","金属製品等(粗大ごみからの回収)",18250,"-"
201508,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201508,"ピックアップ回収","ふとん(粗大ごみからの回収)",42,"-"
201509,"集積所回収","資源プラスチック",219250,1
201509,"集積所回収","古紙",626450,2
201509,"集積所回収","びん・缶",361601,5
201509,"集積所回収","ペットボトル",97590,16
201509,"拠点回収","紙パック",160,"-"
201509,"拠点回収","使用済み乾電池",0,"-"
201509,"拠点回収","使用済み小型家電製品",125,26
201509,"拠点回収","古着",2852,150
201509,"拠点回収","蛍光灯",16,14
201509,"拠点回収","ペットボトルキャップ",28,-27
201509,"拠点回収","廃食用油",0,"-"
201509,"ピックアップ回収","金属製品等(不燃ごみからの回収)",36560,46
201509,"ピックアップ回収","コード類(不燃ごみからの回収)",3060,83
201509,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",2036,116
201509,"ピックアップ回収","金属製品等(粗大ごみからの回収)",17110,-13
201509,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201509,"ピックアップ回収","ふとん(粗大ごみからの回収)",98,"-"
201510,"集積所回収","資源プラスチック",219730,-1
201510,"集積所回収","古紙",626360,-2
201510,"集積所回収","びん・缶",359020,2
201510,"集積所回収","ペットボトル",93760,14
201510,"拠点回収","紙パック",200,11
201510,"拠点回収","使用済み乾電池",0,"-"
201510,"拠点回収","使用済み小型家電製品",160,79
201510,"拠点回収","古着",4321,217
201510,"拠点回収","蛍光灯",12,-25
201510,"拠点回収","ペットボトルキャップ",36,-24
201510,"拠点回収","廃食用油",150,188
201510,"ピックアップ回収","金属製品等(不燃ごみからの回収)",42500,63
201510,"ピックアップ回収","コード類(不燃ごみからの回収)",3340,109
201510,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",2100,"-"
201510,"ピックアップ回収","金属製品等(粗大ごみからの回収)",17980,4
201510,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201510,"ピックアップ回収","ふとん(粗大ごみからの回収)",189,"-"
201511,"集積所回収","資源プラスチック",207760,2
201511,"集積所回収","古紙",581020,"-"
201511,"集積所回収","びん・缶",343197,4
201511,"集積所回収","ペットボトル",80560,18
201511,"拠点回収","紙パック",140,-30
201511,"拠点回収","使用済み乾電池",1915,"-"
201511,"拠点回収","使用済み小型家電製品",184,89
201511,"拠点回収","古着",5243,266
201511,"拠点回収","蛍光灯",3,-40
201511,"拠点回収","ペットボトルキャップ",33,30
201511,"拠点回収","廃食用油",0,"-"
201511,"ピックアップ回収","金属製品等(不燃ごみからの回収)",41200,63
201511,"ピックアップ回収","コード類(不燃ごみからの回収)",2930,78
201511,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",2852,207
201511,"ピックアップ回収","金属製品等(粗大ごみからの回収)",16860,-9
201511,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201511,"ピックアップ回収","ふとん(粗大ごみからの回収)",77,"-"
201512,"集積所回収","資源プラスチック",233800,"-"
201512,"集積所回収","古紙",714430,-4
201512,"集積所回収","びん・缶",394893,3
201512,"集積所回収","ペットボトル",81920,15
201512,"拠点回収","紙パック",160,"-"
201512,"拠点回収","使用済み乾電池",0,"-"
201512,"拠点回収","使用済み小型家電製品",116,20
201512,"拠点回収","古着",3976,178
201512,"拠点回収","蛍光灯",16,-61
201512,"拠点回収","ペットボトルキャップ",52,246
201512,"拠点回収","廃食用油",0,"-"
201512,"ピックアップ回収","金属製品等(不燃ごみからの回収)",40250,48
201512,"ピックアップ回収","コード類(不燃ごみからの回収)",3560,93
201512,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1832,73
201512,"ピックアップ回収","金属製品等(粗大ごみからの回収)",19200,-11
201512,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",193,"-"
201512,"ピックアップ回収","ふとん(粗大ごみからの回収)",224,"-"
201601,"集積所回収","資源プラスチック",232330,-1
201601,"集積所回収","古紙",619240,-7
201601,"集積所回収","びん・缶",410960,"-"
201601,"集積所回収","ペットボトル",78690,11
201601,"拠点回収","紙パック",150,-17
201601,"拠点回収","使用済み乾電池",0,"-"
201601,"拠点回収","使用済み小型家電製品",159,15
201601,"拠点回収","古着",2490,59
201601,"拠点回収","蛍光灯",30,172
201601,"拠点回収","ペットボトルキャップ",38,4
201601,"拠点回収","廃食用油",0,"-"
201601,"ピックアップ回収","金属製品等(不燃ごみからの回収)",42320,56
201601,"ピックアップ回収","コード類(不燃ごみからの回収)",3650,73
201601,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",3305,193
201601,"ピックアップ回収","金属製品等(粗大ごみからの回収)",12690,-29
201601,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201601,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201602,"集積所回収","資源プラスチック",211470,5
201602,"集積所回収","古紙",553940,-2
201602,"集積所回収","びん・缶",348901,6
201602,"集積所回収","ペットボトル",77670,23
201602,"拠点回収","紙パック",130,-19
201602,"拠点回収","使用済み乾電池",1783,"-"
201602,"拠点回収","使用済み小型家電製品",126,41
201602,"拠点回収","古着",2616,135
201602,"拠点回収","蛍光灯",5,-62
201602,"拠点回収","ペットボトルキャップ",59,125
201602,"拠点回収","廃食用油",0,"-"
201602,"ピックアップ回収","金属製品等(不燃ごみからの回収)",39220,65
201602,"ピックアップ回収","コード類(不燃ごみからの回収)",3300,100
201602,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",3528,88
201602,"ピックアップ回収","金属製品等(粗大ごみからの回収)",16210,-20
201602,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201602,"ピックアップ回収","ふとん(粗大ごみからの回収)",94,40
201603,"集積所回収","資源プラスチック",232540,5
201603,"集積所回収","古紙",670120,"－"
201603,"集積所回収","びん・缶",376304,8
201603,"集積所回収","ペットボトル",85960,25
201603,"拠点回収","紙パック",130,-24
201603,"拠点回収","使用済み乾電池",0,"－"
201603,"拠点回収","使用済み小型家電製品",154,21
201603,"拠点回収","古着",3887,"－"
201603,"拠点回収","蛍光灯",8,-20
201603,"拠点回収","ペットボトルキャップ",19,-41
201603,"拠点回収","廃食用油",0,"－"
201603,"ピックアップ回収","金属製品等(不燃ごみからの回収)",38090,49
201603,"ピックアップ回収","コード類(不燃ごみからの回収)",3070,29
201603,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",4812,293
201603,"ピックアップ回収","金属製品等(粗大ごみからの回収)",20060,-11
201603,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"－"
201603,"ピックアップ回収","ふとん(粗大ごみからの回収)",44,"－"

"平成27年度　資源回収量【速報値】","Ver201603",,,
