規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成21,2009,9月,100,-1.8,100.8,100,100.8,103.6,108.4,111.8,102.9,98.2,－,－,－,－,93.5,106.7,119,－
30人以上,平成21,2009,10月,100.2,-0.8,101.1,97.8,100,104.8,107.3,108.1,101.3,97.1,－,－,－,－,95.3,105.4,132.4,－
30人以上,平成21,2009,11月,100.1,-0.4,98,97.5,100.4,102.9,108.1,109.9,103.4,98.3,－,－,－,－,92.2,104,115.5,－
30人以上,平成21,2009,12月,100.5,-0.2,98.1,97.4,100.6,102.8,109.2,111,104.6,99.1,－,－,－,－,93.2,101.4,117.8,－
30人以上,平成22,2010,1月,99.5,0.3,101.5,96.2,99.3,101.7,109,105.1,107,98.1,－,－,－,－,94.2,105.7,115.7,－
30人以上,平成22,2010,2月,99.9,-0.5,101.8,96.2,102.1,101.5,108.4,111.2,104.3,99.3,－,－,－,－,96,103.8,113.9,－
30人以上,平成22,2010,2月（対前年同月比（％））,－,－,-3.5,-1.7,1.5,-0.5,0.2,1.3,-2.6,2.8,－,－,－,－,1.9,-0.3,-2.9,－
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年２月分,,,,,,,,,,,,,,,,,,,,,
第14表　名目賃金指数（所定内給与）,,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,,
平成22年１月分から新しい日本標準産業分類（平成19年11月改定）による表章に変更しています。平成21年以前の指数（旧産業分類）と接続しない産業の指数、前年比等については算出できないため、「－」と表記しています。,,,,,,,,,,,,,,,,,,,,,
