区分１,区分２,該当数計,割合計,電話をする該当数,電話をする割合,メールをする該当数,メールをする割合,ＳＮＳ等のコミュニケーションアプリ該当数,ＳＮＳ等のコミュニケーションアプリ割合,動画を見る該当数,動画をみる割合,カメラ撮影該当数,カメラ撮影割合,ゲームをする該当数,ゲームをする割合,音楽を聴く該当数,音楽を聴く割合,インターネット該当数,インターネット割合,その他該当数,その他割合,わからない該当数,わからない割合
携帯電話の購入所別,その他,31,100.0,7,22.6,3,9.7,9,29.0,3,9.7,0,0.0,4,12.9,1,3.2,2,6.5,1,3.2,1,3.2
携帯電話の購入所別,わからない,25,100.0,6,24.0,3,12.0,6,24.0,1,4.0,0,0.0,2,8.0,1,4.0,1,4.0,0,0.0,5,20.0
フィルタリングサービスの加入状況別,加入している,459,100.0,62,13.5,71,15.5,158,34.4,47,10.2,3,0.7,66,14.4,20,4.4,20,4.4,4,0.9,8,1.7
フィルタリングサービスの加入状況別,加入していない,563,100.0,99,17.6,85,15.1,173,30.7,66,11.7,0,0.0,74,13.1,19,3.4,27,4.8,5,0.9,15,2.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,163,65.5,64,25.7,6,2.4,6,2.4,1,0.4,3,1.2,1,0.4,3,1.2,0,0.0,2,0.8
フィルタリングサービスの加入状況別,わからない,229,100.0,38,16.6,28,12.2,74,32.3,17,7.4,3,1.3,30,13.1,7,3.1,7,3.1,1,0.4,24,10.5
利用制限サービスの加入状況別,加入している,261,100.0,9,3.4,24,9.2,109,41.8,38,14.6,2,0.8,47,18.0,11,4.2,14,5.4,2,0.8,5,1.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,6,3.3,11,6.0,77,42.1,31,16.9,0,0.0,37,20.2,9,4.9,8,4.4,2,1.1,2,1.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,5,1.6,25,7.9,138,43.4,47,14.8,0,0.0,57,17.9,15,4.7,17,5.3,3,0.9,11,3.5
利用制限サービスの加入状況別,わからない,85,100.0,1,1.2,3,3.5,42,49.4,7,8.2,1,1.2,15,17.6,6,7.1,4,4.7,0,0.0,6,7.1
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,221,38.5,107,18.6,118,20.6,36,6.3,1,0.2,43,7.5,12,2.1,21,3.7,5,0.9,10,1.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,103,15.3,106,15.7,216,32.0,75,11.1,4,0.6,95,14.1,26,3.9,27,4.0,4,0.6,18,2.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,18,10.6,28,16.5,55,32.4,22,12.9,1,0.6,25,14.7,6,3.5,4,2.4,0,0.0,11,6.5
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,17,23.3,6,8.2,20,27.4,3,4.1,1,1.4,9,12.3,3,4.1,4,5.5,0,0.0,10,13.7
利用状況の管理状態別,その他,9,100.0,3,33.3,1,11.1,2,22.2,0,0.0,0,0.0,1,11.1,0,0.0,1,11.1,1,11.1,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,132,23.7,99,17.7,152,27.2,45,8.1,3,0.5,68,12.2,19,3.4,23,4.1,6,1.1,11,2.0
説明・学習経験別,インターネットで調べた,505,100.0,106,21.0,97,19.2,153,30.3,42,8.3,1,0.2,52,10.3,18,3.6,22,4.4,4,0.8,10,2.0
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,125,23.0,87,16.0,146,26.9,61,11.2,2,0.4,69,12.7,17,3.1,21,3.9,5,0.9,10,1.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,72,20.8,61,17.6,93,26.9,43,12.4,2,0.6,44,12.7,10,2.9,13,3.8,5,1.4,3,0.9
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,11,18.6,12,20.3,15,25.4,5,8.5,0,0.0,8,13.6,3,5.1,4,6.8,1,1.7,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,11,12.5,20,22.7,34,38.6,7,8.0,0,0.0,9,10.2,1,1.1,3,3.4,1,1.1,2,2.3
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,3,14.3,5,23.8,2,9.5,3,14.3,0,0.0,5,23.8,3,14.3,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,100,29.9,39,11.7,90,26.9,29,8.7,2,0.6,33,9.9,11,3.3,4,1.2,2,0.6,24,7.2
説明・学習経験別,その他,11,100.0,2,18.2,1,9.1,3,27.3,2,18.2,0,0.0,1,9.1,1,9.1,1,9.1,0,0.0,0,0.0
