区分１,区分２,該当数計,割合計,メール機能該当数,メール機能割合,子供の所在地を検索できる機能該当数,子供の所在地を検索できる機能割合,緊急時に位置情報を知らせてくることができる機能該当数,緊急時に位置情報を知らせてくることができる機能割合,迷惑メール防止機能該当数,迷惑メール防止機能割合,料金上限設定機能該当数,料金上限設定機能割合,非常ブザー等防犯機能該当数,非常ブザー等防犯機能割合,利用時間制限機能該当数,利用時間制限機能割合,通話相手の制限設定機能該当数,通話相手の制限設定機能割合,メール相手の制限設定機能該当数,メール相手の制限設定機能割合,ＳＮＳ監視機能該当数,ＳＮＳ監視機能割合,インターネット機能該当数,インターネット機能割合,その他該当数,その他割合
児童・生徒×子どもの性別,高校生女子,231,100.0,101,43.7,115,49.8,128,55.4,126,54.5,103,44.6,73,31.6,73,31.6,39,16.9,43,18.6,60,26.0,38,16.5,4,1.7
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,461,48.8,554,58.7,561,59.4,506,53.6,475,50.3,297,31.5,310,32.8,216,22.9,224,23.7,319,33.8,168,17.8,14,1.5
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,64,48.9,75,57.3,72,55.0,68,51.9,63,48.1,45,34.4,56,42.7,30,22.9,32,24.4,46,35.1,18,13.7,1,0.8
携帯電話の購入場所別,家電量販店,273,100.0,123,45.1,176,64.5,164,60.1,149,54.6,144,52.7,88,32.2,113,41.4,73,26.7,67,24.5,95,34.8,55,20.1,4,1.5
携帯電話の購入場所別,インターネット販売,96,100.0,39,40.6,61,63.5,59,61.5,45,46.9,45,46.9,19,19.8,38,39.6,15,15.6,15,15.6,29,30.2,22,22.9,2,2.1
携帯電話の購入場所別,その他,31,100.0,16,51.6,16,51.6,17,54.8,20,64.5,10,32.3,8,25.8,14,45.2,10,32.3,10,32.3,12,38.7,7,22.6,1,3.2
携帯電話の購入場所別,わからない,25,100.0,11,44.0,8,32.0,6,24.0,7,28.0,10,40.0,4,16.0,7,28.0,3,12.0,3,12.0,5,20.0,3,12.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,220,47.9,277,60.3,279,60.7,279,60.8,233,50.8,154,33.6,190,41.4,113,24.6,113,24.6,184,40.1,85,18.5,3,0.7
フィルタリングサービスの加入状況別,加入していない,563,100.0,273,48.5,315,56.0,320,56.8,282,50.1,255,45.3,136,24.2,178,31.6,94,16.7,101,17.9,146,25.9,109,19.4,13,2.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,130,52.2,183,73.5,165,66.3,130,52.2,148,59.4,109,43.8,97,39.0,94,37.8,89,35.7,102,41.0,36,14.5,3,1.2
フィルタリングサービスの加入状況別,わからない,229,100.0,91,39.7,115,50.2,115,50.2,104,45.4,111,48.5,62,27.1,73,31.9,46,20.1,48,21.0,74,32.3,43,18.8,3,1.3
利用制限サービスの加入状況別,加入している,261,100.0,125,47.9,150,57.5,155,59.4,157,60.2,134,51.3,83,31.8,115,44.1,61,23.4,64,24.5,107,41.0,49,18.8,1,0.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,76,41.5,119,65.0,125,68.3,111,60.7,104,56.8,59,32.2,87,47.5,52,28.4,52,28.4,77,42.1,45,24.6,3,1.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,140,44.0,158,49.7,177,55.7,162,50.9,135,42.5,66,20.8,87,27.4,30,9.4,33,10.4,81,25.5,55,17.3,8,2.5
利用制限サービスの加入状況別,わからない,85,100.0,33,38.8,37,43.5,41,48.2,39,45.9,33,38.8,12,14.1,31,36.5,17,20.0,16,18.8,23,27.1,15,17.6,1,1.2
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,301,52.4,388,67.6,367,63.9,317,55.2,290,50.5,213,37.1,203,35.4,173,30.1,169,29.4,206,35.9,116,20.2,7,1.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,312,46.3,386,57.3,398,59.1,375,55.6,348,51.6,192,28.5,260,38.6,137,20.3,140,20.8,240,35.6,109,16.2,9,1.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,71,41.8,90,52.9,91,53.5,78,45.9,81,47.6,43,25.3,61,35.9,34,20.0,37,21.8,48,28.2,32,18.8,3,1.8
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,25,34.2,21,28.8,17,23.3,17,23.3,21,28.8,10,13.7,10,13.7,0,0.0,2,2.7,8,11.0,14,19.2,3,4.1
利用状況の管理状態別,その他,9,100.0,5,55.6,5,55.6,6,66.7,8,88.9,7,77.8,3,33.3,4,44.4,3,33.3,3,33.3,4,44.4,2,22.2,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,295,52.9,368,65.9,362,64.9,328,58.8,308,55.2,197,35.3,236,42.3,159,28.5,158,28.3,227,40.7,114,20.4,5,0.9
説明・学習経験別,インターネットで調べた,505,100.0,289,57.2,335,66.3,308,61.0,272,53.9,242,47.9,158,31.3,179,35.4,134,26.5,123,24.4,175,34.7,97,19.2,6,1.2
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,267,49.2,342,63.0,372,68.5,356,65.6,308,56.7,201,37.0,254,46.8,165,30.4,169,31.1,236,43.5,117,21.5,6,1.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,165,47.7,217,62.7,250,72.3,231,66.8,201,58.1,148,42.8,172,49.7,115,33.2,121,35.0,160,46.2,84,24.3,6,1.7
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,26,44.1,36,61.0,35,59.3,33,55.9,26,44.1,22,37.3,24,40.7,19,32.2,18,30.5,19,32.2,14,23.7,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,43,48.9,62,70.5,55,62.5,60,68.2,44,50.0,37,42.0,34,38.6,23,26.1,25,28.4,32,36.4,13,14.8,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,10,47.8,16,76.2,12,57.1,13,61.9,10,47.6,6,28.6,9,42.9,10,47.6,10,47.6,10,47.6,3,14.3,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,130,38.9,160,47.9,157,47.0,141,42.2,153,45.8,87,26.0,93,27.8,54,16.2,55,16.5,81,24.3,61,18.3,9,2.7
説明・学習経験別,その他,11,100.0,6,54.5,7,63.6,8,72.7,7,63.6,4,36.1,5,45.5,3,27.3,4,36.4,4,36.4,4,36.4,3,27.3,1,9.1
