区分１,区分２,該当数計（人）,割合計（％）,電話をする該当数（人）,電話をする割合（％）,メールをする該当数（人）,メールをする割合（％）,ＳＮＳ等のコミュニケーションアプリ該当数（人）,ＳＮＳ等のコミュニケーションアプリ割合（％）,動画を見る該当数（人）,動画を見る割合（％）,カメラ撮影該当数（人）,カメラ撮影割合（％）,ゲームをする該当数（人）,ゲームをする割合（％）,音楽を聴く該当数（人）,音楽を聴く割合（％）,インターネット該当数（人）,インターネット割合（％）,その他該当数（人）,その他割合（％）
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,20,15.3,39,29.8,31,23.7,3,2.3,2,1.5,6,4.6,1,0.8,29,22.1,0,0.0
携帯電話の購入場所別,家電量販店,273,100.0,44,16.1,69,25.3,57,20.9,2,0.7,2,0.7,14,5.1,4,1.5,79,28.9,2,0.7
携帯電話の購入場所別,インターネット販売,96,100.0,15,15.6,24,25.0,17,17.7,1,1.0,0,0.0,4,4.2,1,1.0,33,34.4,1,1.0
携帯電話の購入場所別,その他,31,100.0,3,9.7,8,25.8,4,12.9,0,0.0,0,0.0,0,0.0,3,9.7,10,32.3,3,9.7
携帯電話の購入場所別,わからない,25,100.0,6,24.0,8,32.0,3,12.0,0,0.0,0,0.0,2,8.0,0,0.0,6,24.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,69,15.0,131,28.5,106,23.1,5,1.1,2,0.4,23,5.0,9,2.0,112,24.4,2,0.4
フィルタリングサービスの加入状況別,加入していない,563,100.0,80,14.2,156,27.7,124,22.0,9,1.6,3,0.5,31,5.5,9,1.6,145,25.8,6,1.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,44,17.7,63,25.3,40,16.1,1,0.4,1,0.4,11,4.4,2,0.8,81,32.5,6,2.4
フィルタリングサービスの加入状況別,わからない,229,100.0,49,21.4,69,30.1,47,20.5,1,0.4,2,0.9,14,6.1,6,2.6,41,17.9,0,0.0
利用制限サービスの加入状況別,加入している,261,100.0,33,12.6,78,29.9,63,24.1,1,0.4,3,1.1,17,6.5,3,1.1,60,23.0,3,1.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,20,10.9,48,26.2,47,25.7,0,0.0,0,0.0,9,4.9,5,2.7,50,27.3,4,2.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,43,13.5,84,26.4,74,23.3,9,2.8,1,0.3,17,5.3,7,2.2,83,26.1,0,0.0
利用制限サービスの加入状況別,わからない,85,100.0,13,15.3,26,30.6,21,24.7,0,0.0,1,1.2,5,5.9,2,2.4,17,20.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,92,16.0,153,26.7,123,21.4,1,0.2,1,0.2,24,4.2,10,1.7,160,27.9,10,1.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,98,14.5,192,28.5,151,22.4,11,1.6,5,0.7,35,5.2,12,1.8,166,24.6,4,0.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,35,20.6,53,31.2,29,17.1,3,1.8,1,0.6,14,8.2,1,0.6,34,20.0,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,16,21.9,19,26.0,12,16.4,1,1.4,1,1.4,5,6.8,1,1.4,18,24.7,0,0.0
利用状況の管理状態別,その他,9,100.0,1,11.1,2,22.2,2,22.2,0,0.0,0,0.0,1,11.1,2,22.2,1,11.1,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,89,15.9,164,29.4,118,21.1,4,0.7,2,0.4,21,3.8,13,2.3,142,25.4,5,0.9
説明・学習経験別,インターネットで調べた,505,100.0,81,16.0,144,28.5,105,20.8,5,1.0,1,0.2,17,3.4,11,2.2,135,26.7,6,1.2
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,59,10.9,162,29.8,110,20.3,6,1.1,2,0.4,29,5.3,13,2.4,154,28.4,8,1.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,38,11.0,103,29.8,84,24.3,5,1.4,3,0.9,14,4.0,9,2.6,85,24.6,5,1.4
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,6,10.2,16,27.1,14,23.7,4,6.8,0,0.0,4,6.8,2,3.4,13,22.0,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,16,18.2,30,34.1,19,21.6,0,0.0,2,2.3,2,2.3,1,1.1,18,20.5,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,6,28.6,3,14.3,4,19.0,0,0.0,0,0.0,1,4.8,0,0.0,7,33.3,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,66,19.8,86,25.7,66,19.8,2,0.6,2,0.6,23,6.9,2,0.6,84,25.1,3,0.9
説明・学習経験別,その他,11,100.0,2,18.2,2,18.2,0,0.0,0,0.0,0,0.0,1,9.1,0,0.0,5,45.5,1,9.1
