区分１,区分２,該当数計（人）,割合計（％）,千代田区該当数（人）,千代田区割合（％）,中央区該当数（人）,中央区割合（％）,港区該当数（人）,港区割合（％）,新宿区該当数（人）,新宿区割合（％）,文京区該当数（人）,文京区割合（％）,台東区該当数（人）,台東区割合（％）,墨田区該当数（人）,墨田区割合（％）,江東区該当数（人）,江東区割合（％）,品川区該当数（人）,品川区割合（％）,目黒区該当数（人）,目黒区割合（％）,大田区該当数（人）,大田区割合（％）,世田谷区該当数（人）,世田谷区割合（％）,渋谷区該当数（人）,渋谷区割合（％）,中野区該当数（人）,中野区割合（％）,杉並区該当数（人）,杉並区割合（％）,豊島区該当数（人）,豊島区割合（％）,北区該当数（人）,北区割合（％）,荒川区該当数（人）,荒川区割合（％）,板橋区該当数（人）,板橋区割合（％）,練馬区該当数（人）,練馬区割合（％）,足立区該当数（人）,足立区割合（％）,葛飾区該当数（人）,葛飾区割合（％）,江戸川区該当数（人）,江戸川区割合（％）,八王子市該当数（人）,八王子市割合（％）,立川市該当数（人）,立川市割合（％）,武蔵野市該当数（人）,武蔵野市割合（％）,三鷹市該当数（人）,三鷹市割合（％）,青梅市該当数（人）,青梅市割合（％）,府中市該当数（人）,府中市割合（％）,昭島市該当数（人）,昭島市割合（％）,調布市該当数（人）,調布市割合（％）,町田市該当数（人）,町田市割合（％）,小金井市該当数（人）,小金井市割合（％）,小平市該当数（人）,小平市割合（％）,日野市該当数（人）,日野市割合（％）,東村山市該当数（人）,東村山市割合（％）,国分寺市該当数（人）,国分寺市割合（％）,国立市該当数（人）,国立市割合（％）,福生市該当数（人）,福生市割合（％）,狛江市該当数（人）,狛江市割合（％）,東大和市該当数（人）,東大和市割合（％）,清瀬市該当数（人）,清瀬市割合（％）,東久留米市該当数（人）,東久留米市割合（％）,武蔵村山市該当数（人）,武蔵村山市割合（％）,多摩市該当数（人）,多摩市割合（％）,稲城市該当数（人）,稲城市割合（％）,羽村市該当数（人）,羽村市割合（％）,あきる野市該当数（人）,あきる野市割合（％）,西東京市該当数（人）,西東京市割合（％）,西多摩郡瑞穂町該当数（人）,西多摩郡瑞穂町割合（％）,西多摩郡日の出町該当数（人）,西多摩郡日の出町割合（％）,西多摩郡楢原村該当数（人）,西多摩郡楢原村割合（％）,西多摩郡奥多摩町該当数（人）,西多摩郡奥多摩町割合（％）,大島町該当数（人）,大島町割合（％）,利島村該当数（人）,利島村割合（％）,新島村該当数（人）,新島村割合（％）,神津島村該当数（人）,神津島村割合（％）,三宅島三宅村該当数（人）,三宅島三宅村割合（％）,御蔵島村該当数（人）,御蔵島村割合（％）,八丈島八丈町該当数（人）,八丈島八丈町割合（％）,青ヶ島村該当数（人）,青ヶ島村割合（％）,小笠原村該当数（人）,小笠原村割合（％）
児童・生徒×子供の性別,高校生男子,269,100.0,2,0.7,2,0.7,3,1.1,6,2.2,4,1.5,6,2.2,8,3.0,10,3.7,5,1.9,6,2.2,14,5.2,19,7.1,0,0.0,6,2.2,13,4.8,4,1.5,4,1.5,2,0.7,8,3.0,14,5.2,11,4.1,9,3.3,11,4.1,18,6.7,2,0.7,3,1.1,7,2.6,2,0.7,3,1.1,4,1.5,4,1.5,10,3.7,6,2.2,6,2.2,5,1.9,4,1.5,5,1.9,3,1.1,0,0.0,0,0.0,0,0.0,1,0.4,3,1.1,0,0.0,0,0.0,5,1.9,0,0.0,1,0.4,10,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,高校生女子,231,100.0,0,0.0,2,0.9,1,0.4,3,1.3,3,1.3,0,0.0,2,0.9,13,5.6,6,2.6,4,1.7,8,3.5,10,4.3,5,2.2,4,1.7,11,4.8,2,0.9,2,0.9,3,1.3,12,5.2,13,5.6,10,4.3,6,2.6,13,5.6,13,5.6,3,1.3,4,1.7,4,1.7,3,1.3,6,2.6,2,0.9,7,3.0,10,4.3,3,1.3,4,1.3,4,1.7,5,2.2,3,1.3,3,1.3,0,0.0,3,1.3,0,0.0,4,1.7,1,0.4,2,0.9,2,0.9,3,1.3,0,0.0,1,0.4,8,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,8,0.8,10,1.1,11,1.2,17,1.8,19,2.0,10,1.1,13,1.4,33,3.5,16,1.7,19,2.0,40,4.2,71,7.5,12,1.3,16,1.7,42,4.4,11,1.2,13,1.4,9,1.0,33,3.5,60,6.4,43,4.6,23,2.4,42,4.4,53,5.6,11,1.2,13,1.4,22,2.3,7,0.7,25,2.6,13,1.4,21,2.2,37,3.9,10,1.1,17,1.1,22,2.3,19,2.0,8,0.8,5,0.5,2,0.2,5,0.5,1,0.1,8,0.8,8,0.8,7,0.7,10,1.1,11,1.2,4,0.4,4,0.4,29,3.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,1,0.8,2,1.5,2,1.5,4,3.1,1,0.8,3,2.3,3,2.3,6,4.6,3,2.3,4,3.1,6,4.6,4,3.1,1,0.8,2,1.5,4,3.1,0,0.0,1,0.8,2,1.5,11,8.4,5,3.8,8,6.1,5,3.8,8,6.1,4,3.1,1,0.8,2,1.5,0,0.0,3,2.3,1,0.8,2,1.5,3,2.3,6,4.6,3,2.3,2,2.3,2,1.5,2,1.5,2,1.5,1,0.8,0,0.0,2,1.5,1,0.8,0,0.0,1,0.8,0,0.0,1,0.8,3,2.3,0,0.0,1,0.8,2,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,家電量販店,273,100.0,1,0.4,2,0.7,6,2.2,6,2.2,4,1.5,2,0.7,6,2.2,13,4.8,8,2.9,2,0.7,18,6.6,22,8.1,1,0.4,3,1.1,12,4.4,3,1.1,3,1.1,4,1.5,6,2.2,9,3.3,10,3.7,2,0.7,14,5.1,21,7.7,4,1.5,6,2.2,5,1.8,1,0.4,7,2.6,4,1.5,6,2.2,14,5.1,3,1.1,6,1.1,11,4.0,3,1.1,0,0.0,2,0.7,0,0.0,2,0.7,2,0.7,0,0.0,1,0.4,1,0.4,4,1.5,6,2.2,1,0.4,1,0.4,5,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,インターネット販売,96,100.0,1,1.0,2,2.1,1,1.0,2,2.1,1,1.0,1,1.0,0,0.0,2,2.1,3,3.1,1,1.0,5,5.2,6,6.3,0,0.0,0,0.0,3,3.1,2,2.1,3,3.1,1,1.0,5,5.2,2,2.1,2,2.1,2,2.1,4,4.2,6,6.3,1,1.0,2,2.1,0,0.0,0,0.0,5,5.2,0,0.0,2,2.1,3,3.1,2,2.1,4,2.1,3,3.1,6,6.3,2,2.1,2,2.1,0,0.0,0,0.0,0,0.0,1,1.0,2,2.1,0,0.0,0,0.0,2,2.1,0,0.0,0,0.0,3,3.1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,その他,31,100.0,0,0.0,1,3.2,0,0.0,1,3.2,0,0.0,0,0.0,0,0.0,1,3.2,6,19.4,2,6.5,2,6.5,1,3.2,0,0.0,2,6.5,0,0.0,1,3.2,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0,0,0.0,1,3.2,2,6.5,0,0.0,0,0.0,1,3.2,0,0.0,1,3.2,0,0.0,1,3.2,1,3.2,0,0.0,1,0.0,2,6.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0,1,3.2,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,わからない,25,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,1,4.0,1,4.0,1,4.0,0,0.0,1,4.0,3,12,1,4.0,1,4.0,2,8.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,3,12,1,4.0,1,4.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,1,4.0,0,0.0,1,4.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,3,0.7,8,1.7,5,1.1,5,1.1,6,1.3,6,1.3,6,1.3,17,3.7,11,2.4,10,2.2,24,5.2,37,8.1,3,0.7,7,1.5,23,5.0,4,0.9,6,1.3,6,1.3,18,3.9,20,4.4,26,5.7,10,2.2,22,4.8,30,6.5,6,1.3,7,1.5,7,1.5,2,0.4,10,2.2,6,1.3,12,2.6,15,3.3,6,1.3,6,1.3,11,2.4,10,2.2,5,1.1,3,0.7,1,0.2,4,0.9,1,0.2,4,0.9,2,0.4,2,0.4,5,1.1,5,1.1,0,0.0,4,0.9,12,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,2,0.4,7,1.2,8,1.4,15,2.7,12,2.1,8,1.4,7,1.2,22,3.9,9,1.6,14,2.5,19,3.4,31,5.5,6,1.1,11,2.0,24,4.3,10,1.8,5,0.9,3,0.5,16,2.8,31,5.5,24,4.3,14,2.5,29,5.2,34,6.0,8,1.4,6,1.1,9,1.6,4,0.7,14,2.5,9,1.6,14,2.5,26,4.6,10,1.8,14,1.8,12,2.1,14,2.5,5,0.9,6,1.1,1,0.2,2,0.4,1,0.2,3,0.5,7,1.2,3,0.5,5,0.9,8,1.4,1,0.2,1,0.2,18,3.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,4,1.6,1,0.4,3,1.2,4,1.6,4,1.6,2,0.8,3,1.2,10,4.0,8,3.2,4,1.6,16,6.4,24,9.6,5,2.0,3,1.2,12,4.8,2,0.8,6,2.4,3,1.2,12,4.8,16,6.4,8,3.2,1,0.4,2,0.8,9,3.6,3,1.2,6,2.4,6,2.4,1,0.4,10,4.0,1,0.4,3,1.2,9,3.6,2,0.8,5,0.8,10,4.0,4,1.6,3,1.2,0,0.0,0,0.0,2,0.8,1,0.4,1,0.4,1,0.4,2,0.8,4,1.6,3,1.2,3,1.2,2,0.8,4,1.6,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,229,100.0,2,0.9,1,0.4,4,1.7,6,2.6,3,1.3,1,0.4,7,3.1,7,3.1,9,3.9,0,0.0,13,5.7,15,6.6,1,0.4,3,1.3,4,1.7,1,0.4,3,1.3,4,1.7,9,3.9,11,4.8,8,3.5,8,3.5,17,7.4,14,6.1,0,0.0,4,1.7,6,2.6,4,1.7,5,2.2,3,1.3,4,1.7,12,5.2,0,0.0,5,0.0,7,3.1,2,0.9,0,0.0,1,0.4,0,0.0,1,0.4,1,0.4,2,0.9,2,0.9,3,1.3,1,0.4,7,3.1,1,0.4,1,0.4,5,2.2,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,261,100.0,2,0.8,6,2.3,3,1.1,4,1.5,3,1.1,6,2.3,2,0.8,7,2.7,4,1.5,6,2.3,12,4.6,23,8.8,0,0.0,3,1.1,10,3.8,3,1.1,3,1.1,4,1.5,11,4.2,13,5.0,20,7.7,7,2.7,14,5.4,13,5.0,5,1.9,2,0.8,6,2.3,2,0.8,7,2.7,3,1.1,5,1.9,9,3.4,4,1.5,5,1.5,5,1.9,7,2.7,1,0.4,1,0.4,1,0.4,0,0.0,0,0.0,2,0.8,1,0.4,1,0.4,2,0.8,2,0.8,0,0.0,3,1.1,8,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,0,0.0,4,2.2,2,1.1,3,1.6,3,1.6,0,0.0,2,1.1,10,5.5,5,2.7,6,3.3,10,5.5,11,6.0,3,1.6,3,1.6,5,2.7,0,0.0,2,1.1,3,1.6,6,3.3,9,4.9,7,3.8,4,2.2,9,4.9,13,7.1,3,1.6,2,1.1,2,1.1,2,1.1,3,1.6,6,3.3,7,3.8,7,3.8,2,1.1,1,1.1,7,3.8,2,1.1,2,1.1,0,0.0,0,0.0,1,0.5,1,0.5,2,1.1,1,0.5,2,1.1,3,1.6,4,2.2,0,0.0,0,0.0,3,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,1,0.3,3,0.9,3,0.9,7,2.2,5,1.6,3,0.9,8,2.5,12,3.8,7,2.2,7,2.2,14,4.4,15,4.7,4,1.3,8,2.5,13,4.1,6,1.9,3,0.9,3,0.9,10,3.1,15,4.7,9,2.8,11,3.5,11,3.5,24,7.5,4,1.3,6,1.9,4,1.3,3,0.9,8,2.5,3,0.9,8,2.5,14,4.4,6,1.9,11,1.9,6,1.9,8,2.5,3,0.9,4,1.3,1,0.3,0,0.0,2,0.6,2,0.6,4,1.3,0,0.0,4,1.3,5,1.6,0,0.0,0,0.0,9,2.8,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,わからない,85,100.0,0,0.0,0,0.0,0,0.0,2,2.4,1,1.2,0,0.0,1,1.2,1,1.2,1,1.2,0,0.0,4,4.7,10,11.8,0,0.0,1,1.2,3,3.5,1,1.2,1,1.2,1,1.2,3,3.5,3,3.5,9,10.6,3,3.5,7,8.2,5,5.9,0,0.0,1,1.2,2,2.4,0,0.0,1,1.2,0,0.0,2,2.4,5,5.9,0,0.0,0,0.0,2,2.4,1,1.2,0,0.0,2,2.4,0,0.0,3,3.5,0,0.0,0,0.0,1,1.2,1,1.2,0,0.0,2,2.4,0,0.0,1,1.2,3,3.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,5,0.9,8,1.4,11,1.9,12,2.1,10,1.7,7,1.2,5,0.9,22,3.8,15,2.6,14,2.4,35,6.1,54,9.4,6,1.0,8,1.4,24,4.2,4,0.7,7,1.2,9,1.6,23,4.0,31,5.4,26,4.5,12,2.1,23,4.0,28,4.9,8,1.4,7,1.2,13,2.3,4,0.7,14,2.4,5,0.9,12,2.1,19,3.3,4,0.7,14,0.7,16,2.8,12,2.1,3,0.5,1,0.2,0,0.0,3,0.5,1,0.2,1,0.2,2,0.3,5,0.9,6,1.0,7,1.2,2,0.3,2,0.3,12,2.1,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,5,0.7,7,1.0,8,1.2,12,1.8,10,1.5,9,1.3,15,2.2,22,3.3,15,2.2,10,1.5,25,3.7,39,5.8,9,1.3,11,1.6,30,4.5,10,1.5,8,1.2,7,1.0,26,3.9,35,5.2,28,4.2,14,2.1,35,5.2,43,6.4,8,1.2,12,1.8,10,1.5,4,0.6,19,2.8,10,1.5,16,2.4,27,4.0,12,1.8,12,1.8,18,2.7,13,1.9,9,1.3,7,1.0,2,0.3,6,0.9,1,0.1,6,0.9,6,0.9,2,0.3,9,1.3,9,1.3,2,0.3,2,0.3,18,2.7,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
