区分１,区分２,該当数計,割合計,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから該当数,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから割合,ルールを作っても、守れないから該当数,ルールを作っても、守れないから割合,ルールを作ろうとしても、子供とけんかになってしまうから該当数,ルールを作ろうとしても、子供とけんかになってしまうから割合,話し合ってルールを作る時間がないから該当数,話し合ってルールを作る時間がないから割合,ルール作りが推奨されていること自体を知らなかった該当数,ルール作りが推奨されていること自体を知らなかった割合,どんなルールを作ればいいのかよく分らないから該当数,どんなルールを作ればいいのかよく分らないから割合,親も自由に使いたいから、ルールを決めたくない該当数,親も自由に使いたいから、ルールを決めたくない割合,機能が少ない携帯電話（キッズ携帯等）だから該当数,機能が少ない携帯電話（キッズ携帯等）だから割合,その他該当数,その他割合
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,112,100.0,32,28.6,8,7.1,4,3.6,0,0.0,1,0.9,4,3.6,2,1.8,75,67.0,1,0.9
フィルタリングサービスの加入状況別,わからない,122,100.0,59,48.4,22,18.0,9,7.4,8,6.6,3,2.5,13,10.7,7,5.7,16,13.1,5,4.1
利用制限サービスの加入状況別,加入している,65,100.0,36,55.4,15,23.1,8,12.3,2,3.1,2,3.1,6,9.2,2,3.1,1,1.5,3,4.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,41,100.0,22,53.7,18,43.9,4,9.8,1,2.4,0,0.0,5,12.2,2,4.9,0,0.0,2,4.9
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,162,100.0,120,74.1,35,21.6,6,3.7,3,1.9,2,1.2,4,2.5,6,3.7,0,0.0,3,1.9
利用制限サービスの加入状況別,わからない,45,100.0,26,57.8,10,22.2,4,8.9,4,8.9,1,2.2,4,8.9,1,2.2,0,0.0,3,6.7
利用状況の管理状態別,利用状況の把握及び監督もできている,195,100.0,115,59.0,19,9.7,3,1.5,1,0.5,0,0.0,7,3.6,2,1.0,66,33.8,4,2.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,230,100.0,130,65.5,53,23.0,19,8.3,6,2.6,3,1.3,15,6.5,8,3.5,28,12.2,7,3.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,114,100.0,49,43.0,40,35.1,10,8.8,10,8.8,1,0.9,13,11.4,6,5.3,8,7.0,4,3.5
利用状況の管理状態別,子供の利用状況に関心がない,62,100.0,32,51.6,7,11.3,1,1.6,1,1.6,2,3.2,4,6.5,5,8.1,13,21.0,2,3.2
利用状況の管理状態別,その他,3,100.0,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,190,100.0,99,52.1,44,23.2,15,7.9,8,4.2,3,1.6,11,5.8,6,3.2,37,19.5,7,3.7
説明・学習経験別,インターネットで調べた,153,100.0,87,56.9,30,19.6,7,4.6,7,4.6,1,0.7,8,5.2,7,4.6,24,15.7,4,2.6
説明・学習経験別,学校から配布される資料等を読んだ,152,100.0,83,54.6,41,27.0,16,10.5,3,2.0,2,1.3,10,6.6,7,4.6,26,17.1,5,3.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,77,100.0,41,53.2,16,20.8,8,10.4,3,3.9,1,1.3,5,6.5,2,2.6,14,18.2,3,3.9
説明・学習経験別,知識のある知人から説明を受けた,11,100.0,2,18.2,4,36.4,1,9.1,0,0.0,0,0.0,1,9.1,0,0.0,5,45.5,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,21,100.0,13,64.9,3,14.3,1,4.8,0,0.0,1,4.8,0,0.0,2,9.5,4,19.0,1,4.8
説明・学習経験別,公共施設などで開催された講座に参加した,6,100.0,1,16.7,1,16.7,1,16.7,0,0.0,0,0.0,1,16.7,1,16.7,2,33.3,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,202,100.0,114,5.4,31,15.3,7,3.5,5,2.5,1,0.5,18,8.9,6,3.0,44,21.8,5,2.5
説明・学習経験別,その他,2,100.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0
