区分１,区分２,該当数計,割合計,子供の所在地がわかるようにするため該当数,子供の所在地がわかるようにするため割合,子供にせがまれたため仕方なく持たせた該当数,子供にせがまれたため仕方なく持たせた割合,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため該当数,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため該当数,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため割合,お祝い等で、親戚等からもらったため該当数,お祝い等で、親戚等からもらったため割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため該当数,子供の疾病等があり、大切なコミュニケーション手段として活用するため割合,保護者自身がスマートフォンにしたため該当数,保護者自身がスマートフォンにしたため割合,パソコンの代わり該当数,パソコンのかわり割合,ゲーム機の代わり該当数,ゲーム機の代わり割合,携帯電話にはない便利なアプリ等を使用するため該当数,携帯電話にはない便利なアプリ等を使用するため割合,学校の授業、宿題等で必要なため該当数,学校の授業、宿題等で必要なため割合,習い事や塾等で必要なため該当数,習い事や塾等で必要なた割合,店員に勧められた該当数,店員に進められた割合,その他該当数,その他割合
利用制限サービスの加入状況別,わからない,85,100.0,18,21.2,37,43.5,6,7.1,10,11.8,3,3.5,0,0.0,3,3.5,4,4.7,3,3.5,4,4.7,3,3.5,6,7.1,0,0.0,7,8.2
利用状況の管理状態別,利用状況の把握及び監督もできている,286,100.0,99,34.6,67,23.4,53,18.5,24,8.4,9,3.1,7,2.4,30,10.5,15,5.2,14,4.9,44,15.4,12,4.2,55,19.2,2,0.7,22,7.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,504,100.0,141,28.0,190,37.7,83,16.5,57,11.3,7,1.4,13,2.6,63,12.5,37,7.3,28,5.6,53,10.5,26,5.2,55,10.9,1,0.2,37,7.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,141,100.0,26,18.4,60,42.6,16,11.3,21,14.9,2,1.4,3,2.1,12,8.5,6,4.3,6,4.3,9,6.4,5,3.5,16,11.3,2,1.4,9,6.4
利用状況の管理状態別,子供の利用状況に関心がない,53,100.0,10,18.9,19,35.8,6,11.3,4,7.5,1,1.9,1,1.9,3,5.7,5,9.4,2,3.8,3,5.7,1,1.9,5,9.4,0,0.0,3,5.7
利用状況の管理状態別,その他,6,100.0,1,16.7,1,16.7,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.7,2,33.3,0,0.0,0,0.0,3,50.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,351,100.0,95,27.1,132,37.6,72,20.5,35,10.0,2,0.6,8,2.3,52,14.8,35,10.0,28,8.0,46,13.1,21,6.0,41,11.7,3,0.9,27,7.7
説明・学習経験別,インターネットで調べた,336,100.0,108,32.1,116,34.5,63,18.8,44,13.1,9,2.7,9,2.7,44,13.1,33,9.8,21,6.3,41,12.2,17,5.1,55,16.4,0,0.0,20,6.0
説明・学習経験別,学校から配布される資料等を読んだ,357,100.0,118,33.1,101,28.3,56,15.7,41,11.5,11,3.1,8,2.2,48,13.4,28,7.8,18,5.0,47,13.2,23,6.4,58,16.2,2,0.6,39,10.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,230,100.0,75,32.6,64,27.8,42,18.3,25,10.9,8,3.5,6,2.6,34,14.8,19,8.3,14,6.1,32,13.9,17,7.4,37,16.1,2,0.9,30,13.0
説明・学習経験別,知識のある知人から説明を受けた,41,100.0,17,41.5,9,22.0,10,24.4,6,14.6,2,4.9,5,12.2,4,9.8,4,9.8,4,9.8,5,12.2,0,0.0,5,12.2,0,0.0,3,7.3
説明・学習経験別,販売店等から詳しく説明をうけた,65,100.0,21,32.3,17,26.2,14,21.5,6,9.2,3,4.6,5,7.7,14,21.5,6,9.2,4,6.2,10,15.4,8,12.3,11,16.9,0,0.0,3,4.6
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,8,53.3,4,26.7,4,26.7,2,13.3,1,6.7,1,6.7,3,20.0,2,13.3,0,0.0,1,6.7,0,0.0,1,6.7,0,0.0,1,0.7
説明・学習経験別,特に説明をうけたり学習したりしたことはない,214,100.0,51,23.8,78,36.4,30,14.0,22,10.3,4,1.9,5,2.3,17,7.9,9,4.2,6,2.8,24,11.2,5,2.3,19,8.9,1,0.5,12,5.6
説明・学習経験別,その他,9,100.0,2,22.2,1,11.1,5,55.6,2,22.2,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1,2,22.2,1,11.1,1,11.1,0,0.0,1,11.1
