区分１,区分２,該当数計,該当数割合,高額の料金を請求されてしまう該当数,高額の料金を請求されてしまう割合,スマートフォンに依存してしまう該当数,スマートフォンに依存してしまう割合,有害なサイトを閲覧するかもしれない該当数,有害なサイトを閲覧するかもしれない割合,出会い系アプリ等で、知らない人と知り合いになれてしまう該当数,出会い系アプリ等で、知らない人と知り合いになれてしまう割合,ＳＮＳを使用し、友達とトラブルになる該当数,ＳＮＳを使用し、友達とトラブルになる割合,自分の写真をアップして、トラブルに巻き込まれる該当数,自分の写真をアップして、トラブルに巻き込まれる割合,不安なことはない該当数,不安なことはない割合,その他該当数,その他割合
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,96,100.0,31,32.3,67,69.8,37,38.5,38,39.6,38,39.6,23,24.0,6,6.3,0,0.0
携帯電話の購入場所別,家電量販店,184,100.0,59,32.1,125,67.9,85,46.2,74,40.2,88,47.8,51,27.7,19,10.3,2,1.1
携帯電話の購入場所別,インターネット販売,93,100.0,22,23.7,60,64.5,40,43.0,33,35.5,45,48.4,28,30.1,12,12.9,1,1.1
携帯電話の購入場所別,その他,23,100.0,3,13.0,15,65.2,11,47.8,10,43.5,11,47.8,9,39.1,3,13.0,0,0.0
携帯電話の購入場所別,わからない,17,100.0,4,23.5,9,52.9,3,17.6,3,17.6,3,17.6,3,17.6,6,35.3,0,0.0
フィルタリングサービスの加入状況別,加入している,364,100.0,105,28.8,245,67.3,155,42.6,157,43.1,171,47.0,98,26.9,33,9.1,3,0.8
フィルタリングサービスの加入状況別,加入していない,428,100.0,116,27.1,267,62.4,150,35.0,136,31.8,171,40.0,103,24.1,64,15.0,5,1.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,5,19.2,13,50.0,6,23.1,9,34.6,7,26.9,5,19.2,4,15.4,0,0.0
フィルタリングサービスの加入状況別,わからない,172,100.0,55,32.0,92,53.5,66,38.4,59,34.3,60,34.9,46,26.7,31,18.0,1,0.6
利用制限サービスの加入状況別,加入している,261,100.0,77,29.5,177,67.8,119,45.6,114,43.7,120,46.0,71,27.2,22,8.4,3,1.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,46,25.1,132,72.1,82,44.8,79,43.2,96,52.5,64,35.0,11,6.0,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,92,28.9,188,59.1,101,31.8,100,31.4,128,40.3,74,23.3,55,17.3,3,0.9
利用制限サービスの加入状況別,わからない,85,100.0,22,25.9,52,61.2,31,36.5,29,34.1,31,36.5,19,22.4,14,16.5,1,1.2
利用状況の管理状態別,利用状況の把握及び監督もできている,286,100.0,75,26.2,160,55.9,87,30.4,86,30.1,107,37.4,62,21.7,48,16.8,4,1.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,504,100.0,146,29.0,360,71.4,225,44.6,211,41.9,237,47.3,145,28.8,38,7.5,2,0.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,141,100.0,53,37.6,84,59.6,58,41.1,56,39.7,57,40.4,39,27.7,10,7.1,2,1.4
利用状況の管理状態別,子供の利用状況に関心がない,53,100.0,6,11.3,9,17.0,4,7.5,4,7.5,4,7.5,3,5.7,35,66.0,0,0.0
利用状況の管理状態別,その他,6,100.0,1,16.7,4,66.7,3,50.0,4,66.7,4,66.7,3,50.0,1,16.7,1,16.7
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,351,100.0,112,31.9,248,70.7,151,43.0,148,42.2,176,50.1,109,31.1,30,8.5,1,0.3
説明・学習経験別,インターネットで調べた,336,100.0,98,29.2,225,67.0,140,41.7,126,37.5,144,42.9,86,25.6,31,9.2,3,0.9
説明・学習経験別,学校から配布される資料等を読んだ,357,100.0,98,27.5,248,69.5,163,45.7,169,47.3,198,55.5,122,34.2,26,7.3,4,1.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,230,100.0,61,26.5,175,76.1,101,43.9,112,48.7,135,58.7,79,34.3,14,6.1,5,2.2
説明・学習経験別,知識のある知人から説明を受けた,41,100.0,11,26.8,27,65.9,30,73.2,24,58.5,18,43.9,12,29.3,5,12.2,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,65,100.0,20,30.8,42,64.6,35,53.8,36,55.4,34,52.3,17,26.2,6,9.2,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,4,26.7,10,66.7,10,66.7,12,80.0,10,66.7,5,33.3,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,214,100.0,58,27.1,105,49.1,61,28.5,51,23.8,54,25.2,38,17.8,56,26.2,1,0.5
説明・学習経験別,その他,9,100.0,1,11.1,5,55.6,3,33.3,5,55.6,5,55.6,5,55.6,2,22.2,0,0.0
