"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"202406","ＳＴｎｅｗｙｏｒｋ　ｓａｌｏｎ","106-0045","東京都港区麻布十番二丁目4番6号","銀水ビル4階","2024/6/6","6港み生環き第16号"
"202406","スパネイル＆オクリ表参道店","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノB棟 地下1階 B-06","2024/6/6","6港み生環き第34号"
"202406","ＦＡ　Ｈａｉｒｄｒｅｓｓｉｎｇ","107-0062","東京都港区南青山二丁目26番37号","VORT 外苑前1　901号","2024/6/6","6港み生環き第26号"
"202406","Ｎａｉｌ＆Ｂｅａｕｔｙ　コルン","107-0052","東京都港区赤坂二丁目8番11号","第11赤坂葵ビル403","2024/6/12","6港み生環き第37号"
"202406","ＴＯＴＡＬ　ＢＥＡＵＴＹ　ＳＡＬＯＮ　ＬＵＮＡＲＪＥ","108-0073","東京都港区三田四丁目13番18号","三田ヒルズ101","2024/6/19","6港み生環き第44号"
"202406","Ａｍｅｈａｒｅ　ｎａｉｌ＆ｅｙｅｌａｓｈ","107-0052","東京都港区赤坂九丁目6番30号","乃木坂プレース201","2024/6/24","6港み生環き第41号"
"202406","ｃｏｌｏｒｋｉｔｃｈｅｎ　ｎａｔｕｒａｌ　表参道店","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノB棟地上1階13号室","2024/6/25","6港み生環き第42号"
"202406","ＰＵＬＵＡ（プルア）まつげ＆眉毛専門店","107-0062","東京都港区南青山五丁目1番25号","メゾンラミア601","2024/6/25","6港み生環き第43号"
"202406","ジャヌ東京　ウェルネス　美容所","106-0041","東京都港区麻布台一丁目2番2号","ジャヌ東京3階","2024/6/27","6港み生環き第53号"
"202406","ＴＨＥ　ＭＡＮ　Ｌｅｖｅｒａｇｅ　Ｎｅｗ　Ｙｏｒｋ","106-0047","東京都港区南麻布四丁目2番48号","101","2024/6/27","6港み生環き第28号"
"202406","ｕｒｕｕ　六本木店","106-0032","東京都港区六本木七丁目13番2号","アーバンビル202","2024/6/27","6港み生環き第36号"
"202406","Ｌ’ＥＡＮＥ　ＴＨＥ　ＴＯＫＹＯ","107-0061","東京都港区北青山二丁目9番9号","外苑いちょうの杜9階","2024/6/28","6港み生環き第49号"
"202407","Ｍａｋａｉ　Ｌａｎｉ","108-0023","東京都港区芝浦二丁目13番6号","田町センチュリーマンション605","2024/7/3","6港み生環き第58号"
"202407","Ｔｏｌｉ　Ｏｍｏｔｅｓａｎｄｏ","107-0062","東京都港区南青山三丁目8番39号","西野ビル4階","2024/7/9","6港み生環き第56号"
"202407","Ｌｏｎｏ　ｅｙｅｌａｓｈ　＆　ｅｙｅｂｒｏｗ　田町三田","108-0073","東京都港区三田三丁目4番18号","二葉ビル903","2024/7/11","6港み生環き第59号"
"202407","ＢＩＺＡＮ　麻布十番","106-0047","東京都港区南麻布二丁目2番28号","ベルメゾン南麻布グラン802","2024/7/12","6港み生環き第66号"
"202407","ＯＦ　ＢＹ　ＦＯＲ","107-0062","東京都港区南青山六丁目15番13号","南青山レジデンス102","2024/7/16","6港み生環き第57号"
"202407","ＢＥＩＧＥ［ベージュ］ＴＯＫＹＯ　表参道店","107-0061","東京都港区北青山三丁目12番7号","秋月ビル405号室","2024/7/17","6港み生環き第67号"
"202407","ＲＩＲＥＧＥＲ","108-0071","東京都港区白金台四丁目10番9号","多川ハウス1階","2024/7/22","6港み生環き第65号"
"202407","ｃｅｎ","108-0071","東京都港区白金台五丁目2番5号","トランドゥ白金台004","2024/7/22","6港み生環き第72号"
"202407","ＣＯＡ　ｏｍｏｔｅｓａｎｄｏ","107-0062","東京都港区南青山五丁目6番6号","ARISTO南青山3　4階","2024/7/22","6港み生環き第80号"
"202407","Ｓａｌｏｎ　Ｂｉ．","106-0032","東京都港区六本木七丁目18番5号","ソフィア六本木404","2024/7/26","6港み生環き第71号"
"202407","ｅｙｅｌａｓｈ　ｓａｌｏｎ　Ｂｌａｃｋ　Ｃｈｅｒｒｙ","108-0072","東京都港区白金六丁目21番15号","IMEX白金101","2024/7/26","6港み生環き第78号"
"202407","ｃａｒｒｅｆｏｕｒ　Ｎｏａ田町三田店　","108-0014","東京都港区芝五丁目32番10号","田町ビル3階","2024/7/31","6港み生環き第84号"
"202407","ＲＷＹ","107-0062","東京都港区南青山五丁目4番30号","MCビル6階","2024/7/31","6港み生環き第85号"

"美容所新規一覧(令和6年7月31日現在)","Ver202407",,,,,
