地域階層,地域コード,地域,平成22年1月1日現在人口,平成21年中の動き／人口増減,平成21年中の動き／社会増減／増減,平成21年中の動き／社会増減／転入,平成21年中の動き／社会増減／転出,平成21年中の動き／都内間の移動増減,平成21年中の動き／自然増減／増減,平成21年中の動き／自然増減／出生数,平成21年中の動き／自然増減／死亡数,平成21年中の動き／その他の増減,面積(km2),人口密度(1km2当たり）,平成21年1月1日現在人口 
4,13213,東村山市,150556,2113,635,3739,3104,1191,28,1285,1257,259,17.17,8769,148443
4,13214,国分寺市,120220,424,585,3751,3166,-572,121,907,786,290,11.48,10472,119796
4,13215,国立市,73591,150,241,2035,1794,-150,63,581,518,-4,8.15,9030,73441
4,13218,福生市,60005,-310,9,935,926,-363,-12,508,520,56,10.24,5860,60315
4,13219,狛江市,78444,307,152,2461,2309,48,32,608,576,75,6.39,12276,78137
4,13220,東大和市,81982,464,20,1132,1112,216,115,751,636,113,13.54,6055,81518
4,13221,清瀬市,73914,377,75,1830,1755,252,-85,551,636,135,10.19,7254,73537
4,13222,東久留米市,115867,106,-25,2473,2498,34,34,887,853,63,12.92,8968,115761
4,13223,武蔵村山市,69950,616,-5,918,923,435,154,652,498,32,15.37,4551,69334
4,13224,多摩市,150345,403,341,3466,3125,-279,187,1164,977,154,21.08,7132,149942
4,13225,稲城市,83174,944,479,2594,2115,96,281,767,486,88,17.97,4628,82230
4,13227,羽村市,57045,-35,96,826,730,-105,97,520,423,-123,9.91,5756,57080
4,13228,あきる野市,80656,275,39,871,832,352,-135,669,804,19,73.34,1100,80381
4,13229,西東京市,195164,1178,422,5120,4698,382,206,1613,1407,168,15.85,12313,193986
1,13550,町村部,86316,-200,-52,1383,1435,477,-666,573,1239,41,781.74,110,86516
2,13300,郡部,58629,52,-38,625,663,556,-473,370,843,7,375.96,156,58577
4,13303,瑞穂町,33480,-14,-73,364,437,177,-84,225,309,-34,16.83,1989,33494
4,13305,日の出町,16400,273,42,221,179,362,-164,118,282,33,28.08,584,16127
4,13307,檜原村,2649,-58,7,14,7,-8,-59,13,72,2,105.42,25,2707
4,13308,奥多摩町,6100,-149,-14,26,40,25,-166,14,180,6,225.63,27,6249
2,13350,島部,27687,-252,-14,758,772,-79,-193,203,396,34,405.78,68,27939
3,13360,大島支庁,13664,-154,-24,286,310,-42,-114,94,208,26,141.88,96,13818
4,13361,大島町,8426,-88,-8,180,188,-22,-79,59,138,21,91.06,93,8514
4,13362,利島村,305,0,-1,11,12,-3,2,4,2,2,4.12,74,305
4,13363,新島村,3039,-16,0,65,65,9,-27,15,42,2,27.83,109,3055
4,13364,神津島村,1894,-50,-15,30,45,-26,-10,16,26,1,18.87,100,1944
3,13380,三宅支庁,2664,-23,5,102,97,-12,-17,22,39,1,76.08,35,2687
4,13381,三宅村,2346,-33,-1,84,85,-16,-18,19,37,2,55.5,42,2379
4,13382,御蔵島村,318,10,6,18,12,4,1,3,2,-1,20.58,15,308
3,13400,八丈支庁,8514,-129,-24,173,197,-18,-85,55,140,-2,83.41,102,8643
4,13401,八丈町,8322,-123,-29,160,189,-13,-83,55,138,2,72.62,115,8445
4,13402,青ヶ島村,192,-6,5,13,8,-5,-2,0,2,-4,5.98,32,198
3,13420,小笠原支庁,2845,54,29,197,168,-7,23,32,9,9,104.41,27,2791
4,13421,小笠原村,2845,54,29,197,168,-7,23,32,9,9,104.41,27,2791
,,,,,,,,,,,,,,,
人口の動き（平成21年中）,,,,,,,,,,,,,,,
第１表  区市町村別、変動要因別人口,,,,,,,　　  ,,,,,,,,
注１)  面積は総務局行政部長通知 「東京都区市町村別の面積について」（平成22年2月22日付21総行区第496号）による平成21年10月1日現在の数値である。なお、区部には、荒川河口部（1.15k㎡）、中央防波堤埋立地（3.65k㎡）を含み、 八丈支庁には、鳥島（4.79k㎡)、ベヨネース列岩(0.00k㎡)、須美寿島(0.02k㎡)、孀婦岩（0.00k㎡)を含む。,,,,,,,,,,,,,,,
注２）この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
