地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
3,13210,10,小金井市,Koganei-shi,576,70093,1448614,513,50829,886228,-,-,-,7,7165,205300,53,12046,356862,-,-,-,3,53,224
3,13211,11,小平市,Kodaira-shi,838,147100,3946312,756,79395,1381592,-,-,-,2,1633,x,78,65996,2520720,-,-,-,2,76,x
3,13212,12,日野市,Hino-shi,774,114705,2134769,649,71767,1177367,-,-,-,10,13579,344720,109,29208,612210,1,18,x,5,133,x
3,13213,13,東村山市,Higashimurayama-shi,700,79501,1850037,654,63613,1052664,3,9087,581601,3,1072,41000,37,5688,174532,-,-,-,3,41,240
3,13214,14,国分寺市,Kokubunji-shi,625,83672,1698425,538,54918,966013,-,-,-,8,10508,239144,70,16318,438611,-,-,-,9,1928,54657
3,13215,15,国立市,Kunitachi-shi,350,62945,1810655,286,31935,549637,-,-,-,12,17449,x,50,13530,400597,-,-,-,2,31,x
3,13218,16,福生市,Fussa-shi,193,29569,552045,168,21658,361627,-,-,-,-,-,-,23,7887,x,-,-,-,2,24,x
3,13219,17,狛江市,Komae-shi,267,42415,1006781,216,22520,408679,-,-,-,7,11176,341900,44,8719,256202,-,-,-,-,-,-
3,13220,18,東大和市,Higashiyamato-shi,334,50629,1187236,279,29713,511153,-,-,-,1,3043,x,51,17814,565991,-,-,-,3,59,x
3,13221,19,清瀬市,Kiyose-shi,431,55623,1018924,393,43777,730698,-,-,-,5,8603,199300,33,3243,88926,-,-,-,-,-,-
3,13222,20,東久留米市,Higashikurume-shi,593,61798,1157129,537,53104,914080,-,-,-,1,911,x,54,7772,203039,-,-,-,1,11,x
3,13223,21,武蔵村山市,Musashimurayama-shi,397,53436,1032319,339,37849,687471,-,-,-,1,153,x,56,15416,340388,1,18,x,-,-,-
3,13224,22,多摩市,Tama-shi,280,103139,1854897,213,24767,435649,1,685,x,5,56095,436815,60,21568,906418,-,-,-,1,24,x
3,13225,23,稲城市,Inagi-shi,415,58674,1157366,369,38399,625196,-,-,-,13,6415,214150,33,13860,318020,-,-,-,-,-,-
3,13227,24,羽村市,Hamura-shi,230,30107,584353,198,20620,332618,-,-,-,-,-,-,31,9472,x,-,-,-,1,15,x
3,13228,25,あきる野市,Akiruno-shi,341,39778,816113,316,35779,637118,-,-,-,-,-,-,25,3999,178995,-,-,-,-,-,-
3,13229,26,西東京市,Nishitokyo-shi,861,109765,2283209,777,76143,1254137,-,-,-,10,18027,554320,74,15595,474752,-,-,-,-,-,-
1,13300,,郡部,All gun,267,43983,922038,220,25254,443127,-,-,-,4,9013,288200,43,9716,190711,-,-,-,-,-,-
1,13350,,島部,All islands,82,13057,440886,47,4688,97219,-,-,-,18,4211,231961,17,4158,111706,-,-,-,-,-,-
2,13360,1,大島支庁,Oshima-shicho,40,8213,309293,24,2503,53843,-,-,-,12,3132,180268,4,2578,75182,-,-,-,-,-,-
2,13380,2,三宅支庁,Miyake-shicho,4,519,10872,4,519,10872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13400,3,八丈支庁,Hachijo-shicho,24,2654,66797,16,1251,x,-,-,-,4,415,x,4,988,23300,-,-,-,-,-,-
2,13420,4,小笠原支庁,Ogasawara-shicho,14,1671,53924,3,415,x,-,-,-,2,664,x,9,592,13224,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  地域別構造別着工建築物（令和2年） 3-7  BUILDING CONSTRUCTION STARTS BY DISTRICT AND STRUCTURE ( 2020 ),,,,,,,,,,,,,,,,,,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）(Space in m2， Value in 10 thousand of yen),,,,,,,,,,,,,,,,,,,,,,,,,
