地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13111,11,大田区,Ota-ku,1162,19288,8974603,24382069,44240404,18478520,45,3,14,2,8,15,54,18,1,97,8,2,16,29,23,239,87,213,74,30,96,8,55,25,1426,74,184,18,129,232,1087,870,49,1301,185,41,258,399,329,3432,1300,3329,1054,444,1628,403,768,348,4611640,295735,186154,x,288232,393452,1595369,3601998,x,1899009,428567,x,1326046,1887125,3074967,5720983,3223580,6647565,1927643,664291,2930695,1004116,1208594,661647
2,13112,12,世田谷区,Setagaya-ku,125,1887,761795,1969513,3726011,1631146,21,-,5,-,6,1,18,7,-,3,1,-,5,-,1,15,2,9,11,3,9,2,1,5,287,-,55,-,56,5,292,128,-,30,4,-,97,-,8,156,18,106,196,96,118,77,6,152,714780,-,57937,-,104669,x,334453,421629,-,12222,x,-,576785,-,x,196865,x,171028,358297,190352,156075,x,x,321506
2,13113,13,渋谷区,Shibuya-ku,38,808,356337,708981,1481059,715331,1,-,2,-,-,1,14,1,-,2,-,-,-,-,-,2,1,-,3,-,6,1,-,4,21,-,10,-,-,9,500,10,-,11,-,-,-,-,-,17,6,-,128,-,58,4,-,34,x,-,x,-,-,x,843090,x,-,x,-,-,-,-,-,x,x,-,x,-,70245,x,-,98761
2,13114,14,中野区,Nakano-ku,58,762,313221,509789,1129916,581655,6,2,6,-,1,3,11,2,-,1,-,1,2,-,-,4,-,4,5,1,2,-,1,6,125,13,100,-,4,44,89,29,-,5,-,7,9,-,-,71,-,61,107,5,23,-,20,50,191635,x,83326,-,x,70908,124202,x,-,x,-,x,x,-,-,114986,-,93721,212972,x,x,-,x,77337
2,13115,15,杉並区,Suginami-ku,81,962,412569,1156347,2050172,832000,9,-,7,1,5,2,17,-,-,2,-,-,1,1,-,2,1,3,8,1,8,2,3,8,182,-,94,4,33,17,161,-,-,29,-,-,5,11,-,11,6,32,78,11,124,44,28,92,702080,-,134455,x,67186,x,290945,-,-,x,-,-,x,x,-,x,x,31909,106214,x,204634,x,42813,176745
2,13116,16,豊島区,Toshima-ku,114,2002,886249,1916375,3977450,1911506,8,-,8,1,2,6,46,3,-,3,2,2,1,-,-,6,3,2,5,1,8,1,-,6,108,-,76,13,85,50,1008,55,-,45,15,10,9,-,-,59,67,10,83,56,125,12,-,116,230188,-,64219,x,x,34978,2200039,99034,-,66036,x,x,x,-,-,63557,104025,x,103698,x,292504,x,-,373426
2,13117,17,北区,Kita-ku,234,9533,4704815,9381146,18536471,8538660,13,-,13,-,1,7,76,7,-,7,3,7,1,1,2,21,8,13,11,1,13,2,7,20,213,-,143,-,10,95,5280,970,-,56,19,42,10,29,21,278,118,224,755,14,323,92,200,641,360403,-,169676,-,x,144964,8703814,739543,-,39835,36592,68503,x,x,x,509231,291327,615923,2182734,x,573020,x,612966,3046147
2,13118,18,荒川区,Arakawa-ku,372,5072,1968312,4262377,8100757,3562611,15,1,10,2,8,21,93,4,-,21,11,12,5,3,1,62,10,20,15,4,17,-,5,32,641,22,91,31,63,163,1474,99,-,233,120,170,48,15,22,569,170,152,175,92,320,-,43,359,1069307,x,108981,x,94265,175198,2541403,104799,-,380392,109869,296582,53593,26727,x,766375,238041,204410,304246,148579,689288,-,79661,633990
2,13119,19,板橋区,Itabashi-ku,570,14208,6964207,18924597,33808928,14177043,29,-,17,-,6,27,177,26,2,30,4,2,8,7,15,46,9,38,52,9,15,4,13,34,1031,-,256,-,52,499,5476,651,64,376,36,31,387,749,152,536,169,556,1697,108,271,29,382,700,2018083,-,166937,-,80086,871970,8802942,2522414,x,499935,45618,x,1302724,4821021,319898,762120,545673,1347040,6167146,208571,785140,16928,815265,1384245
2,13120,20,練馬区,Nerima-ku,153,2900,1282192,3632160,6448777,2668140,29,-,12,-,7,11,18,2,-,13,2,1,5,-,1,11,3,6,9,1,11,1,3,7,790,-,149,-,110,202,324,74,-,140,14,12,56,-,122,108,51,77,107,14,147,299,30,74,1445680,-,292337,-,216854,454045,458419,x,-,197537,x,x,362461,-,x,145884,131318,120480,122196,x,278220,x,x,99350
2,13121,21,足立区,Adachi-ku,717,12343,4768136,14453153,25356939,10180713,48,-,34,2,35,45,63,21,2,55,18,47,7,6,6,144,26,57,15,3,22,3,11,47,1873,-,381,13,321,749,796,1066,31,731,247,1207,245,211,145,1640,348,774,274,161,282,40,170,638,3686091,-,346651,x,562357,1778684,1531908,4098969,x,973732,388422,1643827,719539,2025090,520320,2262229,627753,1460266,355874,198004,557064,57163,231223,1228794
2,13122,22,葛飾区,Katsushika-ku,618,8351,3227171,10005860,17075668,6564244,24,1,19,2,11,30,48,6,-,53,54,19,7,2,11,152,10,69,19,3,21,2,10,45,440,6,207,12,87,568,617,163,-,624,628,276,95,8,104,1971,197,729,269,55,598,102,77,518,1950900,x,307521,x,105933,3116290,1033003,447830,-,1166325,734927,410919,366855,x,123552,3058705,391682,1068251,432760,58666,1007222,x,139980,822257
2,13123,23,江戸川区,Edogawa-ku,628,9141,3946110,10894369,19776643,8233404,32,-,41,2,21,26,54,11,-,48,13,8,15,12,7,147,33,77,18,2,20,1,15,25,1214,-,395,24,162,592,812,212,-,505,199,128,191,127,73,1706,335,1486,187,11,214,8,201,359,3891324,-,359001,x,242633,2494498,822693,381864,-,659138,219917,235629,739536,352740,154044,3139355,606289,3379769,335192,x,555000,x,301208,871167
1,13200,,市部,All shi,2143,102634,53966416,225758989,366301457,132192143,189,19,45,6,45,39,159,38,5,121,8,1,46,14,29,238,82,265,161,152,238,72,87,84,16330,886,782,59,1547,916,5001,1721,79,1972,347,9,994,472,1101,3967,3664,6685,5551,8122,17885,6574,14833,3137,42004185,9703484,x,83447,8542462,2015871,9865603,6145487,870775,3045011,408772,x,3895970,3332506,8348027,5803482,9775341,18745221,11981314,30030078,65351405,44894179,71992523,8642110
2,13201,1,八王子市,Hachioji-shi,512,16190,7030250,19995361,39361035,18501983,36,5,19,1,12,7,31,13,2,32,1,-,10,2,6,50,19,74,46,43,53,16,16,18,2669,148,304,16,135,226,1656,792,26,575,32,-,159,30,195,760,333,2501,1233,1186,1795,513,602,304,7067436,380505,347933,x,201517,256154,3748898,3013059,x,1041533,x,-,704777,x,703045,1033616,521813,8702091,2599906,2473549,3583440,893876,1155512,470035
2,13202,2,立川市,Tachikawa-shi,76,3765,1791804,7217481,10820995,3907801,11,-,-,-,2,4,7,-,-,6,-,-,2,-,-,7,5,7,7,3,6,2,4,3,805,-,-,-,984,92,445,-,-,184,-,-,19,-,-,107,238,120,164,125,282,27,138,35,1406259,-,-,-,x,75872,459340,-,-,360139,-,-,x,-,-,142161,286642,302544,162723,192259,628586,x,206843,36924
2,13203,3,武蔵野市,Musashino-shi,25,333,143461,207405,486286,258477,4,-,-,-,-,-,7,-,-,1,-,1,1,-,-,1,1,2,1,2,3,-,-,1,33,-,-,-,-,-,118,-,-,4,-,9,15,-,-,4,18,22,15,49,39,-,-,7,29099,-,-,-,-,-,144675,-,-,x,-,x,x,-,-,x,x,x,x,x,67200,-,-,x
2,13204,4,三鷹市,Mitaka-shi,66,1342,658217,1427698,2903338,1386576,4,-,2,-,-,-,11,1,-,3,-,-,-,-,-,9,3,9,7,3,8,2,3,1,91,-,10,-,-,-,188,41,-,44,-,-,-,-,-,135,42,103,130,42,165,144,201,6,107443,-,x,-,-,-,242667,x,-,60990,-,-,-,-,-,156106,54896,95818,332187,76972,252476,x,692145,x
2,13205,5,青梅市,Ome-shi,220,7080,3226757,10184287,17318119,6748031,13,1,7,-,3,5,9,1,1,22,1,-,5,6,3,27,6,43,14,14,22,6,7,4,725,81,192,-,21,73,125,12,21,362,18,-,133,118,53,449,55,979,694,1415,711,173,543,127,1328463,x,162035,-,22800,66251,342580,x,x,469223,x,-,249802,1104209,90144,684226,74797,2213269,1599431,4056165,1552711,283232,2591233,229834
2,13206,6,府中市,Fuchu-shi,114,13100,7548882,47382452,72759743,21737460,10,2,2,-,1,-,11,1,1,5,1,-,5,-,5,9,6,7,3,9,24,8,-,4,1121,164,34,-,17,-,320,11,25,69,7,-,94,-,550,105,424,148,35,597,6045,3243,-,91,2534233,x,x,-,x,-,1246106,x,x,128151,x,-,362751,-,6857221,137126,735383,502605,36607,1921545,19410017,33162211,-,162016
2,13207,7,昭島市,Akishima-shi,113,9801,5539903,23328584,45310876,21843700,11,-,-,1,4,1,2,1,-,1,-,-,3,1,2,16,3,20,9,4,18,1,9,6,2514,-,-,8,99,21,14,9,-,24,-,-,263,7,21,353,35,534,338,1892,2940,19,626,84,5962169,-,-,x,330902,x,x,x,-,x,-,-,1151058,x,x,372140,49963,953923,993402,17907846,14776305,x,2535209,101048
2,13208,8,調布市,Chofu-shi,77,2006,1016805,2286389,4702536,2261511,7,1,2,-,3,2,10,1,-,4,-,-,3,1,1,6,3,2,7,7,11,2,-,4,118,52,36,-,19,17,145,9,-,53,-,-,39,15,5,138,35,32,146,96,1005,18,-,28,632628,x,x,-,15815,x,169916,x,-,42702,-,-,284739,x,x,155649,52485,x,332871,123568,2156061,x,-,50201
2,13209,9,町田市,Machida-shi,134,4853,2032790,5815999,10586435,4464543,13,1,3,1,-,3,7,2,1,10,1,-,-,2,1,15,8,12,9,10,11,8,7,9,1214,15,50,6,-,98,67,46,7,152,16,-,-,23,21,219,194,302,808,204,314,669,110,318,1983994,x,47204,x,-,401030,74139,x,x,220925,x,-,-,x,x,454445,323484,1103162,1341658,533423,577686,1658468,153962,1125912
2,13210,10,小金井市,Koganei-shi,15,335,171952,192067,412710,205700,2,-,-,-,-,1,1,1,-,2,-,-,-,-,-,1,1,2,1,-,-,-,2,1,13,-,-,-,-,16,4,28,-,19,-,-,-,-,-,10,8,19,24,-,-,-,47,147,x,-,-,-,-,x,x,x,-,x,-,-,-,-,-,x,x,x,x,-,-,-,x,x
2,13211,11,小平市,Kodaira-shi,66,3165,2089122,7613450,10809646,3025630,8,-,3,-,3,3,5,1,-,4,2,-,1,-,1,5,4,9,1,7,6,2,-,1,799,-,35,-,17,29,126,7,-,37,237,-,23,-,15,53,196,135,11,127,83,1229,-,6,1323458,-,16059,-,15732,46396,171838,x,-,57344,x,-,x,-,x,83868,983539,176272,x,125912,107535,x,-,x
2,13212,12,日野市,Hino-shi,58,11496,8342629,18346753,32334530,13250879,2,1,1,-,-,2,8,-,-,2,-,-,2,-,1,5,2,5,3,9,9,2,3,1,98,7,5,-,-,15,155,-,-,16,-,-,36,-,4,83,10,69,195,1342,2731,44,6679,7,x,x,x,-,-,x,213295,-,-,x,-,-,x,-,x,77898,x,140674,385706,853266,18373882,x,11899837,x
2,13213,13,東村山市,Higashimurayama-shi,80,3146,1259429,4086744,7846229,3477745,11,1,2,-,1,2,10,6,-,7,2,-,1,-,2,7,2,3,3,7,9,1,2,1,947,30,22,-,13,62,238,244,-,103,37,-,20,-,10,124,728,32,24,360,110,13,17,12,2862206,x,x,-,x,x,364922,656065,-,208822,x,-,x,-,x,149205,x,49183,59968,537298,100823,x,x,x
2,13214,14,国分寺市,Kokubunji-shi,21,917,630957,858847,1809644,900615,-,-,1,-,-,-,6,1,-,-,-,-,-,-,-,2,-,2,3,-,1,2,-,3,-,-,7,-,-,-,67,7,-,-,-,-,-,-,-,42,-,23,623,-,4,74,-,70,-,-,x,-,-,-,86430,x,-,-,-,-,-,-,-,x,-,x,1333337,-,x,x,-,175371
2,13215,15,国立市,Kunitachi-shi,19,353,137812,173309,380495,193272,6,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,4,-,1,1,3,1,141,-,-,-,-,-,-,-,-,8,-,-,-,-,-,6,-,10,115,-,19,21,25,8,116696,-,-,-,-,-,-,-,-,x,-,-,-,-,-,x,-,x,159936,-,x,x,23328,x
2,13218,16,福生市,Fussa-shi,39,1103,497563,1017891,2065062,958453,3,2,1,-,-,-,4,-,-,1,-,-,1,-,2,6,1,2,3,-,7,-,4,2,89,46,9,-,-,-,447,-,-,7,-,-,27,-,13,100,8,49,64,-,93,-,136,15,97530,x,x,-,-,-,957573,-,-,x,-,-,x,-,x,293739,x,x,109168,-,160664,-,244919,x
