地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and Programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and Programs／分野別事業数 Programs by category／行事・大会 Events/Meets,学級・事業数 Classes and Programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and Programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／その他の事業 Others programs
2,13213,13,東村山市,Higashimurayama-shi,13,138,24,1,-,-,-,3,20,2,2,-,1,5,5,12,85,-,2
2,13214,14,国分寺市,Kokubunji-shi,16,223,150,3,5,5,-,-,137,1,18,13,3,-,-,34,3,-,1
2,13215,15,国立市,Kunitachi-shi,11,94,58,4,3,2,10,-,39,-,3,12,9,-,1,-,3,-,8
2,13218,16,福生市,Fussa-shi,13,140,78,6,12,6,-,9,45,4,16,-,1,-,-,30,7,-,4
2,13219,17,狛江市,Komae-shi,3,32,17,-,4,-,1,8,4,-,2,2,1,-,2,4,-,-,4
2,13220,18,東大和市,Higashiyamato-shi,9,115,41,3,-,11,-,8,19,8,15,1,1,-,-,20,25,-,4
2,13221,19,清瀬市,Kiyose-shi,10,63,28,16,2,-,-,-,10,1,6,-,-,3,1,12,11,-,1
2,13222,20,東久留米市,Higashikurume-shi,6,69,19,-,-,4,-,-,15,1,13,9,2,-,-,23,-,-,2
2,13223,21,武蔵村山市,Musashimurayama-shi,6,33,7,2,-,3,-,-,2,4,2,1,-,-,-,2,9,-,8
2,13224,22,多摩市,Tama-shi,16,165,104,13,-,35,-,6,50,11,24,3,1,-,-,14,-,-,8
2,13225,23,稲城市,Inagi-shi,11,49,21,6,1,8,-,-,6,4,8,-,2,4,2,5,-,-,3
2,13227,24,羽村市,Hamura-shi,8,120,32,3,-,2,-,6,21,-,33,4,1,5,3,17,22,-,3
2,13228,25,あきる野市,Akiruno-shi,8,177,28,2,-,6,-,2,18,3,2,8,-,-,-,122,7,-,7
2,13229,26,西東京市,Nishitokyo-shi,14,260,168,4,12,2,10,64,76,-,8,12,5,-,6,57,-,-,4
1,13300,,郡部,All gun,21,108,28,5,-,-,-,-,23,11,24,12,-,-,-,6,24,-,3
2,13303,1,瑞穂町,Mizuho-machi,9,71,12,5,-,-,-,-,7,8,9,11,-,-,-,6,24,-,1
2,13305,2,日の出町,Hinode-machi,5,23,11,-,-,-,-,-,11,-,11,-,-,-,-,-,-,-,1
2,13307,3,檜原村,Hinohara-mura,2,9,3,-,-,-,-,-,3,3,2,1,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,5,5,2,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,1
1,13350,,島部,All islands,28,76,38,-,20,-,-,9,9,-,26,3,-,-,-,1,2,-,6
2,13361,1,大島町,Oshima-machi,7,6,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,3
2,13362,2,利島村,Toshima-mura,1,4,1,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-
2,13363,3,新島村,Niijima-mura,2,4,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-
2,13364,4,神津島村,Kozushima-mura,3,11,-,-,-,-,-,-,-,-,9,-,-,-,-,1,1,-,-
2,13381,5,三宅村,Miyake-mura,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13382,6,御蔵島村,Mikurajima-mura,1,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
2,13401,7,八丈町,Hachijo-machi,7,41,37,-,20,-,-,9,8,-,1,-,-,-,-,-,-,-,3
2,13402,8,青ヶ島村,Aogashima-mura,1,4,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,1,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,
17-8  社会教育施設数及び社会教育事業数 (平成30年度) 17-8  NUMBER OF SOCIAL EDUCATION FACILITIES AND SOCIAL EDUCATION PROGRAMS ( Fiscal Year 2018 ),,,,,,,,,,,,,,,,,,,,,,,
注) 施設数は，令和元年5月1日現在の数値である。   ,,,,,,,,,,,,,,,,,,,,,,,
Note: Number of facilities as of May 1， 2019. ,,,,,,,,,,,,,,,,,,,,,,,
資料：都教育庁地域教育支援部生涯学習課 「区市町村生涯学習・社会教育行政データブック」 Source: Office of Education， TMG   ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,
（単位　学級〔学級数〕， 事業〔事業数〕）(Units: Number of classes， number of programs),,,,,,,,,,,,,,,,,,,,,,,
