年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
令和元,2019,1,国立 ,National,総数,Total,42,-,…,…,88279,57046,31233,…,9131,…
令和元,2019,1,国立 ,National,幼稚園,Kindergartens,2,-,…,…,356,188,168,36,22,14
令和元,2019,1,国立 ,National,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),-,-,…,…,-,-,-,-,-,-
令和元,2019,1,国立 ,National,小学校,Elementary schools,6,-,-,…,3610,1806,1804,230,182,48
令和元,2019,1,国立 ,National,中学校,Junior high schools,6,-,-,-,2644,1437,1207,248,138,110
令和元,2019,1,国立 ,National,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
令和元,2019,1,国立 ,National,高等学校,Senior high schools,6,-,…,-,3242,1833,1409,379,209,170
令和元,2019,1,国立 ,National,中等教育学校,Secondary education schools,2,-,…,2,1441,627,814,149,97,52
令和元,2019,1,国立 ,National,大学,Colleges and universities,14,-,-,-,75497,50054,25443,…,8178,…
令和元,2019,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
令和元,2019,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,-,1023,845,178,…,69,…
令和元,2019,1,国立 ,National,特別支援学校,Special needs schools,4,-,…,…,433,248,185,281,229,52
令和元,2019,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,…,…,-,-,-,-,-,-
令和元,2019,1,国立 ,National,専修学校,Specialized training schools,1,-,…,…,33,8,25,73,7,66
令和元,2019,1,国立 ,National,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
令和元,2019,1,公立 ,Public,総数,Total,2333,1,…,…,994159,514834,479325,…,66600,…
令和元,2019,1,公立 ,Public,幼稚園,Kindergartens,168,-,…,…,11581,6153,5428,1093,847,246
令和元,2019,1,公立 ,Public,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),9,-,…,…,1171,614,557,213,197,16
令和元,2019,1,公立 ,Public,小学校,Elementary schools,1271,-,24,…,586114,302538,283576,39502,33448,6054
令和元,2019,1,公立 ,Public,中学校,Junior high schools,610,1,16,15,222730,115943,106787,19401,15128,4273
令和元,2019,1,公立 ,Public,義務教育学校,Compulsory education schools,7,-,7,…,6272,3240,3032,432,379,53
令和元,2019,1,公立 ,Public,高等学校,Senior high schools,186,-,…,11,133349,67081,66268,12189,9357,2832
令和元,2019,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,…,6,5587,2696,2891,533,431,102
令和元,2019,1,公立 ,Public,大学,Colleges and universities,2,-,-,-,9366,5799,3567,…,698,…
令和元,2019,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
令和元,2019,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,-,1593,1444,149,…,129,…
令和元,2019,1,公立 ,Public,特別支援学校,Special needs schools,62,-,…,…,12797,8349,4448,6367,5778,589
令和元,2019,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,…,…,1671,797,874,72,42,30
令和元,2019,1,公立 ,Public,専修学校,Specialized training schools,8,-,…,…,1928,180,1748,1028,166,862
令和元,2019,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
令和元,2019,1,私立 ,Private,総数,Total,2059,-,…,…,1269595,630811,638784,…,79619,…
令和元,2019,1,私立 ,Private,幼稚園,Kindergartens,815,-,…,…,138333,69434,68899,11646,9901,1745
令和元,2019,1,私立 ,Private,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),23,-,…,…,4872,2527,2345,762,606,156
令和元,2019,1,私立 ,Private,小学校,Elementary schools,54,-,1,…,25149,10501,14648,1921,1473,448
令和元,2019,1,私立 ,Private,中学校,Junior high schools,188,-,1,125,75003,35213,39790,8904,4258,4646
令和元,2019,1,私立 ,Private,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
令和元,2019,1,私立 ,Private,高等学校,Senior high schools,237,-,…,126,173694,84386,89308,17329,9699,7630
令和元,2019,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,…,-,-,-,-,-,-,-
令和元,2019,1,私立 ,Private,大学,Colleges and universities,139,-,-,-,657913,340142,317771,…,43221,…
令和元,2019,1,私立 ,Private,短期大学,Junior colleges,37,-,-,-,11544,839,10705,3063,792,2271
令和元,2019,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,-,838,690,148,…,53,…
令和元,2019,1,私立 ,Private,特別支援学校,Special needs schools,4,-,…,…,234,143,91,109,82,27
令和元,2019,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,9,-,…,…,9218,5191,4027,1016,192,824
令和元,2019,1,私立 ,Private,専修学校,Specialized training schools,396,-,…,…,146433,68692,77741,23350,7250,16100
令和元,2019,1,私立 ,Private,各種学校,Miscellaneous schools,156,-,…,…,26364,13053,13311,3566,2092,1474
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成29～令和元年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,,
