項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
2,7,8,1,0,0,772,国公立中学校,194,-5.8,-,536,1028,138,387,133,-,-,-
2,7,8,1,0,0,773,私立中学校,1112,198.9,-,-,2571,8851,-,169,-,-,-
2,7,8,1,0,0,774,国公立高校,79,-66.7,-,-,-,200,379,-,207,-,-
2,7,8,1,0,0,775,私立高校,2188,368.5,-,-,7670,7530,6730,-,-,-,-
2,7,8,1,0,0,776,国公立大学,-,-,-,-,-,-,-,-,-,-,-
2,7,8,1,0,0,777,私立大学,3510,84.1,-,-,-,-,20461,1122,13298,-,-
2,7,8,1,0,0,778,幼児教育費用,2273,33.7,6350,10590,7179,2392,4608,-,310,-,-
2,7,8,1,0,0,779,専修学校,844,17.7,-,-,-,-,7844,-,-,-,-
2,5,8,2,0,0,0,教科書・学習参考教材,88,-39.7,-,9,325,306,111,134,-,12,-
2,7,8,2,0,0,780,教科書,-,-100,-,-,-,-,-,-,-,-,-
2,7,8,2,0,0,781,学習参考教材,88,-35.8,-,9,325,306,111,134,-,12,-
2,5,8,3,0,0,0,補習教育,4445,-10.3,1912,8439,8623,11994,11801,9110,-,-,-
2,7,8,3,0,0,790,幼児・小学校補習教育,1617,-27.2,1912,5213,5344,4921,2457,-,-,-,-
2,7,8,3,0,0,791,中学校補習教育,1705,21.9,-,3227,3279,2984,5825,4135,-,-,-
2,7,8,3,0,0,792,高校補習教育・予備校,1124,-15.8,-,-,-,4089,3519,4975,-,-,-
2,4,9,0,0,0,0,教養娯楽,44130,-2.5,26622,54787,54954,51886,50698,54645,42797,37171,33129
2,5,9,1,0,0,0,教養娯楽用耐久財,2208,-11.6,832,4088,2269,1261,8958,818,707,1171,779
2,7,9,1,0,0,801,テレビ,419,-70.2,-,-,720,309,-,-,-,720,338
2,7,9,1,0,0,803,携帯型音楽・映像用機器,20,...,-,-,-,210,-,-,-,-,-
2,7,9,1,0,0,813,ビデオレコーダー・プレイヤー,66,...,-,-,685,-,-,-,-,-,-
2,7,9,1,0,0,810,パーソナルコンピュータ,1396,182,754,3444,617,402,8628,463,407,173,87
2,7,9,1,0,0,804,カメラ,-,-100,-,-,-,-,-,-,-,-,-
2,7,9,1,0,0,811,ビデオカメラ,-,-,-,-,-,-,-,-,-,-,-
2,7,9,1,0,0,806,楽器,13,333.3,78,-,55,-,-,-,58,-,-
2,7,9,1,0,0,807,書斎・学習用机・椅子,-,-100,-,-,-,-,-,-,-,-,-
2,7,9,1,0,0,809,他の教養娯楽用耐久財,198,57.1,-,644,192,339,330,355,214,67,66
2,7,9,1,0,0,812,教養娯楽用耐久財修理代,96,29.7,-,-,-,-,-,-,28,211,287
2,5,9,2,0,0,0,教養娯楽用品,7219,10.6,7811,8121,10366,9259,6392,6461,6567,6388,4394
2,7,9,2,0,821-829,0,文房具,543,26.3,430,727,1093,1005,516,445,509,338,344
2,7,9,2,0,821-829,821,筆記・絵画用具,82,17.1,158,142,178,173,57,32,79,42,47
2,7,9,2,0,821-829,826,ノート・紙製品,192,11.6,186,235,322,311,222,148,234,124,98
2,7,9,2,0,821-829,827,他の学習用消耗品,63,37,9,53,98,90,97,79,57,47,57
2,7,9,2,0,821-829,828,他の学習用文房具,124,31.9,11,221,340,321,83,99,22,65,101
2,7,9,2,0,821-829,829,他の文房具,82,67.3,66,76,154,111,56,87,117,60,41
2,7,9,2,0,832-834,0,運動用具類,1253,-6.5,1689,1546,2845,3166,895,1224,920,582,617
2,7,9,2,0,832-834,832,ゴルフ用具,14,-39.1,-,-,-,-,-,-,56,20,33
2,7,9,2,0,832-834,833,他の運動用具,381,-18.1,27,682,1299,1151,174,302,323,81,73
2,7,9,2,0,832-834,834,スポーツ用品,858,0.7,1662,864,1546,2015,721,922,541,481,511
2,7,9,2,0,835-837,0,玩具,921,120.3,4099,3064,2054,1159,631,141,343,409,203
2,7,9,2,0,835-837,836,テレビゲーム機,93,933.3,-,894,436,-,-,-,-,-,-
2,7,9,2,0,835-837,835,ゲームソフト等,122,159.6,544,549,191,273,5,55,-,51,96
2,7,9,2,0,835-837,837,他の玩具,706,95.6,3554,1621,1427,886,626,85,343,359,107
2,7,9,2,0,0,840,切り花,754,24.4,83,213,896,342,485,720,757,1006,1023
2,7,9,2,0,842 843 845-849 84A 84Y,0,他の教養娯楽用品,2595,-1.9,1511,1724,2246,3232,2582,3683,3087,2459,1595
2,7,9,2,0,842 843 845-849 84A 84Y,846,音楽・映像用未使用メディア,82,22.4,470,33,97,152,77,54,119,36,56
