"名称","区分","総合支所","町丁目","住所","調査敷地面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]"
"新堀粗大ごみ中継所","区立公共施設","芝地区","芝三丁目","芝三丁目2番14号","289","22","0","0","22","0","0","7.47","7.47","0.00","0.00"
"みなとリサイクル清掃事務所作業連絡所","区立公共施設","麻布地区","元麻布三丁目","元麻布三丁目9番6号","713","12","43","0","55","0","0","7.73","1.72","6.01","0.00"
"区立公衆浴場「ふれあいの湯」","区立公共施設","芝地区","芝二丁目","芝二丁目2番18号","85","0","0","0","0","0","0","0.00","0.00","0.00","0.00"
"区民斎場","区立公共施設","赤坂地区","南青山二丁目","南青山二丁目34番1号","656","142","0","0","143","0","0","21.74","21.70","0.05","0.00"
"発達支援センター相談室","区立公共施設","高輪地区","白金一丁目","白金一丁目16番4号","133","3","0","0","3","0","0","2.54","2.54","0.00","0.00"
"きらきらプラザ新橋","区立公共施設","芝地区","新橋六丁目","新橋六丁目4番2号","425","9","0","36","45","0","0","10.63","2.07","0.00","8.56"
"神応小学校跡地","区立公共施設","高輪地区","白金六丁目","白金六丁目9番5号","4818","837","0","0","837","0","0","17.38","17.38","0.00","0.00"
"高齢者集合住宅ピア白金","区営住宅","高輪地区","白金一丁目","白金一丁目28番13号","274","26","0","0","26","0","0","9.57","9.57","0.00","0.00"
"高齢者集合住宅はなみずき白金","区営住宅","高輪地区","白金三丁目","白金三丁目3番3号","383","59","0","0","59","0","0","15.51","15.51","0.00","0.00"
"高齢者集合住宅はなみずき三田","区営住宅","芝地区","三田一丁目","三田一丁目11番14号","489","120","0","0","120","0","0","24.53","24.53","0.00","0.00"
"シティハイツ白金","区営住宅","高輪地区","白金三丁目","白金三丁目7番9号","1352","300","0","0","300","0","0","22.22","22.22","0.00","0.00"
"シティハイツ港南","区営住宅","芝浦・港南地区","港南三丁目","港南三丁目3番17号","5586","1200","0","101","1301","0","0","23.29","21.48","0.00","1.81"
"シティハイツ六本木","区営住宅","麻布地区","六本木六丁目","六本木六丁目5番25号","3423","719","92","120","930","0","0","27.16","21.00","2.67","3.49"
"シティハイツ一ツ木","区営住宅","赤坂地区","赤坂五丁目","赤坂五丁目2番50号","1852","608","88","0","696","0","0","37.59","32.82","4.77","0.00"
"シティハイツ芝浦","区営住宅","芝浦・港南地区","芝浦三丁目","芝浦三丁目5番34号","992","92","104","0","196","0","0","19.76","9.27","10.50","0.00"
"シティハイツ第二芝浦","区営住宅","芝浦・港南地区","芝浦三丁目","芝浦三丁目5番35号","623","48","0","0","48","0","0","7.67","7.67","0.00","0.00"
"シティハイツ高浜","区営住宅","芝浦・港南地区","港南一丁目","港南一丁目1番27号","1111","0","0","0","0","0","0","0.00","0.00","0.00","0.00"
"シティハイツ竹芝","区営住宅","芝地区","芝一丁目","芝一丁目8番23号","4386","879","0","0","879","0","0","20.04","20.04","0.00","0.00"
"シティハイツ桂坂","区営住宅","高輪地区","高輪二丁目","高輪二丁目13番8号","5334","1462","0","0","1462","0","0","27.41","27.41","0.00","0.00"
"シティハイツ車町","区営住宅","高輪地区","高輪二丁目","高輪二丁目20番29･30号","3951","106","552","0","658","0","0","16.66","2.69","13.96","0.00"
"シティハイツ神明","区営住宅","芝地区","浜松町一丁目","浜松町一丁目13番1号","2096","69","0","368","436","0","0","20.83","3.29","0.00","17.54"
"御成門小学校","区立学校","芝地区","芝公園三丁目","芝公園三丁目2番4号","7503","627","71","0","697","0","0","9.30","8.36","0.94","0.00"
"芝小学校","区立学校","芝地区","芝二丁目","芝二丁目21番3号","5076","430","100","10","539","0","0","10.62","8.46","1.97","0.19"
"赤羽小学校","区立学校","芝地区","三田一丁目","三田一丁目4番52号","6764","1402","134","0","1536","0","0","22.71","20.73","1.98","0.00"
"芝浦小学校","区立学校","芝浦・港南地区","芝浦四丁目","芝浦四丁目8番18号","14118","1720","0","551","2271","195","0","16.09","12.19","0.00","3.90"
"御田小学校","区立学校","高輪地区","三田四丁目","三田四丁目11番38号","5763","1284","16","0","1300","0","0","22.56","22.27","0.28","0.00"
"高輪台小学校","区立学校","高輪地区","高輪二丁目","高輪二丁目8番24号","6796","788","214","365","1367","0","0","20.12","11.59","3.15","5.38"
"白金小学校","区立学校","高輪地区","白金台一丁目","白金台一丁目4番26号","5200","349","0","61","410","0","0","7.88","6.72","0.00","1.16"
"白金の丘学園白金の丘小学校・中学校","区立学校","高輪地区","白金四丁目","白金四丁目1番12号","12609","1946","523","685","3154","45","0","25.01","15.43","4.15","5.43"
"港南小学校","区立学校","芝浦・港南地区","港南四丁目","港南四丁目3番28号","11415","1027","50","505","1582","0","0","13.86","8.99","0.44","4.43"
"麻布小学校","区立学校","麻布地区","麻布台一丁目","麻布台一丁目5番15号","8422","1369","10","10","1389","61","0","16.49","16.25","0.12","0.11"
"南山小学校","区立学校","麻布地区","元麻布三丁目","元麻布三丁目8番15号","7414","1163","1","0","1164","0","0","15.70","15.69","0.01","0.00"
"本村小学校","区立学校","麻布地区","南麻布三丁目","南麻布三丁目9番33号","7849","1480","49","165","1695","0","0","21.59","18.86","0.63","2.10"
"笄小学校","区立学校","麻布地区","西麻布三丁目","西麻布三丁目11番16号","5865","595","72","0","667","0","0","11.38","10.15","1.23","0.00"
"東町小学校","区立学校","麻布地区","南麻布一丁目","南麻布一丁目8番11号","5692","852","0","0","852","0","0","14.97","14.97","0.00","0.00"
"赤坂小学校","区立学校","赤坂地区","赤坂八丁目","赤坂八丁目13番29号","5763","648","9","0","657","0","0","11.40","11.24","0.16","0.00"
"青山小学校","区立学校","赤坂地区","南青山二丁目","南青山二丁目21番2号","6446","726","0","0","726","0","0","11.26","11.26","0.00","0.00"
"青南小学校","区立学校","赤坂地区","南青山四丁目","南青山四丁目21番15号","6398","1294","18","131","1443","0","0","22.56","20.22","0.29","2.05"
"お台場学園港陽小学校・中学校","区立学校","芝浦・港南地区","台場一丁目","台場一丁目1番5号","12342","1110","221","357","1688","0","0","13.68","8.99","1.79","2.89"
"御成門中学校","区立学校","芝地区","西新橋三丁目","西新橋三丁目25番30号","2959","412","0","145","557","0","0","18.83","13.94","0.00","4.89"
"三田中学校","区立学校","高輪地区","三田四丁目","三田四丁目13番13号","11137","1934","738","195","2867","3476","0","25.74","17.37","6.63","1.75"
"高松中学校","区立学校","高輪地区","高輪一丁目","高輪一丁目16番25号","24185","11738","1055","0","12793","5587","0","52.90","48.53","4.36","0.00"
"港南中学校","区立学校","芝浦・港南地区","港南四丁目","港南四丁目3番3号","13623","1467","454","0","1921","0","0","14.10","10.77","3.34","0.00"
"六本木中学校","区立学校","麻布地区","六本木六丁目","六本木六丁目8番16号","10877","1886","389","54","2328","3414","0","21.40","17.34","3.57","0.49"
"高陵中学校","区立学校","麻布地区","西麻布四丁目","西麻布四丁目14番8号","9463","1806","0","753","2559","2840","0","27.04","19.08","0.00","7.96"
"赤坂中学校","区立学校","赤坂地区","赤坂九丁目","赤坂九丁目2番3号","13417","1787","93","0","1880","997","0","14.01","13.32","0.69","0.00"
"青山中学校","区立学校","赤坂地区","北青山一丁目","北青山一丁目1番9号","17505","4325","1205","459","5989","6068","0","34.21","24.71","6.88","2.62"
"赤坂中学校仮校舎","区立学校","赤坂地区","南青山一丁目","南青山一丁目18番12号","2647","153","40","0","193","0","0","7.30","5.79","1.51","0.00"

"※面積は小数第1位、率は小数第3位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,,,,,

"港区みどりの実態調査（第１０次）公共施設緑被状況一覧","Ver202203",,,,,,,,,,,,,,
