消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,"火災件数・管外からの延焼火災",り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損床面積(㎡),林野焼損面積(ａ)
武蔵野,36,25,2,1,4,18,-,2,-,-,9,-,-,28,3,3,22,59,37,2,2,10,23,354,-
三鷹,40,26,-,3,4,19,-,4,-,-,10,-,-,25,3,1,21,63,30,-,3,7,20,122,-
府中,69,37,-,2,8,27,-,6,-,-,26,-,-,41,2,4,35,58,44,-,2,8,34,166,-
昭島,30,17,1,-,2,14,-,-,-,-,13,-,-,7,-,-,7,15,19,1,-,2,16,34,-
調布,53,38,-,2,9,27,-,6,-,-,9,-,-,34,-,6,28,62,39,-,2,9,28,275,-
小金井,25,22,-,2,1,19,-,1,-,-,2,-,-,23,4,4,15,46,22,-,2,1,19,73,-
小平,35,24,2,-,7,15,-,2,-,-,9,-,-,30,2,3,25,61,35,2,1,10,22,209,-
東村山,34,21,1,-,2,18,-,5,-,-,8,-,-,24,1,1,22,49,25,1,-,3,21,138,-
国分寺,35,24,1,1,4,18,-,2,-,-,9,-,-,26,1,1,24,54,28,1,1,6,20,190,-
狛江,17,8,-,-,2,6,-,3,-,-,6,-,-,12,1,-,11,12,8,-,-,2,6,33,-
北多摩西部,42,28,1,2,4,21,-,4,-,-,10,-,-,39,2,5,32,88,40,2,2,9,27,500,-
清瀬,17,13,1,-,2,10,-,-,-,-,4,-,-,16,1,-,15,29,17,1,-,4,12,87,-
東久留米,37,24,2,-,4,18,-,-,-,-,13,-,-,28,2,3,23,45,29,2,1,6,20,343,-
西東京,33,28,1,1,-,26,-,2,-,-,3,-,-,30,10,1,19,54,41,5,1,4,31,280,-
八王子,173,108,7,3,12,86,1,19,-,-,45,-,-,120,15,6,99,241,130,13,3,17,97,"1,428",1
青梅,44,27,1,3,5,18,3,5,-,-,9,-,-,30,8,3,19,59,44,8,3,8,25,1170,460
町田,112,74,5,2,10,57,-,5,-,-,33,-,-,57,4,3,50,120,88,8,7,12,61,802,-
日野,51,34,-,-,7,27,-,4,-,-,13,-,-,31,1,-,30,57,34,-,-,7,27,65,-
福生,59,29,5,3,3,18,-,4,-,-,25,1,-,26,6,4,16,62,36,5,3,5,23,724,-
多摩,43,30,-,-,5,25,-,-,-,-,13,-,-,23,3,-,20,54,30,-,-,5,25,47,-
秋川,47,20,4,3,4,9,1,3,-,-,23,-,-,18,3,3,12,42,26,5,3,5,13,340,18
奥多摩,3,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3,1,-,1,1,270,1
