消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
芝,54,45,1,9,32,2,0,1,0,3,0,0,3,0,0,0,6,0,0,1,5,146,52,15,6,2,0,18,0,0,0,0,50,0,3,668,499,8,159,2
麻布,45,26,2,9,14,0,0,1,0,1,0,0,0,0,1,0,18,9,0,2,7,112,66,2,4,2,0,6,0,0,0,0,30,1,1,504,294,7,202,1
赤坂,22,17,0,2,11,1,0,3,0,0,0,0,0,0,0,0,5,2,1,0,2,108,57,2,5,6,1,13,0,0,0,0,20,3,1,455,240,7,199,9
高輪,28,23,4,3,12,2,0,1,1,0,0,0,0,0,0,0,5,1,1,1,2,80,34,7,2,0,0,8,0,0,0,0,23,0,6,382,284,10,87,1
品川,57,36,4,7,20,0,0,1,4,1,0,0,1,0,0,0,20,4,2,1,13,127,57,10,2,0,0,10,0,0,0,0,43,1,4,569,328,8,230,3
大井,47,32,2,8,18,3,0,1,0,1,0,0,0,0,1,1,13,2,0,1,10,117,54,8,2,4,0,9,0,0,0,0,39,0,1,530,388,3,139,0
荏原,56,37,5,15,9,4,0,2,2,7,0,0,3,0,4,0,12,1,0,0,11,140,68,0,3,1,0,8,0,0,0,0,55,2,3,651,493,7,148,3
大森,97,71,6,19,31,4,0,8,3,3,0,0,2,0,1,0,23,5,2,1,15,261,97,28,11,0,0,29,0,0,0,0,87,2,7,1157,848,15,293,1
田園調布,49,37,3,10,19,4,0,1,0,3,0,0,3,0,0,1,8,4,1,0,3,135,63,13,3,2,0,8,0,0,0,0,42,0,4,585,455,2,126,2
蒲田,77,35,4,9,19,0,0,2,1,8,0,0,1,0,7,21,13,2,1,0,10,222,98,24,6,3,0,15,0,0,0,0,73,0,3,1009,461,15,516,17
矢口,42,32,5,8,17,1,0,0,1,3,0,0,0,0,3,0,7,0,1,2,4,117,54,8,2,2,0,12,0,0,0,0,39,0,0,515,364,1,150,0
目黒,91,67,13,19,24,7,0,1,3,3,1,0,0,0,2,0,21,3,1,3,14,280,137,6,11,4,0,18,0,0,0,0,80,1,23,"1,243",945,19,277,2
世田谷,156,89,12,32,32,2,0,9,2,5,0,0,1,0,4,2,60,18,5,2,35,479,228,26,27,14,0,29,0,0,0,0,124,0,31,"2,038",1030,16,982,10
玉川,79,58,3,13,34,1,0,3,4,2,0,0,0,0,2,0,19,12,0,1,6,235,122,2,7,4,0,24,0,1,0,0,57,2,16,961,648,8,297,8
成城,58,37,2,10,17,3,0,2,3,3,0,0,0,0,3,0,18,8,2,0,8,192,82,0,11,0,0,26,0,0,0,0,46,3,24,791,455,9,322,5
渋谷,148,107,14,27,48,6,0,7,5,3,0,0,1,0,2,2,36,8,3,2,23,463,234,1,20,21,0,30,0,0,0,0,130,2,25,"2,078",1189,8,868,13
四谷,33,23,1,7,7,4,0,3,1,2,0,0,2,0,0,0,8,1,1,2,4,116,63,0,4,6,0,7,0,0,0,0,27,0,9,498,357,2,135,4
牛込,44,27,0,14,9,1,0,1,2,1,0,0,0,0,1,2,14,4,1,3,6,124,66,0,5,2,0,9,0,0,0,0,37,0,5,571,354,2,213,2
新宿,123,91,16,27,35,6,0,3,4,0,0,0,0,0,0,1,31,7,3,4,17,405,197,0,18,11,0,37,0,0,0,0,105,6,31,"1,800",1054,42,688,16
中野,56,37,4,16,13,3,0,1,0,2,0,0,1,0,1,1,16,4,2,4,6,157,77,0,7,1,0,9,0,0,0,0,44,1,18,682,470,8,200,4
野方,51,33,2,15,8,3,0,3,2,3,0,0,0,0,3,1,14,6,1,2,5,128,46,15,6,0,0,7,0,0,0,0,44,0,10,547,382,21,143,1
杉並,100,73,7,28,28,6,0,3,1,3,0,0,1,0,2,1,23,3,4,6,10,269,117,0,11,0,0,34,1,0,0,0,79,2,25,"1,115",666,15,426,8
荻窪,58,45,0,11,24,1,0,5,4,5,0,1,2,0,2,0,8,3,1,0,4,207,72,23,14,5,0,18,0,0,0,0,51,4,20,863,459,15,387,2
小石川,38,17,2,5,9,1,0,0,0,0,0,0,0,0,0,0,21,6,3,3,9,93,55,0,3,1,0,5,0,0,0,0,27,0,2,416,195,10,209,2
本郷,48,34,6,13,8,3,0,0,4,2,0,0,0,0,2,0,12,3,2,0,7,130,66,0,5,0,0,9,0,0,0,0,42,0,8,577,410,8,156,3
豊島,61,45,1,16,14,9,0,3,2,1,0,0,0,0,1,0,15,6,2,1,6,194,112,0,6,7,0,9,0,0,0,0,50,0,10,871,533,25,304,9
池袋,48,33,2,14,12,0,0,3,2,4,0,0,1,0,3,0,11,2,2,0,7,127,69,0,1,1,0,8,0,0,0,0,40,0,8,576,421,18,133,4
王子,36,22,5,5,8,0,0,1,3,3,0,0,2,0,1,0,11,2,2,0,7,86,41,2,2,2,0,4,0,0,0,0,33,1,1,379,248,1,129,1
赤羽,53,28,1,8,15,1,0,1,2,1,0,0,0,0,1,0,24,15,0,1,8,150,68,8,6,0,0,12,0,0,0,0,39,3,14,637,440,16,175,6
滝野川,32,15,3,5,5,1,0,1,0,4,0,0,1,0,3,0,13,4,2,0,7,83,46,0,1,2,0,8,0,0,0,0,24,0,2,352,224,1,127,0
板橋,74,57,11,16,21,5,0,4,0,2,0,0,0,0,2,0,15,5,0,1,9,199,67,26,7,0,0,30,0,0,0,0,61,1,7,895,671,23,197,4
志村,122,80,7,16,42,9,0,4,2,3,0,0,1,0,2,0,39,14,8,2,15,339,132,52,13,2,0,39,0,0,0,0,84,1,16,"1,431",932,24,461,14
練馬,98,68,6,29,18,3,0,4,8,6,0,0,0,0,6,0,24,12,1,1,10,290,103,47,11,4,0,25,0,0,0,0,83,1,16,1240,771,35,427,7
光が丘,40,28,1,5,18,3,0,1,0,2,0,0,0,0,2,2,8,5,1,0,2,120,62,0,6,1,0,9,0,0,0,0,34,2,6,530,343,22,164,1
石神井,71,49,3,16,19,2,0,3,6,3,0,0,0,0,3,0,19,9,0,1,9,178,93,1,7,1,0,12,0,0,0,0,58,0,6,793,546,8,235,4
上野,44,32,3,7,16,3,0,0,3,3,0,0,1,0,2,1,8,2,1,1,4,139,73,0,6,6,0,11,0,0,0,0,39,0,4,655,372,9,270,4
浅草,20,15,1,4,7,2,0,0,1,1,0,0,0,0,1,1,3,1,0,0,2,57,27,0,3,1,0,3,0,0,0,0,20,0,3,282,207,6,65,4
日本堤,42,25,11,8,3,1,0,2,0,2,0,0,0,0,2,0,15,7,1,0,7,93,47,0,5,0,0,5,0,0,0,0,35,0,1,445,277,10,158,0
荒川,41,27,0,10,14,1,0,2,0,2,0,0,0,0,2,0,12,3,1,1,7,111,54,2,4,1,0,12,0,0,0,0,35,1,2,506,340,13,148,5
尾久,40,22,5,6,7,0,0,1,3,0,0,0,0,0,0,1,17,2,2,0,13,132,59,13,5,4,0,9,0,0,0,0,39,0,3,581,343,18,213,7
千住,47,30,0,8,16,1,0,3,2,2,0,0,0,0,2,0,15,6,4,0,5,144,65,4,3,1,0,9,0,0,0,0,35,16,11,561,372,9,175,5
足立,138,94,5,22,56,2,0,2,7,5,0,0,1,0,4,0,39,14,4,2,19,323,151,21,1,0,0,34,0,0,0,0,103,0,13,"1,405",1026,18,357,4
西新井,94,62,6,14,35,3,0,3,1,2,0,0,0,0,2,1,29,7,1,1,20,260,134,5,7,4,0,28,0,0,2,0,75,0,5,"1,109",740,28,335,6
本所,44,29,4,11,11,2,0,1,0,5,0,0,0,0,5,0,10,3,0,1,6,106,59,0,2,0,0,7,0,0,0,0,34,1,3,491,329,5,157,0
向島,44,22,0,9,4,2,0,2,5,6,0,0,2,0,4,2,14,2,1,1,10,119,42,21,1,4,0,6,0,0,0,0,39,1,5,521,356,11,152,2
深川,94,71,0,26,39,2,0,0,4,2,0,0,0,0,2,1,20,3,2,2,13,249,107,16,7,2,0,32,0,0,2,0,72,4,7,1110,811,4,295,0
城東,99,77,2,24,39,2,0,5,5,6,0,0,2,0,4,1,15,0,4,0,11,279,108,34,11,4,0,21,0,0,0,0,86,4,11,1178,807,25,337,9
本田,75,54,5,12,30,3,0,1,3,2,0,0,2,0,0,2,17,6,2,1,8,229,109,20,9,5,0,18,0,0,0,0,61,1,6,1001,644,26,330,1
金町,67,42,2,5,29,2,0,1,3,1,0,0,1,0,0,0,24,3,5,0,16,159,34,47,5,1,0,16,0,0,0,0,52,0,4,693,528,4,160,1
江戸川,86,51,6,8,30,1,0,1,5,2,0,0,0,0,2,0,33,1,9,2,21,178,67,32,1,0,0,13,0,0,0,0,61,0,4,797,561,9,225,2
葛西,87,62,1,17,29,6,0,1,8,2,0,1,1,0,0,1,22,7,4,2,9,212,90,21,3,1,0,28,0,0,0,0,58,1,10,886,624,1,257,4
小岩,70,42,1,11,23,4,0,3,0,4,0,0,0,0,4,0,24,9,2,3,10,206,94,16,9,3,0,23,0,0,0,0,54,1,6,870,535,7,326,2
受託地区,"1,569",989,36,181,613,45,0,76,38,36,1,0,13,1,21,43,501,84,223,51,143,"4,175","1,865",281,134,22,0,481,0,1,0,1,1157,47,186,"17,868","12,361",262,"5,181",64
立川,76,43,1,11,27,3,0,0,1,0,0,0,0,0,0,0,33,4,13,2,14,200,102,1,6,0,0,22,0,0,0,0,56,1,12,863,621,6,235,1
武蔵野,45,26,1,10,12,2,0,0,1,5,0,0,4,0,1,0,14,2,1,4,7,129,53,16,2,0,0,11,0,0,0,0,40,0,7,565,441,6,117,1
三鷹,51,31,4,7,16,0,0,2,2,4,0,0,1,0,3,1,15,7,5,1,2,134,70,0,3,0,0,15,0,0,0,0,40,0,6,569,366,5,191,7
府中,64,50,1,8,29,3,0,5,4,0,0,0,0,0,0,0,14,1,8,2,3,190,83,18,5,2,0,22,0,0,0,0,50,0,10,801,538,23,236,4
昭島,33,23,1,1,18,0,0,2,1,0,0,0,0,0,0,0,10,2,2,1,5,84,43,0,3,0,0,9,0,0,0,0,28,0,1,372,269,13,89,1
調布,64,44,1,7,27,1,0,7,1,5,0,0,2,0,3,0,15,5,5,1,4,228,96,16,6,2,0,36,0,0,0,0,54,4,14,950,677,39,229,5
小金井,40,22,0,9,11,1,0,0,1,1,0,0,0,0,1,0,17,1,7,2,7,100,55,0,2,0,0,4,0,0,0,0,35,0,4,456,365,8,83,0
小平,43,29,1,6,18,2,0,0,2,0,0,0,0,0,0,0,14,3,6,1,4,119,66,0,4,1,0,10,0,0,0,0,33,2,3,510,386,10,114,0
東村山,46,28,0,8,12,2,0,6,0,2,0,0,0,0,2,0,16,5,2,2,7,114,58,0,3,0,0,10,0,0,0,0,35,2,6,511,369,7,134,1
国分寺,33,21,1,5,11,0,0,3,1,2,0,0,1,0,1,0,10,0,1,1,8,96,49,0,4,1,0,9,0,0,0,0,30,0,3,415,253,1,161,0
狛江,21,17,0,5,10,1,0,0,1,2,0,0,1,0,1,0,2,1,0,0,1,58,30,0,1,0,0,5,0,0,0,0,20,0,2,265,189,2,73,1
北多摩西部,50,27,1,5,16,1,0,2,2,0,0,0,0,0,0,1,22,7,11,0,4,133,68,8,4,2,0,16,0,0,0,0,34,0,1,584,350,4,227,3
清瀬,33,23,4,5,12,0,0,2,0,0,0,0,0,0,0,0,10,1,3,3,3,89,50,0,1,1,0,7,0,0,0,0,25,2,3,378,277,8,92,1
東久留米,37,27,3,6,12,1,0,2,3,2,0,0,1,1,0,0,8,1,1,3,3,101,49,0,3,1,0,9,0,0,0,0,32,2,5,439,312,9,115,3
西東京,46,32,2,8,12,4,0,2,4,0,0,0,0,0,0,0,14,1,1,2,10,123,63,0,1,0,0,14,0,0,0,0,38,1,6,543,289,12,239,3
八王子,242,180,7,28,124,5,0,12,4,3,1,0,1,0,1,1,58,16,17,6,19,708,284,40,30,5,0,96,0,1,0,0,188,24,40,"2,928","2,093",18,812,5
青梅,97,48,1,6,36,1,0,2,2,1,0,0,0,0,1,6,42,6,26,3,7,211,70,48,6,0,0,25,0,0,0,0,55,2,5,905,660,16,228,1
町田,189,119,4,22,68,10,0,15,0,4,0,0,1,0,3,1,65,8,33,11,13,471,214,39,20,3,0,42,0,0,0,0,129,2,22,"2,019","1,361",22,620,16
日野,50,35,1,5,23,4,0,2,0,0,0,0,0,0,0,1,14,3,7,2,2,146,58,17,6,1,0,13,0,0,0,0,40,1,10,604,345,17,235,7
福生,76,53,2,5,37,2,0,4,3,2,0,0,0,0,2,0,21,6,5,1,9,214,75,26,5,2,0,33,0,0,0,0,65,0,8,924,609,11,300,4
多摩,87,52,0,8,38,2,0,1,3,3,0,0,1,0,2,1,31,3,17,2,9,236,56,52,14,1,0,37,0,0,0,0,62,4,10,1014,685,10,319,0
秋川,82,43,0,3,32,0,0,6,2,0,0,0,0,0,0,16,23,0,21,0,2,181,100,0,3,0,0,20,0,0,0,0,55,0,3,801,588,15,198,0
奥多摩,64,16,0,3,12,0,0,1,0,0,0,0,0,0,0,15,33,1,31,1,0,110,73,0,2,0,0,16,0,0,0,1,13,0,5,452,318,0,134,0
