区分,件数・出場,件数・従事,救助人員・計,救助人員・重症,救助人員・中等症,救助人員・軽症,救助人員・無症,救助人員・死亡,出場車両数・計,出場車両数・ポンプ車,出場車両数・救助車,出場車両数・化学車,出場車両数・はしご車,出場車両数・救急車,出場車両数・照明車,"出場車両数・救出救助車、水難救助車、指揮統制車",出場車両数・ヘリコプター,出場車両数・消防艇,出場車両数・指揮隊車,出場車両数・その他,従事台数,出場人員,従事人員
崩壊_物体の飛来落下,4,4,4,1,2,1,0,0,17,4,4,1,0,4,0,0,0,0,4,0,13,75,60
墜落_高所からの転落,111,74,77,32,18,8,5,14,536,171,102,20,1,113,1,2,0,3,105,18,282,"2,298","1,241"
墜落_地下への転落,22,19,20,7,5,4,2,2,107,36,23,1,0,24,0,0,0,0,22,1,73,465,330
墜落_飛び降り自損等,202,61,60,29,8,4,4,15,1023,379,196,29,1,204,0,3,0,2,195,14,265,"4,407",1139
ガス_酸素欠乏,3,3,8,1,1,1,0,5,42,8,3,1,0,11,0,2,0,0,5,12,37,159,139
ガス_シンナー中毒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ガス_一酸化炭素中毒,21,19,19,5,2,2,0,10,125,36,15,2,0,37,0,3,0,0,21,11,86,525,362
ガス_自損行為によるガス中毒,42,39,32,10,1,2,1,18,244,87,33,10,0,44,0,0,0,0,42,28,157,1021,692
ガス_高圧ガス（塩素、アンモニア）中毒,3,3,3,1,2,0,0,0,23,9,3,0,0,4,0,0,0,0,3,4,19,94,79
ガス_その他,11,8,5,0,1,2,0,2,76,28,10,2,0,11,0,0,0,0,11,14,43,320,183
電気_電気事故,1,1,1,0,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,2,12,9
山岳_沢に転落・滑落,30,27,29,7,10,5,2,5,255,75,0,3,1,52,0,0,16,0,30,78,190,1068,771
山岳_傷者,80,54,56,4,21,27,3,1,467,141,6,2,2,101,0,1,14,0,59,141,290,"1,780","1,139"
山岳_その他,61,47,60,3,7,12,29,9,387,119,3,1,0,86,0,1,13,0,46,118,231,"1,449",887
その他_土管・ヒューム管等に挟まれ,8,5,3,0,0,0,2,1,24,8,5,1,0,7,0,0,0,0,3,0,8,98,34
その他_自転車のリム等に挟まれ,88,59,61,0,1,50,10,0,267,67,26,20,0,87,0,0,0,0,67,0,121,1119,527
その他_自動車内で病気になった等,159,98,97,4,20,37,27,9,542,174,81,31,4,162,0,0,0,0,87,3,228,"2,228",961
その他_その他の屋外での事故,590,343,362,48,68,109,88,49,"2,243",702,343,78,4,589,4,11,1,27,425,59,834,"9,401","3,535"
