消防署,4階以上の建築物数・計,"4階以上の建築物数・4階建",4階以上の建築物数・5階建,4階以上の建築物数・6階建,4階以上の建築物数・7階建,4階以上の建築物数・8階建,4階以上の建築物数・9階建,"4階以上の建築物数・10階建",4階以上の建築物数・11階建,4階以上の建築物数・12階建,4階以上の建築物数・13階建,4階以上の建築物数・14階建,4階以上の建築物数・15階建,4階以上の建築物数・16階建,4階以上の建築物数・17階建,4階以上の建築物数・18階建,4階以上の建築物数・19階建,4階以上の建築物数・20階建,4階以上の建築物数・21階建,4階以上の建築物数・22階建,4階以上の建築物数・23階建,4階以上の建築物数・24階建,4階以上の建築物数・25階建,4階以上の建築物数・26階建,4階以上の建築物数・27階建,4階以上の建築物数・28階建,4階以上の建築物数・29階建,4階以上の建築物数・30階建,4階以上の建築物数・31階建,4階以上の建築物数・32階建,4階以上の建築物数・33階建,4階以上の建築物数・34階建,4階以上の建築物数・35階建,4階以上の建築物数・36階建,4階以上の建築物数・37階建,4階以上の建築物数・38階建,4階以上の建築物数・39階建,4階以上の建築物数・40階建,4階以上の建築物数・41階建,4階以上の建築物数・42階建,4階以上の建築物数・43階建,4階以上の建築物数・44階建,4階以上の建築物数・45階建,4階以上の建築物数・46階建,4階以上の建築物数・47階建,4階以上の建築物数・48階建,4階以上の建築物数・49階建,4階以上の建築物数・50階建,4階以上の建築物数・51階建,4階以上の建築物数・52階建,4階以上の建築物数・53階建,4階以上の建築物数・54階建,4階以上の建築物数・55階建,4階以上の建築物数・56階建,4階以上の建築物数・57階建,4階以上の建築物数・58階建,4階以上の建築物数・59階建,4階以上の建築物数・60階建,地階を有する建築物数・計,地階を有する建築物数・地下１階,地階を有する建築物数・地下２階,地階を有する建築物数・地下３階,地階を有する建築物数・地下４階,地階を有する建築物数・地下５階,地階を有する建築物数・地下６階,地階を有する建築物数・地下７階,地階を有する建築物数・地下８階
日本橋,3811,304,554,504,495,492,484,420,182,169,77,66,26,5,9,5,1,5,2,2,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1478,215,59,21,7,0,1,0
臨港,681,113,93,57,56,106,39,43,17,36,21,31,8,5,3,10,3,3,0,0,1,1,0,2,0,1,0,1,1,5,1,1,0,0,2,1,0,3,0,0,2,0,3,0,0,1,3,1,0,1,2,1,1,0,0,2,0,0,219,171,36,8,4,0,0,0,0
芝,"3,926",450,605,463,424,482,524,328,156,130,68,92,47,14,8,9,6,5,9,8,10,11,8,6,5,2,4,5,1,5,5,2,2,6,3,2,3,3,2,1,2,0,0,0,2,4,1,0,0,1,0,1,0,1,0,0,0,0,"2,049","1,639",291,77,30,12,0,0,0
麻布,"2,517",577,503,312,279,249,199,113,74,60,37,51,24,3,4,6,0,4,2,0,1,1,2,0,4,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,799","1,529",219,33,11,1,5,0,1
赤坂,"1,964",415,367,251,201,202,185,137,57,37,28,20,8,7,2,3,2,6,3,4,2,2,7,2,0,1,2,2,0,0,0,0,1,0,2,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1646,1339,231,60,12,3,1,0,0
高輪,"1,363",335,272,133,122,120,86,78,45,37,14,41,17,4,1,1,5,6,6,1,0,3,2,3,2,0,5,4,2,5,0,1,1,1,0,0,1,3,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,831,680,108,32,7,3,0,1,0
品川,"2,630",641,515,256,222,235,186,158,116,79,49,69,21,5,5,6,4,7,3,6,8,3,9,2,4,3,4,4,3,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,1164,180,20,6,1,1,0,1
大井,"1,700",455,377,196,146,134,92,67,46,46,32,60,32,1,1,4,0,3,1,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,465,35,4,3,0,2,0,0
荏原,"2,145",920,549,170,143,76,57,53,54,36,29,38,13,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,746,37,4,0,0,0,0,0
大森,"3,026",1164,699,345,241,183,107,104,72,32,31,32,10,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,925,86,7,4,0,0,0,0
田園調布,"1,893",830,483,219,157,87,43,28,19,9,5,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,809,42,6,0,0,0,0,0
蒲田,"2,430",859,608,271,157,154,95,88,55,45,34,36,16,2,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,477,30,6,1,0,0,0,0
矢口,"1,836",720,415,244,147,98,64,44,28,13,18,23,11,0,0,1,1,1,0,1,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,384,25,2,2,0,0,0,0
目黒,"4,050","1,586","1,051",443,338,180,126,131,60,49,28,26,13,3,2,0,2,1,0,1,1,0,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,357","2,170",157,26,3,1,0,0,0
世田谷,"4,489",2015,1213,418,260,188,108,123,37,39,33,39,9,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,391","2,271",111,7,1,1,0,0,0
玉川,"2,374",1031,727,239,176,85,47,25,15,9,6,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,1407,70,11,1,0,0,0,0
成城,"1,817",791,566,168,116,60,44,39,8,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,800,42,5,0,0,0,0,0
渋谷,"7,751",2123,1681,929,771,703,545,391,160,124,101,109,38,10,7,13,3,7,6,5,5,2,2,1,2,1,0,0,0,1,0,3,0,3,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,425","4,599",698,89,30,3,3,3,0
四谷,"2,126",451,434,246,191,202,215,181,83,32,34,35,12,3,0,2,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,296","1,095",166,33,2,0,0,0,0
牛込,"2,812",784,738,330,244,174,135,137,67,65,61,47,11,2,3,1,2,1,1,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1,413","1,257",132,17,6,1,0,0,0
新宿,"5,334","1,615",1179,570,411,371,357,305,136,107,76,102,29,4,2,4,0,6,0,3,3,2,3,2,2,4,3,5,5,2,3,1,2,1,2,2,0,1,0,0,1,2,1,0,1,1,0,1,0,1,1,3,1,0,0,0,0,1,"3,018","2,471",423,76,34,8,6,0,0
中野,"2,972",1163,756,263,219,173,115,108,66,45,20,25,6,0,0,3,0,0,1,1,0,2,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,1200,85,11,3,2,0,0,0
野方,"1,676",830,369,177,117,87,42,20,15,6,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,739,24,2,2,0,0,0,0
杉並,"3,290",1383,841,365,251,188,88,67,38,24,20,20,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,557","1,482",65,9,1,0,0,0,0
荻窪,"2,229",1000,604,243,138,98,57,36,17,14,5,13,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,093","1,049",40,4,0,0,0,0,0
小石川,"2,654",737,585,291,220,165,167,144,117,69,50,62,26,3,0,1,2,2,2,1,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,204","1,042",134,18,5,4,1,0,0
本郷,"2,762",588,552,320,249,251,194,189,106,87,79,94,36,4,4,0,2,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,335","1,175",129,21,8,2,0,0,0
豊島,"3,744",762,826,492,376,368,283,224,117,95,60,80,29,1,0,1,3,4,3,3,3,0,1,1,0,1,1,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"1,693","1,508",155,26,3,1,0,0,0
池袋,"2,591",994,553,284,192,180,127,119,40,32,18,28,13,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1060,95,28,5,0,0,2,0
王子,"1,569",552,395,145,106,111,47,70,41,32,19,34,10,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,499,31,3,0,0,0,0,0
赤羽,"1,648",510,398,186,143,106,67,58,50,34,24,43,15,1,1,3,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,338,25,4,1,1,0,0,0
滝野川,"1,928",741,472,188,135,90,63,69,51,37,29,34,12,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,528,22,2,0,0,0,0,0
板橋,"3,332","1,293",865,352,196,153,101,100,87,49,34,72,22,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,026",967,53,3,3,0,0,0,0
志村,"3,556",1350,988,393,252,161,95,86,94,46,26,41,14,3,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,1119,82,7,1,0,0,0,0
練馬,2485,1006,563,301,216,140,74,76,22,23,17,38,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,790,37,8,0,0,0,0,0
光が丘,"1,044",350,285,138,75,52,26,27,14,11,6,53,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,344,14,2,2,0,1,0,0
石神井,"1,715",685,537,180,120,97,32,30,13,5,3,4,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,622,24,0,0,0,0,0,0
上野,"3,620",629,739,486,394,357,296,248,129,108,85,93,41,1,0,2,3,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,1240,120,10,10,1,3,0,0
浅草,"3,251",626,726,409,290,265,273,223,132,87,84,89,42,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,827,38,10,1,0,0,0,0
日本堤,"2,002",578,430,234,147,140,123,135,70,49,50,37,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,341,16,6,1,0,0,0,0
荒川,2351,719,480,268,202,161,117,134,80,51,25,63,26,0,0,3,0,7,0,1,0,0,1,0,0,2,2,0,1,1,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,469,23,3,3,0,0,0,0
