消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積（㎡）",損害額（円）,死者,負傷者
本所,11,9,-,-,3,6,-,-,-,-,2,-,"536,241",0,0
向島,6,2,-,-,1,1,-,-,-,-,4,27,"11,053,300",1,0
深川,7,6,-,-,1,5,-,1,-,-,-,27,"7,375,809",1,0
城東,9,4,2,-,-,2,-,-,-,-,5,655,"125,684,536",0,3
本田,9,4,-,-,2,2,-,-,-,-,5,-,"33,780",1,0
金町,15,5,-,-,1,4,-,-,-,-,10,-,"6,415,772",0,0
江戸川,9,3,-,-,3,-,-,-,-,-,6,13,"2,462,300",0,0
葛西,7,2,-,-,-,2,-,-,-,-,5,-,"7,940",0,0
小岩,27,9,-,-,1,8,-,-,-,-,18,-,"24,520",0,1
受託地区,219,73,3,-,12,58,1,5,-,-,140,348,"52,800,186",7,10
立川,10,7,-,-,2,5,-,-,-,-,3,20,"3,269,300",1,0
武蔵野,9,2,-,-,-,2,-,-,-,-,7,-,840,0,0
三鷹,3,-,-,-,-,-,-,-,-,-,3,-,-,0,0
府中,15,3,-,-,2,1,-,-,-,-,12,-,"154,900",0,1
昭島,6,5,-,-,1,4,-,-,-,-,1,-,"73,587",0,0
調布,4,1,-,-,-,1,-,1,-,-,2,-,"208,850",0,2
小金井,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
小平,6,1,-,-,1,-,-,-,-,-,5,-,"183,400",-,-
東村山,2,1,-,-,-,1,-,-,-,-,1,-,"507,000",-,-
国分寺,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-
狛江,4,-,-,-,-,-,-,2,-,-,2,-,3372065,0,0
北多摩西部,9,4,1,-,1,2,-,-,-,-,5,113,"27,682,420",0,1
清瀬,1,1,-,-,-,1,-,-,-,-,-,-,-,0,0
東久留米,11,4,-,-,-,4,-,-,-,-,7,-,5400,0,0
西東京,4,3,-,-,-,3,-,-,-,-,1,-,"29,900",0,0
八王子,36,12,1,-,1,10,1,1,-,-,22,69,"4,791,500",1,2
青梅,9,4,-,-,1,3,-,-,-,-,5,6,"113,300",1,1
町田,21,8,-,-,1,7,-,-,-,-,13,-,"1,192,200",0,1
日野,10,6,-,-,1,5,-,-,-,-,4,5,"2,568,200",1,0
福生,21,4,1,-,1,2,-,1,-,-,16,135,8428624,3,1
多摩,16,6,-,-,-,6,-,-,-,-,10,-,"24,400",0,1
秋川,20,1,-,-,-,1,-,-,-,-,19,-,"194,300",0,0
奥多摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
